,USDSEK BGN Curncy
,PX_LAST
2010-01-01,7.1607
2010-01-02,7.1607
2010-01-03,7.1607
2010-01-04,7.0508
2010-01-05,7.1082
2010-01-06,7.0728
2010-01-07,7.1301
2010-01-08,7.0764
2010-01-09,7.0764
2010-01-10,7.0764
2010-01-11,7.0261
2010-01-12,7.0572
2010-01-13,7.0207
2010-01-14,7.0093
2010-01-15,7.0652
2010-01-16,7.0652
2010-01-17,7.0652
2010-01-18,7.0279
2010-01-19,7.0594
2010-01-20,7.1976
2010-01-21,7.2466
2010-01-22,7.2401
2010-01-23,7.2401
2010-01-24,7.2401
2010-01-25,7.2302
2010-01-26,7.2773
2010-01-27,7.2972
2010-01-28,7.3413
2010-01-29,7.3877
2010-01-30,7.3877
2010-01-31,7.3877
2010-02-01,7.2585
2010-02-02,7.2292
2010-02-03,7.2631
2010-02-04,7.4392
2010-02-05,7.4455
2010-02-06,7.4455
2010-02-07,7.4455
2010-02-08,7.4422
2010-02-09,7.3203
2010-02-10,7.3021
2010-02-11,7.2309
2010-02-12,7.2522
2010-02-13,7.2522
2010-02-14,7.2522
2010-02-15,7.2433
2010-02-16,7.1832
2010-02-17,7.2117
2010-02-18,7.2408
2010-02-19,7.2159
2010-02-20,7.2159
2010-02-21,7.2159
2010-02-22,7.1996
2010-02-23,7.2657
2010-02-24,7.2112
2010-02-25,7.1861
2010-02-26,7.1223
2010-02-27,7.1223
2010-02-28,7.1223
2010-03-01,7.1775
2010-03-02,7.1732
2010-03-03,7.1435
2010-03-04,7.162
2010-03-05,7.1129
2010-03-06,7.1129
2010-03-07,7.1129
2010-03-08,7.1067
2010-03-09,7.1424
2010-03-10,7.1211
2010-03-11,7.116
2010-03-12,7.0491
2010-03-13,7.0491
2010-03-14,7.0491
2010-03-15,7.105
2010-03-16,7.0692
2010-03-17,7.0725
2010-03-18,7.1284
2010-03-19,7.1744
2010-03-20,7.1744
2010-03-21,7.1744
2010-03-22,7.1919
2010-03-23,7.1888
2010-03-24,7.2805
2010-03-25,7.2867
2010-03-26,7.2599
2010-03-27,7.2599
2010-03-28,7.2599
2010-03-29,7.2499
2010-03-30,7.272
2010-03-31,7.2186
2010-04-01,7.1522
2010-04-02,7.1822
2010-04-03,7.1822
2010-04-04,7.1822
2010-04-05,7.1793
2010-04-06,7.201
2010-04-07,7.2573
2010-04-08,7.2313
2010-04-09,7.1988
2010-04-10,7.1988
2010-04-11,7.1988
2010-04-12,7.1811
2010-04-13,7.1465
2010-04-14,7.1167
2010-04-15,7.143
2010-04-16,7.1756
2010-04-17,7.1756
2010-04-18,7.1756
2010-04-19,7.1749
2010-04-20,7.1518
2010-04-21,7.1841
2010-04-22,7.2355
2010-04-23,7.1673
2010-04-24,7.1673
2010-04-25,7.1673
2010-04-26,7.151
2010-04-27,7.292
2010-04-28,7.2876
2010-04-29,7.2498
2010-04-30,7.2519
2010-05-01,7.2519
2010-05-02,7.2519
2010-05-03,7.2815
2010-05-04,7.4086
2010-05-05,7.5853
2010-05-06,7.7716
2010-05-07,7.6472
2010-05-08,7.6472
2010-05-09,7.6472
2010-05-10,7.5278
2010-05-11,7.6108
2010-05-12,7.5624
2010-05-13,7.6315
2010-05-14,7.7456
2010-05-15,7.7456
2010-05-16,7.7456
2010-05-17,7.7133
2010-05-18,7.8512
2010-05-19,7.792
2010-05-20,7.9468
2010-05-21,7.8116
2010-05-22,7.8116
2010-05-23,7.8116
2010-05-24,7.8819
2010-05-25,7.9421
2010-05-26,8.0165
2010-05-27,7.8715
2010-05-28,7.8498
2010-05-29,7.8498
2010-05-30,7.8498
2010-05-31,7.8105
2010-06-01,7.8411
2010-06-02,7.7921
2010-06-03,7.8544
2010-06-04,8.0461
2010-06-05,8.0461
2010-06-06,8.0461
2010-06-07,8.1131
2010-06-08,8.0602
2010-06-09,8.0363
2010-06-10,7.8925
2010-06-11,7.9137
2010-06-12,7.9137
2010-06-13,7.9137
2010-06-14,7.8824
2010-06-15,7.7563
2010-06-16,7.7858
2010-06-17,7.7218
2010-06-18,7.728
2010-06-19,7.728
2010-06-20,7.728
2010-06-21,7.7506
2010-06-22,7.7947
2010-06-23,7.7664
2010-06-24,7.7886
2010-06-25,7.727
2010-06-26,7.727
2010-06-27,7.727
2010-06-28,7.7448
2010-06-29,7.8049
2010-06-30,7.7944
2010-07-01,7.6676
2010-07-02,7.6226
2010-07-03,7.6226
2010-07-04,7.6226
2010-07-05,7.6884
2010-07-06,7.5958
2010-07-07,7.5731
2010-07-08,7.5179
2010-07-09,7.4929
2010-07-10,7.4929
2010-07-11,7.4929
2010-07-12,7.4974
2010-07-13,7.4046
2010-07-14,7.3638
2010-07-15,7.2653
2010-07-16,7.3339
2010-07-17,7.3339
2010-07-18,7.3339
2010-07-19,7.3733
2010-07-20,7.3646
2010-07-21,7.413
2010-07-22,7.3144
2010-07-23,7.3074
2010-07-24,7.3074
2010-07-25,7.3074
2010-07-26,7.2905
2010-07-27,7.3006
2010-07-28,7.2977
2010-07-29,7.2203
2010-07-30,7.2104
2010-07-31,7.2104
2010-08-01,7.2104
2010-08-02,7.0974
2010-08-03,7.0811
2010-08-04,7.1425
2010-08-05,7.1217
2010-08-06,7.0828
2010-08-07,7.0828
2010-08-08,7.0828
2010-08-09,7.11
2010-08-10,7.1632
2010-08-11,7.3666
2010-08-12,7.3988
2010-08-13,7.4502
2010-08-14,7.4502
2010-08-15,7.4502
2010-08-16,7.3712
2010-08-17,7.3197
2010-08-18,7.3438
2010-08-19,7.3758
2010-08-20,7.4167
2010-08-21,7.4167
2010-08-22,7.4167
2010-08-23,7.4053
2010-08-24,7.489
2010-08-25,7.4473
2010-08-26,7.4136
2010-08-27,7.3391
2010-08-28,7.3391
2010-08-29,7.3391
2010-08-30,7.4066
2010-08-31,7.3844
2010-09-01,7.2907
2010-09-02,7.2424
2010-09-03,7.232
2010-09-04,7.232
2010-09-05,7.232
2010-09-06,7.2211
2010-09-07,7.3367
2010-09-08,7.2811
2010-09-09,7.279
2010-09-10,7.2575
2010-09-11,7.2575
2010-09-12,7.2575
2010-09-13,7.1344
2010-09-14,7.076
2010-09-15,7.0894
2010-09-16,7.0453
2010-09-17,7.0714
2010-09-18,7.0714
2010-09-19,7.0714
2010-09-20,7.0034
2010-09-21,6.8732
2010-09-22,6.8501
2010-09-23,6.9132
2010-09-24,6.806
2010-09-25,6.806
2010-09-26,6.806
2010-09-27,6.8507
2010-09-28,6.762
2010-09-29,6.7197
2010-09-30,6.7403
2010-10-01,6.7129
2010-10-02,6.7129
2010-10-03,6.7129
2010-10-04,6.7643
2010-10-05,6.7025
2010-10-06,6.7166
2010-10-07,6.6623
2010-10-08,6.6561
2010-10-09,6.6561
2010-10-10,6.6561
2010-10-11,6.6714
2010-10-12,6.652
2010-10-13,6.6262
2010-10-14,6.5493
2010-10-15,6.6208
2010-10-16,6.6208
2010-10-17,6.6208
2010-10-18,6.6712
2010-10-19,6.8064
2010-10-20,6.6422
2010-10-21,6.6798
2010-10-22,6.6236
2010-10-23,6.6236
2010-10-24,6.6236
2010-10-25,6.5846
2010-10-26,6.7313
2010-10-27,6.7795
2010-10-28,6.7361
2010-10-29,6.6702
2010-10-30,6.6702
2010-10-31,6.6702
2010-11-01,6.6916
2010-11-02,6.635
2010-11-03,6.5843
2010-11-04,6.5244
2010-11-05,6.6143
2010-11-06,6.6143
2010-11-07,6.6143
2010-11-08,6.6986
2010-11-09,6.7581
2010-11-10,6.7335
2010-11-11,6.8346
2010-11-12,6.8677
2010-11-13,6.8677
2010-11-14,6.8677
2010-11-15,6.8833
2010-11-16,6.958
2010-11-17,6.9254
2010-11-18,6.8685
2010-11-19,6.8593
2010-11-20,6.8593
2010-11-21,6.8593
2010-11-22,6.8816
2010-11-23,6.9771
2010-11-24,6.9478
2010-11-25,6.9531
2010-11-26,7.0044
2010-11-27,7.0044
2010-11-28,7.0044
2010-11-29,6.9843
2010-11-30,7.0287
2010-12-01,6.9679
2010-12-02,6.9103
2010-12-03,6.797
2010-12-04,6.797
2010-12-05,6.797
2010-12-06,6.8459
2010-12-07,6.8993
2010-12-08,6.8745
2010-12-09,6.8954
2010-12-10,6.9119
2010-12-11,6.9119
2010-12-12,6.9119
2010-12-13,6.8326
2010-12-14,6.8039
2010-12-15,6.8466
2010-12-16,6.8049
2010-12-17,6.8425
2010-12-18,6.8425
2010-12-19,6.8425
2010-12-20,6.8498
2010-12-21,6.8433
2010-12-22,6.8611
2010-12-23,6.8515
2010-12-24,6.8512
2010-12-25,6.8512
2010-12-26,6.8512
2010-12-27,6.8125
2010-12-28,6.8716
2010-12-29,6.813
2010-12-30,6.7492
2010-12-31,6.7114
2011-01-01,6.7114
2011-01-02,6.7114
2011-01-03,6.7004
2011-01-04,6.7233
2011-01-05,6.7635
2011-01-06,6.864
2011-01-07,6.9374
2011-01-08,6.9374
2011-01-09,6.9374
2011-01-10,6.878
2011-01-11,6.8552
2011-01-12,6.7521
2011-01-13,6.7061
2011-01-14,6.6587
2011-01-15,6.6587
2011-01-16,6.6587
2011-01-17,6.7163
2011-01-18,6.6509
2011-01-19,6.6233
2011-01-20,6.6588
2011-01-21,6.5858
2011-01-22,6.5858
2011-01-23,6.5858
2011-01-24,6.5821
2011-01-25,6.5276
2011-01-26,6.4638
2011-01-27,6.4338
2011-01-28,6.528
2011-01-29,6.528
2011-01-30,6.528
2011-01-31,6.4474
2011-02-01,6.3692
2011-02-02,6.4184
2011-02-03,6.4751
2011-02-04,6.4813
2011-02-05,6.4813
2011-02-06,6.4813
2011-02-07,6.461
2011-02-08,6.4368
2011-02-09,6.4357
2011-02-10,6.4611
2011-02-11,6.4818
2011-02-12,6.4818
2011-02-13,6.4818
2011-02-14,6.4845
2011-02-15,6.4809
2011-02-16,6.418
2011-02-17,6.4013
2011-02-18,6.3879
2011-02-19,6.3879
2011-02-20,6.3879
2011-02-21,6.4272
2011-02-22,6.4488
2011-02-23,6.3941
2011-02-24,6.3857
2011-02-25,6.4246
2011-02-26,6.4246
2011-02-27,6.4246
2011-02-28,6.3249
2011-03-01,6.3372
2011-03-02,6.3133
2011-03-03,6.3177
2011-03-04,6.3462
2011-03-05,6.3462
2011-03-06,6.3462
2011-03-07,6.3573
2011-03-08,6.3653
2011-03-09,6.321
2011-03-10,6.4028
2011-03-11,6.3349
2011-03-12,6.3349
2011-03-13,6.3349
2011-03-14,6.3385
2011-03-15,6.4
2011-03-16,6.4822
2011-03-17,6.4158
2011-03-18,6.2718
2011-03-19,6.2718
2011-03-20,6.2718
2011-03-21,6.268
2011-03-22,6.3159
2011-03-23,6.3462
2011-03-24,6.3228
2011-03-25,6.3794
2011-03-26,6.3794
2011-03-27,6.3794
2011-03-28,6.3876
2011-03-29,6.3321
2011-03-30,6.3266
2011-03-31,6.3235
