,USDGBP BGN Curncy
,PX_LAST
2010-01-01,0.6184
2010-01-02,0.6184
2010-01-03,0.6184
2010-01-04,0.6217
2010-01-05,0.6253
2010-01-06,0.6243
2010-01-07,0.6276
2010-01-08,0.6241
2010-01-09,0.6241
2010-01-10,0.6241
2010-01-11,0.6206
2010-01-12,0.6186
2010-01-13,0.6142
2010-01-14,0.6122
2010-01-15,0.6148
2010-01-16,0.6148
2010-01-17,0.6148
2010-01-18,0.6119
2010-01-19,0.6112
2010-01-20,0.6138
2010-01-21,0.6175
2010-01-22,0.6206
2010-01-23,0.6206
2010-01-24,0.6206
2010-01-25,0.6156
2010-01-26,0.6194
2010-01-27,0.6185
2010-01-28,0.6197
2010-01-29,0.6256
2010-01-30,0.6256
2010-01-31,0.6256
2010-02-01,0.6267
2010-02-02,0.6261
2010-02-03,0.6292
2010-02-04,0.6347
2010-02-05,0.6394
2010-02-06,0.6394
2010-02-07,0.6394
2010-02-08,0.6416
2010-02-09,0.6362
2010-02-10,0.6412
2010-02-11,0.6368
2010-02-12,0.6369
2010-02-13,0.6369
2010-02-14,0.6369
2010-02-15,0.6386
2010-02-16,0.6333
2010-02-17,0.6381
2010-02-18,0.644
2010-02-19,0.6463
2010-02-20,0.6463
2010-02-21,0.6463
2010-02-22,0.6459
2010-02-23,0.6483
2010-02-24,0.649
2010-02-25,0.6551
2010-02-26,0.6562
2010-02-27,0.6562
2010-02-28,0.6562
2010-03-01,0.6671
2010-03-02,0.668
2010-03-03,0.6623
2010-03-04,0.6652
2010-03-05,0.6606
2010-03-06,0.6606
2010-03-07,0.6606
2010-03-08,0.6637
2010-03-09,0.6668
2010-03-10,0.6677
2010-03-11,0.6639
2010-03-12,0.6577
2010-03-13,0.6577
2010-03-14,0.6577
2010-03-15,0.6641
2010-03-16,0.656
2010-03-17,0.6525
2010-03-18,0.656
2010-03-19,0.6661
2010-03-20,0.6661
2010-03-21,0.6661
2010-03-22,0.6622
2010-03-23,0.6645
2010-03-24,0.6726
2010-03-25,0.6751
2010-03-26,0.6713
2010-03-27,0.6713
2010-03-28,0.6713
2010-03-29,0.6672
2010-03-30,0.6636
2010-03-31,0.6586
2010-04-01,0.6539
2010-04-02,0.6575
2010-04-03,0.6575
2010-04-04,0.6575
2010-04-05,0.6538
2010-04-06,0.655
2010-04-07,0.6561
2010-04-08,0.6545
2010-04-09,0.6506
2010-04-10,0.6506
2010-04-11,0.6506
2010-04-12,0.6507
2010-04-13,0.6502
2010-04-14,0.6466
2010-04-15,0.6454
2010-04-16,0.6509
2010-04-17,0.6509
2010-04-18,0.6509
2010-04-19,0.652
2010-04-20,0.6511
2010-04-21,0.6489
2010-04-22,0.6503
2010-04-23,0.6503
2010-04-24,0.6503
2010-04-25,0.6503
2010-04-26,0.6469
2010-04-27,0.6551
2010-04-28,0.6575
2010-04-29,0.6527
2010-04-30,0.6547
2010-05-01,0.6547
2010-05-02,0.6547
2010-05-03,0.6559
2010-05-04,0.6604
2010-05-05,0.6622
2010-05-06,0.6741
2010-05-07,0.6755
2010-05-08,0.6755
2010-05-09,0.6755
2010-05-10,0.6736
2010-05-11,0.6687
2010-05-12,0.6746
2010-05-13,0.6843
2010-05-14,0.6879
2010-05-15,0.6879
2010-05-16,0.6879
2010-05-17,0.6909
2010-05-18,0.6976
2010-05-19,0.6924
2010-05-20,0.6961
2010-05-21,0.6916
2010-05-22,0.6916
2010-05-23,0.6916
2010-05-24,0.6933
2010-05-25,0.694
2010-05-26,0.6951
2010-05-27,0.6858
2010-05-28,0.6916
2010-05-29,0.6916
2010-05-30,0.6916
2010-05-31,0.6878
2010-06-01,0.6826
2010-06-02,0.6825
2010-06-03,0.6843
2010-06-04,0.6919
2010-06-05,0.6919
2010-06-06,0.6919
2010-06-07,0.6912
2010-06-08,0.6912
2010-06-09,0.6883
2010-06-10,0.6796
2010-06-11,0.6872
2010-06-12,0.6872
2010-06-13,0.6872
2010-06-14,0.6783
2010-06-15,0.6754
2010-06-16,0.6789
2010-06-17,0.6746
2010-06-18,0.6745
2010-06-19,0.6745
2010-06-20,0.6745
