,USDVND BGN Curncy
,PX_LAST
2010-01-01,18479.0
2010-01-02,18479.0
2010-01-03,18479.0
2010-01-04,18437.0
2010-01-05,18437.0
2010-01-06,18479.0
2010-01-07,18456.0
2010-01-08,18437.0
2010-01-09,18437.0
2010-01-10,18437.0
2010-01-11,18467.0
2010-01-12,18437.0
2010-01-13,18472.0
2010-01-14,18472.0
2010-01-15,18475.0
2010-01-16,18475.0
2010-01-17,18475.0
2010-01-18,18440.0
2010-01-19,18437.0
2010-01-20,18439.0
2010-01-21,18474.0
2010-01-22,18474.0
2010-01-23,18474.0
2010-01-24,18474.0
2010-01-25,18474.0
2010-01-26,18472.0
2010-01-27,18472.0
2010-01-28,18470.0
2010-01-29,18437.0
2010-01-30,18437.0
2010-01-31,18437.0
2010-02-01,18472.0
2010-02-02,18438.0
2010-02-03,18437.0
2010-02-04,18472.0
2010-02-05,18469.0
2010-02-06,18469.0
2010-02-07,18469.0
2010-02-08,18472.0
2010-02-09,18437.0
2010-02-10,18467.0
2010-02-11,18740.0
2010-02-12,18875.0
2010-02-13,18875.0
2010-02-14,18875.0
2010-02-15,18875.0
2010-02-16,18875.0
2010-02-17,18875.0
2010-02-18,18875.0
2010-02-19,18875.0
2010-02-20,18875.0
2010-02-21,18875.0
2010-02-22,18838.0
2010-02-23,18908.0
2010-02-24,19013.0
2010-02-25,18938.0
2010-02-26,19025.0
2010-02-27,19025.0
2010-02-28,19025.0
2010-03-01,19075.0
2010-03-02,19025.0
2010-03-03,18991.0
2010-03-04,18965.0
2010-03-05,19065.0
2010-03-06,19065.0
2010-03-07,19065.0
2010-03-08,19090.0
2010-03-09,18985.0
2010-03-10,19065.0
2010-03-11,19068.0
2010-03-12,19083.0
2010-03-13,19083.0
2010-03-14,19083.0
2010-03-15,19090.0
2010-03-16,19080.0
2010-03-17,19080.0
2010-03-18,18989.0
2010-03-19,18990.0
2010-03-20,18990.0
2010-03-21,18990.0
2010-03-22,19065.0
2010-03-23,19068.0
2010-03-24,19078.0
2010-03-25,19070.0
2010-03-26,19083.0
2010-03-27,19083.0
2010-03-28,19083.0
2010-03-29,19055.0
2010-03-30,19090.0
2010-03-31,19069.0
2010-04-01,19090.0
2010-04-02,19040.0
2010-04-03,19040.0
2010-04-04,19040.0
2010-04-05,19078.0
2010-04-06,19069.0
2010-04-07,19028.0
2010-04-08,19025.0
2010-04-09,19025.0
2010-04-10,19025.0
2010-04-11,19025.0
2010-04-12,19018.0
2010-04-13,19008.0
2010-04-14,18993.0
2010-04-15,18994.0
2010-04-16,18968.0
2010-04-17,18968.0
2010-04-18,18968.0
2010-04-19,18975.0
2010-04-20,18975.0
2010-04-21,18963.0
2010-04-22,18963.0
2010-04-23,18970.0
2010-04-24,18970.0
2010-04-25,18970.0
2010-04-26,18963.0
2010-04-27,18930.0
2010-04-28,18953.0
2010-04-29,18959.0
2010-04-30,18958.0
2010-05-01,18958.0
2010-05-02,18958.0
2010-05-03,18958.0
2010-05-04,18970.0
2010-05-05,18963.0
2010-05-06,18965.0
2010-05-07,18990.0
2010-05-08,18990.0
2010-05-09,18990.0
2010-05-10,19005.0
2010-05-11,18995.0
2010-05-12,19010.0
2010-05-13,18985.0
2010-05-14,19013.0
2010-05-15,19013.0
2010-05-16,19013.0
2010-05-17,18993.0
2010-05-18,18990.0
2010-05-19,18998.0
2010-05-20,18978.0
2010-05-21,18983.0
2010-05-22,18983.0
2010-05-23,18983.0
2010-05-24,18985.0
2010-05-25,18978.0
2010-05-26,18985.0
2010-05-27,18980.0
2010-05-28,18975.0
2010-05-29,18975.0
2010-05-30,18975.0
2010-05-31,18980.0
2010-06-01,18988.0
2010-06-02,18982.0
2010-06-03,18973.0
2010-06-04,18970.0
2010-06-05,18970.0
2010-06-06,18970.0
2010-06-07,18975.0
2010-06-08,18980.0
2010-06-09,18973.0
2010-06-10,18978.0
2010-06-11,18963.0
2010-06-12,18963.0
2010-06-13,18963.0
2010-06-14,18965.0
2010-06-15,18975.0
2010-06-16,18968.0
2010-06-17,18980.0
2010-06-18,18975.0
2010-06-19,18975.0
2010-06-20,18975.0
2010-06-21,18965.0
2010-06-22,18953.0
2010-06-23,18965.0
2010-06-24,18983.0
2010-06-25,18978.0
2010-06-26,18978.0
2010-06-27,18978.0
2010-06-28,18995.0
2010-06-29,19048.0
2010-06-30,19070.0
2010-07-01,19055.0
2010-07-02,19074.0
2010-07-03,19074.0
2010-07-04,19074.0
2010-07-05,19077.0
2010-07-06,19070.0
2010-07-07,19085.0
2010-07-08,19093.0
2010-07-09,19073.0
2010-07-10,19073.0
2010-07-11,19073.0
2010-07-12,19090.0
2010-07-13,19093.0
2010-07-14,19080.0
2010-07-15,19058.0
2010-07-16,19092.0
2010-07-17,19092.0
2010-07-18,19092.0
