,USDPLN BGN Curncy
,PX_LAST
2010-01-01,2.8629
2010-01-02,2.8629
2010-01-03,2.8629
2010-01-04,2.831
2010-01-05,2.8489
2010-01-06,2.8403
2010-01-07,2.8725
2010-01-08,2.8224
2010-01-09,2.8224
2010-01-10,2.8224
2010-01-11,2.8024
2010-01-12,2.8142
2010-01-13,2.792
2010-01-14,2.7889
2010-01-15,2.8157
2010-01-16,2.8157
2010-01-17,2.8157
2010-01-18,2.7941
2010-01-19,2.8021
2010-01-20,2.871
2010-01-21,2.9064
2010-01-22,2.8938
2010-01-23,2.8938
2010-01-24,2.8938
2010-01-25,2.8765
2010-01-26,2.8973
2010-01-27,2.9185
2010-01-28,2.9202
2010-01-29,2.9217
2010-01-30,2.9217
2010-01-31,2.9217
2010-02-01,2.8556
2010-02-02,2.8451
2010-02-03,2.8824
2010-02-04,2.9716
2010-02-05,2.9958
2010-02-06,2.9958
2010-02-07,2.9958
2010-02-08,3.0156
2010-02-09,2.9401
2010-02-10,2.9585
2010-02-11,2.9299
2010-02-12,2.9499
2010-02-13,2.9499
2010-02-14,2.9499
2010-02-15,2.9646
2010-02-16,2.8885
2010-02-17,2.9249
2010-02-18,2.9611
2010-02-19,2.9253
2010-02-20,2.9253
2010-02-21,2.9253
2010-02-22,2.9156
2010-02-23,2.9596
2010-02-24,2.939
2010-02-25,2.9326
2010-02-26,2.893
2010-02-27,2.893
2010-02-28,2.893
2010-03-01,2.8938
2010-03-02,2.8757
2010-03-03,2.852
2010-03-04,2.869
2010-03-05,2.8446
2010-03-06,2.8446
2010-03-07,2.8446
2010-03-08,2.8367
2010-03-09,2.8433
2010-03-10,2.8433
2010-03-11,2.8507
2010-03-12,2.8196
2010-03-13,2.8196
2010-03-14,2.8196
2010-03-15,2.8455
2010-03-16,2.809
2010-03-17,2.8139
2010-03-18,2.8507
2010-03-19,2.877
2010-03-20,2.877
2010-03-21,2.877
2010-03-22,2.8679
2010-03-23,2.8778
2010-03-24,2.9219
2010-03-25,2.9417
2010-03-26,2.9068
2010-03-27,2.9068
2010-03-28,2.9068
2010-03-29,2.8779
2010-03-30,2.8871
2010-03-31,2.8576
2010-04-01,2.8351
2010-04-02,2.8484
2010-04-03,2.8484
2010-04-04,2.8484
2010-04-05,2.8503
2010-04-06,2.8603
2010-04-07,2.8721
2010-04-08,2.8784
2010-04-09,2.8668
2010-04-10,2.8668
2010-04-11,2.8668
2010-04-12,2.8425
2010-04-13,2.8462
2010-04-14,2.8268
2010-04-15,2.8422
2010-04-16,2.8729
2010-04-17,2.8729
2010-04-18,2.8729
2010-04-19,2.8865
2010-04-20,2.8893
2010-04-21,2.8854
2010-04-22,2.9251
2010-04-23,2.8999
2010-04-24,2.8999
2010-04-25,2.8999
2010-04-26,2.901
2010-04-27,2.985
2010-04-28,2.9562
2010-04-29,2.9516
2010-04-30,2.9546
2010-05-01,2.9546
2010-05-02,2.9546
2010-05-03,2.9703
2010-05-04,3.0969
2010-05-05,3.1856
2010-05-06,3.3249
2010-05-07,3.231
2010-05-08,3.231
2010-05-09,3.231
2010-05-10,3.1423
2010-05-11,3.1801
2010-05-12,3.1337
2010-05-13,3.153
2010-05-14,3.2488
2010-05-15,3.2488
2010-05-16,3.2488
2010-05-17,3.2429
2010-05-18,3.3263
2010-05-19,3.2938
2010-05-20,3.337
2010-05-21,3.2721
2010-05-22,3.2721
2010-05-23,3.2721
2010-05-24,3.3196
2010-05-25,3.3494
2010-05-26,3.3902
2010-05-27,3.2801
2010-05-28,3.325
2010-05-29,3.325
2010-05-30,3.325
2010-05-31,3.3135
2010-06-01,3.3651
2010-06-02,3.3391
2010-06-03,3.3885
2010-06-04,3.4931
2010-06-05,3.4931
2010-06-06,3.4931
2010-06-07,3.4897
2010-06-08,3.4476
2010-06-09,3.4617
2010-06-10,3.3694
2010-06-11,3.3882
2010-06-12,3.3882
2010-06-13,3.3882
2010-06-14,3.3325
2010-06-15,3.2926
2010-06-16,3.3032
2010-06-17,3.2896
2010-06-18,3.2464
2010-06-19,3.2464
2010-06-20,3.2464
2010-06-21,3.2976
2010-06-22,3.3149
2010-06-23,3.3017
2010-06-24,3.3386
2010-06-25,3.3292
2010-06-26,3.3292
2010-06-27,3.3292
2010-06-28,3.386
2010-06-29,3.4085
2010-06-30,3.3886
2010-07-01,3.3243
2010-07-02,3.3059
2010-07-03,3.3059
2010-07-04,3.3059
2010-07-05,3.283
2010-07-06,3.2571
2010-07-07,3.2349
2010-07-08,3.2121
2010-07-09,3.221
2010-07-10,3.221
2010-07-11,3.221
2010-07-12,3.2309
2010-07-13,3.1968
2010-07-14,3.1818
2010-07-15,3.1449
2010-07-16,3.1939
2010-07-17,3.1939
2010-07-18,3.1939
2010-07-19,3.1878
2010-07-20,3.1923
2010-07-21,3.2205
2010-07-22,3.1665
2010-07-23,3.145
2010-07-24,3.145
2010-07-25,3.145
2010-07-26,3.0966
2010-07-27,3.082
2010-07-28,3.0811
2010-07-29,3.0658
2010-07-30,3.0702
2010-07-31,3.0702
2010-08-01,3.0702
2010-08-02,3.0208
2010-08-03,3.0263
2010-08-04,3.0286
2010-08-05,3.0264
2010-08-06,3.0029
2010-08-07,3.0029
2010-08-08,3.0029
2010-08-09,2.9985
2010-08-10,3.0136
2010-08-11,3.1162
2010-08-12,3.12
2010-08-13,3.1384
2010-08-14,3.1384
2010-08-15,3.1384
2010-08-16,3.1055
2010-08-17,3.0606
2010-08-18,3.0643
2010-08-19,3.0962
2010-08-20,3.1285
2010-08-21,3.1285
2010-08-22,3.1285
2010-08-23,3.1741
2010-08-24,3.1716
2010-08-25,3.1584
2010-08-26,3.1458
2010-08-27,3.1085
2010-08-28,3.1085
2010-08-29,3.1085
2010-08-30,3.1562
2010-08-31,3.1583
2010-09-01,3.0994
2010-09-02,3.0837
2010-09-03,3.0543
2010-09-04,3.0543
2010-09-05,3.0543
2010-09-06,3.0509
2010-09-07,3.1122
2010-09-08,3.0992
2010-09-09,3.1051
2010-09-10,3.1075
2010-09-11,3.1075
2010-09-12,3.1075
2010-09-13,3.0523
2010-09-14,3.0188
2010-09-15,3.0298
2010-09-16,3.023
2010-09-17,3.033
2010-09-18,3.033
2010-09-19,3.033
2010-09-20,3.0167
2010-09-21,2.9713
2010-09-22,2.9481
2010-09-23,2.9836
2010-09-24,2.9301
2010-09-25,2.9301
2010-09-26,2.9301
2010-09-27,2.9417
2010-09-28,2.9205
2010-09-29,2.919
2010-09-30,2.9081
2010-10-01,2.8584
2010-10-02,2.8584
2010-10-03,2.8584
2010-10-04,2.8964
2010-10-05,2.8522
2010-10-06,2.8465
2010-10-07,2.8531
2010-10-08,2.8431
2010-10-09,2.8431
2010-10-10,2.8431
2010-10-11,2.8508
2010-10-12,2.8412
2010-10-13,2.7986
2010-10-14,2.7718
2010-10-15,2.7891
2010-10-16,2.7891
2010-10-17,2.7891
2010-10-18,2.8172
2010-10-19,2.8934
2010-10-20,2.8296
2010-10-21,2.8595
2010-10-22,2.8402
2010-10-23,2.8402
2010-10-24,2.8402
2010-10-25,2.8127
2010-10-26,2.8378
2010-10-27,2.877
2010-10-28,2.8528
2010-10-29,2.8455
2010-10-30,2.8455
2010-10-31,2.8455
2010-11-01,2.8565
2010-11-02,2.8116
2010-11-03,2.7668
2010-11-04,2.7453
2010-11-05,2.7872
2010-11-06,2.7872
2010-11-07,2.7872
2010-11-08,2.8253
2010-11-09,2.8339
2010-11-10,2.825
2010-11-11,2.8756
2010-11-12,2.8811
2010-11-13,2.8811
2010-11-14,2.8811
2010-11-15,2.8901
2010-11-16,2.941
2010-11-17,2.9218
2010-11-18,2.8829
2010-11-19,2.8788
2010-11-20,2.8788
2010-11-21,2.8788
2010-11-22,2.8956
2010-11-23,2.9774
2010-11-24,2.9698
2010-11-25,2.9787
2010-11-26,3.048
2010-11-27,3.048
2010-11-28,3.048
2010-11-29,3.1144
2010-11-30,3.099
2010-12-01,3.0437
2010-12-02,3.017
2010-12-03,2.9648
2010-12-04,2.9648
2010-12-05,2.9648
2010-12-06,3.0116
2010-12-07,3.0352
2010-12-08,3.038
2010-12-09,3.0471
2010-12-10,3.0455
2010-12-11,3.0455
2010-12-12,3.0455
2010-12-13,2.9833
2010-12-14,2.9818
2010-12-15,3.0221
2010-12-16,3.0104
2010-12-17,3.0209
2010-12-18,3.0209
2010-12-19,3.0209
2010-12-20,3.0489
2010-12-21,3.0564
2010-12-22,3.0453
2010-12-23,3.0219
2010-12-24,3.0243
2010-12-25,3.0243
2010-12-26,3.0243
2010-12-27,3.024
2010-12-28,3.0438
2010-12-29,2.9993
2010-12-30,2.9806
2010-12-31,2.9623
2011-01-01,2.9623
2011-01-02,2.9623
2011-01-03,2.9568
2011-01-04,2.9213
2011-01-05,2.9431
2011-01-06,2.9788
2011-01-07,3.0112
2011-01-08,3.0112
2011-01-09,3.0112
2011-01-10,3.0159
2011-01-11,2.9732
2011-01-12,2.925
2011-01-13,2.8965
2011-01-14,2.8953
2011-01-15,2.8953
2011-01-16,2.8953
2011-01-17,2.9108
2011-01-18,2.8916
2011-01-19,2.8735
2011-01-20,2.89
2011-01-21,2.8471
2011-01-22,2.8471
2011-01-23,2.8471
2011-01-24,2.8422
2011-01-25,2.836
2011-01-26,2.8321
2011-01-27,2.8444
2011-01-28,2.9008
2011-01-29,2.9008
2011-01-30,2.9008
2011-01-31,2.8711
2011-02-01,2.8193
2011-02-02,2.827
2011-02-03,2.8625
2011-02-04,2.8647
2011-02-05,2.8647
2011-02-06,2.8647
2011-02-07,2.855
2011-02-08,2.8553
2011-02-09,2.8448
2011-02-10,2.8831
2011-02-11,2.8897
2011-02-12,2.8897
2011-02-13,2.8897
2011-02-14,2.9265
2011-02-15,2.9132
2011-02-16,2.8782
2011-02-17,2.8675
2011-02-18,2.8605
2011-02-19,2.8605
2011-02-20,2.8605
2011-02-21,2.8821
2011-02-22,2.9115
2011-02-23,2.8932
2011-02-24,2.8847
2011-02-25,2.894
2011-02-26,2.894
2011-02-27,2.894
2011-02-28,2.8661
2011-03-01,2.8965
2011-03-02,2.8667
2011-03-03,2.854
2011-03-04,2.8445
2011-03-05,2.8445
2011-03-06,2.8445
2011-03-07,2.8417
2011-03-08,2.8554
2011-03-09,2.8629
2011-03-10,2.9108
2011-03-11,2.8792
2011-03-12,2.8792
2011-03-13,2.8792
2011-03-14,2.878
2011-03-15,2.8879
2011-03-16,2.9493
2011-03-17,2.9009
2011-03-18,2.8683
2011-03-19,2.8683
2011-03-20,2.8683
2011-03-21,2.8313
2011-03-22,2.8406
2011-03-23,2.8619
2011-03-24,2.8316
2011-03-25,2.8514
2011-03-26,2.8514
2011-03-27,2.8514
2011-03-28,2.8391
2011-03-29,2.8308
2011-03-30,2.8426
2011-03-31,2.8429
2011-04-01,2.8226
2011-04-02,2.8226
2011-04-03,2.8226
2011-04-04,2.8314
2011-04-05,2.8081
2011-04-06,2.7715
2011-04-07,2.7727
2011-04-08,2.7341
2011-04-09,2.7341
2011-04-10,2.7341
2011-04-11,2.7485
2011-04-12,2.7556
2011-04-13,2.7436
2011-04-14,2.7241
2011-04-15,2.7384
2011-04-16,2.7384
2011-04-17,2.7384
2011-04-18,2.8045
2011-04-19,2.7675
2011-04-20,2.7342
2011-04-21,2.7096
2011-04-22,2.713
2011-04-23,2.713
2011-04-24,2.713
2011-04-25,2.7063
2011-04-26,2.6923
2011-04-27,2.654
2011-04-28,2.6568
2011-04-29,2.6557
2011-04-30,2.6557
2011-05-01,2.6557
2011-05-02,2.6474
2011-05-03,2.6578
2011-05-04,2.6653
2011-05-05,2.7295
2011-05-06,2.7545
2011-05-07,2.7545
2011-05-08,2.7545
2011-05-09,2.7355
2011-05-10,2.724
2011-05-11,2.7569
2011-05-12,2.7449
