,USDDKK BGN Curncy
,PX_LAST
2010-01-01,5.1944
2010-01-02,5.1944
2010-01-03,5.1944
2010-01-04,5.163
2010-01-05,5.1804
2010-01-06,5.1641
2010-01-07,5.2003
2010-01-08,5.1644
2010-01-09,5.1644
2010-01-10,5.1644
2010-01-11,5.1269
2010-01-12,5.1361
2010-01-13,5.1275
2010-01-14,5.1318
2010-01-15,5.173
2010-01-16,5.173
2010-01-17,5.173
2010-01-18,5.174
2010-01-19,5.2089
2010-01-20,5.2758
2010-01-21,5.2841
2010-01-22,5.267
2010-01-23,5.267
2010-01-24,5.267
2010-01-25,5.2611
2010-01-26,5.2912
2010-01-27,5.3087
2010-01-28,5.3283
2010-01-29,5.3707
2010-01-30,5.3707
2010-01-31,5.3707
2010-02-01,5.3448
2010-02-02,5.3315
2010-02-03,5.3583
2010-02-04,5.4246
2010-02-05,5.4427
2010-02-06,5.4427
2010-02-07,5.4427
2010-02-08,5.4543
2010-02-09,5.3961
2010-02-10,5.4199
2010-02-11,5.4371
2010-02-12,5.461
2010-02-13,5.461
2010-02-14,5.461
2010-02-15,5.4736
2010-02-16,5.4051
2010-02-17,5.47
2010-02-18,5.5025
2010-02-19,5.4672
2010-02-20,5.4672
2010-02-21,5.4672
2010-02-22,5.4747
2010-02-23,5.5101
2010-02-24,5.4979
2010-02-25,5.4933
2010-02-26,5.4608
2010-02-27,5.4608
2010-02-28,5.4608
2010-03-01,5.4886
2010-03-02,5.4661
2010-03-03,5.4337
2010-03-04,5.4798
2010-03-05,5.4628
2010-03-06,5.4628
2010-03-07,5.4628
2010-03-08,5.4583
2010-03-09,5.4707
2010-03-10,5.4487
2010-03-11,5.4389
2010-03-12,5.4046
2010-03-13,5.4046
2010-03-14,5.4046
2010-03-15,5.4408
2010-03-16,5.4052
2010-03-17,5.4163
2010-03-18,5.4681
2010-03-19,5.4989
2010-03-20,5.4989
2010-03-21,5.4989
2010-03-22,5.4875
2010-03-23,5.5121
2010-03-24,5.5885
2010-03-25,5.6061
2010-03-26,5.5496
2010-03-27,5.5496
2010-03-28,5.5496
2010-03-29,5.5204
2010-03-30,5.5508
2010-03-31,5.5107
2010-04-01,5.4795
2010-04-02,5.5142
2010-04-03,5.5142
2010-04-04,5.5142
2010-04-05,5.522
2010-04-06,5.5557
2010-04-07,5.5786
2010-04-08,5.5707
2010-04-09,5.5133
2010-04-10,5.5133
2010-04-11,5.5133
2010-04-12,5.4765
2010-04-13,5.4678
2010-04-14,5.4513
2010-04-15,5.4836
2010-04-16,5.5107
2010-04-17,5.5107
2010-04-18,5.5107
2010-04-19,5.5171
2010-04-20,5.5398
2010-04-21,5.5578
2010-04-22,5.5978
2010-04-23,5.5612
2010-04-24,5.5612
2010-04-25,5.5612
2010-04-26,5.5611
2010-04-27,5.6487
2010-04-28,5.6289
2010-04-29,5.624
2010-04-30,5.5982
2010-05-01,5.5982
2010-05-02,5.5982
2010-05-03,5.6407
2010-05-04,5.731
2010-05-05,5.8083
2010-05-06,5.8985
2010-05-07,5.8344
2010-05-08,5.8344
2010-05-09,5.8344
2010-05-10,5.8196
2010-05-11,5.8772
2010-05-12,5.8985
2010-05-13,5.9347
2010-05-14,6.0179
2010-05-15,6.0179
2010-05-16,6.0179
2010-05-17,6.0027
2010-05-18,6.0973
2010-05-19,5.9934
2010-05-20,5.9607
2010-05-21,5.9221
2010-05-22,5.9221
2010-05-23,5.9221
2010-05-24,6.0155
2010-05-25,6.0269
2010-05-26,6.1112
2010-05-27,6.0185
2010-05-28,6.0625
2010-05-29,6.0625
2010-05-30,6.0625
2010-05-31,6.0454
2010-06-01,6.0835
2010-06-02,6.0746
2010-06-03,6.1181
2010-06-04,6.2151
2010-06-05,6.2151
2010-06-06,6.2151
2010-06-07,6.2377
2010-06-08,6.213
2010-06-09,6.2102
2010-06-10,6.1356
2010-06-11,6.1409
2010-06-12,6.1409
2010-06-13,6.1409
2010-06-14,6.0852
2010-06-15,6.0309
2010-06-16,6.0426
2010-06-17,6.0049
2010-06-18,6.0054
2010-06-19,6.0054
2010-06-20,6.0054
2010-06-21,6.0436
2010-06-22,6.0651
2010-06-23,6.0452
2010-06-24,6.0344
2010-06-25,6.0185
2010-06-26,6.0185
2010-06-27,6.0185
2010-06-28,6.0652
2010-06-29,6.1123
2010-06-30,6.0871
2010-07-01,5.9465
2010-07-02,5.9308
2010-07-03,5.9308
2010-07-04,5.9308
2010-07-05,5.9436
2010-07-06,5.9033
2010-07-07,5.8978
2010-07-08,5.8711
2010-07-09,5.8978
2010-07-10,5.8978
2010-07-11,5.8978
2010-07-12,5.9189
2010-07-13,5.8602
2010-07-14,5.8466
2010-07-15,5.753
2010-07-16,5.764
2010-07-17,5.764
2010-07-18,5.764
2010-07-19,5.7584
2010-07-20,5.7858
2010-07-21,5.8431
2010-07-22,5.7802
2010-07-23,5.7719
2010-07-24,5.7719
2010-07-25,5.7719
2010-07-26,5.7359
2010-07-27,5.7344
2010-07-28,5.7345
2010-07-29,5.6973
2010-07-30,5.7096
2010-07-31,5.7096
2010-08-01,5.7096
2010-08-02,5.6529
2010-08-03,5.6312
2010-08-04,5.6612
2010-08-05,5.6497
2010-08-06,5.6118
2010-08-07,5.6118
2010-08-08,5.6118
2010-08-09,5.6353
2010-08-10,5.6543
2010-08-11,5.7923
2010-08-12,5.808
2010-08-13,5.8414
2010-08-14,5.8414
2010-08-15,5.8414
2010-08-16,5.8074
2010-08-17,5.7819
2010-08-18,5.7963
2010-08-19,5.81
2010-08-20,5.8611
2010-08-21,5.8611
2010-08-22,5.8611
2010-08-23,5.8855
2010-08-24,5.8988
2010-08-25,5.8827
2010-08-26,5.8563
2010-08-27,5.835
2010-08-28,5.835
2010-08-29,5.835
2010-08-30,5.8802
2010-08-31,5.8712
2010-09-01,5.8124
2010-09-02,5.8047
2010-09-03,5.7725
2010-09-04,5.7725
2010-09-05,5.7725
2010-09-06,5.7828
2010-09-07,5.8706
2010-09-08,5.8528
2010-09-09,5.8645
2010-09-10,5.8718
2010-09-11,5.8718
2010-09-12,5.8718
2010-09-13,5.7797
2010-09-14,5.7286
2010-09-15,5.7237
2010-09-16,5.6943
2010-09-17,5.7068
2010-09-18,5.7068
2010-09-19,5.7068
2010-09-20,5.7017
2010-09-21,5.6161
2010-09-22,5.5575
2010-09-23,5.5957
2010-09-24,5.5221
2010-09-25,5.5221
2010-09-26,5.5221
2010-09-27,5.5375
2010-09-28,5.4853
2010-09-29,5.4684
2010-09-30,5.4659
2010-10-01,5.4043
2010-10-02,5.4043
2010-10-03,5.4043
2010-10-04,5.4469
2010-10-05,5.3856
2010-10-06,5.3511
2010-10-07,5.3534
2010-10-08,5.3493
2010-10-09,5.3493
2010-10-10,5.3493
2010-10-11,5.3741
2010-10-12,5.3546
2010-10-13,5.3414
2010-10-14,5.2936
2010-10-15,5.3346
2010-10-16,5.3346
2010-10-17,5.3346
2010-10-18,5.3526
2010-10-19,5.4334
2010-10-20,5.341
2010-10-21,5.3582
2010-10-22,5.3447
2010-10-23,5.3447
2010-10-24,5.3447
2010-10-25,5.3404
2010-10-26,5.382
2010-10-27,5.4168
2010-10-28,5.3538
2010-10-29,5.3468
2010-10-30,5.3468
2010-10-31,5.3468
2010-11-01,5.3675
2010-11-02,5.3127
2010-11-03,5.2724
2010-11-04,5.2468
2010-11-05,5.3115
2010-11-06,5.3115
2010-11-07,5.3115
2010-11-08,5.354
2010-11-09,5.4116
2010-11-10,5.408
2010-11-11,5.4533
2010-11-12,5.4432
2010-11-13,5.4432
2010-11-14,5.4432
2010-11-15,5.4864
2010-11-16,5.5272
2010-11-17,5.5106
2010-11-18,5.465
2010-11-19,5.4519
2010-11-20,5.4519
2010-11-21,5.4519
2010-11-22,5.4713
2010-11-23,5.5773
2010-11-24,5.5905
2010-11-25,5.5806
2010-11-26,5.6294
2010-11-27,5.6294
2010-11-28,5.6294
2010-11-29,5.6784
2010-11-30,5.7411
2010-12-01,5.6725
2010-12-02,5.6415
2010-12-03,5.5549
2010-12-04,5.5549
2010-12-05,5.5549
2010-12-06,5.6005
2010-12-07,5.6208
2010-12-08,5.622
2010-12-09,5.6307
2010-12-10,5.6362
2010-12-11,5.6362
2010-12-12,5.6362
2010-12-13,5.567
2010-12-14,5.5713
2010-12-15,5.6392
2010-12-16,5.6246
2010-12-17,5.6472
2010-12-18,5.6472
2010-12-19,5.6472
2010-12-20,5.6733
2010-12-21,5.6874
2010-12-22,5.689
2010-12-23,5.683
2010-12-24,5.6793
2010-12-25,5.6793
2010-12-26,5.6793
2010-12-27,5.6613
2010-12-28,5.6841
2010-12-29,5.6364
2010-12-30,5.6097
2010-12-31,5.5684
2011-01-01,5.5684
2011-01-02,5.5684
2011-01-03,5.5788
2011-01-04,5.6006
2011-01-05,5.6673
2011-01-06,5.73
2011-01-07,5.7719
2011-01-08,5.7719
2011-01-09,5.7719
2011-01-10,5.7515
2011-01-11,5.7428
2011-01-12,5.673
2011-01-13,5.5743
