,USDCHF BGN Curncy
,PX_LAST
2010-01-01,1.0352
2010-01-02,1.0352
2010-01-03,1.0352
2010-01-04,1.0299
2010-01-05,1.0335
2010-01-06,1.0276
2010-01-07,1.0341
2010-01-08,1.0237
2010-01-09,1.0237
2010-01-10,1.0237
2010-01-11,1.0165
2010-01-12,1.0186
2010-01-13,1.0182
2010-01-14,1.0187
2010-01-15,1.0253
2010-01-16,1.0253
2010-01-17,1.0253
2010-01-18,1.0248
2010-01-19,1.0327
2010-01-20,1.0441
2010-01-21,1.0428
2010-01-22,1.0412
2010-01-23,1.0412
2010-01-24,1.0412
2010-01-25,1.0394
2010-01-26,1.0463
2010-01-27,1.05
2010-01-28,1.0522
2010-01-29,1.0606
2010-01-30,1.0606
2010-01-31,1.0606
2010-02-01,1.0563
2010-02-02,1.0549
2010-02-03,1.0595
2010-02-04,1.0668
2010-02-05,1.0726
2010-02-06,1.0726
2010-02-07,1.0726
2010-02-08,1.0734
2010-02-09,1.0638
2010-02-10,1.0676
2010-02-11,1.0704
2010-02-12,1.0754
2010-02-13,1.0754
2010-02-14,1.0754
2010-02-15,1.0776
2010-02-16,1.0661
2010-02-17,1.0785
2010-02-18,1.0839
2010-02-19,1.0757
2010-02-20,1.0757
2010-02-21,1.0757
2010-02-22,1.0762
2010-02-23,1.0839
2010-02-24,1.081
2010-02-25,1.0801
2010-02-26,1.0735
2010-02-27,1.0735
2010-02-28,1.0735
2010-03-01,1.0793
2010-03-02,1.0748
2010-03-03,1.0679
2010-03-04,1.0773
2010-03-05,1.0742
2010-03-06,1.0742
2010-03-07,1.0742
2010-03-08,1.0732
2010-03-09,1.0752
2010-03-10,1.0699
2010-03-11,1.0682
2010-03-12,1.0578
2010-03-13,1.0578
2010-03-14,1.0578
2010-03-15,1.0619
2010-03-16,1.0547
2010-03-17,1.0541
2010-03-18,1.058
2010-03-19,1.0613
2010-03-20,1.0613
2010-03-21,1.0613
2010-03-22,1.0583
2010-03-23,1.0573
2010-03-24,1.0729
2010-03-25,1.0743
2010-03-26,1.0652
2010-03-27,1.0652
2010-03-28,1.0652
2010-03-29,1.0623
2010-03-30,1.0665
2010-03-31,1.0539
2010-04-01,1.0541
2010-04-02,1.0605
2010-04-03,1.0605
2010-04-04,1.0605
2010-04-05,1.0622
2010-04-06,1.0689
2010-04-07,1.0739
2010-04-08,1.073
2010-04-09,1.0657
2010-04-10,1.0657
2010-04-11,1.0657
2010-04-12,1.0592
2010-04-13,1.0537
2010-04-14,1.0519
2010-04-15,1.0564
2010-04-16,1.0614
2010-04-17,1.0614
2010-04-18,1.0614
2010-04-19,1.0631
2010-04-20,1.0686
2010-04-21,1.0705
2010-04-22,1.0781
2010-04-23,1.0731
2010-04-24,1.0731
2010-04-25,1.0731
2010-04-26,1.0729
2010-04-27,1.0879
2010-04-28,1.0845
2010-04-29,1.0838
2010-04-30,1.0776
2010-05-01,1.0776
2010-05-02,1.0776
2010-05-03,1.0858
2010-05-04,1.1029
2010-05-05,1.1181
2010-05-06,1.1141
2010-05-07,1.108
2010-05-08,1.108
2010-05-09,1.108
2010-05-10,1.1099
2010-05-11,1.1117
2010-05-12,1.1115
2010-05-13,1.1176
2010-05-14,1.1336
2010-05-15,1.1336
2010-05-16,1.1336
2010-05-17,1.1312
2010-05-18,1.1477
2010-05-19,1.1506
2010-05-20,1.1507
2010-05-21,1.1497
2010-05-22,1.1497
2010-05-23,1.1497
2010-05-24,1.1593
2010-05-25,1.1571
2010-05-26,1.1606
2010-05-27,1.151
2010-05-28,1.1591
2010-05-29,1.1591
2010-05-30,1.1591
2010-05-31,1.1549
2010-06-01,1.1569
2010-06-02,1.1549
2010-06-03,1.1565
2010-06-04,1.1621
2010-06-05,1.1621
2010-06-06,1.1621
2010-06-07,1.1631
2010-06-08,1.1526
2010-06-09,1.1484
2010-06-10,1.142
2010-06-11,1.1494
2010-06-12,1.1494
2010-06-13,1.1494
2010-06-14,1.142
2010-06-15,1.1331
2010-06-16,1.1311
2010-06-17,1.112
2010-06-18,1.1085
2010-06-19,1.1085
2010-06-20,1.1085
2010-06-21,1.1122
2010-06-22,1.1074
2010-06-23,1.1052
2010-06-24,1.1031
2010-06-25,1.0929
2010-06-26,1.0929
2010-06-27,1.0929
2010-06-28,1.0868
2010-06-29,1.0821
2010-06-30,1.0774
2010-07-01,1.0592
2010-07-02,1.0627
2010-07-03,1.0627
2010-07-04,1.0627
2010-07-05,1.0646
2010-07-06,1.0592
2010-07-07,1.0517
2010-07-08,1.0492
2010-07-09,1.0578
2010-07-10,1.0578
2010-07-11,1.0578
2010-07-12,1.0604
2010-07-13,1.0547
2010-07-14,1.0525
2010-07-15,1.041
2010-07-16,1.051
2010-07-17,1.051
2010-07-18,1.051
2010-07-19,1.055
2010-07-20,1.0528
2010-07-21,1.0514
2010-07-22,1.0429
2010-07-23,1.0543
2010-07-24,1.0543
2010-07-25,1.0543
2010-07-26,1.0486
2010-07-27,1.0606
2010-07-28,1.0567
2010-07-29,1.0411
2010-07-30,1.0412
2010-07-31,1.0412
2010-08-01,1.0412
2010-08-02,1.039
2010-08-03,1.0391
2010-08-04,1.0531
2010-08-05,1.046
2010-08-06,1.0388
2010-08-07,1.0388
2010-08-08,1.0388
2010-08-09,1.0493
2010-08-10,1.0486
2010-08-11,1.0602
2010-08-12,1.05
2010-08-13,1.051
2010-08-14,1.051
2010-08-15,1.051
2010-08-16,1.0393
2010-08-17,1.0434
2010-08-18,1.0425
2010-08-19,1.0321
2010-08-20,1.0339
2010-08-21,1.0339
2010-08-22,1.0339
2010-08-23,1.0408
2010-08-24,1.0331
2010-08-25,1.0306
2010-08-26,1.024
2010-08-27,1.028
2010-08-28,1.028
2010-08-29,1.028
2010-08-30,1.0263
2010-08-31,1.0151
2010-09-01,1.0159
2010-09-02,1.0126
2010-09-03,1.0164
2010-09-04,1.0164
2010-09-05,1.0164
2010-09-06,1.0124
2010-09-07,1.0114
2010-09-08,1.0114
2010-09-09,1.0151
2010-09-10,1.0198
2010-09-11,1.0198
2010-09-12,1.0198
2010-09-13,1.0074
2010-09-14,0.9962
2010-09-15,1.0033
2010-09-16,1.0157
2010-09-17,1.0098
2010-09-18,1.0098
2010-09-19,1.0098
2010-09-20,1.0048
2010-09-21,0.9963
2010-09-22,0.9861
2010-09-23,0.9855
2010-09-24,0.9831
2010-09-25,0.9831
2010-09-26,0.9831
2010-09-27,0.9853
2010-09-28,0.9758
2010-09-29,0.9771
2010-09-30,0.9825
2010-10-01,0.9738
2010-10-02,0.9738
2010-10-03,0.9738
2010-10-04,0.9716
2010-10-05,0.9662
2010-10-06,0.9616
2010-10-07,0.9663
2010-10-08,0.9628
2010-10-09,0.9628
2010-10-10,0.9628
2010-10-11,0.9648
2010-10-12,0.9568
2010-10-13,0.9585
2010-10-14,0.953
2010-10-15,0.9589
2010-10-16,0.9589
2010-10-17,0.9589
2010-10-18,0.9595
2010-10-19,0.9718
2010-10-20,0.9618
2010-10-21,0.9678
2010-10-22,0.9773
2010-10-23,0.9773
2010-10-24,0.9773
2010-10-25,0.9711
2010-10-26,0.9842
2010-10-27,0.9904
2010-10-28,0.9834
2010-10-29,0.9824
2010-10-30,0.9824
2010-10-31,0.9824
2010-11-01,0.9917
2010-11-02,0.9795
2010-11-03,0.9708
2010-11-04,0.9584
2010-11-05,0.9617
2010-11-06,0.9617
2010-11-07,0.9617
2010-11-08,0.9659
2010-11-09,0.9682
2010-11-10,0.9708
2010-11-11,0.9752
2010-11-12,0.9809
2010-11-13,0.9809
2010-11-14,0.9809
2010-11-15,0.9846
2010-11-16,0.9959
2010-11-17,0.9915
2010-11-18,0.9957
2010-11-19,0.9923
2010-11-20,0.9923
2010-11-21,0.9923
2010-11-22,0.9897
2010-11-23,0.9974
2010-11-24,0.9961
2010-11-25,1.0006
2010-11-26,1.0036
2010-11-27,1.0036
2010-11-28,1.0036
2010-11-29,1.0
2010-11-30,1.0034
2010-12-01,1.0023
2010-12-02,0.9928
2010-12-03,0.9735
2010-12-04,0.9735
2010-12-05,0.9735
2010-12-06,0.9817
2010-12-07,0.9877
2010-12-08,0.9861
2010-12-09,0.9834
2010-12-10,0.9811
2010-12-11,0.9811
2010-12-12,0.9811
2010-12-13,0.9678
2010-12-14,0.9596
2010-12-15,0.9682
2010-12-16,0.9645
2010-12-17,0.9686
2010-12-18,0.9686
2010-12-19,0.9686
