,CIX CN Equity,CIX CN Equity,CIX CN Equity,CIX CN Equity,CIX CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,11.7428,12.2164,11.5996,12.1173,334492.0
2010-01-02,11.7428,12.2164,11.5996,12.1173,334492.0
2010-01-03,11.7428,12.2164,11.5996,12.1173,334492.0
2010-01-04,12.1503,12.2825,11.908,11.9796,186853.0
2010-01-05,11.908,12.0898,11.7262,11.8419,190132.0
2010-01-06,11.8089,11.9576,11.6436,11.7538,265364.0
2010-01-07,11.7758,11.8033,11.561,11.6161,301883.0
2010-01-08,11.561,11.6271,11.4398,11.4563,409820.0
2010-01-09,11.561,11.6271,11.4398,11.4563,409820.0
2010-01-10,11.561,11.6271,11.4398,11.4563,409820.0
2010-01-11,11.4563,11.7152,11.4563,11.594,173048.0
2010-01-12,11.594,11.6381,11.5114,11.5665,187857.0
2010-01-13,11.5775,11.8694,11.5775,11.7593,251382.0
2010-01-14,11.7152,12.3266,11.7152,12.2825,740563.0
2010-01-15,12.1944,12.4423,12.1228,12.2825,505076.0
2010-01-16,12.1944,12.4423,12.1228,12.2825,505076.0
2010-01-17,12.1944,12.4423,12.1228,12.2825,505076.0
2010-01-18,12.3872,12.3872,12.2219,12.3321,281383.0
2010-01-19,12.2715,12.3376,12.1173,12.2385,200691.0
2010-01-20,12.1503,12.2495,12.0126,12.0677,299153.0
2010-01-21,12.1173,12.4863,12.0071,12.1889,670723.0
2010-01-22,12.1173,12.3046,11.897,11.9521,351011.0
2010-01-23,12.1173,12.3046,11.897,11.9521,351011.0
2010-01-24,12.1173,12.3046,11.897,11.9521,351011.0
2010-01-25,12.0071,12.2164,11.897,11.9576,970914.0
2010-01-26,11.886,12.0787,11.886,12.0567,260272.0
2010-01-27,12.0125,12.1837,11.9186,12.1727,158785.0
2010-01-28,12.25,12.2721,11.8137,11.9297,172391.0
2010-01-29,11.891,12.1451,11.891,12.0567,1107424.0
2010-01-30,11.891,12.1451,11.891,12.0567,1107424.0
2010-01-31,11.891,12.1451,11.891,12.0567,1107424.0
2010-02-01,12.0125,12.0954,11.8744,11.9462,160015.0
2010-02-02,12.0236,12.0291,11.8026,11.9076,167470.0
2010-02-03,11.8413,12.0401,11.8413,11.9352,138454.0
2010-02-04,11.891,12.007,11.6093,11.6811,256284.0
2010-02-05,11.6093,11.8579,11.5044,11.5983,706427.0
2010-02-06,11.6093,11.8579,11.5044,11.5983,706427.0
2010-02-07,11.6093,11.8579,11.5044,11.5983,706427.0
2010-02-08,11.6535,11.6811,11.4381,11.4602,539030.0
2010-02-09,11.4602,11.6287,11.4437,11.5099,292740.0
2010-02-10,11.4989,11.5873,11.3553,11.5707,142153.0
2010-02-11,11.5265,11.7916,11.3608,11.775,1457192.0
2010-02-12,11.7253,11.7253,11.532,11.6425,219202.0
2010-02-13,11.7253,11.7253,11.532,11.6425,219202.0
2010-02-14,11.7253,11.7253,11.532,11.6425,219202.0
2010-02-15,11.7253,11.7253,11.532,11.6425,219202.0
2010-02-16,11.5707,11.6867,11.4989,11.6259,96754.0
2010-02-17,11.5983,11.6093,11.4657,11.6093,156581.0
2010-02-18,11.5707,11.6535,11.4878,11.6535,131719.0
2010-02-19,11.5873,11.6535,11.5044,11.6204,87363.0
2010-02-20,11.5873,11.6535,11.5044,11.6204,87363.0
2010-02-21,11.5873,11.6535,11.5044,11.6204,87363.0
2010-02-22,11.648,11.6756,11.5652,11.659,75738.0
2010-02-23,11.4989,11.7806,11.4657,11.6867,187914.0
2010-02-24,11.7198,11.8744,11.6093,11.764,192424.0
2010-02-25,11.6867,11.7529,11.4878,11.5983,249302.0
2010-02-26,11.5817,11.6648,11.5374,11.5761,267203.0
2010-02-27,11.5817,11.6648,11.5374,11.5761,267203.0
2010-02-28,11.5817,11.6648,11.5374,11.5761,267203.0
2010-03-01,11.626,11.6371,11.5263,11.5983,100397.0
2010-03-02,11.5872,11.6315,11.4709,11.5208,429468.0
2010-03-03,11.5651,11.5651,11.3989,11.3989,130610.0
2010-03-04,11.3767,11.5263,11.3657,11.5208,173684.0
2010-03-05,11.5097,11.5318,11.4211,11.5097,154350.0
2010-03-06,11.5097,11.5318,11.4211,11.5097,154350.0
2010-03-07,11.5097,11.5318,11.4211,11.5097,154350.0
2010-03-08,11.4986,11.5263,11.4654,11.5208,79713.0
2010-03-09,11.4654,11.5983,11.4654,11.5208,96868.0
2010-03-10,11.4931,11.6426,11.4931,11.6038,171811.0
2010-03-11,11.5595,11.6204,11.5263,11.6038,154469.0
2010-03-12,11.6038,11.6204,11.5484,11.6038,146847.0
2010-03-13,11.6038,11.6204,11.5484,11.6038,146847.0
2010-03-14,11.6038,11.6204,11.5484,11.6038,146847.0
2010-03-15,11.6038,11.6038,11.5595,11.5761,146078.0
2010-03-16,11.5651,11.5983,11.482,11.5595,155097.0
2010-03-17,11.5429,11.626,11.5429,11.5484,345093.0
2010-03-18,11.5484,11.6149,11.482,11.5817,174429.0
2010-03-19,11.5817,11.5983,11.4986,11.5928,381633.0
2010-03-20,11.5817,11.5983,11.4986,11.5928,381633.0
2010-03-21,11.5817,11.5983,11.4986,11.5928,381633.0
2010-03-22,11.4432,11.5928,11.4432,11.5484,374332.0
2010-03-23,11.5318,11.7755,11.5263,11.7312,206971.0
2010-03-24,11.6869,11.8198,11.6426,11.6814,162840.0
2010-03-25,11.6758,11.9749,11.6758,11.7146,177529.0
2010-03-26,11.698,11.8808,11.6315,11.7423,662530.0
2010-03-27,11.698,11.8808,11.6315,11.7423,662530.0
2010-03-28,11.698,11.8808,11.6315,11.7423,662530.0
2010-03-29,11.8589,12.0367,11.759,11.8367,196973.0
2010-03-30,11.8756,11.9645,11.8145,11.9423,287697.0
2010-03-31,11.9089,11.9534,11.7756,11.9423,268016.0
2010-04-01,11.9256,11.9867,11.8701,11.9256,70696.0
2010-04-02,11.9256,11.9867,11.8701,11.9256,70696.0
2010-04-03,11.9256,11.9867,11.8701,11.9256,70696.0
2010-04-04,11.9256,11.9867,11.8701,11.9256,70696.0
2010-04-05,11.8978,12.1811,11.8701,12.1422,2578670.0
2010-04-06,12.0645,12.1922,11.9256,11.97,146121.0
2010-04-07,11.9423,11.9978,11.7867,11.8923,229727.0
2010-04-08,11.8978,12.0422,11.8978,11.97,169377.0
2010-04-09,11.97,12.0922,11.8867,12.0756,92181.0
2010-04-10,11.97,12.0922,11.8867,12.0756,92181.0
2010-04-11,11.97,12.0922,11.8867,12.0756,92181.0
2010-04-12,12.0811,12.0978,11.8867,11.9312,145850.0
2010-04-13,11.9145,12.0311,11.8256,11.9034,136517.0
2010-04-14,11.8923,12.0534,11.8756,12.0534,397725.0
2010-04-15,11.9756,12.0534,11.8312,11.9423,252931.0
2010-04-16,11.9145,12.0478,11.7534,11.8867,311236.0
2010-04-17,11.9145,12.0478,11.7534,11.8867,311236.0
2010-04-18,11.9145,12.0478,11.7534,11.8867,311236.0
2010-04-19,11.8812,12.0534,11.7756,11.9811,244289.0
2010-04-20,11.8645,12.1644,11.8645,12.1145,443325.0
2010-04-21,11.9978,12.2033,11.9978,12.2033,239188.0
2010-04-22,12.0978,12.1589,11.9312,12.0256,257234.0
2010-04-23,11.9478,12.0978,11.8867,12.0978,202077.0
2010-04-24,11.9478,12.0978,11.8867,12.0978,202077.0
2010-04-25,11.9478,12.0978,11.8867,12.0978,202077.0
2010-04-26,11.9423,12.1367,11.809,11.8978,145028.0
