,NPI CN Equity,NPI CN Equity,NPI CN Equity,NPI CN Equity,NPI CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,5.7598,5.7646,5.6829,5.7406,71579.0
2010-01-02,5.7598,5.7646,5.6829,5.7406,71579.0
2010-01-03,5.7598,5.7646,5.6829,5.7406,71579.0
2010-01-04,5.7358,5.7454,5.6492,5.6685,190372.0
2010-01-05,5.6733,5.7069,5.6252,5.6396,423270.0
2010-01-06,5.6348,5.6733,5.6252,5.6733,182109.0
2010-01-07,5.7214,5.9569,5.6733,5.8175,473911.0
2010-01-08,5.8175,5.9954,5.7983,5.9185,217999.0
2010-01-09,5.8175,5.9954,5.7983,5.9185,217999.0
2010-01-10,5.8175,5.9954,5.7983,5.9185,217999.0
2010-01-11,5.9618,6.0339,5.88,5.88,297925.0
2010-01-12,5.8992,5.9329,5.8175,5.8704,239222.0
2010-01-13,5.9281,5.9281,5.8079,5.856,189269.0
2010-01-14,5.8464,5.8992,5.8223,5.8992,171126.0
2010-01-15,5.8416,5.9377,5.8416,5.9041,135382.0
2010-01-16,5.8416,5.9377,5.8416,5.9041,135382.0
2010-01-17,5.8416,5.9377,5.8416,5.9041,135382.0
2010-01-18,5.8704,6.0916,5.8704,6.0098,141725.0
2010-01-19,6.0531,6.0531,5.9089,5.9137,210650.0
2010-01-20,5.9473,5.9954,5.8223,5.9666,176326.0
2010-01-21,5.9906,5.9954,5.8416,5.9137,187481.0
2010-01-22,5.9618,5.9666,5.8608,5.9377,205141.0
2010-01-23,5.9618,5.9666,5.8608,5.9377,205141.0
2010-01-24,5.9618,5.9666,5.8608,5.9377,205141.0
2010-01-25,5.9377,5.9858,5.8416,5.8656,214555.0
2010-01-26,5.8944,6.0098,5.8271,6.0098,226767.0
2010-01-27,5.9953,5.9953,5.821,5.8888,168035.0
2010-01-28,5.8839,5.9081,5.8258,5.8549,122977.0
2010-01-29,5.8597,5.9662,5.8113,5.8742,245897.0
2010-01-30,5.8597,5.9662,5.8113,5.8742,245897.0
2010-01-31,5.8597,5.9662,5.8113,5.8742,245897.0
2010-02-01,5.8452,5.942,5.8403,5.9081,127670.0
2010-02-02,5.9517,6.0244,5.8984,5.9905,179774.0
2010-02-03,6.0001,6.0147,5.9323,5.9372,166501.0
2010-02-04,5.9372,5.9469,5.7774,5.8064,220389.0
2010-02-05,5.8258,5.8888,5.7967,5.8888,239918.0
2010-02-06,5.8258,5.8888,5.7967,5.8888,239918.0
2010-02-07,5.8258,5.8888,5.7967,5.8888,239918.0
2010-02-08,5.8839,5.9905,5.8597,5.9905,191848.0
2010-02-09,6.005,6.1745,6.005,6.0098,684112.0
2010-02-10,6.1261,6.1745,6.1261,6.1745,358801.0
2010-02-11,6.2278,6.2278,6.097,6.1067,231983.0
2010-02-12,6.1067,6.2181,6.097,6.2181,153199.0
2010-02-13,6.1067,6.2181,6.097,6.2181,153199.0
2010-02-14,6.1067,6.2181,6.097,6.2181,153199.0
2010-02-15,6.1067,6.2181,6.097,6.2181,153199.0
2010-02-16,6.1067,6.2326,6.1067,6.2326,155640.0
2010-02-17,6.2423,6.3633,6.2423,6.3585,219445.0
2010-02-18,6.3488,6.3488,6.2471,6.252,130382.0
2010-02-19,6.3537,6.3537,6.2181,6.2859,156014.0
2010-02-20,6.3537,6.3537,6.2181,6.2859,156014.0
2010-02-21,6.3537,6.3537,6.2181,6.2859,156014.0
2010-02-22,6.3343,6.344,6.2423,6.344,170709.0
2010-02-23,6.3294,6.3876,6.2956,6.3537,160265.0
2010-02-24,6.3878,6.4609,6.3732,6.4414,397182.0
2010-02-25,6.3878,6.4317,6.2903,6.2903,372663.0
2010-02-26,6.3098,6.3732,6.2952,6.3195,165150.0
2010-02-27,6.3098,6.3732,6.2952,6.3195,165150.0
2010-02-28,6.3098,6.3732,6.2952,6.3195,165150.0
2010-03-01,6.339,6.5682,6.3195,6.5682,644251.0
2010-03-02,6.5195,6.6267,6.4609,6.617,421672.0
2010-03-03,6.5828,6.7194,6.5536,6.6365,142507.0
2010-03-04,6.5828,6.7535,6.578,6.7243,412417.0
2010-03-05,6.7633,6.7779,6.6316,6.7291,249005.0
2010-03-06,6.7633,6.7779,6.6316,6.7291,249005.0
2010-03-07,6.7633,6.7779,6.6316,6.7291,249005.0
2010-03-08,6.7194,6.7194,6.6316,6.6414,177387.0
2010-03-09,6.5975,6.6462,6.4902,6.6462,264684.0
2010-03-10,6.6121,6.7194,6.5877,6.5975,152547.0
2010-03-11,6.6219,6.6316,6.5243,6.6316,132563.0
2010-03-12,6.6121,6.6755,6.5828,6.5828,145637.0
2010-03-13,6.6121,6.6755,6.5828,6.5828,145637.0
2010-03-14,6.6121,6.6755,6.5828,6.5828,145637.0
2010-03-15,6.6657,6.7145,6.5828,6.7145,136831.0
2010-03-16,6.6901,6.8267,6.6901,6.773,196414.0
2010-03-17,6.7779,6.8071,6.7291,6.7584,129431.0
2010-03-18,6.7876,6.7876,6.617,6.6316,549989.0
2010-03-19,6.6219,6.6462,6.4853,6.5682,455592.0
2010-03-20,6.6219,6.6462,6.4853,6.5682,455592.0
2010-03-21,6.6219,6.6462,6.4853,6.5682,455592.0
2010-03-22,6.5195,6.6316,6.5195,6.6121,155633.0
2010-03-23,6.6511,6.6901,6.5926,6.6755,124975.0
2010-03-24,6.6706,6.7291,6.6072,6.617,101961.0
2010-03-25,6.6072,6.6511,6.5926,6.617,150272.0
2010-03-26,6.6219,6.6657,6.5438,6.5682,102949.0
2010-03-27,6.6219,6.6657,6.5438,6.5682,102949.0
2010-03-28,6.6219,6.6657,6.5438,6.5682,102949.0
2010-03-29,6.6026,6.6271,6.5339,6.5437,65641.0
2010-03-30,6.5535,6.5928,6.4553,6.5142,126786.0
2010-03-31,6.5093,6.5289,6.4062,6.4602,174222.0
2010-04-01,6.4995,6.6664,6.4602,6.6026,225213.0
2010-04-02,6.4995,6.6664,6.4602,6.6026,225213.0
2010-04-03,6.4995,6.6664,6.4602,6.6026,225213.0
2010-04-04,6.4995,6.6664,6.4602,6.6026,225213.0
2010-04-05,6.7106,6.7155,6.6222,6.6566,175511.0
2010-04-06,6.7204,6.7498,6.6664,6.7155,117099.0
2010-04-07,6.7155,6.7155,6.5339,6.6664,156166.0
2010-04-08,6.6811,6.7695,6.6517,6.7106,167894.0
2010-04-09,6.7695,6.794,6.6811,6.7204,87516.0
2010-04-10,6.7695,6.794,6.6811,6.7204,87516.0
2010-04-11,6.7695,6.794,6.6811,6.7204,87516.0
2010-04-12,6.686,6.7744,6.686,6.7449,153908.0
2010-04-13,6.794,6.794,6.686,6.74,91804.0
2010-04-14,6.7253,6.7597,6.6517,6.6909,135189.0
2010-04-15,6.7498,6.8186,6.7106,6.7793,133407.0
2010-04-16,6.7597,6.794,6.7057,6.7106,134905.0
2010-04-17,6.7597,6.794,6.7057,6.7106,134905.0
2010-04-18,6.7597,6.794,6.7057,6.7106,134905.0
2010-04-19,6.7548,6.7597,6.6615,6.7449,192581.0
2010-04-20,6.6811,6.7351,6.6811,6.7155,118897.0
2010-04-21,6.7253,6.7695,6.7008,6.7646,236922.0
2010-04-22,6.7646,6.8529,6.7498,6.7891,550465.0
2010-04-23,6.7695,6.8284,6.7204,6.8137,126540.0
2010-04-24,6.7695,6.8284,6.7204,6.8137,126540.0
2010-04-25,6.7695,6.8284,6.7204,6.8137,126540.0
2010-04-26,6.8726,6.9168,6.8088,6.848,304247.0
2010-04-27,6.8235,6.9069,6.8088,6.8382,121999.0
2010-04-28,6.8184,6.8333,6.7641,6.8086,171290.0
2010-04-29,6.7937,6.8827,6.7839,6.8481,126765.0
2010-04-30,6.8629,6.9766,6.8234,6.8975,508630.0
2010-05-01,6.8629,6.9766,6.8234,6.8975,508630.0
2010-05-02,6.8629,6.9766,6.8234,6.8975,508630.0
2010-05-03,6.9123,6.937,6.8876,6.9222,188841.0
2010-05-04,6.9173,6.9617,6.7888,6.9173,252859.0
2010-05-05,6.9222,6.9617,6.774,6.9173,383793.0
2010-05-06,6.8629,6.8827,6.3095,6.522,470271.0
2010-05-07,6.517,6.6109,6.3787,6.5813,363599.0
2010-05-08,6.517,6.6109,6.3787,6.5813,363599.0
2010-05-09,6.517,6.6109,6.3787,6.5813,363599.0
2010-05-10,6.6949,6.7641,6.6949,6.7443,170125.0
2010-05-11,6.7246,6.8876,6.7246,6.8876,161546.0
2010-05-12,6.8333,6.8926,6.7789,6.8431,128343.0
2010-05-13,6.8283,6.8777,6.7542,6.8184,126903.0
2010-05-14,6.8135,6.8234,6.6702,6.6999,109943.0
2010-05-15,6.8135,6.8234,6.6702,6.6999,109943.0
2010-05-16,6.8135,6.8234,6.6702,6.6999,109943.0
2010-05-17,6.5961,6.6455,6.3886,6.4578,267516.0
2010-05-18,6.517,6.5467,6.3985,6.5022,279537.0
2010-05-19,6.4923,6.4923,6.4083,6.4429,90505.0
2010-05-20,6.3787,6.4232,5.7364,6.1613,473686.0
2010-05-21,6.0921,6.4182,6.0526,6.3095,301239.0
2010-05-22,6.0921,6.4182,6.0526,6.3095,301239.0
