,GTII CN Equity,GTII CN Equity,GTII CN Equity,GTII CN Equity,GTII CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,12.25,12.85,12.13,12.79,538377.0
2020-01-02,12.79,12.86,12.03,12.25,341446.0
2020-01-03,12.28,12.53,11.8,11.91,204774.0
2020-01-04,12.28,12.53,11.8,11.91,204774.0
2020-01-05,12.28,12.53,11.8,11.91,204774.0
2020-01-06,12.07,12.17,11.91,12.0,147250.0
2020-01-07,11.71,12.09,11.32,11.6,259081.0
2020-01-08,11.46,12.3,11.38,12.14,458266.0
2020-01-09,12.24,12.62,12.19,12.4,265384.0
2020-01-10,12.53,12.6,12.3,12.58,187684.0
2020-01-11,12.53,12.6,12.3,12.58,187684.0
2020-01-12,12.53,12.6,12.3,12.58,187684.0
2020-01-13,12.8,12.8,12.56,12.67,276194.0
2020-01-14,12.6,12.95,12.56,12.8,463781.0
2020-01-15,13.0,13.45,12.85,13.27,1143330.0
2020-01-16,13.5,13.7,13.1,13.25,538138.0
2020-01-17,13.13,13.7,13.13,13.51,575851.0
2020-01-18,13.13,13.7,13.13,13.51,575851.0
2020-01-19,13.13,13.7,13.13,13.51,575851.0
2020-01-20,13.69,13.69,13.225,13.3,102070.0
2020-01-21,13.28,13.42,12.92,13.11,282408.0
2020-01-22,13.22,13.38,13.1,13.22,95882.0
2020-01-23,13.15,13.52,12.95,13.45,177759.0
2020-01-24,13.51,13.54,12.89,13.06,350598.0
2020-01-25,13.51,13.54,12.89,13.06,350598.0
2020-01-26,13.51,13.54,12.89,13.06,350598.0
2020-01-27,12.89,13.15,12.42,13.15,320718.0
2020-01-28,12.91,13.26,12.68,12.75,332243.0
2020-01-29,12.81,13.2,12.51,13.0,287146.0
2020-01-30,12.88,13.08,12.52,12.61,151248.0
2020-01-31,12.61,12.95,12.53,12.65,276393.0
2020-02-01,12.61,12.95,12.53,12.65,276393.0
2020-02-02,12.61,12.95,12.53,12.65,276393.0
2020-02-03,12.46,12.73,12.13,12.28,199977.0
2020-02-04,12.47,12.47,11.94,11.95,340152.0
2020-02-05,11.98,12.12,11.6,11.69,283542.0
2020-02-06,11.5,11.83,11.21,11.47,447116.0
2020-02-07,11.4,11.48,10.85,11.05,468525.0
2020-02-08,11.4,11.48,10.85,11.05,468525.0
