,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,10.65,11.25,10.6,11.0,142316.0
2019-01-02,11.12,11.42,10.88,11.4,170921.0
2019-01-03,11.45,11.45,11.01,11.04,104592.0
2019-01-04,11.0,11.24,11.0,11.1,105937.0
2019-01-05,11.0,11.24,11.0,11.1,105937.0
2019-01-06,11.0,11.24,11.0,11.1,105937.0
2019-01-07,11.1,12.16,10.87,11.54,392591.0
2019-01-08,11.4,11.92,11.19,11.7,188415.0
2019-01-09,11.72,11.82,11.45,11.71,111905.0
2019-01-10,11.65,11.73,11.24,11.4,122858.0
2019-01-11,11.26,11.9,11.2,11.51,157135.0
2019-01-12,11.26,11.9,11.2,11.51,157135.0
2019-01-13,11.26,11.9,11.2,11.51,157135.0
2019-01-14,11.6,11.85,11.44,11.6,91697.0
2019-01-15,11.65,11.69,11.39,11.65,123220.0
2019-01-16,11.8,12.94,11.8,12.6,511970.0
2019-01-17,13.7,13.7,12.9,13.55,438507.0
2019-01-18,14.0,14.83,13.67,14.5,573418.0
2019-01-19,14.0,14.83,13.67,14.5,573418.0
2019-01-20,14.0,14.83,13.67,14.5,573418.0
2019-01-21,14.21,14.21,13.35,13.64,148055.0
2019-01-22,13.34,14.0,12.91,13.1,323517.0
2019-01-23,13.24,13.5,12.71,13.0,215431.0
2019-01-24,12.8,13.1,12.17,12.67,301734.0
2019-01-25,12.66,13.0,12.15,12.85,354156.0
2019-01-26,12.66,13.0,12.15,12.85,354156.0
2019-01-27,12.66,13.0,12.15,12.85,354156.0
2019-01-28,12.94,13.98,12.63,13.88,347951.0
2019-01-29,13.93,14.15,13.07,13.88,189960.0
2019-01-30,13.9,14.48,13.73,14.07,223449.0
2019-01-31,14.22,15.1,14.12,15.0,144382.0
2019-02-01,15.0,15.66,14.71,15.44,227911.0
2019-02-02,15.0,15.66,14.71,15.44,227911.0
2019-02-03,15.0,15.66,14.71,15.44,227911.0
2019-02-04,16.16,16.69,16.03,16.47,321289.0
2019-02-05,16.41,16.55,15.3,15.71,273592.0
2019-02-06,15.45,15.84,14.54,15.64,177127.0
2019-02-07,15.11,15.73,15.1,15.36,134667.0
2019-02-08,15.4,16.3,15.24,16.24,312852.0
2019-02-09,15.4,16.3,15.24,16.24,312852.0
2019-02-10,15.4,16.3,15.24,16.24,312852.0
2019-02-11,16.4,16.79,15.43,15.86,245245.0
2019-02-12,15.85,16.2,15.35,15.9,169890.0
2019-02-13,16.05,17.15,16.0,16.17,375737.0
2019-02-14,16.45,16.45,15.36,15.43,217451.0
2019-02-15,15.9,16.16,15.35,15.54,160450.0
2019-02-16,15.9,16.16,15.35,15.54,160450.0
2019-02-17,15.9,16.16,15.35,15.54,160450.0
2019-02-18,15.9,16.16,15.35,15.54,160450.0
2019-02-19,15.95,16.9,15.88,16.86,272725.0
2019-02-20,16.73,17.93,16.7,17.46,423872.0
2019-02-21,17.89,17.96,17.45,17.61,208488.0
2019-02-22,17.99,18.2,17.56,17.96,265555.0
2019-02-23,17.99,18.2,17.56,17.96,265555.0
2019-02-24,17.99,18.2,17.56,17.96,265555.0
2019-02-25,18.25,20.3,17.93,19.93,540659.0
2019-02-26,19.32,19.77,18.92,18.98,276578.0
2019-02-27,18.93,19.19,17.24,17.64,717444.0
2019-02-28,17.59,17.59,16.49,16.5,546389.0
2019-03-01,16.67,16.69,15.65,16.25,819889.0
2019-03-02,16.67,16.69,15.65,16.25,819889.0
2019-03-03,16.67,16.69,15.65,16.25,819889.0
2019-03-04,16.5,17.49,16.31,16.43,435462.0
2019-03-05,16.4,16.79,16.17,16.35,250552.0
2019-03-06,16.14,16.29,15.86,15.99,227889.0
2019-03-07,15.98,16.15,14.97,16.0,441535.0
2019-03-08,15.26,15.9,15.2,15.5,433003.0
2019-03-09,15.26,15.9,15.2,15.5,433003.0
2019-03-10,15.26,15.9,15.2,15.5,433003.0
2019-03-11,15.5,16.15,15.25,15.98,371408.0
2019-03-12,15.98,16.14,15.7,16.1,274009.0
2019-03-13,16.18,16.39,15.57,16.35,231183.0
2019-03-14,16.44,16.56,15.92,16.18,266231.0
2019-03-15,16.29,16.35,15.45,16.0,345977.0
2019-03-16,16.29,16.35,15.45,16.0,345977.0
2019-03-17,16.29,16.35,15.45,16.0,345977.0
2019-03-18,15.91,16.09,15.6,16.05,233026.0
2019-03-19,16.15,16.79,15.6,15.63,494009.0
2019-03-20,15.67,16.48,15.67,16.48,245609.0
2019-03-21,16.44,18.37,16.35,18.25,889315.0
2019-03-22,18.97,18.97,17.14,17.7,778858.0
