,MG CN Equity,MG CN Equity,MG CN Equity,MG CN Equity,MG CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,9.6896,9.6896,9.5544,9.6013,591100.0
2010-01-02,9.6896,9.6896,9.5544,9.6013,591100.0
2010-01-03,9.6896,9.6896,9.5544,9.6013,591100.0
2010-01-04,9.6013,10.0303,9.5724,10.0195,960600.0
2010-01-05,10.0051,10.8163,9.8987,10.7316,1532560.0
2010-01-06,10.9118,11.413,10.7388,10.8199,2688236.0
2010-01-07,10.7604,11.1786,10.7604,10.9244,1354892.0
2010-01-08,10.9244,11.056,10.8073,10.8559,994732.0
2010-01-09,10.9244,11.056,10.8073,10.8559,994732.0
2010-01-10,10.9244,11.056,10.8073,10.8559,994732.0
2010-01-11,11.0326,11.2093,10.8776,11.0921,1413104.0
2010-01-12,10.9335,11.267,10.9335,11.2471,2945020.0
2010-01-13,11.2111,11.2111,10.6937,10.7207,2239588.0
2010-01-14,10.782,10.9317,10.6901,10.8163,2787104.0
2010-01-15,10.8001,10.9208,10.5946,10.5946,1646364.0
2010-01-16,10.8001,10.9208,10.5946,10.5946,1646364.0
2010-01-17,10.8001,10.9208,10.5946,10.5946,1646364.0
2010-01-18,10.5946,10.8163,10.5783,10.7856,484036.0
2010-01-19,10.7856,10.8541,10.7442,10.8073,2663984.0
2010-01-20,10.8163,11.047,10.8019,10.8379,1538168.0
2010-01-21,10.7568,10.9731,10.7568,10.8902,2512656.0
2010-01-22,10.7838,10.9353,10.7838,10.8217,2205028.0
2010-01-23,10.7838,10.9353,10.7838,10.8217,2205028.0
2010-01-24,10.7838,10.9353,10.7838,10.8217,2205028.0
2010-01-25,10.8451,10.9353,10.7983,10.7983,1520528.0
2010-01-26,10.8469,10.8776,10.7442,10.7712,2483208.0
2010-01-27,10.7802,10.7983,10.6631,10.6919,3310380.0
2010-01-28,10.7099,10.7406,10.49,10.5315,1937400.0
2010-01-29,10.4972,10.7261,10.4972,10.6036,2440772.0
2010-01-30,10.4972,10.7261,10.4972,10.6036,2440772.0
2010-01-31,10.4972,10.7261,10.4972,10.6036,2440772.0
2010-02-01,10.6306,10.755,10.609,10.7009,1907376.0
2010-02-02,10.7712,10.8992,10.6901,10.8559,1719244.0
2010-02-03,10.7622,11.0488,10.7622,10.9839,2515708.0
2010-02-04,10.9064,10.9497,10.8127,10.8127,2394088.0
2010-02-05,10.7568,10.9569,10.6558,10.8163,2921040.0
2010-02-06,10.7568,10.9569,10.6558,10.8163,2921040.0
2010-02-07,10.7568,10.9569,10.6558,10.8163,2921040.0
2010-02-08,10.8145,11.0218,10.7442,10.8253,1398220.0
2010-02-09,10.919,11.0146,10.91,10.9767,2629180.0
2010-02-10,10.9695,11.0398,10.8451,10.9118,2597640.0
2010-02-11,10.9046,10.9064,10.6919,10.9064,3831304.0
2010-02-12,10.8145,10.8145,10.6649,10.7712,2965304.0
2010-02-13,10.8145,10.8145,10.6649,10.7712,2965304.0
2010-02-14,10.8145,10.8145,10.6649,10.7712,2965304.0
2010-02-15,10.8145,10.8145,10.6649,10.7712,2965304.0
2010-02-16,10.8614,10.9028,10.636,10.8632,8405404.0
2010-02-17,10.883,11.0254,10.8289,10.8289,970712.0
2010-02-18,10.7712,10.9425,10.728,10.9064,525628.0
2010-02-19,10.9479,10.9713,10.7081,10.7442,621968.0
2010-02-20,10.9479,10.9713,10.7081,10.7442,621968.0
2010-02-21,10.9479,10.9713,10.7081,10.7442,621968.0
2010-02-22,10.7874,10.9677,10.7442,10.9605,1112340.0
2010-02-23,10.9281,10.9948,10.7838,10.8614,1134000.0
2010-02-24,10.8379,11.0074,10.8379,10.8902,599252.0
2010-02-25,10.3926,10.9659,10.3926,10.9281,1978292.0
2010-02-26,10.9281,10.9857,10.7802,10.8163,1509836.0
2010-02-27,10.9281,10.9857,10.7802,10.8163,1509836.0
2010-02-28,10.9281,10.9857,10.7802,10.8163,1509836.0
2010-03-01,10.8163,10.8866,10.6919,10.7802,2118692.0
2010-03-02,10.7586,10.8019,10.6883,10.7712,1610080.0
2010-03-03,10.7983,10.8812,10.7712,10.8217,807620.0
2010-03-04,10.8217,10.9515,10.7496,10.9064,1376092.0
2010-03-05,10.9064,11.0056,10.8668,10.8668,1110212.0
2010-03-06,10.9064,11.0056,10.8668,10.8668,1110212.0
2010-03-07,10.9064,11.0056,10.8668,10.8668,1110212.0
2010-03-08,10.8722,10.9028,10.7676,10.8217,798152.0
2010-03-09,10.8001,10.8343,10.7298,10.7442,1946856.0
2010-03-10,10.7947,10.8361,10.7568,10.8109,1787004.0
2010-03-11,10.7658,10.8415,10.5675,10.6901,1419820.0
2010-03-12,10.6865,10.7316,10.5982,10.7261,1644020.0
2010-03-13,10.6865,10.7316,10.5982,10.7261,1644020.0
2010-03-14,10.6865,10.7316,10.5982,10.7261,1644020.0
2010-03-15,10.7261,10.8073,10.6414,10.7856,608392.0
2010-03-16,10.7856,10.8163,10.6955,10.8163,1080036.0
2010-03-17,10.7983,10.8109,10.6991,10.7261,651820.0
2010-03-18,10.7261,10.8109,10.6324,10.6955,1874224.0
2010-03-19,10.6955,10.8595,10.5982,10.7983,3190880.0
2010-03-20,10.6955,10.8595,10.5982,10.7983,3190880.0
2010-03-21,10.6955,10.8595,10.5982,10.7983,3190880.0
2010-03-22,10.7928,11.3517,10.773,11.303,3590988.0
2010-03-23,11.2525,11.4977,11.1894,11.3355,2394876.0
2010-03-24,11.3914,11.4202,11.276,11.3048,1250320.0
2010-03-25,11.3355,11.4833,11.2922,11.3643,1149120.0
2010-03-26,11.3427,11.5518,11.3427,11.4112,1232048.0
2010-03-27,11.3427,11.5518,11.3427,11.4112,1232048.0
2010-03-28,11.3427,11.5518,11.3427,11.4112,1232048.0
2010-03-29,11.4833,11.4995,11.3661,11.4166,1814792.0
2010-03-30,11.4797,11.6888,11.449,11.4923,1692972.0
2010-03-31,11.4004,11.4707,11.3102,11.3301,1691452.0
2010-04-01,11.3805,11.5446,11.3589,11.4238,916712.0
2010-04-02,11.3805,11.5446,11.3589,11.4238,916712.0
