,KL CN Equity,KL CN Equity,KL CN Equity,KL CN Equity,KL CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,,,,,53.0
2010-01-02,,,,,53.0
2010-01-03,,,,,53.0
2010-01-04,,,,,53.0
2010-01-05,,,,,53.0
2010-01-06,,,,,53.0
2010-01-07,,,,,53.0
2010-01-08,,,,,53.0
2010-01-09,,,,,53.0
2010-01-10,,,,,53.0
2010-01-11,,,,,53.0
2010-01-12,,,,,53.0
2010-01-13,,,,,53.0
2010-01-14,,,,,53.0
2010-01-15,,,,,53.0
2010-01-16,,,,,53.0
2010-01-17,,,,,53.0
2010-01-18,,,,,53.0
2010-01-19,,,,,53.0
2010-01-20,,,,,53.0
2010-01-21,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-22,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-23,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-24,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-25,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-26,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-27,0.8054,0.8054,0.8054,0.8054,158.0
2010-01-28,0.7551,0.7551,0.7551,0.7551,1900.0
2010-01-29,0.7551,0.7551,0.7551,0.7551,1900.0
2010-01-30,0.7551,0.7551,0.7551,0.7551,1900.0
2010-01-31,0.7551,0.7551,0.7551,0.7551,1900.0
2010-02-01,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-02,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-03,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-04,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-05,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-06,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-07,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-08,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-09,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-10,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-11,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-12,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-13,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-14,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-15,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-16,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-17,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-18,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-19,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-20,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-21,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-22,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-23,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-24,0.7551,0.7551,0.7551,0.7551,95.0
2010-02-25,0.7551,0.7551,0.7551,0.7551,95.0
