,LIF CN Equity,LIF CN Equity,LIF CN Equity,LIF CN Equity,LIF CN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,6.2066,6.306,6.1691,6.3017,28698.0
2010-01-02,6.2066,6.306,6.1691,6.3017,28698.0
2010-01-03,6.2066,6.306,6.1691,6.3017,28698.0
2010-01-04,6.3435,6.3925,6.2325,6.3435,104944.0
2010-01-05,6.3118,6.3868,6.2729,6.3334,74348.0
2010-01-06,6.3435,6.3997,6.3219,6.3796,376204.0
2010-01-07,6.3435,6.6275,6.3435,6.6247,108944.0
2010-01-08,6.5958,6.7184,6.4329,6.7184,168428.0
2010-01-09,6.5958,6.7184,6.4329,6.7184,168428.0
2010-01-10,6.5958,6.7184,6.4329,6.7184,168428.0
2010-01-11,6.8755,6.8842,6.6088,6.7472,203962.0
2010-01-12,6.7328,6.7328,6.567,6.6117,150728.0
2010-01-13,6.5958,6.9735,6.5901,6.8827,206020.0
2010-01-14,6.9274,7.0644,6.8236,7.0644,222194.0
2010-01-15,7.0644,7.2085,6.9317,7.197,235088.0
2010-01-16,7.0644,7.2085,6.9317,7.197,235088.0
2010-01-17,7.0644,7.2085,6.9317,7.197,235088.0
2010-01-18,7.2085,7.3066,7.1033,7.2085,373518.0
2010-01-19,7.2446,7.2446,7.0009,7.1076,349934.0
2010-01-20,7.0427,7.0427,6.8337,6.9923,213350.0
2010-01-21,6.8914,6.9289,6.6333,6.6823,495926.0
2010-01-22,6.5252,6.8481,6.505,6.7818,238686.0
2010-01-23,6.5252,6.8481,6.505,6.7818,238686.0
2010-01-24,6.5252,6.8481,6.505,6.7818,238686.0
2010-01-25,6.7616,6.9923,6.7616,6.8481,261526.0
2010-01-26,6.7919,6.913,6.6838,6.8813,285538.0
2010-01-27,6.8279,6.8755,6.6838,6.7299,268620.0
2010-01-28,6.6982,6.8323,6.5367,6.7371,408030.0
2010-01-29,6.7328,6.7703,6.5598,6.6333,163128.0
2010-01-30,6.7328,6.7703,6.5598,6.6333,163128.0
2010-01-31,6.7328,6.7703,6.5598,6.6333,163128.0
2010-02-01,6.5973,6.8481,6.5973,6.776,338082.0
2010-02-02,6.8481,6.8481,6.7054,6.7832,121514.0
2010-02-03,6.7847,6.8308,6.6247,6.7285,471244.0
2010-02-04,6.7212,6.7212,6.5425,6.5439,126938.0
2010-02-05,6.5367,6.6506,6.4156,6.6319,131060.0
2010-02-06,6.5367,6.6506,6.4156,6.6319,131060.0
2010-02-07,6.5367,6.6506,6.4156,6.6319,131060.0
2010-02-08,6.5872,6.6261,6.5007,6.5064,201620.0
2010-02-09,6.5598,6.6319,6.5454,6.6319,123964.0
2010-02-10,6.6319,6.691,6.5886,6.691,140812.0
2010-02-11,6.6117,6.7285,6.6074,6.7097,122532.0
2010-02-12,6.6319,6.7039,6.5843,6.7039,244236.0
2010-02-13,6.6319,6.7039,6.5843,6.7039,244236.0
2010-02-14,6.6319,6.7039,6.5843,6.7039,244236.0
2010-02-15,6.6319,6.7039,6.5843,6.7039,244236.0
2010-02-16,6.7039,6.8914,6.6001,6.8842,355708.0
2010-02-17,6.8222,6.9548,6.8222,6.8914,240092.0
2010-02-18,6.8409,7.0413,6.8409,6.9894,237072.0
2010-02-19,6.9346,6.9822,6.9015,6.9822,50412.0
2010-02-20,6.9346,6.9822,6.9015,6.9822,50412.0
2010-02-21,6.9346,6.9822,6.9015,6.9822,50412.0
2010-02-22,7.0254,7.0557,6.9101,6.9216,43038.0
2010-02-23,6.9548,6.9548,6.6679,6.7515,105298.0
2010-02-24,6.7515,6.802,6.6996,6.7948,65300.0
2010-02-25,6.776,6.8193,6.7342,6.7746,55110.0
2010-02-26,6.8178,6.8553,6.7054,6.8553,87044.0
2010-02-27,6.8178,6.8553,6.7054,6.8553,87044.0
2010-02-28,6.8178,6.8553,6.7054,6.8553,87044.0
2010-03-01,6.9144,6.9173,6.7933,6.9,64182.0
2010-03-02,6.9058,6.9908,6.8856,6.9908,252522.0
2010-03-03,6.9923,7.05,6.9663,7.0024,154194.0
2010-03-04,7.0067,7.0399,6.9087,6.949,64424.0
2010-03-05,6.9202,7.0644,6.9202,7.0254,121936.0
2010-03-06,6.9202,7.0644,6.9202,7.0254,121936.0
2010-03-07,6.9202,7.0644,6.9202,7.0254,121936.0
2010-03-08,7.0427,7.1884,7.0427,7.184,135186.0
2010-03-09,7.2071,7.4969,7.1898,7.3844,199078.0
2010-03-10,7.3931,7.4464,7.3181,7.3642,213676.0
2010-03-11,7.3037,7.4262,7.3037,7.4262,92918.0
2010-03-12,7.4825,7.4825,7.3023,7.3023,85892.0
2010-03-13,7.4825,7.4825,7.3023,7.3023,85892.0
2010-03-14,7.4825,7.4825,7.3023,7.3023,85892.0
2010-03-15,7.3008,7.3441,7.2013,7.3383,114228.0
2010-03-16,7.2965,7.3888,7.2057,7.3412,177270.0
2010-03-17,7.3484,7.4104,7.3325,7.4003,99376.0
2010-03-18,7.4104,7.4983,7.3556,7.4608,97998.0
2010-03-19,7.4969,7.5113,7.4104,7.4407,308794.0
2010-03-20,7.4969,7.5113,7.4104,7.4407,308794.0
2010-03-21,7.4969,7.5113,7.4104,7.4407,308794.0
2010-03-22,7.2806,7.4176,7.2446,7.3527,77176.0
2010-03-23,7.3023,7.4897,7.295,7.4306,102428.0
2010-03-24,7.4161,7.4219,7.3527,7.4046,58976.0
2010-03-25,7.4954,7.4954,7.3268,7.419,148416.0
2010-03-26,7.3527,7.3902,7.2013,7.2158,178170.0
2010-03-27,7.3527,7.3902,7.2013,7.2158,178170.0
2010-03-28,7.3527,7.3902,7.2013,7.2158,178170.0
2010-03-29,7.3325,7.3735,7.1788,7.2578,226902.0
2010-03-30,7.3354,7.6105,7.3354,7.6091,293480.0
2010-03-31,7.6105,8.0291,7.6105,7.8418,385552.0
2010-04-01,7.8418,8.1667,7.7657,7.9794,290460.0
2010-04-02,7.8418,8.1667,7.7657,7.9794,290460.0
2010-04-03,7.8418,8.1667,7.7657,7.9794,290460.0
2010-04-04,7.8418,8.1667,7.7657,7.9794,290460.0
2010-04-05,7.994,8.136,7.7642,7.7715,164318.0
2010-04-06,7.6676,7.7115,7.5579,7.5579,123732.0
2010-04-07,7.5154,7.6471,7.5154,7.6471,172552.0
2010-04-08,7.6837,7.6969,7.5359,7.6588,86130.0
2010-04-09,7.6676,7.6691,7.5666,7.6105,129126.0
2010-04-10,7.6676,7.6691,7.5666,7.6105,129126.0
2010-04-11,7.6676,7.6691,7.5666,7.6105,129126.0
2010-04-12,7.6105,7.7189,7.5403,7.631,101046.0
2010-04-13,7.6135,7.6149,7.4686,7.5447,87854.0
2010-04-14,7.5535,7.6793,7.5535,7.574,309888.0
2010-04-15,7.5915,7.6105,7.3544,7.4671,173000.0
2010-04-16,7.47,7.6105,7.4642,7.5988,112738.0
2010-04-17,7.47,7.6105,7.4642,7.5988,112738.0
2010-04-18,7.47,7.6105,7.4642,7.5988,112738.0
2010-04-19,7.4861,7.9428,7.4861,7.8594,175916.0
2010-04-20,7.9047,8.0496,7.7232,7.8301,244748.0
2010-04-21,7.8301,7.8594,7.7291,7.7701,209124.0
2010-04-22,7.7701,7.7701,7.6208,7.6852,161490.0
2010-04-23,7.7554,7.7554,7.6515,7.6735,89704.0
2010-04-24,7.7554,7.7554,7.6515,7.6735,89704.0
2010-04-25,7.7554,7.7554,7.6515,7.6735,89704.0
2010-04-26,7.8052,7.8052,7.6574,7.7013,105034.0
2010-04-27,7.6559,7.735,7.4788,7.5315,162162.0
2010-04-28,7.4496,7.6018,7.3471,7.5403,122546.0
2010-04-29,7.6018,7.6105,7.4891,7.5447,103766.0
2010-04-30,7.5886,7.5886,7.4188,7.4788,123132.0
2010-05-01,7.5886,7.5886,7.4188,7.4788,123132.0
2010-05-02,7.5886,7.5886,7.4188,7.4788,123132.0
2010-05-03,7.5022,7.5198,7.0998,7.1715,267144.0
2010-05-04,6.971,7.0105,6.589,6.8422,704464.0
2010-05-05,6.7895,7.1349,6.6241,6.9373,642456.0
2010-05-06,6.8788,7.0573,6.8056,7.0251,344726.0
2010-05-07,7.091,7.1861,6.9519,6.9563,214414.0
2010-05-08,7.091,7.1861,6.9519,6.9563,214414.0
2010-05-09,7.091,7.1861,6.9519,6.9563,214414.0
2010-05-10,7.1056,7.2212,7.0573,7.1364,366344.0
2010-05-11,7.1085,7.1598,6.9344,7.0105,220554.0
2010-05-12,7.0105,7.1012,6.9695,7.0983,239878.0
2010-05-13,7.072,7.1978,7.0632,7.0632,257162.0
2010-05-14,7.0544,7.0544,6.7763,6.8129,190540.0
2010-05-15,7.0544,7.0544,6.7763,6.8129,190540.0
2010-05-16,7.0544,7.0544,6.7763,6.8129,190540.0
2010-05-17,6.7983,6.7983,6.409,6.5685,213350.0
2010-05-18,6.6226,6.8407,6.5421,6.5421,263042.0
2010-05-19,6.4909,6.5187,6.2685,6.4821,357472.0
2010-05-20,6.4353,6.4821,6.2714,6.3987,386858.0
2010-05-21,6.3812,6.7163,6.3124,6.6622,179416.0
2010-05-22,6.3812,6.7163,6.3124,6.6622,179416.0
2010-05-23,6.3812,6.7163,6.3124,6.6622,179416.0
2010-05-24,6.3812,6.7163,6.3124,6.6622,179416.0
2010-05-25,6.3504,6.4982,6.3314,6.4792,246106.0
2010-05-26,6.6592,6.9036,6.5509,6.8334,178616.0
2010-05-27,6.851,7.1817,6.851,7.0617,205036.0
2010-05-28,7.0676,7.2212,6.9154,6.9666,91608.0
2010-05-29,7.0676,7.2212,6.9154,6.9666,91608.0
2010-05-30,7.0676,7.2212,6.9154,6.9666,91608.0
2010-05-31,7.0237,7.1773,6.8846,7.1554,45952.0
2010-06-01,7.0881,7.2212,6.949,6.9798,119130.0
2010-06-02,7.0324,7.1554,6.968,7.1393,90280.0
2010-06-03,7.1876,7.2329,7.1422,7.1744,233224.0
2010-06-04,7.0515,7.2081,7.009,7.1217,99956.0
2010-06-05,7.0515,7.2081,7.009,7.1217,99956.0
2010-06-06,7.0515,7.2081,7.009,7.1217,99956.0
2010-06-07,7.1159,7.1232,6.9563,6.9739,141282.0
2010-06-08,6.9739,7.009,6.7412,6.8641,393652.0
2010-06-09,6.9637,7.1276,6.8349,6.8641,84154.0
2010-06-10,6.9154,7.091,6.9154,7.0837,113238.0
2010-06-11,7.1056,7.1407,7.009,7.0544,151360.0
2010-06-12,7.1056,7.1407,7.009,7.0544,151360.0
2010-06-13,7.1056,7.1407,7.009,7.0544,151360.0
2010-06-14,7.0954,7.1554,7.0515,7.0939,81204.0
2010-06-15,7.1042,7.1173,6.9256,6.9373,85336.0
2010-06-16,7.0251,7.1715,6.9549,7.1422,120148.0
2010-06-17,7.2008,7.2008,7.129,7.1466,237440.0
2010-06-18,7.1964,7.1964,7.1422,7.1686,80506.0
2010-06-19,7.1964,7.1964,7.1422,7.1686,80506.0
2010-06-20,7.1964,7.1964,7.1422,7.1686,80506.0
2010-06-21,7.2081,7.3764,7.2081,7.2886,229056.0
2010-06-22,7.2593,7.2608,7.031,7.0881,181904.0
2010-06-23,7.0866,7.0866,6.8144,6.8349,338500.0
2010-06-24,6.8071,6.8071,6.5934,6.728,314290.0
2010-06-25,6.747,6.7778,6.6241,6.6856,182788.0
2010-06-26,6.747,6.7778,6.6241,6.6856,182788.0
2010-06-27,6.747,6.7778,6.6241,6.6856,182788.0
2010-06-28,6.77,6.9039,6.7536,6.7744,148748.0
2010-06-29,6.7477,6.7477,6.1897,6.1897,250752.0
2010-06-30,6.3058,6.4545,6.2343,6.3697,189278.0
2010-07-01,6.3058,6.4545,6.2343,6.3697,189278.0
2010-07-02,6.3043,6.6509,6.3013,6.4084,56356.0
2010-07-03,6.3043,6.6509,6.3013,6.4084,56356.0
2010-07-04,6.3043,6.6509,6.3013,6.4084,56356.0
2010-07-05,6.4769,6.5304,6.279,6.2939,76318.0
2010-07-06,6.3385,6.6123,6.3236,6.3876,102390.0
2010-07-07,6.4144,6.8295,6.4144,6.5929,122218.0
2010-07-08,6.7164,6.7164,6.5989,6.6093,72626.0
2010-07-09,6.6629,6.7804,6.6227,6.7015,54192.0
2010-07-10,6.6629,6.7804,6.6227,6.7015,54192.0
2010-07-11,6.6629,6.7804,6.6227,6.7015,54192.0
2010-07-12,6.6956,6.7506,6.4337,6.52,117060.0
2010-07-13,6.5468,6.5572,6.4397,6.4873,289144.0
2010-07-14,6.5453,6.5721,6.5022,6.5141,53062.0
2010-07-15,6.5468,6.5855,6.4724,6.5245,79834.0
2010-07-16,6.5647,6.5929,6.4769,6.5022,73042.0
2010-07-17,6.5647,6.5929,6.4769,6.5022,73042.0
2010-07-18,6.5647,6.5929,6.4769,6.5022,73042.0
2010-07-19,6.6108,6.6108,6.4724,6.5468,103024.0
2010-07-20,6.5394,6.5617,6.4724,6.5096,354466.0
2010-07-21,6.5587,6.5989,6.5096,6.52,410916.0
2010-07-22,6.5632,6.9113,6.5632,6.8771,111308.0
2010-07-23,6.9738,7.1702,6.9054,7.1494,116032.0
2010-07-24,6.9738,7.1702,6.9054,7.1494,116032.0
2010-07-25,6.9738,7.1702,6.9054,7.1494,116032.0
2010-07-26,7.1717,7.2461,7.142,7.1449,86846.0
2010-07-27,7.1583,7.2104,7.142,7.1464,105964.0
2010-07-28,7.1792,7.316,7.139,7.2878,172600.0
2010-07-29,7.2907,7.3607,7.1434,7.2164,100448.0
2010-07-30,7.2595,7.2595,7.142,7.2059,128980.0
2010-07-31,7.2595,7.2595,7.142,7.2059,128980.0
2010-08-01,7.2595,7.2595,7.142,7.2059,128980.0
2010-08-02,7.2595,7.2595,7.142,7.2059,128980.0
2010-08-03,7.2907,7.2997,7.1613,7.255,74114.0
2010-08-04,7.1985,7.3622,7.1821,7.3027,64762.0
2010-08-05,7.3339,7.3458,7.2104,7.2878,159188.0
2010-08-06,7.2907,7.2907,7.2164,7.2164,47826.0
2010-08-07,7.2907,7.2907,7.2164,7.2164,47826.0
2010-08-08,7.2907,7.2907,7.2164,7.2164,47826.0
2010-08-09,7.2164,7.3041,7.1449,7.2312,72040.0
2010-08-10,7.255,7.255,7.1286,7.2089,237992.0
2010-08-11,7.142,7.1747,7.0854,7.1717,137952.0
2010-08-12,7.0765,7.1345,7.0616,7.0616,139264.0
2010-08-13,7.1405,7.2238,7.0824,7.2238,59066.0
2010-08-14,7.1405,7.2238,7.0824,7.2238,59066.0
2010-08-15,7.1405,7.2238,7.0824,7.2238,59066.0
2010-08-16,7.2536,7.2655,7.0824,7.261,57064.0
2010-08-17,7.2402,7.4321,7.2074,7.4053,158736.0
2010-08-18,7.4142,7.4514,7.3279,7.4514,172094.0
