,AIR FP Equity
,RETURN_COM_EQY
2010-01-01,-7.0789
2010-01-02,-7.0789
2010-01-03,-7.0789
2010-01-04,-7.0789
2010-01-05,-7.0789
2010-01-06,-7.0789
2010-01-07,-7.0789
2010-01-08,-7.0789
2010-01-09,-7.0789
2010-01-10,-7.0789
2010-01-11,-7.0789
2010-01-12,-7.0789
2010-01-13,-7.0789
2010-01-14,-7.0789
2010-01-15,-7.0789
2010-01-16,-7.0789
2010-01-17,-7.0789
2010-01-18,-7.0789
2010-01-19,-7.0789
2010-01-20,-7.0789
2010-01-21,-7.0789
2010-01-22,-7.0789
2010-01-23,-7.0789
2010-01-24,-7.0789
2010-01-25,-7.0789
2010-01-26,-7.0789
2010-01-27,-7.0789
2010-01-28,-7.0789
2010-01-29,-7.0789
2010-01-30,-7.0789
2010-01-31,-7.0789
2010-02-01,-7.0789
2010-02-02,-7.0789
2010-02-03,-7.0789
2010-02-04,-7.0789
2010-02-05,-7.0789
2010-02-06,-7.0789
2010-02-07,-7.0789
2010-02-08,-7.0789
2010-02-09,-7.0789
2010-02-10,-7.0789
2010-02-11,-7.0789
2010-02-12,-7.0789
2010-02-13,-7.0789
2010-02-14,-7.0789
2010-02-15,-7.0789
2010-02-16,-7.0789
2010-02-17,-7.0789
2010-02-18,-7.0789
2010-02-19,-7.0789
2010-02-20,-7.0789
2010-02-21,-7.0789
2010-02-22,-7.0789
2010-02-23,-7.0789
2010-02-24,-7.0789
2010-02-25,-7.0789
2010-02-26,-7.0789
2010-02-27,-7.0789
2010-02-28,-7.0789
2010-03-01,-7.0789
2010-03-02,-7.0789
2010-03-03,-7.0789
2010-03-04,-7.0789
2010-03-05,-7.0789
2010-03-06,-7.0789
2010-03-07,-7.0789
2010-03-08,-7.0789
2010-03-09,-7.0789
2010-03-10,-7.0789
2010-03-11,-7.0789
2010-03-12,-7.0789
2010-03-13,-7.0789
2010-03-14,-7.0789
2010-03-15,-7.0789
2010-03-16,-7.0789
2010-03-17,-7.0789
2010-03-18,-7.0789
2010-03-19,-7.0789
2010-03-20,-7.0789
2010-03-21,-7.0789
2010-03-22,-7.0789
2010-03-23,-7.0789
2010-03-24,-7.0789
2010-03-25,-7.0789
2010-03-26,-7.0789
2010-03-27,-7.0789
2010-03-28,-7.0789
2010-03-29,-7.0789
2010-03-30,-7.0789
2010-03-31,-8.6897
2010-04-01,-8.6897
2010-04-02,-8.6897
2010-04-03,-8.6897
2010-04-04,-8.6897
2010-04-05,-8.6897
2010-04-06,-8.6897
2010-04-07,-8.6897
2010-04-08,-8.6897
2010-04-09,-8.6897
2010-04-10,-8.6897
2010-04-11,-8.6897
2010-04-12,-8.6897
2010-04-13,-8.6897
2010-04-14,-8.6897
2010-04-15,-8.6897
2010-04-16,-8.6897
2010-04-17,-8.6897
2010-04-18,-8.6897
2010-04-19,-8.6897
2010-04-20,-8.6897
2010-04-21,-8.6897
2010-04-22,-8.6897
2010-04-23,-8.6897
2010-04-24,-8.6897
2010-04-25,-8.6897
2010-04-26,-8.6897
2010-04-27,-8.6897
2010-04-28,-8.6897
2010-04-29,-8.6897
2010-04-30,-8.6897
2010-05-01,-8.6897
2010-05-02,-8.6897
2010-05-03,-8.6897
2010-05-04,-8.6897
2010-05-05,-8.6897
2010-05-06,-8.6897
2010-05-07,-8.6897
2010-05-08,-8.6897
2010-05-09,-8.6897
2010-05-10,-8.6897
2010-05-11,-8.6897
2010-05-12,-8.6897
2010-05-13,-8.6897
2010-05-14,-8.6897
2010-05-15,-8.6897
2010-05-16,-8.6897
2010-05-17,-8.6897
2010-05-18,-8.6897
2010-05-19,-8.6897
2010-05-20,-8.6897
2010-05-21,-8.6897
2010-05-22,-8.6897
2010-05-23,-8.6897
2010-05-24,-8.6897
2010-05-25,-8.6897
2010-05-26,-8.6897
2010-05-27,-8.6897
2010-05-28,-8.6897
2010-05-29,-8.6897
2010-05-30,-8.6897
2010-05-31,-8.6897
2010-06-01,-8.6897
2010-06-02,-8.6897
2010-06-03,-8.6897
2010-06-04,-8.6897
2010-06-05,-8.6897
2010-06-06,-8.6897
2010-06-07,-8.6897
2010-06-08,-8.6897
2010-06-09,-8.6897
2010-06-10,-8.6897
2010-06-11,-8.6897
2010-06-12,-8.6897
2010-06-13,-8.6897
2010-06-14,-8.6897
2010-06-15,-8.6897
2010-06-16,-8.6897
2010-06-17,-8.6897
2010-06-18,-8.6897
2010-06-19,-8.6897
2010-06-20,-8.6897
2010-06-21,-8.6897
2010-06-22,-8.6897
2010-06-23,-8.6897
2010-06-24,-8.6897
2010-06-25,-8.6897
2010-06-26,-8.6897
2010-06-27,-8.6897
2010-06-28,-8.6897
2010-06-29,-8.6897
2010-06-30,-11.2969
2010-07-01,-11.2969
2010-07-02,-11.2969
2010-07-03,-11.2969
2010-07-04,-11.2969
2010-07-05,-11.2969
2010-07-06,-11.2969
2010-07-07,-11.2969
2010-07-08,-11.2969
2010-07-09,-11.2969
2010-07-10,-11.2969
2010-07-11,-11.2969
2010-07-12,-11.2969
2010-07-13,-11.2969
2010-07-14,-11.2969
2010-07-15,-11.2969
2010-07-16,-11.2969
2010-07-17,-11.2969
2010-07-18,-11.2969
2010-07-19,-11.2969
2010-07-20,-11.2969
2010-07-21,-11.2969
2010-07-22,-11.2969
2010-07-23,-11.2969
2010-07-24,-11.2969
2010-07-25,-11.2969
2010-07-26,-11.2969
2010-07-27,-11.2969
2010-07-28,-11.2969
2010-07-29,-11.2969
2010-07-30,-11.2969
2010-07-31,-11.2969
2010-08-01,-11.2969
2010-08-02,-11.2969
2010-08-03,-11.2969
2010-08-04,-11.2969
2010-08-05,-11.2969
2010-08-06,-11.2969
2010-08-07,-11.2969
2010-08-08,-11.2969
2010-08-09,-11.2969
2010-08-10,-11.2969
2010-08-11,-11.2969
2010-08-12,-11.2969
2010-08-13,-11.2969
2010-08-14,-11.2969
2010-08-15,-11.2969
2010-08-16,-11.2969
2010-08-17,-11.2969
2010-08-18,-11.2969
2010-08-19,-11.2969
2010-08-20,-11.2969
2010-08-21,-11.2969
2010-08-22,-11.2969
2010-08-23,-11.2969
2010-08-24,-11.2969
2010-08-25,-11.2969
2010-08-26,-11.2969
2010-08-27,-11.2969
2010-08-28,-11.2969
2010-08-29,-11.2969
2010-08-30,-11.2969
2010-08-31,-11.2969
2010-09-01,-11.2969
2010-09-02,-11.2969
2010-09-03,-11.2969
2010-09-04,-11.2969
2010-09-05,-11.2969
2010-09-06,-11.2969
2010-09-07,-11.2969
2010-09-08,-11.2969
2010-09-09,-11.2969
2010-09-10,-11.2969
2010-09-11,-11.2969
2010-09-12,-11.2969
2010-09-13,-11.2969
2010-09-14,-11.2969
2010-09-15,-11.2969
2010-09-16,-11.2969
2010-09-17,-11.2969
2010-09-18,-11.2969
2010-09-19,-11.2969
2010-09-20,-11.2969
2010-09-21,-11.2969
2010-09-22,-11.2969
2010-09-23,-11.2969
2010-09-24,-11.2969
2010-09-25,-11.2969
2010-09-26,-11.2969
2010-09-27,-11.2969
2010-09-28,-11.2969
2010-09-29,-11.2969
2010-09-30,-8.1137
2010-10-01,-8.1137
2010-10-02,-8.1137
2010-10-03,-8.1137
2010-10-04,-8.1137
2010-10-05,-8.1137
2010-10-06,-8.1137
2010-10-07,-8.1137
2010-10-08,-8.1137
2010-10-09,-8.1137
2010-10-10,-8.1137
2010-10-11,-8.1137
2010-10-12,-8.1137
2010-10-13,-8.1137
2010-10-14,-8.1137
2010-10-15,-8.1137
2010-10-16,-8.1137
2010-10-17,-8.1137
2010-10-18,-8.1137
