,WTB LN Equity,WTB LN Equity,WTB LN Equity,WTB LN Equity,WTB LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,903.992,916.331,903.992,916.331,138757.0
2010-01-02,903.992,916.331,903.992,916.331,138757.0
2010-01-03,903.992,916.331,903.992,916.331,138757.0
2010-01-04,899.446,921.526,899.446,909.188,604318.0
2010-01-05,911.785,911.785,892.303,907.889,869537.0
2010-01-06,909.837,911.785,899.446,905.94,496519.0
2010-01-07,902.044,911.785,897.498,906.59,981364.0
2010-01-08,907.239,924.124,902.693,916.331,1426967.0
2010-01-09,907.239,924.124,902.693,916.331,1426967.0
2010-01-10,907.239,924.124,902.693,916.331,1426967.0
2010-01-11,915.682,928.021,909.837,911.136,717998.0
2010-01-12,909.837,915.032,883.211,889.056,838819.0
2010-01-13,883.86,898.147,883.86,894.251,529946.0
2010-01-14,901.394,905.94,893.601,896.849,619693.0
2010-01-15,900.096,909.188,896.849,900.745,1258020.0
2010-01-16,900.096,909.188,896.849,900.745,1258020.0
2010-01-17,900.096,909.188,896.849,900.745,1258020.0
2010-01-18,905.94,911.785,894.251,903.343,424807.0
2010-01-19,903.992,903.992,895.55,900.096,607953.0
2010-01-20,899.446,904.642,891.004,898.797,1277689.0
2010-01-21,903.992,910.486,892.952,894.251,971300.0
2010-01-22,893.601,899.446,875.418,885.808,1460520.0
2010-01-23,893.601,899.446,875.418,885.808,1460520.0
2010-01-24,893.601,899.446,875.418,885.808,1460520.0
2010-01-25,881.262,890.354,876.717,881.912,910054.0
2010-01-26,877.366,892.952,869.573,889.056,831672.0
2010-01-27,883.86,891.653,878.015,885.159,1521955.0
2010-01-28,892.952,899.446,881.262,885.808,957571.0
2010-01-29,890.354,920.228,889.705,915.032,2699952.0
2010-01-30,890.354,920.228,889.705,915.032,2699952.0
2010-01-31,890.354,920.228,889.705,915.032,2699952.0
2010-02-01,916.331,922.176,902.693,916.331,906034.0
2010-02-02,922.825,946.204,916.981,937.113,1896600.0
2010-02-03,936.463,936.463,920.228,921.526,793572.0
2010-02-04,924.124,928.67,907.889,911.136,1095557.0
2010-02-05,906.59,910.486,883.211,889.056,1140003.0
2010-02-06,906.59,910.486,883.211,889.056,1140003.0
2010-02-07,906.59,910.486,883.211,889.056,1140003.0
2010-02-08,891.004,894.251,865.027,881.262,1507298.0
2010-02-09,879.314,887.757,874.119,879.964,819220.0
2010-02-10,884.51,896.199,879.964,891.653,1231461.0
2010-02-11,894.9,907.239,889.056,893.601,718461.0
2010-02-12,899.446,908.538,887.757,889.056,805865.0
2010-02-13,899.446,908.538,887.757,889.056,805865.0
2010-02-14,899.446,908.538,887.757,889.056,805865.0
2010-02-15,891.653,898.147,887.107,887.107,406191.0
2010-02-16,894.251,895.55,872.171,889.705,873039.0
2010-02-17,902.044,919.578,893.601,915.032,1126448.0
2010-02-18,916.331,920.877,907.239,920.877,775285.0
2010-02-19,916.331,937.113,913.733,935.814,1209843.0
2010-02-20,916.331,937.113,913.733,935.814,1209843.0
2010-02-21,916.331,937.113,913.733,935.814,1209843.0
2010-02-22,936.463,939.061,928.021,932.567,495458.0
2010-02-23,937.762,945.555,912.435,916.981,711586.0
2010-02-24,916.331,922.176,906.59,915.032,973341.0
2010-02-25,911.785,926.072,902.693,907.239,442880.0
2010-02-26,911.136,925.423,909.188,922.176,617358.0
2010-02-27,911.136,925.423,909.188,922.176,617358.0
2010-02-28,911.136,925.423,909.188,922.176,617358.0
2010-03-01,929.32,944.906,928.67,944.906,743161.0
2010-03-02,946.204,960.492,942.957,960.492,652552.0
2010-03-03,955.946,961.141,943.607,959.193,910135.0
2010-03-04,951.4,966.336,932.567,955.946,1822448.0
2010-03-05,957.894,971.532,957.894,965.038,698805.0
2010-03-06,957.894,971.532,957.894,965.038,698805.0
2010-03-07,957.894,971.532,957.894,965.038,698805.0
2010-03-08,968.934,969.584,962.44,964.388,579381.0
2010-03-09,964.388,968.934,956.595,966.986,450267.0
2010-03-10,965.687,970.233,961.791,970.233,548726.0
2010-03-11,965.038,981.923,965.038,980.624,796985.0
2010-03-12,981.923,985.819,976.727,985.17,467409.0
2010-03-13,981.923,985.819,976.727,985.17,467409.0
2010-03-14,981.923,985.819,976.727,985.17,467409.0
2010-03-15,986.468,986.468,970.882,974.779,436882.0
2010-03-16,976.078,979.974,963.089,974.779,356235.0
2010-03-17,976.727,983.871,972.181,976.727,408230.0
2010-03-18,976.078,989.066,970.233,986.468,633838.0
2010-03-19,996.21,1013.095,991.664,1000.106,1173496.0
2010-03-20,996.21,1013.095,991.664,1000.106,1173496.0
2010-03-21,996.21,1013.095,991.664,1000.106,1173496.0
2010-03-22,998.807,998.807,976.727,992.313,568072.0
2010-03-23,994.261,1000.106,988.417,992.313,643817.0
2010-03-24,996.21,998.158,981.273,987.118,674728.0
2010-03-25,990.365,1005.951,988.417,1001.405,478640.0
2010-03-26,1000.756,1005.302,991.664,1005.302,379852.0
2010-03-27,1000.756,1005.302,991.664,1005.302,379852.0
2010-03-28,1000.756,1005.302,991.664,1005.302,379852.0
2010-03-29,1005.302,1009.198,976.078,979.325,695706.0
2010-03-30,979.325,979.974,955.946,955.946,942286.0
2010-03-31,952.049,970.233,952.049,957.245,729688.0
2010-04-01,961.141,974.779,956.595,972.181,712984.0
2010-04-02,961.141,974.779,956.595,972.181,712984.0
2010-04-03,961.141,974.779,956.595,972.181,712984.0
2010-04-04,961.141,974.779,956.595,972.181,712984.0
2010-04-05,961.141,974.779,956.595,972.181,712984.0
2010-04-06,972.181,980.624,969.584,977.377,611239.0
2010-04-07,978.026,996.859,978.026,984.52,965734.0
2010-04-08,978.675,978.675,963.739,966.986,668039.0
2010-04-09,974.129,986.468,974.129,985.819,573937.0
2010-04-10,974.129,986.468,974.129,985.819,573937.0
2010-04-11,974.129,986.468,974.129,985.819,573937.0
2010-04-12,987.767,994.261,985.17,991.014,589936.0
2010-04-13,991.014,1004.652,988.417,1002.055,902273.0
2010-04-14,1004.003,1015.043,995.56,1011.796,1370868.0
2010-04-15,1018.29,1027.382,1013.744,1024.135,1054259.0
2010-04-16,1020.888,1024.784,1013.095,1015.043,1000448.0
2010-04-17,1020.888,1024.784,1013.095,1015.043,1000448.0
2010-04-18,1020.888,1024.784,1013.095,1015.043,1000448.0
2010-04-19,1013.095,1015.692,1007.25,1013.095,457024.0
2010-04-20,1017.641,1024.784,1015.692,1020.888,484710.0
2010-04-21,1025.434,1031.278,1018.939,1019.589,812002.0
2010-04-22,1018.939,1033.876,1013.095,1021.537,771351.0
2010-04-23,1024.784,1055.956,1023.485,1048.163,734470.0
2010-04-24,1024.784,1055.956,1023.485,1048.163,734470.0
2010-04-25,1024.784,1055.956,1023.485,1048.163,734470.0
2010-04-26,1055.956,1066.347,1046.864,1059.203,711881.0
2010-04-27,1057.905,1068.295,1054.008,1054.008,710406.0
2010-04-28,1044.916,1046.864,1022.836,1028.031,1102800.0
2010-04-29,1022.187,1032.577,989.716,1003.353,1500958.0
2010-04-30,1005.951,1020.238,995.56,998.807,1537120.0
2010-05-01,1005.951,1020.238,995.56,998.807,1537120.0
2010-05-02,1005.951,1020.238,995.56,998.807,1537120.0
2010-05-03,1005.951,1020.238,995.56,998.807,1537120.0
2010-05-04,1009.848,1012.445,983.871,987.118,800830.0
2010-05-05,984.52,984.52,938.411,948.153,2004374.0
2010-05-06,944.256,964.388,925.423,926.072,1388246.0
2010-05-07,903.343,915.032,865.676,880.613,1331280.0
2010-05-08,903.343,915.032,865.676,880.613,1331280.0
2010-05-09,903.343,915.032,865.676,880.613,1331280.0
2010-05-10,910.486,935.814,896.199,935.814,1393683.0
2010-05-11,928.67,935.814,915.682,930.618,1093874.0
2010-05-12,924.888,963.314,923.563,960.002,1031552.0
2010-05-13,963.314,985.178,962.652,971.265,887510.0
2010-05-14,962.652,973.915,928.2,932.176,992313.0
2010-05-15,962.652,973.915,928.2,932.176,992313.0
2010-05-16,962.652,973.915,928.2,932.176,992313.0
2010-05-17,923.563,944.101,921.575,930.851,533445.0
2010-05-18,941.451,949.401,925.55,932.838,618209.0
2010-05-19,919.588,927.538,899.712,901.037,1196314.0
2010-05-20,908.325,914.95,863.935,875.861,1182845.0
