,LGEN LN Equity,LGEN LN Equity,LGEN LN Equity,LGEN LN Equity,LGEN LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,34.268,35.479,34.268,35.479,3850007.0
2010-01-02,34.268,35.479,34.268,35.479,3850007.0
2010-01-03,34.268,35.479,34.268,35.479,3850007.0
2010-01-04,34.378,35.369,34.378,34.995,15523534.0
2010-01-05,34.841,35.919,34.423,35.369,22490817.0
2010-01-06,35.435,35.699,35.149,35.259,14019583.0
2010-01-07,35.083,36.183,34.797,36.007,30625046.0
2010-01-08,36.095,37.108,36.095,37.108,34358471.0
2010-01-09,36.095,37.108,36.095,37.108,34358471.0
2010-01-10,36.095,37.108,36.095,37.108,34358471.0
2010-01-11,37.35,37.416,36.073,36.337,21656244.0
2010-01-12,36.359,36.954,36.095,36.491,18112133.0
2010-01-13,36.491,36.932,36.205,36.513,20910780.0
2010-01-14,36.91,37.658,36.579,37.328,22704181.0
2010-01-15,37.262,38.01,36.711,36.932,34052589.0
2010-01-16,37.262,38.01,36.711,36.932,34052589.0
2010-01-17,37.262,38.01,36.711,36.932,34052589.0
2010-01-18,37.284,37.746,36.822,37.042,14756666.0
2010-01-19,37.086,37.086,36.117,36.623,20795899.0
2010-01-20,36.689,37.064,35.127,35.589,25184299.0
2010-01-21,35.699,35.809,34.401,34.555,30889254.0
2010-01-22,34.445,34.621,33.08,33.52,37337699.0
2010-01-23,34.445,34.621,33.08,33.52,37337699.0
2010-01-24,34.445,34.621,33.08,33.52,37337699.0
2010-01-25,33.234,35.083,33.014,34.753,36428574.0
2010-01-26,34.378,35.193,34.18,35.149,21733665.0
2010-01-27,34.929,34.995,33.894,34.18,26239958.0
2010-01-28,34.599,34.797,33.762,33.762,18274796.0
2010-01-29,34.026,34.114,33.08,33.41,33834655.0
2010-01-30,34.026,34.114,33.08,33.41,33834655.0
2010-01-31,34.026,34.114,33.08,33.41,33834655.0
2010-02-01,33.234,34.819,33.19,34.687,23958688.0
2010-02-02,34.599,35.105,33.696,34.092,24510682.0
2010-02-03,34.136,34.687,33.74,34.092,25201284.0
2010-02-04,34.202,34.29,32.86,33.124,21908421.0
2010-02-05,32.794,33.432,31.781,32.42,32292354.0
2010-02-06,32.794,33.432,31.781,32.42,32292354.0
2010-02-07,32.794,33.432,31.781,32.42,32292354.0
2010-02-08,32.31,32.508,30.637,31.275,30216767.0
2010-02-09,31.143,31.693,30.637,30.879,20945348.0
2010-02-10,31.143,32.398,30.945,31.781,25480536.0
2010-02-11,31.913,32.178,31.297,31.561,25911190.0
2010-02-12,31.935,32.288,30.395,30.725,21619045.0
2010-02-13,31.935,32.288,30.395,30.725,21619045.0
2010-02-14,31.935,32.288,30.395,30.725,21619045.0
2010-02-15,30.769,31.693,30.769,31.473,17498770.0
