,HWDN LN Equity,HWDN LN Equity,HWDN LN Equity,HWDN LN Equity,HWDN LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,58.901,60.079,57.959,58.116,1480399.0
2010-01-02,58.901,60.079,57.959,58.116,1480399.0
2010-01-03,58.901,60.079,57.959,58.116,1480399.0
2010-01-04,57.488,61.454,57.488,61.179,929130.0
2010-01-05,62.828,64.516,61.1,61.414,546950.0
2010-01-06,61.257,61.611,60.865,61.061,264492.0
2010-01-07,61.925,62.435,61.022,62.435,506691.0
2010-01-08,63.103,63.417,61.532,61.532,1030661.0
2010-01-09,63.103,63.417,61.532,61.532,1030661.0
2010-01-10,63.103,63.417,61.532,61.532,1030661.0
2010-01-11,63.024,63.024,60.904,61.454,289857.0
2010-01-12,66.794,68.757,65.459,68.757,6792632.0
2010-01-13,68.129,71.27,67.933,70.76,2638903.0
2010-01-14,72.095,72.095,69.111,69.857,1693078.0
2010-01-15,70.603,70.603,68.404,68.718,2086075.0
2010-01-16,70.603,70.603,68.404,68.718,2086075.0
2010-01-17,70.603,70.603,68.404,68.718,2086075.0
2010-01-18,69.425,69.425,66.362,66.912,1249369.0
2010-01-19,65.38,66.126,64.006,64.359,2271150.0
2010-01-20,64.909,64.909,62.082,62.357,863608.0
2010-01-21,62.985,65.184,62.632,63.378,3502899.0
2010-01-22,63.652,64.831,61.768,61.885,624245.0
2010-01-23,63.652,64.831,61.768,61.885,624245.0
2010-01-24,63.652,64.831,61.768,61.885,624245.0
2010-01-25,62.278,64.673,62.043,64.516,1123304.0
2010-01-26,64.595,65.734,63.652,65.459,1019148.0
2010-01-27,65.066,67.147,64.791,66.558,1539502.0
2010-01-28,66.951,71.624,66.362,68.404,1986742.0
2010-01-29,69.425,69.896,68.718,69.621,1199401.0
2010-01-30,69.425,69.896,68.718,69.621,1199401.0
2010-01-31,69.425,69.896,68.718,69.621,1199401.0
2010-02-01,68.679,69.268,67.776,69.15,1772516.0
2010-02-02,69.464,71.27,69.111,70.289,2446212.0
2010-02-03,70.681,70.681,69.268,69.857,809700.0
2010-02-04,70.681,70.681,68.404,68.875,2489130.0
2010-02-05,69.111,70.289,65.577,66.205,2142811.0
2010-02-06,69.111,70.289,65.577,66.205,2142811.0
2010-02-07,69.111,70.289,65.577,66.205,2142811.0
2010-02-08,66.99,66.99,64.399,64.556,1143129.0
2010-02-09,64.87,66.166,64.399,66.048,1214947.0
2010-02-10,67.187,67.461,66.166,66.755,1939942.0
2010-02-11,67.854,69.15,67.226,68.718,507381.0
2010-02-12,67.501,69.032,65.812,68.325,1077434.0
2010-02-13,67.501,69.032,65.812,68.325,1077434.0
2010-02-14,67.501,69.032,65.812,68.325,1077434.0
2010-02-15,68.679,69.975,68.6,69.032,471215.0
2010-02-16,69.543,69.543,67.265,67.579,407606.0
2010-02-17,68.404,70.446,67.226,69.111,839605.0
2010-02-18,69.425,69.739,68.718,69.111,627676.0
2010-02-19,69.15,69.739,68.208,69.543,1491325.0
2010-02-20,69.15,69.739,68.208,69.543,1491325.0
2010-02-21,69.15,69.739,68.208,69.543,1491325.0
2010-02-22,69.071,69.503,68.365,69.111,401429.0
2010-02-23,69.778,69.778,67.383,68.325,800076.0
2010-02-24,68.954,69.111,67.187,68.168,980980.0
2010-02-25,68.05,68.05,65.027,65.184,834825.0
2010-02-26,66.087,66.087,63.417,64.006,970801.0
2010-02-27,66.087,66.087,63.417,64.006,970801.0
2010-02-28,66.087,66.087,63.417,64.006,970801.0
2010-03-01,64.948,66.715,62.867,65.577,1713015.0
2010-03-02,65.184,67.147,63.535,66.912,768354.0
2010-03-03,68.208,68.561,66.048,67.933,2371653.0
2010-03-04,65.302,68.168,61.139,62.828,4395951.0
2010-03-05,61.257,63.613,61.257,63.063,2534416.0
2010-03-06,61.257,63.613,61.257,63.063,2534416.0
2010-03-07,61.257,63.613,61.257,63.063,2534416.0
2010-03-08,63.849,65.694,62.2,62.435,1252358.0
2010-03-09,62.906,65.577,61.257,62.121,1781137.0
2010-03-10,63.142,63.613,61.532,63.221,1054540.0
2010-03-11,63.495,63.81,61.964,63.692,848704.0
2010-03-12,64.124,64.124,60.865,63.574,1279045.0
2010-03-13,64.124,64.124,60.865,63.574,1279045.0
2010-03-14,64.124,64.124,60.865,63.574,1279045.0
2010-03-15,62.553,63.81,62.474,63.417,704429.0
2010-03-16,63.417,63.927,62.396,63.535,2572926.0
2010-03-17,64.006,64.595,63.731,64.399,2384563.0
2010-03-18,64.516,65.969,63.927,64.988,1091242.0
2010-03-19,65.459,67.147,64.87,65.459,2916354.0
2010-03-20,65.459,67.147,64.87,65.459,2916354.0
2010-03-21,65.459,67.147,64.87,65.459,2916354.0
2010-03-22,65.262,66.401,62.985,66.009,805017.0
2010-03-23,66.362,66.362,62.828,63.456,1810657.0
2010-03-24,63.26,64.045,62.553,63.378,1250065.0
2010-03-25,62.749,65.066,62.671,62.946,5205092.0
2010-03-26,62.946,63.221,62.2,63.142,1296137.0
2010-03-27,62.946,63.221,62.2,63.142,1296137.0
2010-03-28,62.946,63.221,62.2,63.142,1296137.0
2010-03-29,62.828,63.221,61.65,62.317,962525.0
2010-03-30,62.003,62.828,62.003,62.317,757467.0
