,GSK LN Equity,GSK LN Equity,GSK LN Equity,GSK LN Equity,GSK LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,646.589,646.589,637.815,643.177,1067410.0
2010-01-02,646.589,646.589,637.815,643.177,1067410.0
2010-01-03,646.589,646.589,637.815,643.177,1067410.0
2010-01-04,645.858,652.926,642.689,652.926,4295587.0
2010-01-05,653.657,653.657,635.378,637.084,6259054.0
2010-01-06,636.353,642.933,630.991,631.478,5256538.0
2010-01-07,632.697,637.084,628.31,630.503,9501986.0
2010-01-08,630.503,633.916,622.461,624.41,11170392.0
2010-01-09,630.503,633.916,622.461,624.41,11170392.0
2010-01-10,630.503,633.916,622.461,624.41,11170392.0
2010-01-11,627.091,630.991,624.41,627.823,6081361.0
2010-01-12,626.604,633.916,624.898,628.797,6945186.0
2010-01-13,628.797,633.184,619.292,621.486,8273923.0
2010-01-14,620.998,632.453,617.099,625.385,10380543.0
2010-01-15,623.192,625.629,607.594,609.3,18678114.0
2010-01-16,623.192,625.629,607.594,609.3,18678114.0
2010-01-17,623.192,625.629,607.594,609.3,18678114.0
2010-01-18,608.812,616.124,605.888,614.174,7743352.0
2010-01-19,614.662,629.285,611.25,626.117,9898542.0
2010-01-20,633.184,637.815,624.898,625.629,16272852.0
2010-01-21,629.772,637.815,622.704,625.142,8485435.0
2010-01-22,620.998,628.554,619.049,619.049,8912110.0
2010-01-23,620.998,628.554,619.049,619.049,8912110.0
2010-01-24,620.998,628.554,619.049,619.049,8912110.0
2010-01-25,616.124,618.317,605.888,606.131,10735327.0
2010-01-26,605.4,616.368,602.963,615.393,6684761.0
2010-01-27,610.518,613.199,606.863,608.325,9164790.0
2010-01-28,612.956,614.905,598.332,598.332,12398226.0
2010-01-29,599.307,599.551,591.996,592.971,13467118.0
2010-01-30,599.307,599.551,591.996,592.971,13467118.0
2010-01-31,599.307,599.551,591.996,592.971,13467118.0
2010-02-01,591.996,597.845,589.071,590.046,10568290.0
2010-02-02,591.996,599.064,589.071,597.114,11591518.0
2010-02-03,596.87,597.601,589.802,593.214,8798281.0
2010-02-04,595.164,606.863,589.071,597.601,18087702.0
2010-02-05,594.677,598.82,585.903,587.852,12909335.0
2010-02-06,594.677,598.82,585.903,587.852,12909335.0
2010-02-07,594.677,598.82,585.903,587.852,12909335.0
