,MNDI LN Equity,MNDI LN Equity,MNDI LN Equity,MNDI LN Equity,MNDI LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,207.599,207.599,202.119,204.006,187698.0
2010-01-02,207.599,207.599,202.119,204.006,187698.0
2010-01-03,207.599,207.599,202.119,204.006,187698.0
2010-01-04,204.006,210.279,204.006,210.157,912856.0
2010-01-05,211.131,214.846,209.487,214.542,616426.0
2010-01-06,212.654,219.292,212.654,217.647,1102826.0
2010-01-07,218.196,221.971,217.221,220.205,589420.0
2010-01-08,222.763,232.567,218.561,230.862,1195216.0
2010-01-09,222.763,232.567,218.561,230.862,1195216.0
2010-01-10,222.763,232.567,218.561,230.862,1195216.0
2010-01-11,230.801,234.029,225.077,227.452,934068.0
2010-01-12,228.426,228.426,213.324,217.221,1373197.0
2010-01-13,216.247,222.215,216.247,222.215,1594058.0
2010-01-14,221.789,224.164,217.221,221.301,1010249.0
2010-01-15,219.84,223.189,219.84,221.728,720646.0
2010-01-16,219.84,223.189,219.84,221.728,720646.0
2010-01-17,219.84,223.189,219.84,221.728,720646.0
2010-01-18,219.353,222.946,219.353,221.667,371939.0
2010-01-19,219.962,225.99,219.779,223.372,1069913.0
2010-01-20,223.433,227.452,222.824,223.067,1922633.0
2010-01-21,225.808,229.218,223.92,223.92,1002663.0
2010-01-22,224.59,225.564,218.683,224.468,826410.0
2010-01-23,224.59,225.564,218.683,224.468,826410.0
2010-01-24,224.59,225.564,218.683,224.468,826410.0
2010-01-25,221.484,224.285,218.317,218.317,1106601.0
2010-01-26,215.699,216.308,213.141,215.151,1424960.0
2010-01-27,213.385,216.49,211.68,213.324,1126901.0
2010-01-28,215.212,217.282,213.141,213.141,1279318.0
2010-01-29,215.821,219.901,215.577,217.404,1180961.0
2010-01-30,215.821,219.901,215.577,217.404,1180961.0
2010-01-31,215.821,219.901,215.577,217.404,1180961.0
2010-02-01,217.404,220.022,213.141,219.779,788683.0
2010-02-02,221.667,221.667,217.16,219.84,942249.0
2010-02-03,221.058,221.667,215.212,215.942,1269039.0
2010-02-04,217.039,217.039,209.792,210.949,1421797.0
2010-02-05,209.609,211.436,205.468,206.503,1993235.0
2010-02-06,209.609,211.436,205.468,206.503,1993235.0
2010-02-07,209.609,211.436,205.468,206.503,1993235.0
2010-02-08,207.965,209.792,203.458,205.955,1821580.0
2010-02-09,206.138,208.269,206.016,206.321,689406.0
2010-02-10,206.686,208.817,205.833,207.051,1103578.0
2010-02-11,208.513,211.131,207.051,208.147,981670.0
2010-02-12,209.548,210.522,205.103,206.808,995903.0
2010-02-13,209.548,210.522,205.103,206.808,995903.0
2010-02-14,209.548,210.522,205.103,206.808,995903.0
2010-02-15,207.721,208.696,206.869,207.599,620417.0
2010-02-16,210.096,211.984,209.67,210.888,824462.0
2010-02-17,212.593,216.795,211.68,214.724,846876.0
2010-02-18,213.506,217.343,213.506,216.125,1201464.0
2010-02-19,214.785,218.683,213.263,218.622,902642.0
2010-02-20,214.785,218.683,213.263,218.622,902642.0
2010-02-21,214.785,218.683,213.263,218.622,902642.0
2010-02-22,219.535,224.772,218.622,221.728,1485887.0
2010-02-23,224.103,240.058,222.276,231.106,2401650.0
2010-02-24,233.542,233.542,223.676,228.853,2142384.0
2010-02-25,226.904,228.061,221.667,222.519,1574545.0
2010-02-26,224.712,232.202,222.519,231.776,1738906.0
2010-02-27,224.712,232.202,222.519,231.776,1738906.0
2010-02-28,224.712,232.202,222.519,231.776,1738906.0
2010-03-01,232.446,237.926,232.385,237.439,1351252.0
2010-03-02,237.196,247.183,237.135,247.183,1006191.0
2010-03-03,247.244,258.997,246.33,257.596,2218204.0
2010-03-04,255.526,264.721,255.526,260.032,1488057.0
2010-03-05,262.103,267.583,260.276,264.965,1408860.0
2010-03-06,262.103,267.583,260.276,264.965,1408860.0
2010-03-07,262.103,267.583,260.276,264.965,1408860.0
