,SSE LN Equity,SSE LN Equity,SSE LN Equity,SSE LN Equity,SSE LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,496.326,497.176,489.527,493.352,335132.0
2010-01-02,496.326,497.176,489.527,493.352,335132.0
2010-01-03,496.326,497.176,489.527,493.352,335132.0
2010-01-04,495.051,496.326,489.527,494.201,1158479.0
2010-01-05,493.777,499.301,493.777,497.176,2208112.0
2010-01-06,498.026,501.425,495.901,499.726,1188117.0
2010-01-07,499.726,500.151,489.102,492.502,2002302.0
2010-01-08,495.051,497.601,492.077,497.601,1564314.0
2010-01-09,495.051,497.601,492.077,497.601,1564314.0
2010-01-10,495.051,497.601,492.077,497.601,1564314.0
2010-01-11,499.301,501.0,498.026,499.301,1355160.0
2010-01-12,498.026,501.425,493.777,498.026,1602757.0
2010-01-13,497.601,501.85,495.476,498.026,1102883.0
2010-01-14,500.576,500.576,495.476,496.326,1971931.0
2010-01-15,497.601,502.7,496.751,496.751,3340064.0
2010-01-16,497.601,502.7,496.751,496.751,3340064.0
2010-01-17,497.601,502.7,496.751,496.751,3340064.0
2010-01-18,500.151,504.4,496.326,497.601,1774643.0
2010-01-19,498.026,505.25,495.051,503.125,1543495.0
2010-01-20,503.975,509.499,501.425,509.074,3310856.0
2010-01-21,511.624,512.474,502.275,503.55,2659886.0
2010-01-22,502.275,506.1,498.451,501.0,2826552.0
2010-01-23,502.275,506.1,498.451,501.0,2826552.0
2010-01-24,502.275,506.1,498.451,501.0,2826552.0
2010-01-25,498.451,501.425,494.201,498.451,2485333.0
2010-01-26,497.176,501.425,494.626,499.301,1919151.0
2010-01-27,498.026,500.576,496.751,499.726,1812570.0
2010-01-28,503.125,503.125,495.901,496.751,2520164.0
2010-01-29,499.301,501.0,495.051,497.176,2676054.0
2010-01-30,499.301,501.0,495.051,497.176,2676054.0
2010-01-31,499.301,501.0,495.051,497.176,2676054.0
2010-02-01,497.601,506.525,495.051,504.4,2187812.0
2010-02-02,505.675,506.95,500.576,505.675,2227317.0
2010-02-03,504.825,504.825,497.176,498.876,3072914.0
2010-02-04,499.301,500.576,489.952,492.502,2873904.0
2010-02-05,492.077,496.751,488.677,490.377,3012766.0
2010-02-06,492.077,496.751,488.677,490.377,3012766.0
2010-02-07,492.077,496.751,488.677,490.377,3012766.0
2010-02-08,490.377,498.876,490.377,495.051,1341693.0
2010-02-09,494.201,496.751,483.153,485.703,2366176.0
2010-02-10,485.278,491.227,482.303,491.227,4407046.0
2010-02-11,492.502,492.927,488.677,490.802,2246367.0
2010-02-12,492.927,495.476,489.952,494.201,1707415.0
2010-02-13,492.927,495.476,489.952,494.201,1707415.0
2010-02-14,492.927,495.476,489.952,494.201,1707415.0
2010-02-15,496.751,498.026,494.626,497.601,1196375.0
2010-02-16,499.301,504.4,497.601,502.7,1286189.0
2010-02-17,506.161,506.161,494.048,497.076,2860015.0
2010-02-18,496.643,502.267,491.885,494.48,2565575.0
2010-02-19,493.615,496.211,491.019,494.048,4709455.0
2010-02-20,493.615,496.211,491.019,494.048,4709455.0
2010-02-21,493.615,496.211,491.019,494.048,4709455.0
2010-02-22,495.778,495.778,489.721,489.721,1187622.0
