,AHT LN Equity,AHT LN Equity,AHT LN Equity,AHT LN Equity,AHT LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,62.026,65.707,62.026,64.282,728093.0
2010-01-02,62.026,65.707,62.026,64.282,728093.0
2010-01-03,62.026,65.707,62.026,64.282,728093.0
2010-01-04,63.174,67.607,63.174,65.509,866153.0
2010-01-05,66.499,67.686,66.103,66.459,1523319.0
2010-01-06,65.984,66.815,65.311,66.103,841347.0
2010-01-07,66.42,67.567,65.272,67.172,758498.0
2010-01-08,69.032,70.892,68.042,70.576,1271347.0
2010-01-09,69.032,70.892,68.042,70.576,1271347.0
2010-01-10,69.032,70.892,68.042,70.576,1271347.0
2010-01-11,71.407,73.228,70.18,70.853,574287.0
2010-01-12,70.18,71.209,68.082,68.874,657305.0
2010-01-13,66.594,70.714,66.594,69.994,5430412.0
2010-01-14,69.794,70.394,69.434,70.394,1583635.0
2010-01-15,69.794,72.233,69.794,71.993,7219297.0
2010-01-16,69.794,72.233,69.794,71.993,7219297.0
2010-01-17,69.794,72.233,69.794,71.993,7219297.0
2010-01-18,71.993,72.993,71.353,72.913,2040724.0
2010-01-19,71.713,72.033,69.514,69.634,13872640.0
2010-01-20,69.994,73.073,69.594,70.914,11871862.0
2010-01-21,71.673,71.873,67.994,68.754,2552786.0
2010-01-22,68.794,69.034,66.314,66.954,2153603.0
2010-01-23,68.794,69.034,66.314,66.954,2153603.0
2010-01-24,68.794,69.034,66.314,66.954,2153603.0
2010-01-25,67.754,69.194,65.954,66.154,1190356.0
2010-01-26,64.794,67.474,64.434,67.114,1443845.0
2010-01-27,66.354,66.834,65.594,65.874,1049064.0
2010-01-28,66.034,68.154,65.594,65.874,6981588.0
2010-01-29,66.834,69.874,66.394,68.394,5966291.0
2010-01-30,66.834,69.874,66.394,68.394,5966291.0
2010-01-31,66.834,69.874,66.394,68.394,5966291.0
2010-02-01,68.594,70.514,68.114,68.514,1143299.0
2010-02-02,69.034,70.714,68.474,70.394,982157.0
2010-02-03,70.394,72.593,70.114,71.313,7872844.0
2010-02-04,70.514,70.754,67.594,67.594,2190450.0
2010-02-05,68.034,68.034,65.874,66.634,1405967.0
2010-02-06,68.034,68.034,65.874,66.634,1405967.0
2010-02-07,68.034,68.034,65.874,66.634,1405967.0
2010-02-08,66.234,67.194,63.394,64.314,6145988.0
2010-02-09,63.994,65.154,63.314,63.994,1209971.0
2010-02-10,65.194,65.554,63.834,64.994,1505087.0
2010-02-11,64.834,66.474,64.834,65.234,976630.0
2010-02-12,65.194,65.954,60.834,61.954,6600492.0
2010-02-13,65.194,65.954,60.834,61.954,6600492.0
2010-02-14,65.194,65.954,60.834,61.954,6600492.0
2010-02-15,61.754,63.074,61.194,61.634,668018.0
2010-02-16,62.114,64.074,61.994,63.394,1101834.0
2010-02-17,64.994,66.394,64.474,66.354,1698522.0
2010-02-18,67.274,67.834,65.634,66.794,695866.0
2010-02-19,66.474,66.474,65.674,66.434,1978300.0
2010-02-20,66.474,66.474,65.674,66.434,1978300.0
2010-02-21,66.474,66.474,65.674,66.434,1978300.0
2010-02-22,66.794,68.914,66.794,67.994,4216202.0
2010-02-23,67.834,68.394,67.154,67.594,1311212.0
2010-02-24,68.354,68.474,67.194,67.674,406769.0
2010-02-25,66.794,68.474,65.594,66.394,1110911.0
2010-02-26,67.234,67.994,65.754,67.874,1666758.0
2010-02-27,67.234,67.994,65.754,67.874,1666758.0
2010-02-28,67.234,67.994,65.754,67.874,1666758.0
2010-03-01,69.434,69.434,67.634,67.994,1316011.0
2010-03-02,68.754,68.914,67.194,68.914,1307064.0
2010-03-03,68.794,72.153,68.314,70.074,1496224.0
2010-03-04,69.994,70.474,69.354,69.954,764019.0
2010-03-05,70.354,70.794,69.914,70.394,1026381.0
2010-03-06,70.354,70.794,69.914,70.394,1026381.0
2010-03-07,70.354,70.794,69.914,70.394,1026381.0
2010-03-08,69.994,70.914,69.114,70.154,1099709.0
2010-03-09,70.674,71.673,67.074,71.513,8522369.0
2010-03-10,70.954,73.553,70.954,72.873,3367589.0
2010-03-11,73.153,73.193,72.073,73.033,3591810.0
2010-03-12,73.593,75.153,72.793,74.433,3590048.0
2010-03-13,73.593,75.153,72.793,74.433,3590048.0
2010-03-14,73.593,75.153,72.793,74.433,3590048.0
2010-03-15,74.833,76.273,73.673,74.113,1743793.0
2010-03-16,74.113,79.393,74.113,76.553,1493004.0
2010-03-17,77.593,79.713,77.073,79.273,1075464.0
2010-03-18,79.273,80.633,75.993,76.553,1546448.0
2010-03-19,76.193,78.113,76.193,77.713,1252154.0
2010-03-20,76.193,78.113,76.193,77.713,1252154.0
2010-03-21,76.193,78.113,76.193,77.713,1252154.0
2010-03-22,77.913,77.913,74.433,76.473,682924.0
2010-03-23,75.993,78.193,75.993,77.193,858115.0
2010-03-24,76.953,79.993,75.153,75.553,3816919.0
2010-03-25,74.953,78.793,74.393,77.633,1568516.0
2010-03-26,78.113,78.473,77.233,77.593,827088.0
2010-03-27,78.113,78.473,77.233,77.593,827088.0
2010-03-28,78.113,78.473,77.233,77.593,827088.0
2010-03-29,78.193,78.313,76.153,76.233,617348.0
2010-03-30,77.313,79.953,75.473,76.153,980220.0
2010-03-31,76.713,77.353,75.553,76.353,2201226.0
2010-04-01,77.273,79.233,77.273,78.713,736994.0
2010-04-02,77.273,79.233,77.273,78.713,736994.0
2010-04-03,77.273,79.233,77.273,78.713,736994.0
2010-04-04,77.273,79.233,77.273,78.713,736994.0
2010-04-05,77.273,79.233,77.273,78.713,736994.0
2010-04-06,79.473,83.592,79.193,80.073,3314843.0
2010-04-07,81.033,81.113,79.113,79.273,2266008.0
