,AAL LN Equity,AAL LN Equity,AAL LN Equity,AAL LN Equity,AAL LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1600.042,1601.223,1581.732,1601.223,563594.0
2010-01-02,1600.042,1601.223,1581.732,1601.223,563594.0
2010-01-03,1600.042,1601.223,1581.732,1601.223,563594.0
2010-01-04,1592.068,1641.977,1592.068,1635.775,4247494.0
2010-01-05,1648.474,1680.369,1636.957,1662.65,3296014.0
2010-01-06,1671.509,1697.497,1663.831,1691.296,4857226.0
2010-01-07,1691.0,1695.43,1662.945,1679.778,4285531.0
2010-01-08,1682.731,1711.082,1662.945,1711.082,3439338.0
2010-01-09,1682.731,1711.082,1662.945,1711.082,3439338.0
2010-01-10,1682.731,1711.082,1662.945,1711.082,3439338.0
2010-01-11,1732.936,1749.474,1674.167,1680.369,4376252.0
2010-01-12,1679.187,1695.43,1627.506,1636.661,6261527.0
2010-01-13,1621.895,1652.313,1610.083,1624.849,4768783.0
2010-01-14,1645.226,1657.924,1612.445,1623.667,3677298.0
2010-01-15,1624.258,1643.454,1594.726,1608.015,6834676.0
2010-01-16,1624.258,1643.454,1594.726,1608.015,6834676.0
2010-01-17,1624.258,1643.454,1594.726,1608.015,6834676.0
2010-01-18,1621.305,1668.556,1618.352,1659.106,3836028.0
2010-01-19,1656.152,1664.717,1620.714,1651.723,4271686.0
2010-01-20,1638.729,1638.729,1556.925,1565.785,6189064.0
2010-01-21,1574.054,1585.276,1462.423,1469.51,11571299.0
2010-01-22,1465.376,1493.727,1452.973,1479.847,10971685.0
2010-01-23,1465.376,1493.727,1452.973,1479.847,10971685.0
2010-01-24,1465.376,1493.727,1452.973,1479.847,10971685.0
2010-01-25,1466.262,1511.151,1450.019,1452.382,6150265.0
2010-01-26,1431.119,1454.154,1420.487,1451.201,7197715.0
2010-01-27,1422.85,1435.549,1397.452,1405.131,7502587.0
2010-01-28,1429.347,1444.113,1358.47,1358.47,8289003.0
2010-01-29,1365.263,1396.862,1354.041,1371.464,9388360.0
2010-01-30,1365.263,1396.862,1354.041,1371.464,9388360.0
2010-01-31,1365.263,1396.862,1354.041,1371.464,9388360.0
2010-02-01,1365.558,1411.333,1352.269,1405.131,7777020.0
2010-02-02,1420.487,1456.812,1410.447,1450.61,7855356.0
2010-02-03,1470.692,1478.37,1411.037,1416.648,5816906.0
2010-02-04,1401.587,1418.125,1334.845,1346.953,8524647.0
2010-02-05,1340.16,1356.108,1305.313,1343.114,9281890.0
2010-02-06,1340.16,1356.108,1305.313,1343.114,9281890.0
2010-02-07,1340.16,1356.108,1305.313,1343.114,9281890.0
2010-02-08,1353.155,1386.23,1328.643,1373.532,7645097.0
2010-02-09,1383.572,1416.353,1376.78,1394.499,6338404.0
2010-02-10,1399.815,1429.347,1362.309,1375.008,6386970.0
2010-02-11,1404.245,1435.253,1368.806,1386.526,7487922.0
2010-02-12,1389.184,1417.83,1344.59,1364.377,6939941.0
2010-02-13,1389.184,1417.83,1344.59,1364.377,6939941.0
2010-02-14,1389.184,1417.83,1344.59,1364.377,6939941.0
2010-02-15,1380.324,1408.084,1374.418,1387.412,4087900.0
2010-02-16,1411.628,1446.771,1404.835,1440.569,6813672.0
2010-02-17,1455.335,1472.168,1441.16,1443.227,7047237.0
2010-02-18,1432.3,1477.779,1422.85,1477.779,6009152.0
2010-02-19,1452.087,1458.288,1421.373,1451.496,8760990.0
2010-02-20,1452.087,1458.288,1421.373,1451.496,8760990.0
2010-02-21,1452.087,1458.288,1421.373,1451.496,8760990.0
2010-02-22,1471.282,1476.598,1438.502,1445.294,4489178.0
2010-02-23,1459.765,1476.893,1399.52,1405.721,5980976.0
2010-02-24,1403.654,1416.944,1385.935,1408.675,4536376.0
2010-02-25,1393.318,1407.198,1343.704,1362.309,6398328.0
2010-02-26,1374.418,1412.809,1371.464,1411.628,5788453.0
2010-02-27,1374.418,1412.809,1371.464,1411.628,5788453.0
2010-02-28,1374.418,1412.809,1371.464,1411.628,5788453.0
2010-03-01,1432.3,1452.677,1425.508,1447.066,4586289.0
2010-03-02,1449.429,1489.002,1440.569,1487.82,4631187.0
2010-03-03,1482.8,1557.516,1481.619,1547.77,6825007.0
2010-03-04,1529.756,1553.972,1517.943,1530.051,4890862.0
2010-03-05,1545.112,1583.504,1538.911,1573.758,5529034.0
2010-03-06,1545.112,1583.504,1538.911,1573.758,5529034.0
2010-03-07,1545.112,1583.504,1538.911,1573.758,5529034.0
2010-03-08,1591.773,1596.498,1566.966,1573.758,4726635.0
2010-03-09,1568.443,1573.168,1542.75,1564.308,5371825.0
2010-03-10,1556.334,1608.606,1556.334,1600.632,4857488.0
2010-03-11,1585.866,1599.451,1563.717,1582.027,5815721.0
2010-03-12,1583.799,1609.492,1570.805,1599.451,6158784.0
2010-03-13,1583.799,1609.492,1570.805,1599.451,6158784.0
2010-03-14,1583.799,1609.492,1570.805,1599.451,6158784.0
2010-03-15,1588.82,1596.498,1567.261,1573.463,3709419.0
2010-03-16,1580.846,1600.337,1574.349,1582.913,4135488.0
2010-03-17,1598.86,1622.191,1592.659,1610.969,3534556.0
2010-03-18,1602.995,1634.299,1602.7,1614.217,4807097.0
2010-03-19,1618.352,1634.299,1565.194,1573.463,7743856.0
2010-03-20,1618.352,1634.299,1565.194,1573.463,7743856.0
2010-03-21,1618.352,1634.299,1565.194,1573.463,7743856.0
2010-03-22,1565.489,1585.276,1531.823,1585.276,3945785.0
2010-03-23,1592.954,1626.325,1590.592,1605.062,4592763.0
2010-03-24,1625.439,1642.568,1590.887,1619.533,4132290.0
2010-03-25,1615.694,1644.93,1611.855,1640.205,4590293.0
2010-03-26,1628.097,1655.857,1626.03,1651.132,3918049.0
2010-03-27,1628.097,1655.857,1626.03,1651.132,3918049.0
2010-03-28,1628.097,1655.857,1626.03,1651.132,3918049.0
2010-03-29,1661.764,1691.886,1657.334,1672.986,3407081.0
2010-03-30,1689.228,1706.652,1665.307,1673.872,4809155.0
2010-03-31,1665.603,1701.927,1661.468,1697.497,5315197.0
2010-04-01,1701.632,1745.339,1701.632,1740.614,3598195.0
2010-04-02,1701.632,1745.339,1701.632,1740.614,3598195.0
2010-04-03,1701.632,1745.339,1701.632,1740.614,3598195.0
2010-04-04,1701.632,1745.339,1701.632,1740.614,3598195.0
2010-04-05,1701.632,1745.339,1701.632,1740.614,3598195.0
2010-04-06,1748.292,1781.073,1735.003,1770.146,4114877.0
2010-04-07,1768.374,1772.804,1740.909,1748.883,2726337.0
2010-04-08,1735.298,1735.298,1699.269,1716.693,3709799.0
2010-04-09,1736.184,1759.81,1729.392,1759.81,3058127.0
2010-04-10,1736.184,1759.81,1729.392,1759.81,3058127.0
2010-04-11,1736.184,1759.81,1729.392,1759.81,3058127.0
