,DNLM LN Equity,DNLM LN Equity,DNLM LN Equity,DNLM LN Equity,DNLM LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,188.453,188.453,172.794,174.493,89857.0
2010-01-02,188.453,188.453,172.794,174.493,89857.0
2010-01-03,188.453,188.453,172.794,174.493,89857.0
2010-01-04,183.31,192.494,183.08,185.79,113692.0
2010-01-05,186.57,189.555,181.06,188.269,48578.0
2010-01-06,191.667,191.667,179.59,186.432,139706.0
2010-01-07,188.591,188.591,182.483,183.677,244442.0
2010-01-08,183.218,187.764,180.004,181.381,186467.0
2010-01-09,183.218,187.764,180.004,181.381,186467.0
2010-01-10,183.218,187.764,180.004,181.381,186467.0
2010-01-11,186.111,186.432,181.289,181.381,166575.0
2010-01-12,180.004,180.004,163.335,171.692,403873.0
2010-01-13,169.35,173.942,168.478,169.947,122409.0
2010-01-14,168.478,170.82,161.269,165.769,1156021.0
2010-01-15,167.789,169.856,165.31,165.31,255157.0
2010-01-16,167.789,169.856,165.31,165.31,255157.0
2010-01-17,167.789,169.856,165.31,165.31,255157.0
2010-01-18,170.361,170.361,165.585,166.136,108461.0
2010-01-19,165.31,170.269,163.197,167.927,257425.0
2010-01-20,165.906,171.233,165.906,166.917,167358.0
2010-01-21,168.065,168.065,162.417,162.83,43373.0
2010-01-22,161.177,165.355,156.447,158.422,111632.0
2010-01-23,161.177,165.355,156.447,158.422,111632.0
2010-01-24,161.177,165.355,156.447,158.422,111632.0
2010-01-25,161.636,162.325,158.192,160.029,108127.0
2010-01-26,158.927,162.095,157.871,162.095,36563.0
2010-01-27,164.85,166.457,161.085,165.31,197790.0
2010-01-28,169.35,169.396,163.519,165.769,67498.0
2010-01-29,167.881,173.805,164.391,164.896,1175159.0
2010-01-30,167.881,173.805,164.391,164.896,1175159.0
2010-01-31,167.881,173.805,164.391,164.896,1175159.0
2010-02-01,164.667,167.56,163.84,167.56,42351.0
2010-02-02,166.366,176.514,166.366,174.815,179724.0
2010-02-03,176.284,179.682,172.197,175.687,135244.0
2010-02-04,175.963,175.963,164.85,166.917,140717.0
2010-02-05,158.651,172.335,158.651,164.85,158502.0
2010-02-06,158.651,172.335,158.651,164.85,158502.0
2010-02-07,158.651,172.335,158.651,164.85,158502.0
2010-02-08,173.07,173.896,165.906,170.085,188384.0
2010-02-09,165.31,171.049,165.31,169.534,48738.0
2010-02-10,168.432,171.325,167.835,169.901,584454.0
2010-02-11,169.901,171.968,168.937,169.901,1161946.0
2010-02-12,171.141,171.738,169.901,171.417,118307.0
2010-02-13,171.141,171.738,169.901,171.417,118307.0
2010-02-14,171.141,171.738,169.901,171.417,118307.0
2010-02-15,174.769,174.769,169.901,169.901,63056.0
2010-02-16,177.754,177.754,170.774,172.611,303101.0
2010-02-17,177.249,177.294,172.473,173.345,234177.0
2010-02-18,179.544,180.004,173.116,175.136,288047.0
2010-02-19,175.136,176.146,173.667,174.08,54033.0
2010-02-20,175.136,176.146,173.667,174.08,54033.0
2010-02-21,175.136,176.146,173.667,174.08,54033.0
2010-02-22,177.249,178.856,170.361,175.274,43463.0
2010-02-23,172.151,177.754,172.151,177.157,101361.0
2010-02-24,178.121,178.213,170.82,172.197,86518.0
2010-02-25,178.626,184.596,174.126,178.029,398547.0
2010-02-26,180.922,180.922,172.243,176.56,1405887.0
2010-02-27,180.922,180.922,172.243,176.56,1405887.0
2010-02-28,180.922,180.922,172.243,176.56,1405887.0
2010-03-01,179.131,179.131,174.172,174.493,492101.0
