,ITV LN Equity,ITV LN Equity,ITV LN Equity,ITV LN Equity,ITV LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,31.413,31.413,30.091,30.091,2807651.0
2010-01-02,31.413,31.413,30.091,30.091,2807651.0
2010-01-03,31.413,31.413,30.091,30.091,2807651.0
2010-01-04,30.292,32.246,30.292,31.93,13809501.0
2010-01-05,31.729,32.792,31.671,31.901,21330907.0
2010-01-06,32.045,32.994,31.959,32.649,11892093.0
2010-01-07,34.086,34.287,32.764,32.965,36782650.0
2010-01-08,33.223,33.367,32.476,32.879,28437908.0
2010-01-09,33.223,33.367,32.476,32.879,28437908.0
2010-01-10,33.223,33.367,32.476,32.879,28437908.0
2010-01-11,32.936,33.396,32.562,32.792,8211033.0
2010-01-12,33.08,33.338,31.786,32.218,12785162.0
2010-01-13,32.016,32.275,31.729,32.016,10497579.0
2010-01-14,32.218,32.534,32.103,32.361,7992149.0
2010-01-15,33.223,33.827,32.591,33.281,18259901.0
2010-01-16,33.223,33.827,32.591,33.281,18259901.0
2010-01-17,33.223,33.827,32.591,33.281,18259901.0
2010-01-18,33.597,34.201,33.223,33.396,10091384.0
2010-01-19,33.367,33.511,32.735,33.31,14246774.0
2010-01-20,33.338,33.77,33.051,33.252,11590669.0
2010-01-21,33.54,33.827,32.907,33.425,24396522.0
2010-01-22,33.31,33.999,32.821,33.051,22195052.0
2010-01-23,33.31,33.999,32.821,33.051,22195052.0
2010-01-24,33.31,33.999,32.821,33.051,22195052.0
2010-01-25,33.051,33.683,32.85,32.965,10016624.0
2010-01-26,32.764,33.051,32.476,32.649,16632560.0
2010-01-27,32.562,32.792,32.131,32.505,12510076.0
2010-01-28,33.08,33.281,32.476,32.476,15132531.0
2010-01-29,32.591,33.137,32.218,32.476,16303762.0
2010-01-30,32.591,33.137,32.218,32.476,16303762.0
2010-01-31,32.591,33.137,32.218,32.476,16303762.0
2010-02-01,32.275,32.821,32.16,32.39,20985533.0
2010-02-02,32.447,32.677,32.218,32.476,15553697.0
2010-02-03,32.534,33.051,32.246,32.361,37618750.0
2010-02-04,32.447,32.505,30.953,31.24,19038991.0
2010-02-05,31.039,31.039,29.66,30.177,25923514.0
2010-02-06,31.039,31.039,29.66,30.177,25923514.0
2010-02-07,31.039,31.039,29.66,30.177,25923514.0
2010-02-08,30.378,30.982,29.114,29.487,25486637.0
2010-02-09,29.315,29.602,28.366,28.797,81620102.0
2010-02-10,28.941,29.573,28.734,29.056,35141976.0
2010-02-11,29.114,29.286,28.113,28.602,39949803.0
2010-02-12,28.665,29.2,28.366,28.596,30721586.0
2010-02-13,28.665,29.2,28.366,28.596,30721586.0
2010-02-14,28.665,29.2,28.366,28.596,30721586.0
2010-02-15,28.688,28.912,28.568,28.614,7016887.0
2010-02-16,29.027,29.056,28.585,28.999,13346529.0
2010-02-17,29.315,30.177,29.286,30.005,23581525.0
2010-02-18,29.918,30.292,29.775,30.005,12455457.0
2010-02-19,29.832,31.039,29.746,30.867,24994023.0
2010-02-20,29.832,31.039,29.746,30.867,24994023.0
2010-02-21,29.832,31.039,29.746,30.867,24994023.0
2010-02-22,30.867,31.442,30.608,31.01,20460487.0
2010-02-23,31.01,31.125,30.666,30.752,14083889.0
2010-02-24,30.694,31.269,30.464,31.183,19697526.0
2010-02-25,30.982,31.643,30.752,31.01,23110782.0
2010-02-26,31.125,31.24,30.752,31.039,20016167.0
2010-02-27,31.125,31.24,30.752,31.039,20016167.0
2010-02-28,31.125,31.24,30.752,31.039,20016167.0
2010-03-01,31.614,32.649,31.355,31.729,30455042.0
2010-03-02,32.16,32.189,30.896,31.671,36779085.0
2010-03-03,32.764,33.051,31.068,31.614,57213034.0
2010-03-04,31.557,31.643,30.464,30.694,31797099.0
2010-03-05,30.953,31.442,30.033,30.177,32690170.0
2010-03-06,30.953,31.442,30.033,30.177,32690170.0
2010-03-07,30.953,31.442,30.033,30.177,32690170.0
2010-03-08,30.091,30.234,29.545,29.66,25324015.0
2010-03-09,29.746,30.177,29.602,29.803,24698881.0
2010-03-10,29.775,30.436,29.315,30.062,57818485.0
2010-03-11,29.861,29.947,29.114,29.401,29881059.0
2010-03-12,29.401,30.464,29.372,29.803,27637484.0
2010-03-13,29.401,30.464,29.372,29.803,27637484.0
2010-03-14,29.401,30.464,29.372,29.803,27637484.0
2010-03-15,29.803,30.378,29.602,30.091,16221321.0
2010-03-16,30.234,30.982,30.062,30.608,19386641.0
2010-03-17,30.809,31.327,30.666,30.924,22436312.0
2010-03-18,31.039,31.93,31.039,31.47,28979603.0
2010-03-19,31.643,31.901,30.896,31.125,28494868.0
2010-03-20,31.643,31.901,30.896,31.125,28494868.0
2010-03-21,31.643,31.901,30.896,31.125,28494868.0
2010-03-22,31.039,31.384,30.407,30.867,15527345.0
2010-03-23,30.781,31.442,30.781,31.154,15170833.0
2010-03-24,31.125,32.792,31.125,32.764,37189135.0
2010-03-25,32.764,34.689,32.764,34.229,52368134.0
2010-03-26,34.316,34.402,33.453,33.741,29456192.0
2010-03-27,34.316,34.402,33.453,33.741,29456192.0
2010-03-28,34.316,34.402,33.453,33.741,29456192.0
2010-03-29,33.798,35.609,33.798,34.833,39947666.0
2010-03-30,34.804,35.034,34.316,34.402,14619034.0
2010-03-31,34.287,35.436,34.172,34.919,19743321.0
2010-04-01,35.005,36.701,34.948,36.184,28578096.0
2010-04-02,35.005,36.701,34.948,36.184,28578096.0
2010-04-03,35.005,36.701,34.948,36.184,28578096.0
2010-04-04,35.005,36.701,34.948,36.184,28578096.0
2010-04-05,35.005,36.701,34.948,36.184,28578096.0
2010-04-06,36.212,37.103,36.04,36.787,19347027.0
2010-04-07,36.672,37.218,36.299,36.385,24702799.0
2010-04-08,36.356,36.385,35.465,35.868,19151576.0
2010-04-09,36.212,36.701,36.212,36.672,11964297.0
2010-04-10,36.212,36.701,36.212,36.672,11964297.0
2010-04-11,36.212,36.701,36.212,36.672,11964297.0
2010-04-12,36.758,37.103,36.442,36.73,19941228.0
2010-04-13,36.644,36.816,36.241,36.615,19938964.0
2010-04-14,36.672,37.908,36.672,37.534,15717860.0
2010-04-15,37.506,39.345,37.477,39.086,30260421.0
2010-04-16,39.058,39.977,38.684,38.856,26017990.0
2010-04-17,39.058,39.977,38.684,38.856,26017990.0
2010-04-18,39.058,39.977,38.684,38.856,26017990.0
2010-04-19,38.828,38.828,37.534,38.454,21578464.0
2010-04-20,38.799,39.144,38.31,39.058,12378880.0
2010-04-21,39.115,39.834,38.454,38.598,26493139.0
2010-04-22,38.713,39.546,38.023,38.483,17010843.0
2010-04-23,38.54,40.293,38.512,39.949,19738455.0
2010-04-24,38.54,40.293,38.512,39.949,19738455.0
2010-04-25,38.54,40.293,38.512,39.949,19738455.0
2010-04-26,40.523,41.242,39.776,39.891,22008917.0
2010-04-27,39.92,40.265,38.598,38.598,20130971.0
2010-04-28,38.282,38.31,36.097,37.247,42134215.0
2010-04-29,37.448,38.483,37.218,38.253,20049370.0
2010-04-30,38.454,39.23,38.023,38.655,23943862.0
2010-05-01,38.454,39.23,38.023,38.655,23943862.0
2010-05-02,38.454,39.23,38.023,38.655,23943862.0
2010-05-03,38.454,39.23,38.023,38.655,23943862.0
2010-05-04,38.885,39.747,37.621,37.822,30209994.0
2010-05-05,37.649,38.052,35.896,36.327,45006999.0
2010-05-06,36.184,37.103,34.948,35.063,30343767.0
2010-05-07,33.913,33.913,31.7,32.045,64650992.0
2010-05-08,33.913,33.913,31.7,32.045,64650992.0
2010-05-09,33.913,33.913,31.7,32.045,64650992.0
2010-05-10,32.764,33.999,32.591,33.396,54238084.0
2010-05-11,32.534,33.252,31.901,33.051,30736729.0
2010-05-12,34.66,35.523,34.258,35.321,59715015.0
2010-05-13,35.436,35.666,34.919,35.264,27119864.0
2010-05-14,34.919,35.235,33.884,33.884,22504534.0
2010-05-15,34.919,35.235,33.884,33.884,22504534.0
2010-05-16,34.919,35.235,33.884,33.884,22504534.0
2010-05-17,33.798,33.942,32.994,33.31,32541823.0
2010-05-18,33.798,33.884,32.764,33.54,30215580.0
2010-05-19,33.31,33.31,31.988,32.16,28972621.0
2010-05-20,32.476,32.562,30.838,31.24,34173008.0
2010-05-21,31.327,31.873,30.234,31.154,42410300.0
2010-05-22,31.327,31.873,30.234,31.154,42410300.0
2010-05-23,31.327,31.873,30.234,31.154,42410300.0
2010-05-24,31.24,31.7,31.039,31.499,22993594.0
2010-05-25,30.551,30.924,29.688,30.551,46326093.0
2010-05-26,31.585,32.534,31.442,31.729,234825032.0
2010-05-27,31.7,32.103,30.867,31.873,38202508.0
2010-05-28,32.045,32.792,32.016,32.131,23786022.0
2010-05-29,32.045,32.792,32.016,32.131,23786022.0
2010-05-30,32.045,32.792,32.016,32.131,23786022.0
2010-05-31,32.045,32.792,32.016,32.131,23786022.0
2010-06-01,32.074,32.447,31.068,31.643,16181321.0
2010-06-02,30.953,31.671,30.752,31.614,23646893.0
2010-06-03,32.419,33.195,32.045,32.304,18961129.0
2010-06-04,32.131,32.907,31.499,31.671,22137699.0
2010-06-05,32.131,32.907,31.499,31.671,22137699.0
2010-06-06,32.131,32.907,31.499,31.671,22137699.0
2010-06-07,31.643,31.815,31.039,31.125,14946429.0
2010-06-08,31.327,31.557,29.602,29.746,25580903.0
2010-06-09,30.177,30.378,29.631,30.321,24279678.0
2010-06-10,30.551,31.959,30.321,31.758,34300936.0
2010-06-11,32.189,32.447,31.758,32.189,13650384.0
2010-06-12,32.189,32.447,31.758,32.189,13650384.0
2010-06-13,32.189,32.447,31.758,32.189,13650384.0
2010-06-14,32.706,32.907,32.16,32.591,11402688.0
2010-06-15,32.505,34.488,32.505,33.741,23513908.0
2010-06-16,34.344,34.344,32.534,32.764,15952407.0
2010-06-17,32.591,33.712,32.562,33.453,16959739.0
2010-06-18,33.683,33.712,32.994,33.367,18677462.0
2010-06-19,33.683,33.712,32.994,33.367,18677462.0
2010-06-20,33.683,33.712,32.994,33.367,18677462.0
2010-06-21,33.712,34.201,32.764,32.879,13784536.0
2010-06-22,32.677,32.965,31.901,32.85,13138289.0
2010-06-23,32.792,33.453,32.534,32.764,11408591.0
2010-06-24,33.137,33.166,31.729,31.786,13617962.0
2010-06-25,31.47,31.901,30.579,30.752,16873054.0
2010-06-26,31.47,31.901,30.579,30.752,16873054.0
2010-06-27,31.47,31.901,30.579,30.752,16873054.0
2010-06-28,30.752,31.097,29.947,30.407,21312771.0
2010-06-29,30.148,30.292,28.97,28.97,23588654.0
2010-06-30,28.97,29.516,28.648,28.941,28846740.0
2010-07-01,28.74,28.97,27.987,28.223,28930859.0
2010-07-02,28.372,29.2,28.343,28.625,15780720.0
2010-07-03,28.372,29.2,28.343,28.625,15780720.0
2010-07-04,28.372,29.2,28.343,28.625,15780720.0
2010-07-05,28.481,28.797,27.711,27.751,24308749.0
2010-07-06,27.809,28.723,27.809,28.32,30649430.0
2010-07-07,27.93,28.343,26.883,28.309,25776137.0
2010-07-08,28.51,29.401,28.51,29.2,21233088.0
2010-07-09,29.344,30.206,29.344,29.918,23095908.0
2010-07-10,29.344,30.206,29.344,29.918,23095908.0
2010-07-11,29.344,30.206,29.344,29.918,23095908.0
2010-07-12,30.321,30.694,29.861,30.234,23018974.0
2010-07-13,30.349,31.384,29.89,31.327,17916705.0
2010-07-14,30.752,31.01,29.573,30.12,29635980.0
2010-07-15,29.861,30.263,29.372,29.573,20422308.0
2010-07-16,29.803,30.12,28.97,29.027,13998071.0
2010-07-17,29.803,30.12,28.97,29.027,13998071.0
2010-07-18,29.803,30.12,28.97,29.027,13998071.0
2010-07-19,28.826,29.344,28.637,28.769,12133270.0
2010-07-20,28.769,29.229,28.424,29.171,27978253.0
2010-07-21,29.516,30.263,29.229,29.947,21033139.0
2010-07-22,29.89,30.148,29.459,30.148,22340490.0
2010-07-23,30.177,31.413,30.148,31.327,14111985.0
2010-07-24,30.177,31.413,30.148,31.327,14111985.0
2010-07-25,30.177,31.413,30.148,31.327,14111985.0
2010-07-26,31.557,31.959,31.039,31.815,16160942.0
2010-07-27,31.988,32.074,31.068,31.154,19736974.0
2010-07-28,31.125,31.442,30.378,30.666,19155728.0
2010-07-29,30.608,31.614,30.608,30.809,18499591.0
2010-07-30,30.809,30.809,29.487,29.717,26075645.0
2010-07-31,30.809,30.809,29.487,29.717,26075645.0
2010-08-01,30.809,30.809,29.487,29.717,26075645.0
2010-08-02,30.148,30.953,29.861,30.781,23158618.0
2010-08-03,29.918,30.263,29.315,29.66,26990645.0
2010-08-04,29.43,29.545,29.114,29.372,49196688.0
2010-08-05,29.89,30.292,29.372,29.832,32452938.0
2010-08-06,29.976,30.464,29.43,29.573,22629825.0
2010-08-07,29.976,30.464,29.43,29.573,22629825.0
2010-08-08,29.976,30.464,29.43,29.573,22629825.0
2010-08-09,30.234,30.723,29.861,30.723,25453293.0
2010-08-10,30.637,30.953,30.292,30.349,33772910.0
2010-08-11,30.321,30.321,29.2,29.2,21944003.0
2010-08-12,29.171,29.516,28.487,28.619,23189303.0
2010-08-13,28.941,29.315,28.499,28.74,18790415.0
2010-08-14,28.941,29.315,28.499,28.74,18790415.0
2010-08-15,28.941,29.315,28.499,28.74,18790415.0
2010-08-16,28.74,28.941,28.545,28.694,19015272.0
2010-08-17,28.683,29.114,28.642,29.056,20345239.0
2010-08-18,28.797,30.263,28.797,30.12,28301625.0
2010-08-19,31.327,32.419,30.464,32.16,58967350.0
2010-08-20,32.189,32.447,31.269,31.327,23677564.0
2010-08-21,32.189,32.447,31.269,31.327,23677564.0
2010-08-22,32.189,32.447,31.269,31.327,23677564.0
2010-08-23,31.442,32.792,31.212,32.562,16021107.0
