,RMV LN Equity,RMV LN Equity,RMV LN Equity,RMV LN Equity,RMV LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,41.164,42.846,41.164,42.425,1129290.0
2010-01-02,41.164,42.846,41.164,42.425,1129290.0
2010-01-03,41.164,42.846,41.164,42.425,1129290.0
2010-01-04,41.879,43.308,41.879,43.308,4418300.0
2010-01-05,43.35,43.35,42.173,42.383,2619460.0
2010-01-06,42.173,42.72,42.047,42.677,1442200.0
2010-01-07,42.635,44.149,42.425,43.476,7042180.0
2010-01-08,43.813,44.065,43.308,43.687,2939520.0
2010-01-09,43.813,44.065,43.308,43.687,2939520.0
2010-01-10,43.813,44.065,43.308,43.687,2939520.0
2010-01-11,43.981,44.612,43.939,44.528,4553900.0
2010-01-12,44.233,44.401,43.308,43.687,6101080.0
2010-01-13,43.518,44.317,43.518,43.729,10606990.0
2010-01-14,43.771,44.401,43.434,44.191,6635130.0
2010-01-15,44.528,44.696,44.149,44.528,3062970.0
2010-01-16,44.528,44.696,44.149,44.528,3062970.0
2010-01-17,44.528,44.696,44.149,44.528,3062970.0
2010-01-18,44.906,45.032,43.771,44.443,2604790.0
2010-01-19,44.317,44.864,43.771,44.233,4750740.0
2010-01-20,44.359,44.948,43.813,44.149,7514080.0
2010-01-21,44.023,46.125,43.603,43.939,8731670.0
2010-01-22,44.065,44.107,42.72,43.014,4501160.0
2010-01-23,44.065,44.107,42.72,43.014,4501160.0
2010-01-24,44.065,44.107,42.72,43.014,4501160.0
2010-01-25,42.93,43.308,42.509,42.677,1729090.0
2010-01-26,42.888,42.888,42.005,42.509,3480840.0
2010-01-27,42.131,43.308,41.643,42.089,2471800.0
2010-01-28,42.341,42.635,41.946,42.131,2404720.0
2010-01-29,42.551,45.368,41.879,44.443,11975050.0
2010-01-30,42.551,45.368,41.879,44.443,11975050.0
2010-01-31,42.551,45.368,41.879,44.443,11975050.0
2010-02-01,44.738,45.368,43.645,43.855,7403600.0
2010-02-02,43.645,45.242,43.224,45.242,9498510.0
2010-02-03,45.326,45.873,44.57,44.906,2499310.0
2010-02-04,45.2,46.041,44.191,44.485,3742280.0
2010-02-05,44.57,44.57,43.098,44.149,5676690.0
2010-02-06,44.57,44.57,43.098,44.149,5676690.0
2010-02-07,44.57,44.57,43.098,44.149,5676690.0
2010-02-08,44.191,44.317,43.182,44.149,8143000.0
2010-02-09,45.411,47.723,45.411,47.513,7575920.0
2010-02-10,47.933,50.162,47.555,48.48,9369240.0
2010-02-11,48.522,49.699,48.48,49.237,4283030.0
2010-02-12,49.699,49.699,47.975,48.522,3778390.0
2010-02-13,49.699,49.699,47.975,48.522,3778390.0
2010-02-14,49.699,49.699,47.975,48.522,3778390.0
2010-02-15,48.438,49.279,48.144,49.237,1104940.0
