,RIO LN Equity,RIO LN Equity,RIO LN Equity,RIO LN Equity,RIO LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1509.435,1510.315,1477.334,1490.746,937796.0
2010-01-02,1509.435,1510.315,1477.334,1490.746,937796.0
2010-01-03,1509.435,1510.315,1477.334,1490.746,937796.0
2010-01-04,1474.036,1526.805,1474.036,1525.706,4867764.0
2010-01-05,1536.26,1567.702,1524.826,1557.808,5193158.0
2010-01-06,1580.674,1610.357,1549.013,1597.825,5847458.0
2010-01-07,1597.825,1612.556,1571.22,1599.584,5562087.0
2010-01-08,1607.059,1617.833,1590.129,1600.023,4336514.0
2010-01-09,1607.059,1617.833,1590.129,1600.023,4336514.0
2010-01-10,1607.059,1617.833,1590.129,1600.023,4336514.0
2010-01-11,1636.522,1663.127,1587.491,1593.207,5896107.0
2010-01-12,1583.753,1602.002,1536.919,1564.404,6258099.0
2010-01-13,1551.651,1591.008,1539.998,1556.049,5154574.0
2010-01-14,1585.292,1606.18,1577.156,1590.789,5970935.0
2010-01-15,1586.611,1618.713,1568.142,1575.617,11685651.0
2010-01-16,1586.611,1618.713,1568.142,1575.617,11685651.0
2010-01-17,1586.611,1618.713,1568.142,1575.617,11685651.0
2010-01-18,1584.632,1601.562,1571.22,1589.689,2886600.0
2010-01-19,1583.093,1609.038,1558.467,1592.548,3937442.0
2010-01-20,1578.696,1580.894,1513.833,1524.167,7954538.0
2010-01-21,1537.359,1554.07,1443.473,1448.75,12501000.0
2010-01-22,1451.169,1482.611,1402.796,1447.651,12881851.0
2010-01-23,1451.169,1482.611,1402.796,1447.651,12881851.0
2010-01-24,1451.169,1482.611,1402.796,1447.651,12881851.0
2010-01-25,1446.771,1477.553,1409.393,1415.989,7711117.0
2010-01-26,1391.803,1404.116,1371.354,1400.598,9263721.0
2010-01-27,1371.134,1404.775,1349.587,1377.071,8257676.0
2010-01-28,1408.513,1424.124,1337.494,1342.771,10192099.0
2010-01-29,1348.268,1384.547,1344.53,1362.779,9168909.0
2010-01-30,1348.268,1384.547,1344.53,1362.779,9168909.0
2010-01-31,1348.268,1384.547,1344.53,1362.779,9168909.0
2010-02-01,1341.232,1403.676,1337.274,1399.718,6715225.0
2010-02-02,1433.579,1464.361,1412.471,1447.211,10496975.0
2010-02-03,1463.701,1471.617,1420.166,1426.763,8361757.0
2010-02-04,1406.974,1417.748,1348.707,1360.581,8805059.0
2010-02-05,1336.834,1351.786,1300.995,1335.075,12634295.0
2010-02-06,1336.834,1351.786,1300.995,1335.075,12634295.0
2010-02-07,1336.834,1351.786,1300.995,1335.075,12634295.0
2010-02-08,1349.147,1380.369,1310.889,1348.048,7651230.0
2010-02-09,1356.623,1415.989,1349.367,1398.399,7911405.0
2010-02-10,1392.682,1428.082,1371.134,1380.589,8648172.0
2010-02-11,1429.181,1445.452,1391.363,1414.23,11170294.0
