,NXT LN Equity,NXT LN Equity,NXT LN Equity,NXT LN Equity,NXT LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1268.604,1277.757,1260.671,1271.044,250536.0
2010-01-02,1268.604,1277.757,1260.671,1271.044,250536.0
2010-01-03,1268.604,1277.757,1260.671,1271.044,250536.0
2010-01-04,1272.265,1305.215,1267.383,1305.215,1065754.0
2010-01-05,1296.673,1296.673,1259.451,1281.418,4210024.0
2010-01-06,1280.197,1286.91,1271.044,1282.028,1438319.0
2010-01-07,1277.757,1280.808,1250.908,1256.4,1617104.0
2010-01-08,1259.451,1267.383,1228.33,1244.806,1829541.0
2010-01-09,1259.451,1267.383,1228.33,1244.806,1829541.0
2010-01-10,1259.451,1267.383,1228.33,1244.806,1829541.0
2010-01-11,1254.569,1260.671,1239.924,1252.128,1638894.0
2010-01-12,1251.518,1255.789,1229.551,1250.908,1294742.0
2010-01-13,1244.806,1250.908,1235.653,1235.653,1197544.0
2010-01-14,1233.822,1247.857,1208.804,1225.279,1687398.0
2010-01-15,1216.126,1223.449,1190.498,1196.6,2594897.0
2010-01-16,1216.126,1223.449,1190.498,1196.6,2594897.0
2010-01-17,1216.126,1223.449,1190.498,1196.6,2594897.0
2010-01-18,1197.82,1208.804,1186.837,1208.194,1275337.0
2010-01-19,1205.753,1224.669,1199.651,1222.228,996563.0
2010-01-20,1221.618,1229.551,1214.906,1220.398,961476.0
2010-01-21,1228.33,1229.551,1197.21,1199.041,1078746.0
2010-01-22,1196.6,1204.533,1174.023,1185.006,1641502.0
2010-01-23,1196.6,1204.533,1174.023,1185.006,1641502.0
2010-01-24,1196.6,1204.533,1174.023,1185.006,1641502.0
2010-01-25,1175.853,1192.329,1170.362,1170.972,923671.0
2010-01-26,1166.7,1183.176,1159.988,1181.345,1077137.0
2010-01-27,1174.023,1194.159,1164.87,1174.633,1097987.0
2010-01-28,1189.278,1208.804,1184.396,1189.888,2005075.0
2010-01-29,1195.99,1208.194,1188.057,1199.651,1087541.0
2010-01-30,1195.99,1208.194,1188.057,1199.651,1087541.0
2010-01-31,1195.99,1208.194,1188.057,1199.651,1087541.0
2010-02-01,1194.159,1212.465,1188.667,1210.635,1076431.0
2010-02-02,1214.296,1239.314,1204.533,1233.822,1268421.0
2010-02-03,1233.212,1238.094,1218.567,1221.008,926491.0
2010-02-04,1223.449,1223.449,1188.667,1194.769,817109.0
2010-02-05,1187.447,1188.057,1159.378,1166.09,1208013.0
2010-02-06,1187.447,1188.057,1159.378,1166.09,1208013.0
2010-02-07,1187.447,1188.057,1159.378,1166.09,1208013.0
2010-02-08,1171.582,1176.463,1144.733,1148.394,991641.0
2010-02-09,1146.564,1167.311,1140.462,1159.378,1219282.0
2010-02-10,1163.649,1169.751,1158.768,1164.26,887379.0
2010-02-11,1171.582,1188.667,1162.429,1171.582,1454089.0
2010-02-12,1181.345,1184.396,1164.26,1169.751,953183.0
2010-02-13,1181.345,1184.396,1164.26,1169.751,953183.0
2010-02-14,1181.345,1184.396,1164.26,1169.751,953183.0
2010-02-15,1175.243,1178.294,1159.988,1161.209,453724.0
2010-02-16,1165.48,1170.362,1160.598,1169.141,770136.0
2010-02-17,1177.684,1189.278,1177.684,1181.955,1342812.0
2010-02-18,1184.396,1191.718,1176.463,1176.463,757978.0
2010-02-19,1169.141,1186.837,1166.09,1184.396,1534630.0
2010-02-20,1169.141,1186.837,1166.09,1184.396,1534630.0
2010-02-21,1169.141,1186.837,1166.09,1184.396,1534630.0
2010-02-22,1167.311,1176.463,1148.394,1149.615,1432185.0
2010-02-23,1155.717,1157.547,1113.613,1117.884,1550107.0
2010-02-24,1120.935,1135.58,1113.613,1128.868,1343848.0
2010-02-25,1123.376,1134.36,1108.121,1108.731,1458447.0
2010-02-26,1117.274,1147.174,1112.393,1144.123,1863803.0
2010-02-27,1117.274,1147.174,1112.393,1144.123,1863803.0
2010-02-28,1117.274,1147.174,1112.393,1144.123,1863803.0
2010-03-01,1161.819,1161.819,1128.258,1132.529,2224516.0
2010-03-02,1128.868,1156.327,1128.868,1152.666,1241713.0
2010-03-03,1152.056,1158.158,1146.564,1153.886,2183438.0
2010-03-04,1151.445,1170.972,1144.733,1148.394,1320300.0
2010-03-05,1147.784,1190.498,1147.784,1187.447,1685395.0
2010-03-06,1147.784,1190.498,1147.784,1187.447,1685395.0
2010-03-07,1147.784,1190.498,1147.784,1187.447,1685395.0
2010-03-08,1187.447,1207.584,1185.616,1200.261,982583.0
2010-03-09,1199.041,1214.906,1194.769,1205.143,1477675.0
2010-03-10,1208.804,1212.465,1191.718,1206.973,838675.0
2010-03-11,1203.312,1242.975,1203.312,1232.602,1322135.0
2010-03-12,1234.432,1237.483,1221.008,1224.669,732182.0
2010-03-13,1234.432,1237.483,1221.008,1224.669,732182.0
2010-03-14,1234.432,1237.483,1221.008,1224.669,732182.0
2010-03-15,1221.008,1230.771,1217.347,1225.89,839934.0
2010-03-16,1230.161,1244.806,1225.89,1241.145,918484.0
2010-03-17,1244.196,1272.875,1242.365,1262.502,1318080.0
2010-03-18,1258.84,1276.536,1258.23,1262.502,954695.0
2010-03-19,1263.112,1275.926,1261.281,1266.773,1572340.0
2010-03-20,1263.112,1275.926,1261.281,1266.773,1572340.0
2010-03-21,1263.112,1275.926,1261.281,1266.773,1572340.0
2010-03-22,1262.502,1269.214,1253.349,1267.383,892913.0
2010-03-23,1264.332,1273.485,1260.671,1267.993,650224.0
2010-03-24,1270.434,1273.485,1255.789,1263.112,976675.0
2010-03-25,1306.436,1343.048,1305.826,1326.572,2935860.0
2010-03-26,1326.572,1344.268,1307.046,1340.607,1472995.0
2010-03-27,1326.572,1344.268,1307.046,1340.607,1472995.0
2010-03-28,1326.572,1344.268,1307.046,1340.607,1472995.0
2010-03-29,1346.709,1350.37,1333.285,1340.607,1094583.0
2010-03-30,1343.658,1344.268,1313.758,1316.199,1319098.0
2010-03-31,1308.877,1324.132,1304.605,1320.47,851280.0
2010-04-01,1324.742,1332.674,1318.03,1332.064,837674.0
2010-04-02,1324.742,1332.674,1318.03,1332.064,837674.0
