,RDW LN Equity,RDW LN Equity,RDW LN Equity,RDW LN Equity,RDW LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,94.082,94.508,92.447,94.508,99216.0
2010-01-02,94.082,94.508,92.447,94.508,99216.0
2010-01-03,94.082,94.508,92.447,94.508,99216.0
2010-01-04,92.163,96.64,92.163,96.497,298731.0
2010-01-05,96.0,98.487,95.787,97.492,802341.0
2010-01-06,98.203,98.629,95.787,98.061,404967.0
2010-01-07,98.7,103.817,97.066,101.969,845412.0
2010-01-08,101.614,104.669,99.269,102.537,728733.0
2010-01-09,101.614,104.669,99.269,102.537,728733.0
2010-01-10,101.614,104.669,99.269,102.537,728733.0
2010-01-11,103.532,103.532,98.061,100.832,489686.0
2010-01-12,105.309,105.309,97.634,100.548,367343.0
2010-01-13,101.401,101.401,97.705,99.127,354504.0
2010-01-14,100.619,102.395,97.848,99.198,225307.0
2010-01-15,99.695,99.979,95.858,96.853,1511007.0
2010-01-16,99.695,99.979,95.858,96.853,1511007.0
2010-01-17,99.695,99.979,95.858,96.853,1511007.0
2010-01-18,96.64,97.279,94.437,96.426,1272558.0
2010-01-19,95.076,96.071,93.229,95.29,573546.0
2010-01-20,94.65,96.711,94.366,95.574,1115483.0
2010-01-21,96.497,96.497,94.295,94.295,384320.0
2010-01-22,93.442,93.442,90.742,91.594,635751.0
2010-01-23,93.442,93.442,90.742,91.594,635751.0
2010-01-24,93.442,93.442,90.742,91.594,635751.0
2010-01-25,93.158,93.158,91.879,92.163,593000.0
2010-01-26,92.021,92.66,91.381,92.021,398621.0
2010-01-27,90.742,91.808,89.178,90.955,528067.0
2010-01-28,91.879,92.731,91.452,92.021,432116.0
2010-01-29,92.376,95.858,91.523,93.087,1094391.0
2010-01-30,92.376,95.858,91.523,93.087,1094391.0
2010-01-31,92.376,95.858,91.523,93.087,1094391.0
2010-02-01,94.934,95.432,91.95,93.087,550340.0
2010-02-02,93.513,98.274,93.016,97.492,566856.0
2010-02-03,96.924,102.182,95.503,100.832,1833392.0
2010-02-04,100.406,100.69,98.061,99.411,880951.0
2010-02-05,99.198,99.198,95.218,96.142,1760072.0
2010-02-06,99.198,99.198,95.218,96.142,1760072.0
2010-02-07,99.198,99.198,95.218,96.142,1760072.0
2010-02-08,95.929,96.995,91.168,94.366,1257593.0
2010-02-09,95.29,95.29,91.95,94.863,668503.0
2010-02-10,94.934,95.787,92.376,92.802,482060.0
2010-02-11,94.082,98.558,93.726,97.492,958204.0
2010-02-12,97.492,98.7,95.787,97.563,595858.0
2010-02-13,97.492,98.7,95.787,97.563,595858.0
2010-02-14,97.492,98.7,95.787,97.563,595858.0
2010-02-15,96.924,98.132,96.0,97.137,178380.0
2010-02-16,98.913,100.193,97.634,100.193,368980.0
2010-02-17,101.543,104.385,100.619,100.832,592207.0
2010-02-18,100.548,101.827,98.558,99.056,386811.0
2010-02-19,98.132,99.695,97.777,98.7,296078.0
2010-02-20,98.132,99.695,97.777,98.7,296078.0
2010-02-21,98.132,99.695,97.777,98.7,296078.0
2010-02-22,99.482,101.472,98.558,100.548,407364.0
2010-02-23,97.563,101.329,97.279,98.132,296545.0
2010-02-24,100.335,103.674,96.995,98.203,2062349.0
2010-02-25,98.203,101.685,94.65,95.218,2938000.0
2010-02-26,93.229,98.203,93.229,95.218,1917121.0
2010-02-27,93.229,98.203,93.229,95.218,1917121.0
2010-02-28,93.229,98.203,93.229,95.218,1917121.0
2010-03-01,95.076,95.787,91.879,95.574,5321576.0
2010-03-02,95.076,100.619,95.076,100.193,899620.0
2010-03-03,100.477,100.832,96.426,98.558,819406.0
2010-03-04,98.842,101.187,98.132,99.482,595053.0
2010-03-05,98.842,100.619,98.842,100.406,398904.0
2010-03-06,98.842,100.619,98.842,100.406,398904.0
2010-03-07,98.842,100.619,98.842,100.406,398904.0
2010-03-08,99.624,103.319,99.624,102.893,566265.0
2010-03-09,103.39,103.603,99.127,100.121,1436674.0
2010-03-10,100.69,101.614,98.842,99.908,271075.0
2010-03-11,99.482,100.903,99.198,99.695,405330.0
2010-03-12,100.903,102.68,100.548,102.04,645066.0
2010-03-13,100.903,102.68,100.548,102.04,645066.0
2010-03-14,100.903,102.68,100.548,102.04,645066.0
2010-03-15,101.614,101.614,98.985,99.695,466198.0
2010-03-16,100.69,100.903,99.695,99.979,415665.0
2010-03-17,100.903,101.258,98.913,98.913,373155.0
2010-03-18,99.979,100.264,98.203,98.345,335092.0
2010-03-19,98.487,100.974,97.777,100.477,1011633.0
2010-03-20,98.487,100.974,97.777,100.477,1011633.0
2010-03-21,98.487,100.974,97.777,100.477,1011633.0
2010-03-22,100.477,100.477,96.995,98.416,576745.0
2010-03-23,97.421,99.482,96.355,96.995,537638.0
2010-03-24,98.061,99.482,97.35,98.416,2924949.0
2010-03-25,99.34,100.903,98.913,99.269,551291.0
2010-03-26,100.264,101.543,99.482,100.903,904611.0
2010-03-27,100.264,101.543,99.482,100.903,904611.0
2010-03-28,100.264,101.543,99.482,100.903,904611.0
2010-03-29,101.614,101.614,97.777,98.842,487001.0
2010-03-30,99.766,100.903,99.34,99.553,311033.0
2010-03-31,100.69,100.903,99.695,100.69,541785.0
2010-04-01,101.045,101.116,99.553,101.116,305514.0
2010-04-02,101.045,101.116,99.553,101.116,305514.0
2010-04-03,101.045,101.116,99.553,101.116,305514.0
2010-04-04,101.045,101.116,99.553,101.116,305514.0
2010-04-05,101.045,101.116,99.553,101.116,305514.0
2010-04-06,101.898,102.822,100.548,102.324,728143.0
2010-04-07,101.329,104.101,101.329,102.893,569040.0
2010-04-08,102.253,102.893,99.979,100.903,286663.0
2010-04-09,102.253,102.964,100.335,101.116,156996.0
2010-04-10,102.253,102.964,100.335,101.116,156996.0
2010-04-11,102.253,102.964,100.335,101.116,156996.0
2010-04-12,100.406,102.537,100.406,101.401,165581.0
2010-04-13,100.903,101.969,100.548,100.761,227710.0
2010-04-14,101.258,101.258,99.269,100.832,147701.0
2010-04-15,101.258,102.111,98.274,101.543,723555.0
2010-04-16,101.543,101.543,100.05,100.406,254861.0
2010-04-17,101.543,101.543,100.05,100.406,254861.0
2010-04-18,101.543,101.543,100.05,100.406,254861.0
2010-04-19,100.903,100.903,99.34,99.553,185571.0
2010-04-20,100.477,102.537,100.477,101.258,1146430.0
2010-04-21,100.193,102.822,100.193,100.974,173283.0
2010-04-22,104.314,106.375,103.603,106.304,786250.0
2010-04-23,106.588,110.851,106.588,107.369,523055.0
2010-04-24,106.588,110.851,106.588,107.369,523055.0
2010-04-25,106.588,110.851,106.588,107.369,523055.0
2010-04-26,110.141,111.775,105.806,107.583,851582.0
2010-04-27,106.801,110.638,105.167,107.938,705883.0
2010-04-28,106.872,107.867,103.319,105.522,452596.0
2010-04-29,106.73,108.293,105.522,106.375,793505.0
2010-04-30,106.801,108.009,104.598,105.948,705949.0
2010-05-01,106.801,108.009,104.598,105.948,705949.0
2010-05-02,106.801,108.009,104.598,105.948,705949.0
2010-05-03,106.801,108.009,104.598,105.948,705949.0
2010-05-04,108.009,108.009,100.406,103.035,656012.0
2010-05-05,103.248,106.304,102.324,103.888,553823.0
2010-05-06,103.817,105.593,100.903,103.248,478252.0
2010-05-07,100.761,100.761,90.529,92.376,1630411.0
2010-05-08,100.761,100.761,90.529,92.376,1630411.0
2010-05-09,100.761,100.761,90.529,92.376,1630411.0
2010-05-10,93.3,103.603,93.3,101.898,1023935.0
2010-05-11,99.482,100.193,94.082,97.919,554222.0
2010-05-12,98.203,101.329,96.64,98.842,949446.0
2010-05-13,98.132,99.837,95.147,96.64,699117.0
2010-05-14,97.848,97.848,92.092,93.158,430785.0
2010-05-15,97.848,97.848,92.092,93.158,430785.0
2010-05-16,97.848,97.848,92.092,93.158,430785.0
2010-05-17,92.376,94.082,89.889,90.529,530632.0
2010-05-18,92.731,93.229,88.965,90.244,1009769.0
2010-05-19,88.326,89.605,85.697,86.478,557816.0
2010-05-20,87.473,87.615,81.362,83.778,777263.0
2010-05-21,83.778,85.27,81.859,85.128,701771.0
2010-05-22,83.778,85.27,81.859,85.128,701771.0
2010-05-23,83.778,85.27,81.859,85.128,701771.0
2010-05-24,86.336,88.752,85.27,86.62,509030.0
2010-05-25,82.996,85.057,82.357,83.849,866242.0
2010-05-26,84.489,85.91,84.133,84.702,890108.0
2010-05-27,86.478,88.752,85.697,88.752,376864.0
2010-05-28,87.118,91.381,87.118,90.955,924181.0
2010-05-29,87.118,91.381,87.118,90.955,924181.0
2010-05-30,87.118,91.381,87.118,90.955,924181.0
2010-05-31,87.118,91.381,87.118,90.955,924181.0
