,DEC LN Equity,DEC LN Equity,DEC LN Equity,DEC LN Equity,DEC LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,1179.448,1210.486,1179.448,1210.486,1094.0
2019-01-02,1194.967,1205.313,1174.275,1184.621,16342.0
2019-01-03,1210.486,1210.486,1174.275,1194.967,25321.0
2019-01-04,1189.794,1210.486,1189.794,1210.486,1858.0
2019-01-05,1189.794,1210.486,1189.794,1210.486,1858.0
2019-01-06,1189.794,1210.486,1189.794,1210.486,1858.0
2019-01-07,1194.967,1210.486,1194.967,1210.486,10921.0
2019-01-08,1200.14,1215.659,1200.14,1205.313,13075.0
2019-01-09,1220.832,1220.832,1179.448,1200.14,34850.0
2019-01-10,1236.351,1241.524,1215.659,1231.178,18102.0
2019-01-11,1220.832,1231.178,1210.486,1215.659,17559.0
2019-01-12,1220.832,1231.178,1210.486,1215.659,17559.0
2019-01-13,1220.832,1231.178,1210.486,1215.659,17559.0
2019-01-14,1215.659,1220.832,1194.967,1205.313,17199.0
2019-01-15,1205.313,1236.351,1205.313,1220.832,1885.0
2019-01-16,1220.832,1226.005,1194.967,1220.832,6150.0
2019-01-17,1226.005,1226.005,1205.313,1220.832,1585.0
2019-01-18,1189.794,1231.178,1189.794,1220.832,5893.0
2019-01-19,1189.794,1231.178,1189.794,1220.832,5893.0
2019-01-20,1189.794,1231.178,1189.794,1220.832,5893.0
2019-01-21,1220.832,1220.832,1194.967,1205.313,24945.0
2019-01-22,1189.794,1200.14,1169.102,1184.621,10334.0
2019-01-23,1189.794,1205.313,1158.756,1169.102,7983.0
2019-01-24,1158.756,1158.756,1138.064,1143.237,61552.0
2019-01-25,1138.064,1138.064,1101.853,1117.372,44752.0
2019-01-26,1138.064,1138.064,1101.853,1117.372,44752.0
2019-01-27,1138.064,1138.064,1101.853,1117.372,44752.0
2019-01-28,1138.064,1179.448,1127.718,1169.102,73590.0
2019-01-29,1189.794,1189.794,1174.275,1179.448,11182.0
2019-01-30,1179.448,1189.794,1163.929,1179.448,85907.0
2019-01-31,1189.794,1215.659,1179.448,1200.14,41353.0
2019-02-01,1205.313,1205.313,1205.313,1205.313,5605.0
2019-02-02,1205.313,1205.313,1205.313,1205.313,5605.0
2019-02-03,1205.313,1205.313,1205.313,1205.313,5605.0
2019-02-04,1205.313,1210.486,1184.621,1205.313,25206.0
2019-02-05,1210.486,1210.486,1205.313,1210.486,5838.0
2019-02-06,1220.832,1220.832,1205.313,1205.313,2969.0
2019-02-07,1205.313,1215.659,1189.794,1194.967,4118.0
2019-02-08,1169.102,1189.794,1163.929,1179.448,6573.0
2019-02-09,1169.102,1189.794,1163.929,1179.448,6573.0
2019-02-10,1169.102,1189.794,1163.929,1179.448,6573.0
2019-02-11,1200.14,1220.832,1174.275,1179.448,7053.0
2019-02-12,1148.41,1200.14,1148.41,1179.448,8335.0
2019-02-13,1169.102,1200.14,1169.102,1184.621,1781.0
2019-02-14,1189.794,1194.967,1184.621,1184.621,9272.0
2019-02-15,1148.41,1189.794,1148.41,1169.102,6164.0
2019-02-16,1148.41,1189.794,1148.41,1169.102,6164.0
2019-02-17,1148.41,1189.794,1148.41,1169.102,6164.0
2019-02-18,1210.486,1231.178,1194.967,1210.486,51656.0
2019-02-19,1231.178,1267.389,1220.832,1231.178,135893.0
2019-02-20,1231.178,1241.524,1226.005,1236.351,11862.0
2019-02-21,1200.14,1236.351,1200.14,1231.178,2859.0
2019-02-22,1205.313,1246.697,1205.313,1226.005,11470.0
2019-02-23,1205.313,1246.697,1205.313,1226.005,11470.0
2019-02-24,1205.313,1246.697,1205.313,1226.005,11470.0
2019-02-25,1231.178,1236.351,1215.659,1220.832,23524.0
2019-02-26,1210.486,1220.832,1200.14,1210.486,12710.0
2019-02-27,1210.486,1220.832,1194.967,1210.486,10979.0
2019-02-28,1220.832,1236.351,1153.583,1169.102,1120974.0
2019-03-01,1174.275,1189.794,1148.41,1158.756,129393.0
2019-03-02,1174.275,1189.794,1148.41,1158.756,129393.0
2019-03-03,1174.275,1189.794,1148.41,1158.756,129393.0
2019-03-04,1163.929,1163.929,1122.545,1127.718,67809.0
2019-03-05,1179.448,1179.448,1122.545,1122.545,17379.0
2019-03-06,1138.064,1174.275,1127.718,1148.41,50127.0
2019-03-07,1159.065,1164.358,1100.847,1111.432,63345.0
2019-03-08,1153.772,1190.82,1132.602,1190.82,130382.0
2019-03-09,1153.772,1190.82,1132.602,1190.82,130382.0
2019-03-10,1153.772,1190.82,1132.602,1190.82,130382.0
2019-03-11,1206.698,1217.283,1190.82,1206.698,40574.0
2019-03-12,1206.698,1217.283,1201.405,1211.99,28666.0
2019-03-13,1217.283,1238.453,1190.82,1238.453,49437.0
2019-03-14,1227.868,1249.038,1227.868,1243.746,97482.0
2019-03-15,1254.331,1280.793,1238.453,1270.208,21064.0
2019-03-16,1254.331,1280.793,1238.453,1270.208,21064.0
2019-03-17,1254.331,1280.793,1238.453,1270.208,21064.0
2019-03-18,1249.038,1270.208,1238.453,1254.331,59724.0
2019-03-19,1254.331,1275.501,1254.331,1270.208,43128.0
2019-03-20,1270.208,1280.793,1259.623,1259.623,39816.0
2019-03-21,1264.916,1270.208,1254.331,1270.208,35104.0
2019-03-22,1301.963,1301.963,1259.623,1259.623,5979.0
2019-03-23,1301.963,1301.963,1259.623,1259.623,5979.0
2019-03-24,1301.963,1301.963,1259.623,1259.623,5979.0
2019-03-25,1259.623,1270.208,1249.038,1259.623,13530.0
2019-03-26,1270.208,1270.208,1254.331,1254.331,12563.0
2019-03-27,1312.548,1312.548,1233.16,1238.453,26303.0
2019-03-28,1291.378,1339.011,1275.501,1323.134,439380.0
2019-03-29,1344.304,1397.229,1339.011,1376.059,596301.0
2019-03-30,1344.304,1397.229,1339.011,1376.059,596301.0
2019-03-31,1344.304,1397.229,1339.011,1376.059,596301.0
2019-04-01,1370.766,1370.766,1333.719,1349.596,27891.0
2019-04-02,1365.474,1365.474,1333.719,1349.596,14106.0
2019-04-03,1365.474,1365.474,1333.719,1339.011,17025.0
2019-04-04,1317.841,1344.304,1317.841,1339.011,633608.0
2019-04-05,1317.841,1344.304,1312.548,1328.426,17998.0
2019-04-06,1317.841,1344.304,1312.548,1328.426,17998.0
2019-04-07,1317.841,1344.304,1312.548,1328.426,17998.0
2019-04-08,1344.304,1344.304,1312.548,1323.134,20907.0
2019-04-09,1339.011,1344.304,1323.134,1344.304,33675.0
2019-04-10,1344.304,1354.889,1328.426,1328.426,631598.0
2019-04-11,1329.429,1405.088,1324.025,1345.642,33953.0
2019-04-12,1345.642,1367.259,1340.238,1351.046,8753.0
2019-04-13,1345.642,1367.259,1340.238,1351.046,8753.0
2019-04-14,1345.642,1367.259,1340.238,1351.046,8753.0
2019-04-15,1372.663,1372.663,1318.621,1340.238,24589.0
2019-04-16,1340.238,1340.238,1297.004,1318.621,191336.0
2019-04-17,1324.025,1334.834,1297.004,1307.813,62401.0
2019-04-18,1302.408,1302.408,1280.792,1280.792,36087.0
2019-04-19,1302.408,1302.408,1280.792,1280.792,36087.0
2019-04-20,1302.408,1302.408,1280.792,1280.792,36087.0
2019-04-21,1302.408,1302.408,1280.792,1280.792,36087.0
2019-04-22,1302.408,1302.408,1280.792,1280.792,36087.0
2019-04-23,1329.429,1329.429,1291.6,1313.217,48444.0
2019-04-24,1318.621,1329.429,1302.408,1324.025,75245.0
2019-04-25,1334.834,1334.834,1302.408,1318.621,95598.0
2019-04-26,1318.621,1318.621,1307.813,1307.813,14365.0
2019-04-27,1318.621,1318.621,1307.813,1307.813,14365.0
2019-04-28,1318.621,1318.621,1307.813,1307.813,14365.0
