,PFC LN Equity,PFC LN Equity,PFC LN Equity,PFC LN Equity,PFC LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,617.367,623.343,617.367,623.343,116457.0
2010-01-02,617.367,623.343,617.367,623.343,116457.0
2010-01-03,617.367,623.343,617.367,623.343,116457.0
2010-01-04,620.355,629.918,616.172,619.16,898482.0
2010-01-05,619.758,623.941,613.184,616.172,713818.0
2010-01-06,609.598,610.793,593.162,600.633,1312593.0
2010-01-07,599.438,603.621,593.461,594.657,1649483.0
2010-01-08,596.151,596.151,581.807,588.082,1704427.0
2010-01-09,596.151,596.151,581.807,588.082,1704427.0
2010-01-10,596.151,596.151,581.807,588.082,1704427.0
2010-01-11,592.864,601.231,590.473,594.657,1037321.0
2010-01-12,593.162,593.162,573.44,588.082,2160510.0
2010-01-13,582.704,602.426,581.807,601.231,1277988.0
2010-01-14,603.024,603.024,593.461,598.84,774021.0
2010-01-15,601.828,610.195,596.449,603.024,1737400.0
2010-01-16,601.828,610.195,596.449,603.024,1737400.0
2010-01-17,601.828,610.195,596.449,603.024,1737400.0
2010-01-18,607.805,607.805,599.438,600.633,618673.0
2010-01-19,599.438,601.231,591.668,596.748,499117.0
2010-01-20,598.242,606.012,588.979,590.473,1020399.0
2010-01-21,594.059,598.84,575.233,576.428,1206889.0
2010-01-22,574.635,578.52,562.981,566.866,1190046.0
2010-01-23,574.635,578.52,562.981,566.866,1190046.0
2010-01-24,574.635,578.52,562.981,566.866,1190046.0
2010-01-25,563.878,574.635,559.694,571.348,1052797.0
2010-01-26,568.659,572.544,561.786,569.854,963068.0
2010-01-27,568.958,572.843,560.292,572.245,1042572.0
2010-01-28,581.21,583.301,568.958,568.958,1087640.0
2010-01-29,573.739,577.624,565.97,576.727,1073327.0
2010-01-30,573.739,577.624,565.97,576.727,1073327.0
2010-01-31,573.739,577.624,565.97,576.727,1073327.0
2010-02-01,574.337,588.381,571.647,588.082,1408468.0
2010-02-02,587.784,600.633,583.301,599.438,1696523.0
2010-02-03,599.438,600.633,584.198,588.979,1108411.0
2010-02-04,586.29,591.071,580.014,582.405,1433646.0
2010-02-05,580.612,580.612,564.774,574.635,2159615.0
2010-02-06,580.612,580.612,564.774,574.635,2159615.0
2010-02-07,580.612,580.612,564.774,574.635,2159615.0
2010-02-08,576.727,579.417,564.475,571.647,1240736.0
2010-02-09,570.751,591.369,568.958,585.692,1037777.0
2010-02-10,585.094,604.219,582.704,591.668,1306705.0
2010-02-11,594.059,610.793,593.461,604.219,1196220.0
2010-02-12,609.0,609.0,585.094,590.473,826978.0
2010-02-13,609.0,609.0,585.094,590.473,826978.0
2010-02-14,609.0,609.0,585.094,590.473,826978.0
2010-02-15,593.76,596.449,587.485,591.967,699347.0
2010-02-16,595.852,606.609,593.76,606.609,732638.0
2010-02-17,609.598,617.965,606.609,613.184,633809.0
