,KAZ LN Equity,KAZ LN Equity,KAZ LN Equity,KAZ LN Equity,KAZ LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1164.145,1178.309,1164.145,1175.653,274639.0
2010-01-02,1164.145,1178.309,1164.145,1175.653,274639.0
2010-01-03,1164.145,1178.309,1164.145,1175.653,274639.0
2010-01-04,1173.883,1220.803,1172.112,1220.803,1754537.0
2010-01-05,1217.261,1242.935,1209.294,1236.738,2174189.0
2010-01-06,1242.935,1279.231,1227.885,1271.264,1644219.0
2010-01-07,1264.181,1311.101,1247.361,1295.166,2616509.0
2010-01-08,1296.937,1337.66,1296.937,1327.036,2495789.0
2010-01-09,1296.937,1337.66,1296.937,1327.036,2495789.0
2010-01-10,1296.937,1337.66,1296.937,1327.036,2495789.0
2010-01-11,1342.086,1379.268,1313.757,1320.839,2311882.0
2010-01-12,1312.872,1319.069,1258.87,1270.378,3042520.0
2010-01-13,1257.984,1283.658,1246.476,1262.411,2146931.0
2010-01-14,1277.461,1308.445,1274.805,1283.658,2246452.0
2010-01-15,1283.658,1305.79,1240.279,1248.246,2532872.0
2010-01-16,1283.658,1305.79,1240.279,1248.246,2532872.0
2010-01-17,1283.658,1305.79,1240.279,1248.246,2532872.0
2010-01-18,1257.099,1285.428,1253.558,1279.231,1428848.0
2010-01-19,1281.002,1287.199,1241.164,1275.69,1558788.0
2010-01-20,1260.64,1272.149,1194.244,1205.753,3270328.0
2010-01-21,1229.655,1238.508,1132.274,1133.16,4587778.0
2010-01-22,1130.504,1150.865,1093.322,1145.554,3634102.0
2010-01-23,1130.504,1150.865,1093.322,1145.554,3634102.0
2010-01-24,1130.504,1150.865,1093.322,1145.554,3634102.0
2010-01-25,1137.586,1181.85,1130.504,1154.406,2688669.0
2010-01-26,1133.16,1137.586,1108.372,1127.848,3292567.0
2010-01-27,1108.372,1136.701,1087.125,1119.881,2633505.0
2010-01-28,1136.701,1161.489,1083.584,1085.355,3366915.0
2010-01-29,1093.322,1106.601,1070.305,1079.158,4196990.0
2010-01-30,1093.322,1106.601,1070.305,1079.158,4196990.0
2010-01-31,1093.322,1106.601,1070.305,1079.158,4196990.0
2010-02-01,1075.616,1139.357,1067.649,1134.045,3121849.0
2010-02-02,1142.013,1187.162,1135.816,1178.309,3711121.0
2010-02-03,1200.441,1212.835,1168.571,1172.997,6508768.0
2010-02-04,1167.686,1172.997,1051.714,1061.452,7123422.0
2010-02-05,1049.058,1094.207,1006.565,1068.534,7904848.0
2010-02-06,1049.058,1094.207,1006.565,1068.534,7904848.0
2010-02-07,1049.058,1094.207,1006.565,1068.534,7904848.0
2010-02-08,1084.469,1116.339,1046.402,1097.749,5217345.0
2010-02-09,1102.175,1154.406,1095.093,1128.733,3895718.0
2010-02-10,1137.586,1155.292,1099.519,1114.569,3999791.0
2010-02-11,1133.16,1163.259,1107.487,1130.504,2431026.0
2010-02-12,1136.701,1153.521,1091.552,1109.257,3606526.0
2010-02-13,1136.701,1153.521,1091.552,1109.257,3606526.0
2010-02-14,1136.701,1153.521,1091.552,1109.257,3606526.0
2010-02-15,1114.569,1144.668,1111.913,1118.995,1406938.0
2010-02-16,1133.16,1154.406,1118.995,1150.865,2909490.0
2010-02-17,1159.718,1184.506,1156.177,1160.603,4724755.0
2010-02-18,1155.292,1197.785,1140.242,1194.244,4496549.0
2010-02-19,1165.915,1192.474,1162.374,1181.85,2877720.0
2010-02-20,1165.915,1192.474,1162.374,1181.85,2877720.0
2010-02-21,1165.915,1192.474,1162.374,1181.85,2877720.0
2010-02-22,1196.9,1225.229,1196.015,1206.638,2461479.0
2010-02-23,1214.606,1239.393,1178.309,1184.506,4161162.0
2010-02-24,1185.391,1188.047,1159.718,1179.194,3115560.0
2010-02-25,1166.8,1189.818,1138.471,1157.062,4089494.0
2010-02-26,1168.571,1196.9,1162.374,1187.162,2761776.0
2010-02-27,1168.571,1196.9,1162.374,1187.162,2761776.0
2010-02-28,1168.571,1196.9,1162.374,1187.162,2761776.0
2010-03-01,1239.393,1248.246,1219.917,1248.246,3735836.0
2010-03-02,1249.132,1284.543,1238.508,1280.116,3502183.0
2010-03-03,1288.969,1355.365,1279.231,1342.086,4024887.0
2010-03-04,1306.675,1370.415,1305.79,1328.807,4293218.0
2010-03-05,1332.348,1374.841,1315.528,1368.645,2972210.0
2010-03-06,1332.348,1374.841,1315.528,1368.645,2972210.0
2010-03-07,1332.348,1374.841,1315.528,1368.645,2972210.0
2010-03-08,1358.021,1383.694,1347.398,1353.595,1464902.0
2010-03-09,1353.595,1354.48,1309.331,1348.283,2346896.0
2010-03-10,1350.054,1373.956,1337.66,1367.759,1754233.0
2010-03-11,1337.66,1364.218,1314.642,1324.38,3253718.0
2010-03-12,1332.348,1357.136,1311.987,1342.971,2731463.0
2010-03-13,1332.348,1357.136,1311.987,1342.971,2731463.0
2010-03-14,1332.348,1357.136,1311.987,1342.971,2731463.0
2010-03-15,1333.233,1334.119,1302.248,1304.019,1480480.0
2010-03-16,1307.56,1331.463,1303.134,1324.38,1320519.0
2010-03-17,1335.889,1362.448,1335.889,1356.251,1483053.0
2010-03-18,1344.742,1353.595,1320.839,1331.463,1495428.0
2010-03-19,1333.233,1354.48,1303.134,1312.872,1924132.0
2010-03-20,1333.233,1354.48,1303.134,1312.872,1924132.0
2010-03-21,1333.233,1354.48,1303.134,1312.872,1924132.0
2010-03-22,1306.675,1306.675,1267.722,1306.675,1759718.0
2010-03-23,1309.331,1342.971,1309.331,1332.348,1406683.0
2010-03-24,1332.348,1350.939,1302.248,1337.66,1618722.0
2010-03-25,1337.66,1352.709,1320.839,1346.512,2075626.0
2010-03-26,1344.742,1354.48,1334.119,1350.054,1272071.0
2010-03-27,1344.742,1354.48,1334.119,1350.054,1272071.0
2010-03-28,1344.742,1354.48,1334.119,1350.054,1272071.0
2010-03-29,1354.48,1393.432,1354.48,1371.3,1501951.0
2010-03-30,1372.186,1396.088,1355.365,1365.989,1857857.0
2010-03-31,1360.677,1363.333,1335.889,1351.824,2689610.0
2010-04-01,1357.136,1413.794,1357.136,1400.515,2203993.0
2010-04-02,1357.136,1413.794,1357.136,1400.515,2203993.0
