,SMWH LN Equity,SMWH LN Equity,SMWH LN Equity,SMWH LN Equity,SMWH LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,353.84,355.571,342.068,342.068,87262.0
2010-01-02,353.84,355.571,342.068,342.068,87262.0
2010-01-03,353.84,355.571,342.068,342.068,87262.0
2010-01-04,342.76,360.764,342.76,360.764,526997.0
2010-01-05,353.493,357.302,348.992,356.609,1754780.0
2010-01-06,357.176,357.53,347.052,351.087,612974.0
2010-01-07,352.078,355.406,346.415,349.034,529262.0
2010-01-08,351.866,353.636,345.353,348.326,1266341.0
2010-01-09,351.866,353.636,345.353,348.326,1266341.0
2010-01-10,351.866,353.636,345.353,348.326,1266341.0
2010-01-11,352.645,357.176,348.468,353.07,332495.0
2010-01-12,353.636,358.946,351.087,353.99,442210.0
2010-01-13,356.822,359.654,352.149,354.344,255983.0
2010-01-14,354.344,354.344,347.547,352.362,607066.0
2010-01-15,353.99,355.052,350.521,352.645,394849.0
2010-01-16,353.99,355.052,350.521,352.645,394849.0
2010-01-17,353.99,355.052,350.521,352.645,394849.0
2010-01-18,354.344,359.3,351.087,352.716,378910.0
2010-01-19,353.778,355.76,351.087,355.76,802580.0
2010-01-20,350.238,353.99,350.096,351.866,446709.0
2010-01-21,353.99,353.99,349.246,350.45,430651.0
2010-01-22,349.105,350.025,346.839,347.618,541320.0
2010-01-23,349.105,350.025,346.839,347.618,541320.0
2010-01-24,349.105,350.025,346.839,347.618,541320.0
2010-01-25,349.459,350.45,346.202,346.91,856112.0
2010-01-26,343.37,349.034,343.37,346.91,935714.0
2010-01-27,343.441,353.778,343.441,352.857,731298.0
2010-01-28,355.406,357.884,350.875,352.291,775646.0
2010-01-29,353.99,354.698,348.468,353.99,757699.0
2010-01-30,353.99,354.698,348.468,353.99,757699.0
2010-01-31,353.99,354.698,348.468,353.99,757699.0
2010-02-01,351.937,357.176,351.937,357.176,574418.0
2010-02-02,356.114,359.654,353.848,355.76,540971.0
2010-02-03,357.884,358.946,351.795,353.07,216680.0
2010-02-04,353.919,353.919,347.476,349.742,445267.0
2010-02-05,349.176,349.176,343.512,344.857,1369246.0
2010-02-06,349.176,349.176,343.512,344.857,1369246.0
2010-02-07,349.176,349.176,343.512,344.857,1369246.0
2010-02-08,344.078,346.91,343.087,345.636,691468.0
2010-02-09,344.361,346.981,341.671,342.379,677917.0
2010-02-10,344.149,349.388,343.158,345.494,845903.0
2010-02-11,345.919,351.937,345.423,346.91,354695.0
2010-02-12,350.45,350.592,341.671,342.379,644159.0
2010-02-13,350.45,350.592,341.671,342.379,644159.0
2010-02-14,350.45,350.592,341.671,342.379,644159.0
2010-02-15,341.105,343.229,339.476,340.184,228540.0
2010-02-16,340.326,340.68,336.007,336.998,331516.0
2010-02-17,337.99,345.565,337.848,339.264,551789.0
2010-02-18,337.919,343.087,337.565,338.414,461285.0
2010-02-19,337.211,339.618,336.078,339.406,900546.0
2010-02-20,337.211,339.618,336.078,339.406,900546.0
2010-02-21,337.211,339.618,336.078,339.406,900546.0
2010-02-22,340.538,340.538,332.397,334.874,469523.0
2010-02-23,337.565,338.768,329.281,332.255,431856.0
2010-02-24,331.122,331.122,325.317,329.211,332328.0
2010-02-25,326.52,330.273,323.476,323.476,366367.0
2010-02-26,326.308,326.874,322.839,324.892,423252.0
2010-02-27,326.308,326.874,322.839,324.892,423252.0
2010-02-28,326.308,326.874,322.839,324.892,423252.0
2010-03-01,329.565,331.901,325.883,329.211,451678.0
2010-03-02,328.786,333.458,327.511,333.388,303338.0
2010-03-03,333.104,333.742,323.122,324.396,381097.0
2010-03-04,331.264,331.264,324.326,328.219,160999.0
2010-03-05,328.007,336.22,327.511,332.821,324435.0
2010-03-06,328.007,336.22,327.511,332.821,324435.0
2010-03-07,328.007,336.22,327.511,332.821,324435.0
2010-03-08,331.193,335.795,331.122,334.308,258270.0
2010-03-09,333.954,336.928,330.343,333.458,301676.0
2010-03-10,334.804,335.158,331.122,332.609,199392.0
2010-03-11,332.326,337.636,332.326,334.166,162034.0
2010-03-12,334.166,339.052,334.166,338.698,149263.0
2010-03-13,334.166,339.052,334.166,338.698,149263.0
2010-03-14,334.166,339.052,334.166,338.698,149263.0
2010-03-15,336.857,339.335,334.166,335.37,131368.0
2010-03-16,334.308,338.131,332.326,334.308,255212.0
2010-03-17,334.237,337.706,333.954,336.29,180149.0
2010-03-18,337.211,337.777,330.91,332.326,187227.0
2010-03-19,334.166,338.627,328.927,330.768,459097.0
2010-03-20,334.166,338.627,328.927,330.768,459097.0
2010-03-21,334.166,338.627,328.927,330.768,459097.0
2010-03-22,329.635,331.193,328.644,329.494,145998.0
2010-03-23,329.494,330.273,323.901,326.591,218930.0
2010-03-24,325.812,333.529,325.812,331.335,354013.0
2010-03-25,333.529,347.264,332.821,345.14,461152.0
2010-03-26,346.344,347.689,342.167,347.618,410911.0
