,PAGE LN Equity,PAGE LN Equity,PAGE LN Equity,PAGE LN Equity,PAGE LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,211.725,211.725,210.007,210.007,44102.0
2010-01-02,211.725,211.725,210.007,210.007,44102.0
2010-01-03,211.725,211.725,210.007,210.007,44102.0
2010-01-04,208.954,221.702,208.954,221.646,1267760.0
2010-01-05,219.485,223.919,219.041,222.866,1324804.0
2010-01-06,223.919,227.41,221.702,227.41,1364001.0
2010-01-07,227.466,234.727,221.646,233.84,1727471.0
2010-01-08,231.623,240.99,225.581,227.244,2957206.0
2010-01-09,231.623,240.99,225.581,227.244,2957206.0
2010-01-10,231.623,240.99,225.581,227.244,2957206.0
2010-01-11,230.182,233.286,228.574,230.57,1596863.0
2010-01-12,229.683,231.069,222.699,226.136,1154465.0
2010-01-13,224.695,228.297,222.866,225.027,1545034.0
2010-01-14,221.258,224.861,214.108,220.039,2558097.0
2010-01-15,220.704,223.032,217.822,221.923,1933439.0
2010-01-16,220.704,223.032,217.822,221.923,1933439.0
2010-01-17,220.704,223.032,217.822,221.923,1933439.0
2010-01-18,221.591,222.699,219.817,221.702,795560.0
2010-01-19,222.034,222.034,218.875,220.87,486142.0
2010-01-20,219.152,221.702,219.152,220.039,1096244.0
2010-01-21,219.041,221.646,218.099,218.986,1248054.0
2010-01-22,219.485,219.485,210.617,213.942,1004372.0
2010-01-23,219.485,219.485,210.617,213.942,1004372.0
2010-01-24,219.485,219.485,210.617,213.942,1004372.0
2010-01-25,213.887,216.436,212.556,215.161,589498.0
2010-01-26,214.718,221.48,212.335,219.817,1160411.0
2010-01-27,217.656,220.15,216.215,216.99,1131272.0
2010-01-28,218.875,220.759,215.605,215.605,636182.0
2010-01-29,217.711,217.711,213.831,214.441,1372148.0
2010-01-30,217.711,217.711,213.831,214.441,1372148.0
2010-01-31,217.711,217.711,213.831,214.441,1372148.0
2010-02-01,213.443,214.275,211.836,212.446,653934.0
2010-02-02,211.836,215.993,211.393,214.219,1181333.0
2010-02-03,214.33,216.603,211.836,212.612,1507186.0
2010-02-04,213.111,213.111,204.963,205.074,1030271.0
2010-02-05,203.356,204.686,196.261,199.587,1233512.0
2010-02-06,203.356,204.686,196.261,199.587,1233512.0
2010-02-07,203.356,204.686,196.261,199.587,1233512.0
2010-02-08,199.476,201.748,198.09,200.086,971640.0
2010-02-09,200.529,201.361,198.09,201.194,790416.0
2010-02-10,202.802,206.349,202.247,205.684,1497621.0
2010-02-11,205.961,211.725,205.129,207.79,1282895.0
2010-02-12,208.621,208.788,199.476,200.529,884376.0
2010-02-13,208.621,208.788,199.476,200.529,884376.0
2010-02-14,208.621,208.788,199.476,200.529,884376.0
2010-02-15,201.139,201.638,197.481,197.481,480680.0
2010-02-16,199.033,199.642,195.596,197.592,1341485.0
2010-02-17,199.531,200.252,196.705,199.531,4121292.0
2010-02-18,199.088,207.568,198.312,206.016,1429293.0
2010-02-19,203.91,208.898,203.91,208.067,642502.0
2010-02-20,203.91,208.898,203.91,208.067,642502.0
2010-02-21,203.91,208.898,203.91,208.067,642502.0
2010-02-22,208.233,211.725,208.233,210.617,1091187.0
2010-02-23,212.002,213.443,209.508,211.614,1250453.0
2010-02-24,212.002,212.002,208.843,209.841,1217608.0
2010-02-25,208.4,208.4,201.804,202.026,2172890.0
2010-02-26,203.966,205.739,202.026,205.684,1047149.0
2010-02-27,203.966,205.739,202.026,205.684,1047149.0
2010-02-28,203.966,205.739,202.026,205.684,1047149.0
2010-03-01,207.901,211.005,207.901,210.672,727002.0
2010-03-02,209.508,212.944,209.453,212.889,1069954.0
2010-03-03,211.115,216.215,211.115,215.328,653972.0
2010-03-04,213.166,219.485,211.78,218.93,1061564.0
2010-03-05,216.159,221.147,210.339,213.388,2161654.0
2010-03-06,216.159,221.147,210.339,213.388,2161654.0
2010-03-07,216.159,221.147,210.339,213.388,2161654.0
2010-03-08,207.679,212.168,207.679,210.118,1101611.0
2010-03-09,210.45,211.559,208.621,210.894,853209.0
