,PAGE LN Equity,PAGE LN Equity,PAGE LN Equity,PAGE LN Equity,PAGE LN Equity
2010-03-10,211.226,212.723,210.617,212.279,1060767.0
2010-03-11,210.617,213.942,210.617,212.889,824292.0
2010-03-12,214.108,217.323,213.222,216.159,658942.0
2010-03-13,214.108,217.323,213.222,216.159,658942.0
2010-03-14,214.108,217.323,213.222,216.159,658942.0
2010-03-15,216.159,216.658,210.783,211.725,1466135.0
2010-03-16,212.168,213.443,211.337,212.113,489634.0
2010-03-17,213.166,217.046,213.0,216.824,853336.0
2010-03-18,216.658,221.147,216.658,219.097,902528.0
2010-03-19,220.039,224.417,220.039,223.697,1784137.0
2010-03-20,220.039,224.417,220.039,223.697,1784137.0
2010-03-21,220.039,224.417,220.039,223.697,1784137.0
2010-03-22,223.586,223.586,220.704,222.755,499565.0
2010-03-23,223.475,227.632,222.699,226.357,637000.0
2010-03-24,226.08,230.57,225.803,229.794,1403458.0
2010-03-25,230.514,230.514,228.131,228.574,5075263.0
2010-03-26,229.129,231.124,227.688,230.459,481685.0
2010-03-27,229.129,231.124,227.688,230.459,481685.0
2010-03-28,229.129,231.124,227.688,230.459,481685.0
2010-03-29,227.577,229.018,224.085,226.136,941473.0
2010-03-30,225.581,226.136,220.815,221.702,1839262.0
2010-03-31,221.702,222.422,219.983,221.702,1395175.0
2010-04-01,222.311,229.738,221.702,229.461,1089594.0
2010-04-02,222.311,229.738,221.702,229.461,1089594.0
2010-04-03,222.311,229.738,221.702,229.461,1089594.0
2010-04-04,222.311,229.738,221.702,229.461,1089594.0
2010-04-05,222.311,229.738,221.702,229.461,1089594.0
2010-04-06,230.015,234.782,230.015,233.84,1153980.0
2010-04-07,234.727,238.606,232.842,234.449,1589931.0
2010-04-08,237.775,237.941,230.902,234.727,2009295.0
2010-04-09,236.112,243.706,234.782,243.318,4219228.0
2010-04-10,236.112,243.706,234.782,243.318,4219228.0
2010-04-11,236.112,243.706,234.782,243.318,4219228.0
2010-04-12,243.373,246.698,241.489,243.262,1819262.0
2010-04-13,243.151,245.091,241.766,244.149,1459285.0
2010-04-14,245.756,245.812,241.378,242.043,2921167.0
2010-04-15,245.036,245.313,242.874,245.313,2041458.0
2010-04-16,243.706,248.195,243.706,247.474,2973816.0
2010-04-17,243.706,248.195,243.706,247.474,2973816.0
2010-04-18,243.706,248.195,243.706,247.474,2973816.0
2010-04-19,245.867,248.25,244.038,247.086,5751335.0
2010-04-20,248.694,254.07,248.361,252.795,1450723.0
2010-04-21,252.407,254.569,250.467,251.299,1783167.0
2010-04-22,250.745,252.574,245.091,246.809,2415978.0
2010-04-23,248.084,252.186,247.53,251.354,886607.0
2010-04-24,248.084,252.186,247.53,251.354,886607.0
2010-04-25,248.084,252.186,247.53,251.354,886607.0
2010-04-26,253.239,255.788,248.638,249.026,1030312.0
2010-04-27,249.359,249.359,241.322,241.322,872799.0
2010-04-28,240.103,241.932,234.782,239.493,1243250.0
2010-04-29,239.05,241.599,237.997,240.325,718094.0
2010-04-30,241.101,241.71,236.556,236.999,825909.0
2010-05-01,241.101,241.71,236.556,236.999,825909.0
2010-05-02,241.101,241.71,236.556,236.999,825909.0
2010-05-03,241.101,241.71,236.556,236.999,825909.0
2010-05-04,240.823,244.094,232.953,234.449,1623301.0
2010-05-05,235.639,236.2,230.702,232.104,2329628.0
2010-05-06,230.982,237.939,227.279,230.646,1562440.0
2010-05-07,226.157,228.065,214.992,219.2,2554918.0
2010-05-08,226.157,228.065,214.992,219.2,2554918.0
2010-05-09,226.157,228.065,214.992,219.2,2554918.0
2010-05-10,225.652,232.329,224.362,231.038,1771339.0
2010-05-11,229.075,233.787,228.345,232.834,1226902.0
2010-05-12,231.207,238.5,231.207,238.22,1629372.0
2010-05-13,238.444,242.708,236.649,242.035,1009183.0
2010-05-14,239.173,241.698,234.461,235.527,1897642.0
2010-05-15,239.173,241.698,234.461,235.527,1897642.0
2010-05-16,239.173,241.698,234.461,235.527,1897642.0
2010-05-17,232.665,234.966,229.075,230.141,1478241.0
2010-05-18,232.048,233.507,227.672,229.467,827103.0
2010-05-19,227.223,227.223,214.6,214.768,2071042.0
2010-05-20,216.451,216.956,203.267,205.511,3449149.0
2010-05-21,205.904,207.026,195.075,199.732,4279327.0
2010-05-22,205.904,207.026,195.075,199.732,4279327.0
2010-05-23,205.904,207.026,195.075,199.732,4279327.0
2010-05-24,199.956,206.913,199.956,204.894,1679122.0
2010-05-25,199.956,200.574,193.056,194.346,1742985.0
2010-05-26,198.329,202.93,196.31,201.64,2267912.0
2010-05-27,201.92,206.913,200.069,206.913,1308999.0
2010-05-28,209.27,211.514,203.659,208.092,2079786.0
2010-05-29,209.27,211.514,203.659,208.092,2079786.0
2010-05-30,209.27,211.514,203.659,208.092,2079786.0
2010-05-31,209.27,211.514,203.659,208.092,2079786.0
2010-06-01,204.052,206.689,202.481,205.679,1284214.0
2010-06-02,202.762,205.399,200.854,203.828,1163032.0
2010-06-03,208.316,210.055,206.352,208.709,1082463.0
2010-06-04,208.765,214.375,208.092,211.346,2624480.0
2010-06-05,208.765,214.375,208.092,211.346,2624480.0
2010-06-06,208.765,214.375,208.092,211.346,2624480.0
2010-06-07,207.531,210.728,207.362,209.775,2024918.0
2010-06-08,211.682,212.131,209.606,211.346,2824376.0
2010-06-09,212.243,212.86,208.316,212.524,1678073.0
2010-06-10,212.86,214.656,210.392,214.039,2845055.0
2010-06-11,215.441,215.441,211.738,213.87,820550.0
2010-06-12,215.441,215.441,211.738,213.87,820550.0
2010-06-13,215.441,215.441,211.738,213.87,820550.0
2010-06-14,215.385,220.94,215.385,220.883,1083522.0
2010-06-15,219.93,225.708,218.639,224.081,803415.0
2010-06-16,223.52,225.203,218.583,221.388,806993.0
2010-06-17,220.154,222.23,218.808,221.108,918501.0
2010-06-18,220.659,224.979,220.603,224.586,2207381.0
2010-06-19,220.659,224.979,220.603,224.586,2207381.0
2010-06-20,220.659,224.979,220.603,224.586,2207381.0
2010-06-21,225.372,229.86,225.147,225.877,456549.0
2010-06-22,229.692,230.197,224.979,227.953,1764496.0
2010-06-23,224.699,228.57,224.25,225.203,703346.0
2010-06-24,225.203,226.494,221.725,223.464,1040245.0
2010-06-25,222.847,224.811,220.491,220.603,2073324.0
2010-06-26,222.847,224.811,220.491,220.603,2073324.0
2010-06-27,222.847,224.811,220.491,220.603,2073324.0
2010-06-28,219.593,221.781,218.415,219.593,840637.0
2010-06-29,218.415,218.415,212.468,212.468,882048.0
2010-06-30,212.692,213.422,208.316,209.158,1204935.0
2010-07-01,207.587,207.587,196.871,196.927,2403762.0
2010-07-02,200.854,200.854,190.811,196.029,1761882.0
2010-07-03,200.854,200.854,190.811,196.029,1761882.0
2010-07-04,200.854,200.854,190.811,196.029,1761882.0
2010-07-05,200.686,202.425,195.861,201.583,1070839.0
2010-07-06,203.94,206.016,203.042,205.118,1572016.0
2010-07-07,204.95,206.801,203.491,206.801,2148505.0
2010-07-08,209.719,216.563,208.316,216.451,1604830.0
2010-07-09,221.725,225.316,219.705,220.715,2565222.0
2010-07-10,221.725,225.316,219.705,220.715,2565222.0
2010-07-11,221.725,225.316,219.705,220.715,2565222.0
2010-07-12,224.137,224.137,219.144,220.715,1117117.0
2010-07-13,220.322,225.316,220.042,224.586,1483647.0
2010-07-14,225.54,227.335,222.454,224.811,855729.0
2010-07-15,225.26,226.157,221.164,223.296,1039563.0
2010-07-16,225.091,225.147,221.164,221.557,1112805.0
2010-07-17,225.091,225.147,221.164,221.557,1112805.0
2010-07-18,225.091,225.147,221.164,221.557,1112805.0
2010-07-19,221.613,224.923,218.92,223.801,2192519.0
2010-07-20,223.857,224.811,219.705,220.266,4408769.0
2010-07-21,221.669,222.791,219.817,220.659,2713318.0
2010-07-22,220.491,223.969,219.425,223.857,1472202.0
2010-07-23,223.408,228.289,223.296,227.953,1132617.0
2010-07-24,223.408,228.289,223.296,227.953,1132617.0
2010-07-25,223.408,228.289,223.296,227.953,1132617.0
2010-07-26,228.345,228.906,222.903,226.662,626266.0
2010-07-27,228.738,229.524,222.903,223.184,1315402.0
2010-07-28,224.418,224.867,218.415,220.996,935546.0
2010-07-29,222.454,222.454,219.761,220.603,1085985.0
2010-07-30,220.21,220.21,217.517,217.517,852346.0
2010-07-31,220.21,220.21,217.517,217.517,852346.0
2010-08-01,220.21,220.21,217.517,217.517,852346.0
2010-08-02,220.21,228.233,218.92,227.111,866184.0
2010-08-03,226.213,227.055,223.296,225.316,552147.0
2010-08-04,225.54,227.84,223.184,226.774,335645.0
2010-08-05,226.382,229.187,225.316,227.784,506110.0
2010-08-06,228.962,230.085,223.633,225.091,465932.0
2010-08-07,228.962,230.085,223.633,225.091,465932.0
2010-08-08,228.962,230.085,223.633,225.091,465932.0
2010-08-09,225.765,227.728,225.035,225.821,537304.0
2010-08-10,224.53,225.203,221.164,222.679,738161.0
2010-08-11,222.118,223.408,217.629,217.629,1012928.0
2010-08-12,218.527,218.527,207.587,211.514,1224279.0
2010-08-13,211.682,213.197,207.867,209.27,1049825.0
2010-08-14,211.682,213.197,207.867,209.27,1049825.0
2010-08-15,211.682,213.197,207.867,209.27,1049825.0
2010-08-16,209.719,210.111,203.772,206.465,1369530.0
2010-08-17,208.428,214.768,207.082,214.6,916600.0
2010-08-18,214.88,217.405,212.917,213.646,1007365.0
2010-08-19,219.256,228.289,218.415,226.101,2653580.0
2010-08-20,223.689,226.045,222.118,222.567,1926965.0
2010-08-21,223.689,226.045,222.118,222.567,1926965.0
2010-08-22,223.689,226.045,222.118,222.567,1926965.0
2010-08-23,222.567,225.147,222.23,224.025,1459956.0
2010-08-24,222.118,226.045,218.808,221.949,1654319.0
2010-08-25,222.847,223.52,213.758,216.451,2153285.0
2010-08-26,216.956,220.827,215.273,218.639,1357590.0
2010-08-27,218.695,221.276,216.507,221.108,952203.0
2010-08-28,218.695,221.276,216.507,221.108,952203.0
2010-08-29,218.695,221.276,216.507,221.108,952203.0
2010-08-30,218.695,221.276,216.507,221.108,952203.0
2010-08-31,218.471,223.296,217.854,222.567,1244813.0
2010-09-01,223.52,234.685,222.903,234.068,1237087.0
2010-09-02,232.665,238.332,232.665,238.22,1540940.0
2010-09-03,237.378,246.691,237.378,243.213,1493185.0
2010-09-04,237.378,246.691,237.378,243.213,1493185.0
2010-09-05,237.378,246.691,237.378,243.213,1493185.0
2010-09-06,246.299,246.299,242.82,244.335,656709.0
2010-09-07,242.989,243.718,237.546,238.893,960945.0
2010-09-08,237.244,239.221,232.047,237.018,2155316.0
2010-09-09,234.476,246.281,234.476,243.909,1768059.0
2010-09-10,241.424,252.89,241.424,249.953,1851380.0
2010-09-11,241.424,252.89,241.424,249.953,1851380.0
2010-09-12,241.424,252.89,241.424,249.953,1851380.0
2010-09-13,249.953,253.286,249.275,251.93,999377.0
2010-09-14,249.501,254.529,249.501,253.625,1066669.0
2010-09-15,252.721,253.06,248.71,250.574,699515.0
2010-09-16,249.332,253.794,248.71,251.083,710036.0
2010-09-17,251.309,260.177,251.309,253.229,2128771.0
2010-09-18,251.309,260.177,251.309,253.229,2128771.0
2010-09-19,251.309,260.177,251.309,253.229,2128771.0
2010-09-20,255.828,258.144,253.286,258.087,817910.0
2010-09-21,255.828,265.882,255.828,264.188,1669553.0
2010-09-22,263.679,263.849,257.918,259.782,1425476.0
2010-09-23,260.234,262.324,254.359,255.715,810062.0
2010-09-24,253.229,258.991,252.382,258.652,1086193.0
2010-09-25,253.229,258.991,252.382,258.652,1086193.0
2010-09-26,253.229,258.991,252.382,258.652,1086193.0
2010-09-27,252.608,258.934,251.874,256.844,623587.0
2010-09-28,254.133,257.692,252.664,257.466,718468.0
2010-09-29,257.466,259.782,256.506,259.217,1080135.0
2010-09-30,259.443,263.792,257.748,260.29,709105.0
2010-10-01,262.493,264.301,258.709,260.46,830407.0
2010-10-02,262.493,264.301,258.709,260.46,830407.0
2010-10-03,262.493,264.301,258.709,260.46,830407.0
2010-10-04,260.629,266.052,258.483,262.776,1288311.0
2010-10-05,261.985,265.995,260.516,265.543,1178669.0
2010-10-06,265.374,270.232,264.188,270.232,1714045.0
2010-10-07,265.543,267.351,257.014,261.759,3236373.0
2010-10-08,258.709,264.696,258.709,263.397,1098511.0
2010-10-09,258.709,264.696,258.709,263.397,1098511.0
2010-10-10,258.709,264.696,258.709,263.397,1098511.0
2010-10-11,262.098,271.926,262.098,271.305,1286809.0
2010-10-12,271.079,273.0,267.859,272.717,1095037.0
2010-10-13,274.412,277.236,271.079,277.236,1409813.0
2010-10-14,276.841,279.834,276.841,277.914,914132.0
2010-10-15,277.349,278.987,274.412,274.807,2220571.0
2010-10-16,277.349,278.987,274.412,274.807,2220571.0
2010-10-17,277.349,278.987,274.412,274.807,2220571.0
2010-10-18,272.322,273.96,267.577,270.853,1711384.0
2010-10-19,271.926,271.983,267.859,268.82,1008669.0
2010-10-20,269.441,269.441,265.374,268.368,800110.0
2010-10-21,263.171,270.232,260.46,269.949,5299439.0
2010-10-22,270.684,273.056,269.102,271.644,900471.0
2010-10-23,270.684,273.056,269.102,271.644,900471.0
2010-10-24,270.684,273.056,269.102,271.644,900471.0
2010-10-25,272.322,274.638,271.192,272.661,604384.0
2010-10-26,271.587,273.0,269.441,271.023,551627.0
2010-10-27,269.893,270.91,267.238,268.368,523669.0
2010-10-28,268.82,272.83,267.746,270.006,553375.0
2010-10-29,268.481,272.152,265.43,266.165,593093.0
2010-10-30,268.481,272.152,265.43,266.165,593093.0
2010-10-31,268.481,272.152,265.43,266.165,593093.0
2010-11-01,268.82,277.349,268.481,276.671,942002.0
2010-11-02,271.757,277.406,271.757,275.203,495240.0
2010-11-03,273.96,275.598,271.474,271.587,1137458.0
2010-11-04,273.96,278.931,271.644,277.575,540738.0
2010-11-05,278.592,284.692,278.253,283.28,447191.0
2010-11-06,278.592,284.692,278.253,283.28,447191.0
2010-11-07,278.592,284.692,278.253,283.28,447191.0
2010-11-08,282.433,284.41,279.609,283.28,401759.0
2010-11-09,283.28,286.669,282.998,284.41,1211501.0
2010-11-10,284.975,285.822,282.433,283.28,657200.0
2010-11-11,282.433,284.975,281.36,282.433,998482.0
2010-11-12,279.722,282.15,276.841,278.366,903566.0
2010-11-13,279.722,282.15,276.841,278.366,903566.0
2010-11-14,279.722,282.15,276.841,278.366,903566.0
2010-11-15,276.841,280.173,276.784,278.705,640934.0
2010-11-16,278.14,278.705,270.401,270.853,781335.0
2010-11-17,268.989,271.418,264.357,267.181,1187626.0
2010-11-18,267.238,273.621,267.181,272.943,619333.0
2010-11-19,271.983,272.378,267.746,270.571,536064.0
2010-11-20,271.983,272.378,267.746,270.571,536064.0
2010-11-21,271.983,272.378,267.746,270.571,536064.0
2010-11-22,272.265,273.395,266.447,268.255,596696.0
2010-11-23,266.278,266.673,261.759,264.188,1022196.0
2010-11-24,263.849,272.435,262.267,271.136,683149.0
2010-11-25,270.966,272.322,268.424,272.322,360626.0
2010-11-26,270.74,274.242,269.046,273.395,427539.0
2010-11-27,270.74,274.242,269.046,273.395,427539.0
2010-11-28,270.74,274.242,269.046,273.395,427539.0
2010-11-29,273.903,275.767,268.65,271.136,1201322.0
2010-11-30,272.152,272.152,268.029,269.271,1116993.0
2010-12-01,269.893,274.186,267.238,272.887,803065.0
2010-12-02,276.163,288.082,274.299,288.082,1362740.0
2010-12-03,285.257,291.471,285.257,290.059,852848.0
2010-12-04,285.257,291.471,285.257,290.059,852848.0
2010-12-05,285.257,291.471,285.257,290.059,852848.0
2010-12-06,286.952,289.494,284.975,286.104,716022.0
2010-12-07,285.822,288.364,285.257,287.517,540865.0
2010-12-08,286.104,287.517,283.845,286.952,641917.0
2010-12-09,286.387,289.494,281.416,282.433,1060511.0
2010-12-10,283.563,284.127,280.795,282.15,742016.0
2010-12-11,283.563,284.127,280.795,282.15,742016.0
2010-12-12,283.563,284.127,280.795,282.15,742016.0
2010-12-13,281.924,285.54,281.19,282.998,1148664.0
2010-12-14,281.812,283.563,280.682,282.433,588167.0
2010-12-15,285.822,303.615,284.127,302.486,1456771.0
2010-12-16,302.768,307.852,295.142,299.379,1390173.0
2010-12-17,300.791,308.982,299.379,308.982,1378256.0
2010-12-18,300.791,308.982,299.379,308.982,1378256.0
2010-12-19,300.791,308.982,299.379,308.982,1378256.0
2010-12-20,307.005,314.913,306.44,314.348,625121.0
2010-12-21,316.325,316.325,311.523,312.653,546739.0
2010-12-22,312.653,320.279,311.523,319.432,391754.0
2010-12-23,319.996,319.996,308.417,310.959,1822141.0
2010-12-24,311.806,314.348,311.806,311.806,32299.0
2010-12-25,311.806,314.348,311.806,311.806,32299.0
2010-12-26,311.806,314.348,311.806,311.806,32299.0
2010-12-27,311.806,314.348,311.806,311.806,32299.0
2010-12-28,311.806,314.348,311.806,311.806,32299.0
2010-12-29,309.546,316.325,309.546,313.783,421226.0
2010-12-30,313.218,314.63,310.394,314.63,185089.0
2010-12-31,314.065,314.065,311.241,313.5,475650.0
2011-01-01,314.065,314.065,311.241,313.5,475650.0
2011-01-02,314.065,314.065,311.241,313.5,475650.0
2011-01-03,314.065,314.065,311.241,313.5,475650.0
2011-01-04,315.76,316.607,309.546,311.523,2589484.0
2011-01-05,310.676,313.783,309.829,310.676,1326852.0
2011-01-06,311.806,313.5,306.157,306.44,1019488.0
2011-01-07,306.44,307.852,301.356,305.027,2292355.0
2011-01-08,306.44,307.852,301.356,305.027,2292355.0
2011-01-09,306.44,307.852,301.356,305.027,2292355.0
2011-01-10,304.18,307.569,294.295,297.967,1339926.0
2011-01-11,294.013,295.142,291.471,292.883,2697427.0
2011-01-12,293.448,293.73,290.906,292.318,1244549.0
2011-01-13,292.036,293.165,285.257,286.669,1078117.0
2011-01-14,286.104,292.6,281.755,287.234,906555.0
2011-01-15,286.104,292.6,281.755,287.234,906555.0
2011-01-16,286.104,292.6,281.755,287.234,906555.0
2011-01-17,289.776,300.509,284.41,298.249,1735961.0
2011-01-18,297.684,306.44,297.684,305.31,1434372.0
2011-01-19,305.592,309.264,299.944,299.944,1101102.0
2011-01-20,299.661,299.661,288.082,288.364,760776.0
2011-01-21,291.471,297.684,286.104,297.119,1618057.0
2011-01-22,291.471,297.684,286.104,297.119,1618057.0
2011-01-23,291.471,297.684,286.104,297.119,1618057.0
2011-01-24,297.119,298.532,292.883,293.73,855293.0
2011-01-25,293.165,298.249,290.906,295.707,1177636.0
2011-01-26,295.142,302.768,295.142,300.791,1533015.0
2011-01-27,299.944,305.027,299.379,302.203,1038392.0
2011-01-28,302.486,316.325,301.356,307.005,1927099.0
2011-01-29,302.486,316.325,301.356,307.005,1927099.0
2011-01-30,302.486,316.325,301.356,307.005,1927099.0
2011-01-31,307.852,307.852,300.226,303.05,1587718.0
2011-02-01,303.333,310.676,300.509,306.157,1321902.0
2011-02-02,306.44,309.829,301.638,305.31,880025.0
2011-02-03,303.898,308.982,302.768,307.569,3383362.0
2011-02-04,307.569,311.241,306.722,309.546,619057.0
2011-02-05,307.569,311.241,306.722,309.546,619057.0
2011-02-06,307.569,311.241,306.722,309.546,619057.0
2011-02-07,310.111,312.371,307.569,311.806,770718.0
2011-02-08,310.676,313.218,308.134,309.546,2520268.0
2011-02-09,310.959,310.959,308.134,308.982,2437696.0
2011-02-10,307.005,309.829,303.898,306.44,1913539.0
2011-02-11,305.875,308.134,303.898,304.745,1267209.0
2011-02-12,305.875,308.134,303.898,304.745,1267209.0
2011-02-13,305.875,308.134,303.898,304.745,1267209.0
2011-02-14,304.745,308.982,303.333,305.875,725509.0
2011-02-15,306.722,308.134,295.707,300.226,1186795.0
2011-02-16,301.356,302.203,297.967,299.661,270412.0
2011-02-17,299.096,301.073,295.707,296.837,634850.0
2011-02-18,296.272,296.837,294.013,296.555,379424.0
2011-02-19,296.272,296.837,294.013,296.555,379424.0
2011-02-20,296.272,296.837,294.013,296.555,379424.0
2011-02-21,296.272,296.837,288.646,290.059,503869.0
2011-02-22,288.082,289.776,282.263,288.082,1135721.0
2011-02-23,287.799,288.082,283.563,284.127,1259944.0
2011-02-24,284.127,284.127,279.891,280.399,877398.0
2011-02-25,284.692,288.364,282.15,286.104,567792.0
2011-02-26,284.692,288.364,282.15,286.104,567792.0
2011-02-27,284.692,288.364,282.15,286.104,567792.0
2011-02-28,286.669,292.318,284.127,290.623,1042122.0
2011-03-01,291.753,296.272,288.082,290.059,813880.0
2011-03-02,288.082,291.753,284.692,289.494,1134017.0
2011-03-03,291.188,299.661,291.188,297.119,972412.0
2011-03-04,295.142,303.898,294.577,302.486,1180939.0
2011-03-05,295.142,303.898,294.577,302.486,1180939.0
2011-03-06,295.142,303.898,294.577,302.486,1180939.0
2011-03-07,299.096,301.921,294.577,296.272,1605349.0
2011-03-08,294.013,294.295,285.257,289.211,1842017.0
2011-03-09,291.471,296.272,288.646,291.188,786718.0
2011-03-10,289.494,291.753,282.433,282.433,1689423.0
2011-03-11,281.699,282.037,276.841,277.349,1158328.0
2011-03-12,281.699,282.037,276.841,277.349,1158328.0
2011-03-13,281.699,282.037,276.841,277.349,1158328.0
2011-03-14,276.784,284.41,275.09,282.715,1208425.0
2011-03-15,276.897,281.021,272.039,278.987,1832242.0
2011-03-16,278.366,284.975,274.581,275.259,1504354.0
2011-03-17,280.004,285.822,277.857,283.845,1428294.0
2011-03-18,285.822,291.471,283.845,286.952,977951.0
2011-03-19,285.822,291.471,283.845,286.952,977951.0
2011-03-20,285.822,291.471,283.845,286.952,977951.0
2011-03-21,289.211,291.471,287.234,289.211,564844.0
2011-03-22,287.799,290.059,285.257,286.104,568272.0
2011-03-23,286.104,286.952,282.433,285.822,1432454.0
2011-03-24,286.952,289.494,284.975,288.082,922730.0
2011-03-25,289.211,292.6,286.104,290.623,954869.0
2011-03-26,289.211,292.6,286.104,290.623,954869.0
2011-03-27,289.211,292.6,286.104,290.623,954869.0
2011-03-28,290.623,292.036,288.082,288.929,541611.0
2011-03-29,288.364,291.188,287.234,290.906,530861.0
2011-03-30,293.448,298.249,290.906,297.967,830673.0
2011-03-31,297.684,298.249,290.341,290.341,664337.0
2011-04-01,292.036,301.638,292.036,301.356,1043767.0
2011-04-02,292.036,301.638,292.036,301.356,1043767.0
2011-04-03,292.036,301.638,292.036,301.356,1043767.0
2011-04-04,300.509,311.523,300.509,309.829,1056217.0
2011-04-05,309.829,314.065,307.569,308.982,500294.0
2011-04-06,307.852,310.394,303.05,303.615,897607.0
2011-04-07,303.898,303.898,293.73,294.577,1343205.0
2011-04-08,295.707,295.707,291.188,292.036,905987.0
2011-04-09,295.707,295.707,291.188,292.036,905987.0
2011-04-10,295.707,295.707,291.188,292.036,905987.0
2011-04-11,293.73,301.921,292.036,296.837,1005872.0
2011-04-12,294.013,297.119,292.318,296.555,1082034.0
2011-04-13,297.967,304.745,297.402,303.05,790347.0
2011-04-14,302.203,304.18,300.509,302.486,870325.0
2011-04-15,302.203,305.027,301.073,302.203,464407.0
2011-04-16,302.203,305.027,301.073,302.203,464407.0
2011-04-17,302.203,305.027,301.073,302.203,464407.0
2011-04-18,302.486,302.486,293.165,295.99,593291.0
2011-04-19,298.814,301.921,295.99,299.379,320318.0
2011-04-20,299.379,309.546,298.814,309.546,607056.0
2011-04-21,310.676,318.019,310.394,316.042,759881.0
2011-04-22,310.676,318.019,310.394,316.042,759881.0
2011-04-23,310.676,318.019,310.394,316.042,759881.0
2011-04-24,310.676,318.019,310.394,316.042,759881.0
2011-04-25,310.676,318.019,310.394,316.042,759881.0
2011-04-26,311.241,316.325,311.241,314.63,359295.0
2011-04-27,314.913,321.409,314.913,320.279,695895.0
2011-04-28,319.714,322.256,310.676,311.806,1344067.0
2011-04-29,319.714,322.256,310.676,311.806,1344067.0
