,MONY LN Equity,MONY LN Equity,MONY LN Equity,MONY LN Equity,MONY LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,36.997,37.596,35.464,35.464,69853.0
2010-01-02,36.997,37.596,35.464,35.464,69853.0
2010-01-03,36.997,37.596,35.464,35.464,69853.0
2010-01-04,36.422,37.141,35.033,36.614,102024.0
2010-01-05,35.08,36.902,35.08,35.943,241341.0
2010-01-06,35.943,36.902,35.703,36.902,500406.0
2010-01-07,36.734,36.854,35.464,35.943,192401.0
2010-01-08,35.871,36.902,35.703,35.943,184954.0
2010-01-09,35.871,36.902,35.703,35.943,184954.0
2010-01-10,35.871,36.902,35.703,35.943,184954.0
2010-01-11,37.117,37.117,35.128,35.943,160537.0
2010-01-12,36.087,36.111,35.009,35.512,60373.0
2010-01-13,34.985,36.902,34.985,35.656,91035.0
2010-01-14,35.703,36.662,35.2,35.847,89092.0
2010-01-15,36.662,36.806,34.505,35.344,116970.0
2010-01-16,36.662,36.806,34.505,35.344,116970.0
2010-01-17,36.662,36.806,34.505,35.344,116970.0
2010-01-18,35.176,36.015,35.176,35.488,94699.0
2010-01-19,34.985,35.943,34.985,35.943,52341.0
2010-01-20,36.207,36.207,35.08,35.464,62329.0
2010-01-21,34.865,35.799,34.505,34.985,174209.0
2010-01-22,36.302,36.302,34.505,34.505,82425.0
2010-01-23,36.302,36.302,34.505,34.505,82425.0
2010-01-24,36.302,36.302,34.505,34.505,82425.0
2010-01-25,34.505,35.751,33.954,34.505,80652.0
2010-01-26,35.44,35.943,34.505,35.56,98181.0
2010-01-27,34.505,35.536,34.505,35.104,46594.0
2010-01-28,35.464,36.422,34.985,34.985,77234.0
2010-01-29,35.224,36.422,33.858,34.985,148355.0
2010-01-30,35.224,36.422,33.858,34.985,148355.0
2010-01-31,35.224,36.422,33.858,34.985,148355.0
2010-02-01,36.422,36.422,33.691,34.985,127473.0
2010-02-02,36.47,36.902,34.817,36.902,151387.0
2010-02-03,34.505,36.782,34.505,35.464,128200.0
2010-02-04,34.505,35.943,34.409,34.985,176297.0
2010-02-05,34.745,36.207,34.745,34.745,382137.0
2010-02-06,34.745,36.207,34.745,34.745,382137.0
2010-02-07,34.745,36.207,34.745,34.745,382137.0
2010-02-08,34.026,35.991,32.588,33.451,235032.0
2010-02-09,34.937,35.08,32.996,33.954,179312.0
2010-02-10,32.732,35.056,32.732,34.625,177742.0
2010-02-11,35.08,35.08,32.109,33.571,147586.0
2010-02-12,33.547,34.745,32.109,32.828,140265.0
2010-02-13,33.547,34.745,32.109,32.828,140265.0
2010-02-14,33.547,34.745,32.109,32.828,140265.0
2010-02-15,32.493,34.026,31.87,32.205,140648.0
2010-02-16,31.151,33.068,30.719,31.247,590997.0
2010-02-17,31.27,34.098,31.27,33.068,315808.0
2010-02-18,33.283,33.547,32.588,33.283,167789.0
2010-02-19,33.547,34.266,32.588,32.588,2017459.0
2010-02-20,33.547,34.266,32.588,32.588,2017459.0
2010-02-21,33.547,34.266,32.588,32.588,2017459.0
2010-02-22,33.547,33.547,32.588,32.588,619281.0
2010-02-23,32.349,33.307,32.109,33.307,227672.0
2010-02-24,34.026,35.08,33.786,34.505,2079061.0
2010-02-25,35.08,35.08,33.906,34.505,663275.0
2010-02-26,34.985,35.464,34.242,35.464,337972.0
2010-02-27,34.985,35.464,34.242,35.464,337972.0
2010-02-28,34.985,35.464,34.242,35.464,337972.0
2010-03-01,35.464,36.422,35.296,35.488,338199.0
2010-03-02,34.865,36.638,34.793,36.422,791473.0
2010-03-03,37.434,39.043,34.585,37.461,862444.0
2010-03-04,38.252,38.278,36.142,37.038,571995.0
2010-03-05,36.115,37.988,36.115,37.197,338433.0
2010-03-06,36.115,37.988,36.115,37.197,338433.0
2010-03-07,36.115,37.988,36.115,37.197,338433.0
2010-03-08,36.564,37.672,35.376,36.142,951391.0
2010-03-09,36.907,36.907,35.667,36.142,791934.0
2010-03-10,36.142,36.247,35.35,35.878,611794.0
2010-03-11,35.799,36.194,35.429,36.115,80513.0
2010-03-12,36.669,36.669,35.614,36.115,111514.0
2010-03-13,36.669,36.669,35.614,36.115,111514.0
2010-03-14,36.669,36.669,35.614,36.115,111514.0
2010-03-15,36.01,36.01,35.403,36.01,213787.0
2010-03-16,36.036,36.168,34.77,35.561,151365.0
2010-03-17,36.247,36.247,35.535,35.799,59250.0
2010-03-18,35.878,36.221,34.822,35.086,272547.0
2010-03-19,35.403,35.429,34.638,35.06,528136.0
2010-03-20,35.403,35.429,34.638,35.06,528136.0
2010-03-21,35.403,35.429,34.638,35.06,528136.0
2010-03-22,36.273,36.273,33.899,35.192,187701.0
2010-03-23,34.348,35.324,34.163,34.822,362546.0
