,PSN LN Equity,PSN LN Equity,PSN LN Equity,PSN LN Equity,PSN LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,200.704,208.06,200.704,208.06,381916.0
2010-01-02,200.704,208.06,200.704,208.06,381916.0
2010-01-03,200.704,208.06,200.704,208.06,381916.0
2010-01-04,208.37,209.124,202.122,204.604,2270957.0
2010-01-05,205.135,207.041,203.185,205.357,1313531.0
2010-01-06,206.376,208.946,202.698,207.839,1340611.0
2010-01-07,211.206,223.57,208.858,221.576,4725891.0
2010-01-08,222.019,227.559,217.632,217.721,2808872.0
2010-01-09,222.019,227.559,217.632,217.721,2808872.0
2010-01-10,222.019,227.559,217.632,217.721,2808872.0
2010-01-11,216.967,218.917,212.625,214.087,2577664.0
2010-01-12,219.095,221.044,210.497,212.137,3877272.0
2010-01-13,210.852,219.449,210.852,219.05,2176456.0
2010-01-14,221.532,223.127,215.86,217.588,2641020.0
2010-01-15,216.879,217.544,213.422,213.6,1029828.0
2010-01-16,216.879,217.544,213.422,213.6,1029828.0
2010-01-17,216.879,217.544,213.422,213.6,1029828.0
2010-01-18,213.112,215.195,210.985,214.131,951630.0
2010-01-19,213.289,214.087,207.129,208.946,1437853.0
2010-01-20,207.839,213.644,207.395,209.168,2111449.0
2010-01-21,210.719,211.295,203.939,204.736,2000290.0
2010-01-22,202.21,204.692,199.374,200.748,737312.0
2010-01-23,202.21,204.692,199.374,200.748,737312.0
2010-01-24,202.21,204.692,199.374,200.748,737312.0
2010-01-25,198.931,204.958,198.931,199.862,904616.0
2010-01-26,198.665,203.939,196.804,202.122,1571897.0
2010-01-27,201.147,203.85,194.278,194.987,1602456.0
2010-01-28,198.798,199.153,193.658,193.658,1623141.0
2010-01-29,195.519,197.868,188.517,191.841,2569647.0
2010-01-30,195.519,197.868,188.517,191.841,2569647.0
2010-01-31,195.519,197.868,188.517,191.841,2569647.0
2010-02-01,192.638,198.311,190.556,196.051,2536529.0
2010-02-02,196.671,204.116,195.43,202.964,2163220.0
2010-02-03,204.293,205.135,201.324,202.964,2015698.0
2010-02-04,202.875,202.875,194.633,195.164,1148299.0
2010-02-05,194.721,194.721,181.116,185.681,2899993.0
2010-02-06,194.721,194.721,181.116,185.681,2899993.0
2010-02-07,194.721,194.721,181.116,185.681,2899993.0
2010-02-08,186.523,187.897,177.616,181.338,2552440.0
2010-02-09,181.958,184.174,179.432,181.781,1726955.0
2010-02-10,183.111,185.193,181.56,183.199,2157510.0
2010-02-11,184.795,186.434,179.964,182.136,916614.0
2010-02-12,184.662,184.662,179.743,181.116,1584585.0
2010-02-13,184.662,184.662,179.743,181.116,1584585.0
2010-02-14,184.662,184.662,179.743,181.116,1584585.0
2010-02-15,181.693,185.06,181.028,181.648,610540.0
2010-02-16,182.136,187.143,182.136,184.972,1463080.0
2010-02-17,186.877,191.974,186.877,191.442,1724068.0
2010-02-18,190.378,190.954,186.7,188.606,1251622.0
2010-02-19,186.789,189.005,185.149,186.257,1295967.0
2010-02-20,186.789,189.005,185.149,186.257,1295967.0
2010-02-21,186.789,189.005,185.149,186.257,1295967.0
2010-02-22,185.77,190.644,185.77,188.384,1615259.0
2010-02-23,189.581,190.777,179.3,181.471,4033519.0
2010-02-24,182.8,184.174,170.215,174.159,6670772.0
2010-02-25,173.982,180.762,171.722,173.406,5490208.0
2010-02-26,176.242,176.552,171.367,172.874,2982557.0
2010-02-27,176.242,176.552,171.367,172.874,2982557.0
2010-02-28,176.242,176.552,171.367,172.874,2982557.0
2010-03-01,175.09,178.325,173.406,177.527,3716639.0
2010-03-02,180.141,190.334,177.039,188.074,5135587.0
2010-03-03,188.65,189.27,184.883,188.34,2236706.0
2010-03-04,186.523,188.65,184.396,186.124,2981364.0
2010-03-05,186.434,187.985,185.149,186.612,1604002.0
2010-03-06,186.434,187.985,185.149,186.612,1604002.0
2010-03-07,186.434,187.985,185.149,186.612,1604002.0
2010-03-08,188.606,193.658,187.498,192.195,1719378.0
2010-03-09,193.214,193.214,185.105,186.301,3347714.0
2010-03-10,187.055,189.536,186.523,188.384,2038711.0
2010-03-11,188.296,194.455,188.296,193.525,1422772.0
2010-03-12,194.766,200.394,193.968,197.07,2487694.0
2010-03-13,194.766,200.394,193.968,197.07,2487694.0
2010-03-14,194.766,200.394,193.968,197.07,2487694.0
2010-03-15,197.735,198.001,193.347,195.43,1215581.0
2010-03-16,197.469,202.521,195.253,200.881,1646952.0
2010-03-17,202.521,203.894,198.975,199.507,1515546.0
