,ULVR LN Equity,ULVR LN Equity,ULVR LN Equity,ULVR LN Equity,ULVR LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,1233.901,1238.221,1224.024,1230.814,393230.0
2010-01-02,1233.901,1238.221,1224.024,1230.814,393230.0
2010-01-03,1233.901,1238.221,1224.024,1230.814,393230.0
2010-01-04,1226.494,1238.221,1222.79,1232.049,1764361.0
2010-01-05,1228.345,1232.666,1198.717,1205.507,2304839.0
2010-01-06,1199.334,1206.741,1194.396,1206.741,2690677.0
2010-01-07,1202.42,1210.445,1188.841,1191.927,3159931.0
2010-01-08,1198.1,1202.42,1183.285,1195.013,2115653.0
2010-01-09,1198.1,1202.42,1183.285,1195.013,2115653.0
2010-01-10,1198.1,1202.42,1183.285,1195.013,2115653.0
2010-01-11,1202.42,1206.124,1190.075,1191.31,1392734.0
2010-01-12,1193.162,1196.248,1180.199,1190.693,1398830.0
2010-01-13,1182.051,1199.334,1180.199,1191.927,2297206.0
2010-01-14,1199.951,1206.741,1191.927,1200.569,1997582.0
2010-01-15,1192.544,1197.482,1188.223,1191.927,4048206.0
2010-01-16,1192.544,1197.482,1188.223,1191.927,4048206.0
2010-01-17,1192.544,1197.482,1188.223,1191.927,4048206.0
2010-01-18,1194.396,1201.186,1191.31,1196.865,1110428.0
2010-01-19,1191.31,1220.938,1188.223,1217.235,2864617.0
2010-01-20,1214.766,1219.086,1199.951,1204.272,2974158.0
2010-01-21,1209.21,1220.938,1195.631,1197.482,2285846.0
2010-01-22,1190.693,1207.976,1185.137,1190.075,3357404.0
2010-01-23,1190.693,1207.976,1185.137,1190.075,3357404.0
2010-01-24,1190.693,1207.976,1185.137,1190.075,3357404.0
2010-01-25,1180.816,1189.458,1177.73,1179.582,2389413.0
2010-01-26,1170.323,1178.347,1160.447,1178.347,3166975.0
2010-01-27,1170.94,1171.557,1159.212,1169.706,2944124.0
2010-01-28,1180.199,1183.285,1162.916,1167.237,3241059.0
2010-01-29,1172.175,1185.137,1167.854,1178.965,3823027.0
2010-01-30,1172.175,1185.137,1167.854,1178.965,3823027.0
2010-01-31,1172.175,1185.137,1167.854,1178.965,3823027.0
2010-02-01,1177.73,1187.606,1171.557,1176.496,1720012.0
2010-02-02,1178.347,1198.1,1168.471,1194.396,2844789.0
2010-02-03,1191.31,1202.42,1185.137,1193.779,2951084.0
2010-02-04,1172.792,1178.347,1138.843,1152.422,13106865.0
2010-02-05,1147.484,1153.04,1116.004,1122.177,5955786.0
2010-02-06,1147.484,1153.04,1116.004,1122.177,5955786.0
2010-02-07,1147.484,1153.04,1116.004,1122.177,5955786.0
2010-02-08,1127.115,1141.312,1124.029,1138.225,2162620.0
2010-02-09,1143.781,1146.25,1121.56,1136.374,3542465.0
2010-02-10,1149.482,1164.435,1142.629,1156.336,3962468.0
2010-02-11,1162.566,1173.157,1147.613,1155.09,3469097.0
2010-02-12,1156.336,1178.142,1155.09,1163.189,3403438.0
2010-02-13,1156.336,1178.142,1155.09,1163.189,3403438.0
2010-02-14,1156.336,1178.142,1155.09,1163.189,3403438.0
2010-02-15,1168.796,1172.534,1150.728,1153.844,1752393.0
2010-02-16,1160.074,1163.812,1151.351,1163.812,2269625.0
2010-02-17,1170.042,1176.895,1163.812,1171.288,3265165.0
2010-02-18,1165.058,1182.503,1161.32,1181.257,1669867.0
2010-02-19,1178.765,1213.031,1177.519,1213.031,6080705.0
2010-02-20,1178.765,1213.031,1177.519,1213.031,6080705.0
