,BWY LN Equity,BWY LN Equity,BWY LN Equity,BWY LN Equity,BWY LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,466.326,498.634,466.326,498.634,105470.0
2010-01-02,466.326,498.634,466.326,498.634,105470.0
2010-01-03,466.326,498.634,466.326,498.634,105470.0
2010-01-04,486.442,495.281,475.47,482.785,392598.0
2010-01-05,479.432,485.528,477.603,480.347,308026.0
2010-01-06,478.213,484.918,474.556,482.48,176447.0
2010-01-07,479.432,496.196,479.432,496.196,595524.0
2010-01-08,493.757,504.73,491.624,503.51,410866.0
2010-01-09,493.757,504.73,491.624,503.51,410866.0
2010-01-10,493.757,504.73,491.624,503.51,410866.0
2010-01-11,505.949,509.301,498.939,499.853,322872.0
2010-01-12,496.805,503.206,485.528,488.576,446690.0
2010-01-13,488.576,495.281,486.442,490.1,357524.0
2010-01-14,489.795,498.939,483.394,486.138,246396.0
2010-01-15,492.538,492.843,473.032,476.994,272089.0
2010-01-16,492.538,492.843,473.032,476.994,272089.0
2010-01-17,492.538,492.843,473.032,476.994,272089.0
2010-01-18,475.47,480.956,474.86,478.518,95713.0
2010-01-19,480.956,480.956,460.84,466.631,262248.0
2010-01-20,468.155,474.556,464.498,467.545,341415.0
2010-01-21,471.203,471.203,462.669,463.888,910809.0
2010-01-22,460.535,466.021,451.392,456.878,394592.0
2010-01-23,460.535,466.021,451.392,456.878,394592.0
2010-01-24,460.535,466.021,451.392,456.878,394592.0
2010-01-25,456.573,465.717,451.087,459.621,205211.0
2010-01-26,453.22,460.84,452.916,458.402,207067.0
2010-01-27,458.402,458.402,450.477,453.83,280405.0
2010-01-28,457.792,459.926,453.525,454.135,211543.0
2010-01-29,457.183,458.402,447.125,452.306,447639.0
2010-01-30,457.183,458.402,447.125,452.306,447639.0
2010-01-31,457.183,458.402,447.125,452.306,447639.0
2010-02-01,449.868,457.183,449.868,457.183,322193.0
2010-02-02,457.183,467.545,453.22,463.888,333272.0
2010-02-03,466.326,479.737,461.145,472.727,401711.0
2010-02-04,473.336,480.956,462.974,463.583,615075.0
2010-02-05,464.802,464.802,444.991,446.82,544159.0
2010-02-06,464.802,464.802,444.991,446.82,544159.0
2010-02-07,464.802,464.802,444.991,446.82,544159.0
2010-02-08,448.953,451.392,431.58,440.114,348163.0
2010-02-09,442.553,444.991,427.618,431.276,325980.0
2010-02-10,432.19,439.81,430.361,435.847,402072.0
2010-02-11,435.543,444.686,435.543,438.591,259859.0
2010-02-12,443.467,443.467,430.361,432.19,165663.0
2010-02-13,443.467,443.467,430.361,432.19,165663.0
2010-02-14,443.467,443.467,430.361,432.19,165663.0
2010-02-15,429.752,439.505,428.533,428.533,112307.0
2010-02-16,430.361,439.2,430.361,437.676,302645.0
2010-02-17,444.991,446.21,437.676,441.029,697172.0
2010-02-18,441.943,442.553,434.628,437.067,220519.0
2010-02-19,430.971,436.762,430.971,433.409,210091.0
2010-02-20,430.971,436.762,430.971,433.409,210091.0
2010-02-21,430.971,436.762,430.971,433.409,210091.0
2010-02-22,432.19,439.505,427.923,430.666,348083.0
2010-02-23,431.58,435.238,423.046,425.789,318950.0
2010-02-24,426.704,432.8,414.207,417.56,439917.0
2010-02-25,417.56,419.694,402.625,408.416,751708.0
2010-02-26,413.293,413.293,402.93,405.369,562389.0
2010-02-27,413.293,413.293,402.93,405.369,562389.0
2010-02-28,413.293,413.293,402.93,405.369,562389.0
2010-03-01,411.464,411.464,395.311,400.187,986724.0
2010-03-02,402.321,421.522,401.102,420.303,997330.0
2010-03-03,417.56,419.694,407.197,411.464,303815.0
2010-03-04,412.074,415.731,409.026,411.464,434674.0
2010-03-05,414.817,420.303,412.074,416.646,245147.0
2010-03-06,414.817,420.303,412.074,416.646,245147.0
2010-03-07,414.817,420.303,412.074,416.646,245147.0
2010-03-08,416.646,425.485,414.207,422.132,264448.0
2010-03-09,423.656,423.656,411.16,413.293,405463.0
2010-03-10,414.512,427.923,414.512,424.57,677488.0
2010-03-11,420.913,434.323,420.913,430.666,458318.0
2010-03-12,432.19,448.953,430.971,443.162,414627.0
2010-03-13,432.19,448.953,430.971,443.162,414627.0
2010-03-14,432.19,448.953,430.971,443.162,414627.0
2010-03-15,444.991,444.991,434.628,437.981,344604.0
2010-03-16,434.628,446.21,434.628,444.382,327050.0
2010-03-17,448.649,451.087,443.772,445.296,175487.0
2010-03-18,445.296,452.611,444.077,446.21,293349.0
2010-03-19,450.477,461.45,444.686,455.659,729765.0
2010-03-20,450.477,461.45,444.686,455.659,729765.0
2010-03-21,450.477,461.45,444.686,455.659,729765.0
2010-03-22,452.306,457.487,444.686,448.649,208476.0
2010-03-23,443.772,453.525,437.067,438.591,356682.0
2010-03-24,452.001,470.593,446.82,463.278,742519.0
2010-03-25,455.963,470.593,455.963,466.326,700610.0
2010-03-26,469.374,478.213,463.583,476.079,414915.0
2010-03-27,469.374,478.213,463.583,476.079,414915.0
2010-03-28,469.374,478.213,463.583,476.079,414915.0
2010-03-29,481.87,484.614,466.326,469.069,429692.0
2010-03-30,473.641,476.994,468.46,470.289,297454.0
2010-03-31,468.46,479.127,464.802,469.374,436392.0
2010-04-01,474.251,478.213,472.117,475.165,173756.0
2010-04-02,474.251,478.213,472.117,475.165,173756.0
2010-04-03,474.251,478.213,472.117,475.165,173756.0
2010-04-04,474.251,478.213,472.117,475.165,173756.0
2010-04-05,474.251,478.213,472.117,475.165,173756.0
2010-04-06,477.908,479.432,473.336,476.079,277771.0
2010-04-07,479.127,479.127,467.545,471.812,548571.0
2010-04-08,472.422,474.86,465.717,471.203,484436.0
2010-04-09,475.47,480.956,473.336,478.518,1954408.0
2010-04-10,475.47,480.956,473.336,478.518,1954408.0
2010-04-11,475.47,480.956,473.336,478.518,1954408.0
2010-04-12,481.87,481.87,475.775,476.689,164164.0
2010-04-13,474.251,477.299,469.984,472.117,257896.0
2010-04-14,471.203,475.775,468.155,469.069,194200.0
2010-04-15,467.241,473.946,456.268,462.364,615953.0
2010-04-16,460.535,469.374,459.316,460.535,412135.0
2010-04-17,460.535,469.374,459.316,460.535,412135.0
2010-04-18,460.535,469.374,459.316,460.535,412135.0
2010-04-19,457.487,462.364,456.268,459.316,606413.0
2010-04-20,457.183,465.412,457.183,463.278,1117890.0
2010-04-21,461.45,468.765,457.792,465.412,404596.0
2010-04-22,467.545,480.651,467.241,474.86,279381.0
2010-04-23,477.299,489.185,474.86,487.966,473030.0
2010-04-24,477.299,489.185,474.86,487.966,473030.0
2010-04-25,477.299,489.185,474.86,487.966,473030.0
2010-04-26,490.405,506.863,490.405,493.148,369303.0
2010-04-27,494.062,494.062,479.737,479.737,491299.0
2010-04-28,476.689,480.347,464.193,464.193,468000.0
2010-04-29,468.765,473.641,463.278,463.583,616375.0
2010-04-30,463.583,473.032,456.268,459.621,485596.0
2010-05-01,463.583,473.032,456.268,459.621,485596.0
2010-05-02,463.583,473.032,456.268,459.621,485596.0
