,REL LN Equity,REL LN Equity,REL LN Equity,REL LN Equity,REL LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,342.933,345.296,339.558,345.296,915325.0
2010-01-02,342.933,345.296,339.558,345.296,915325.0
2010-01-03,342.933,345.296,339.558,345.296,915325.0
2010-01-04,343.608,346.983,339.895,345.971,3891420.0
2010-01-05,346.308,346.646,342.933,344.621,4378655.0
2010-01-06,343.946,344.621,339.558,342.933,4537837.0
2010-01-07,343.271,343.608,337.87,339.22,5438168.0
2010-01-08,340.233,342.258,337.533,341.583,6036741.0
2010-01-09,340.233,342.258,337.533,341.583,6036741.0
2010-01-10,340.233,342.258,337.533,341.583,6036741.0
2010-01-11,342.933,343.608,338.883,340.233,3063001.0
2010-01-12,340.233,341.92,335.777,339.22,7382391.0
2010-01-13,337.263,343.271,337.263,341.583,4712729.0
2010-01-14,344.621,344.958,340.908,341.92,2144296.0
2010-01-15,342.258,345.296,340.908,343.946,7502591.0
2010-01-16,342.258,345.296,340.908,343.946,7502591.0
2010-01-17,342.258,345.296,340.908,343.946,7502591.0
2010-01-18,345.296,345.296,340.233,343.608,2142647.0
2010-01-19,343.608,343.946,338.208,341.583,2993098.0
2010-01-20,340.908,345.971,340.908,344.621,9460393.0
2010-01-21,346.646,357.785,344.283,351.371,11741829.0
2010-01-22,350.696,356.434,347.659,348.334,6784883.0
2010-01-23,350.696,356.434,347.659,348.334,6784883.0
2010-01-24,350.696,356.434,347.659,348.334,6784883.0
2010-01-25,344.621,346.983,340.57,341.583,4687331.0
2010-01-26,340.233,342.258,335.237,338.545,7056432.0
2010-01-27,336.722,338.883,334.495,336.452,5370616.0
2010-01-28,339.895,340.233,332.537,333.347,6881863.0
2010-01-29,334.765,338.883,333.955,337.533,7355531.0
2010-01-30,334.765,338.883,333.955,337.533,7355531.0
2010-01-31,334.765,338.883,333.955,337.533,7355531.0
2010-02-01,335.98,339.558,335.305,338.545,6176859.0
2010-02-02,338.883,340.908,335.575,339.558,8486381.0
2010-02-03,339.895,342.596,338.545,339.895,8414184.0
2010-02-04,340.233,342.596,331.187,333.145,13807422.0
2010-02-05,331.862,332.47,323.964,325.719,9411809.0
2010-02-06,331.862,332.47,323.964,325.719,9411809.0
2010-02-07,331.862,332.47,323.964,325.719,9411809.0
2010-02-08,326.867,331.119,326.597,328.487,5120256.0
2010-02-09,328.554,332.132,325.921,327.947,4674646.0
2010-02-10,330.714,330.714,324.774,326.124,7146849.0
2010-02-11,327.407,329.229,324.504,327.272,9013801.0
2010-02-12,329.094,333.347,327.609,330.107,6163960.0
2010-02-13,329.094,333.347,327.609,330.107,6163960.0
2010-02-14,329.094,333.347,327.609,330.107,6163960.0
2010-02-15,330.242,332.942,327.542,328.554,2426290.0
2010-02-16,330.647,331.93,325.449,328.082,3482798.0
2010-02-17,334.832,335.102,331.524,333.145,9152355.0
2010-02-18,331.457,335.777,326.056,328.217,11946335.0
2010-02-19,327.204,327.542,322.816,325.651,12421048.0
2010-02-20,327.204,327.542,322.816,325.651,12421048.0
2010-02-21,327.204,327.542,322.816,325.651,12421048.0
2010-02-22,331.457,331.524,322.681,325.516,5567645.0
2010-02-23,327.002,329.904,324.976,329.432,9513107.0
2010-02-24,329.229,330.782,326.124,328.149,8433043.0
2010-02-25,326.799,331.052,326.394,327.947,6176141.0
2010-02-26,329.094,332.875,328.352,332.132,6336799.0
2010-02-27,329.094,332.875,328.352,332.132,6336799.0
2010-02-28,329.094,332.875,328.352,332.132,6336799.0
2010-03-01,334.36,336.317,332.47,336.182,7118669.0
2010-03-02,337.533,343.946,335.845,341.92,5712433.0
2010-03-03,342.596,344.283,339.895,340.908,6527636.0
2010-03-04,340.57,341.583,338.883,339.895,5313800.0
2010-03-05,341.245,346.646,340.233,344.958,7168549.0
2010-03-06,341.245,346.646,340.233,344.958,7168549.0
2010-03-07,341.245,346.646,340.233,344.958,7168549.0
2010-03-08,346.646,347.996,344.621,347.659,3190574.0
2010-03-09,348.334,351.709,347.321,347.321,6746136.0
2010-03-10,346.308,348.671,342.596,344.283,6630094.0
2010-03-11,343.271,345.296,343.271,343.946,3831338.0
2010-03-12,345.296,345.633,342.258,342.596,5960075.0
2010-03-13,345.296,345.633,342.258,342.596,5960075.0
2010-03-14,345.296,345.633,342.258,342.596,5960075.0
2010-03-15,341.92,343.608,340.233,340.57,1390003.0
2010-03-16,341.245,343.946,340.233,341.92,3899609.0
2010-03-17,344.283,344.283,340.233,341.92,2318004.0
2010-03-18,340.908,341.245,338.208,339.895,3116652.0
2010-03-19,340.908,341.583,335.98,336.993,7134307.0
2010-03-20,340.908,341.583,335.98,336.993,7134307.0
2010-03-21,340.908,341.583,335.98,336.993,7134307.0
2010-03-22,336.52,338.883,335.102,338.545,4147953.0
2010-03-23,339.22,341.583,337.87,340.908,3042003.0
2010-03-24,341.92,345.633,341.245,343.608,4481429.0
2010-03-25,344.958,356.097,344.958,355.084,5755180.0
2010-03-26,354.747,357.447,351.709,352.384,3948072.0
2010-03-27,354.747,357.447,351.709,352.384,3948072.0
2010-03-28,354.747,357.447,351.709,352.384,3948072.0
2010-03-29,353.059,356.772,352.722,354.747,2764461.0
2010-03-30,355.759,356.434,352.046,353.059,2104510.0
2010-03-31,353.734,356.772,352.722,354.747,4826941.0
2010-04-01,355.759,357.109,352.722,355.084,6810702.0
2010-04-02,355.759,357.109,352.722,355.084,6810702.0
2010-04-03,355.759,357.109,352.722,355.084,6810702.0
2010-04-04,355.759,357.109,352.722,355.084,6810702.0
2010-04-05,355.759,357.109,352.722,355.084,6810702.0
2010-04-06,351.371,356.434,351.371,355.084,4071352.0
2010-04-07,355.759,356.097,352.046,353.734,2599669.0
2010-04-08,352.722,354.409,349.009,350.696,2756402.0
2010-04-09,353.059,356.097,349.009,355.084,3684028.0
2010-04-10,353.059,356.097,349.009,355.084,3684028.0
2010-04-11,353.059,356.097,349.009,355.084,3684028.0
2010-04-12,357.109,359.81,352.384,355.084,1947677.0
2010-04-13,355.759,356.434,353.397,355.084,2372505.0
2010-04-14,357.109,358.46,354.409,354.747,2388764.0
2010-04-15,354.747,360.147,353.734,358.122,4349360.0
2010-04-16,357.447,360.485,356.097,356.097,4295105.0
2010-04-17,357.447,360.485,356.097,356.097,4295105.0
2010-04-18,357.447,360.485,356.097,356.097,4295105.0
2010-04-19,355.759,358.46,354.409,355.422,3785315.0
2010-04-20,356.772,360.485,352.722,359.81,4318473.0
2010-04-21,360.822,362.172,355.422,360.822,6074967.0
2010-04-22,366.223,367.235,360.822,363.185,4360009.0
2010-04-23,364.198,368.586,360.822,367.573,3612034.0
2010-04-24,364.198,368.586,360.822,367.573,3612034.0
2010-04-25,364.198,368.586,360.822,367.573,3612034.0
2010-04-26,369.598,369.936,360.822,361.497,5003671.0
2010-04-27,360.822,363.86,357.785,357.785,6054337.0
2010-04-28,358.479,358.479,351.185,353.616,7593797.0
2010-04-29,353.964,357.09,352.227,356.048,4414238.0
2010-04-30,357.09,361.606,355.353,357.437,5257899.0
2010-05-01,357.09,361.606,355.353,357.437,5257899.0
2010-05-02,357.09,361.606,355.353,357.437,5257899.0
2010-05-03,357.09,361.606,355.353,357.437,5257899.0
2010-05-04,361.258,363.69,354.658,355.006,4852147.0
2010-05-05,353.964,355.353,346.252,346.391,7394942.0
2010-05-06,344.515,352.574,341.667,349.795,7443728.0
2010-05-07,340.416,346.044,329.787,333.469,10229434.0
2010-05-08,340.416,346.044,329.787,333.469,10229434.0
2010-05-09,340.416,346.044,329.787,333.469,10229434.0
2010-05-10,343.89,346.669,337.776,341.042,9072151.0
2010-05-11,337.429,341.32,336.109,339.722,12877742.0
2010-05-12,337.012,354.311,336.943,353.269,6304748.0
2010-05-13,354.311,356.048,352.227,353.964,3835548.0
2010-05-14,353.964,353.964,344.515,345.974,9167303.0
2010-05-15,353.964,353.964,344.515,345.974,9167303.0
2010-05-16,353.964,353.964,344.515,345.974,9167303.0
2010-05-17,342.848,349.1,342.848,344.654,11919274.0
2010-05-18,347.711,350.837,342.917,348.753,8368252.0
2010-05-19,344.515,346.322,337.985,337.985,7328983.0
2010-05-20,340.416,341.32,326.939,328.884,7455359.0
2010-05-21,328.398,330.412,322.284,328.12,10751710.0
2010-05-22,328.398,330.412,322.284,328.12,10751710.0
2010-05-23,328.398,330.412,322.284,328.12,10751710.0
2010-05-24,336.595,336.595,327.494,329.718,4056586.0
2010-05-25,323.882,325.48,318.463,319.991,5395563.0
2010-05-26,324.438,328.814,321.52,324.09,8548025.0
2010-05-27,325.966,329.995,324.993,329.995,6974463.0
2010-05-28,333.261,337.707,331.246,334.581,7148315.0
2010-05-29,333.261,337.707,331.246,334.581,7148315.0
2010-05-30,333.261,337.707,331.246,334.581,7148315.0
2010-05-31,333.261,337.707,331.246,334.581,7148315.0
2010-06-01,332.913,334.998,328.12,332.705,5681853.0
2010-06-02,330.482,332.774,325.619,329.648,6527175.0
2010-06-03,335.692,337.221,331.177,332.288,3887144.0
