,IAG LN Equity,IAG LN Equity,IAG LN Equity,IAG LN Equity,IAG LN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,97.111,97.111,95.724,96.032,1625448.0
2010-01-02,97.111,97.111,95.724,96.032,1625448.0
2010-01-03,97.111,97.111,95.724,96.032,1625448.0
2010-01-04,95.673,98.447,95.519,98.19,12157457.0
2010-01-05,98.499,102.095,97.471,101.684,14773345.0
2010-01-06,102.095,103.431,100.708,102.712,12086324.0
2010-01-07,102.044,102.661,101.119,102.095,8317805.0
2010-01-08,102.147,102.866,101.273,102.352,7355180.0
2010-01-09,102.147,102.866,101.273,102.352,7355180.0
2010-01-10,102.147,102.866,101.273,102.352,7355180.0
2010-01-11,102.763,102.763,100.451,101.736,12447809.0
2010-01-12,102.147,102.198,98.242,98.345,17383633.0
2010-01-13,97.677,98.961,97.368,98.961,17164751.0
2010-01-14,99.321,99.835,97.522,98.653,11263104.0
2010-01-15,98.807,101.222,98.293,98.91,27885686.0
2010-01-16,98.807,101.222,98.293,98.91,27885686.0
2010-01-17,98.807,101.222,98.293,98.91,27885686.0
2010-01-18,99.783,102.712,98.396,100.04,15379187.0
2010-01-19,99.989,103.534,98.807,102.969,19004341.0
2010-01-20,103.329,105.384,101.684,103.894,30745506.0
2010-01-21,104.408,109.7,104.408,107.645,56927921.0
2010-01-22,107.388,107.491,104.408,106.823,30425280.0
2010-01-23,107.388,107.491,104.408,106.823,30425280.0
2010-01-24,107.388,107.491,104.408,106.823,30425280.0
2010-01-25,105.641,107.645,104.459,106.668,25068564.0
2010-01-26,106.0,108.415,105.332,107.285,23326881.0
2010-01-27,106.617,106.874,103.894,105.949,20860990.0
2010-01-28,107.902,109.135,104.767,104.767,20539102.0
2010-01-29,106.052,107.028,104.356,105.949,10269333.0
2010-01-30,106.052,107.028,104.356,105.949,10269333.0
2010-01-31,106.052,107.028,104.356,105.949,10269333.0
2010-02-01,105.692,109.854,105.332,109.443,17549492.0
2010-02-02,109.905,112.988,109.238,112.731,21692841.0
2010-02-03,112.68,115.249,111.858,113.297,19758279.0
2010-02-04,113.297,114.067,107.542,108.57,17811110.0
2010-02-05,110.368,111.087,105.538,105.846,45952315.0
2010-02-06,110.368,111.087,105.538,105.846,45952315.0
2010-02-07,110.368,111.087,105.538,105.846,45952315.0
2010-02-08,106.874,106.874,101.941,102.25,22780976.0
2010-02-09,102.044,105.744,100.811,105.487,31150055.0
2010-02-10,106.309,116.123,106.309,108.467,16018175.0
2010-02-11,109.803,109.854,103.072,104.767,35985074.0
2010-02-12,104.51,105.692,99.372,100.451,28604956.0
2010-02-13,104.51,105.692,99.372,100.451,28604956.0
2010-02-14,104.51,105.692,99.372,100.451,28604956.0
2010-02-15,105.332,106.36,102.763,103.072,15606330.0
2010-02-16,104.305,104.665,101.325,102.558,14399564.0
