2018-07-27,61747.746,62039.009,61165.22,61689.494,109476.0
2018-07-28,61747.746,62039.009,61165.22,61689.494,109476.0
2018-07-29,61747.746,62039.009,61165.22,61689.494,109476.0
2018-07-30,61747.746,64369.113,61165.22,64369.113,527378.0
2018-07-31,65242.902,65242.902,63378.819,64252.608,276981.0
2018-08-01,64252.608,64310.86,63204.061,63262.314,521089.0
2018-08-02,64019.597,64019.597,63262.314,63378.819,430966.0
2018-08-03,63611.829,63903.092,63204.061,63495.324,647075.0
2018-08-04,63611.829,63903.092,63204.061,63495.324,647075.0
2018-08-05,63611.829,63903.092,63204.061,63495.324,647075.0
2018-08-06,63495.324,63553.576,63378.819,63495.324,297180.0
2018-08-07,63495.324,63495.324,62330.272,62621.535,260813.0
2018-08-08,62621.535,63378.819,62621.535,62912.798,218254.0
2018-08-09,62912.798,63495.324,62912.798,63320.566,464214.0
2018-08-10,63495.324,63495.324,61747.746,62272.019,195764.0
2018-08-11,63495.324,63495.324,61747.746,62272.019,195764.0
2018-08-12,63495.324,63495.324,61747.746,62272.019,195764.0
2018-08-13,63145.808,63145.808,62272.019,62621.535,1768683.0
2018-08-14,62330.272,62912.798,62330.272,62796.293,660741.0
2018-08-15,62796.293,62854.545,62388.525,62796.293,708988.0
2018-08-16,62796.293,62854.545,62388.525,62796.293,1180108.0
2018-08-17,66407.953,66407.953,63378.819,63378.819,1829051.0
2018-08-18,66407.953,66407.953,63378.819,63378.819,1829051.0
2018-08-19,66407.953,66407.953,63378.819,63378.819,1829051.0
2018-08-20,64893.386,64893.386,63378.819,63378.819,935805.0
2018-08-21,63378.819,64369.113,63378.819,64019.597,1204580.0
2018-08-22,64019.597,64543.871,63844.839,64019.597,675643.0
2018-08-23,64077.85,65301.154,64077.85,65184.649,2229143.0
2018-08-24,65359.407,65767.175,64718.628,64951.639,2178280.0
2018-08-25,65359.407,65767.175,64718.628,64951.639,2178280.0
2018-08-26,65359.407,65767.175,64718.628,64951.639,2178280.0
2018-08-27,65184.649,65184.649,64835.133,64951.639,1484714.0
2018-08-28,64951.639,64951.639,64369.113,64660.376,1327918.0
2018-08-29,64660.376,64660.376,63087.556,63087.556,493334.0
2018-08-30,62912.798,62912.798,62039.009,62563.282,665503.0
2018-08-31,62563.282,64776.881,60582.694,60582.694,4919915.0
2018-09-01,62563.282,64776.881,60582.694,60582.694,4919915.0
2018-09-02,62563.282,64776.881,60582.694,60582.694,4919915.0
2018-09-03,62563.282,64776.881,60582.694,60582.694,4919915.0
2018-09-04,62272.019,62738.04,60699.2,61106.968,366486.0
2018-09-05,61631.241,61747.746,61223.473,61747.746,517660.0
2018-09-06,61747.746,61747.746,60932.21,61165.22,466765.0
2018-09-07,60582.694,61165.22,60582.694,61048.715,746021.0
2018-09-08,60582.694,61165.22,60582.694,61048.715,746021.0
2018-09-09,60582.694,61165.22,60582.694,61048.715,746021.0
2018-09-10,61456.483,61456.483,60932.21,60932.21,866044.0
2018-09-11,60582.694,61165.22,60407.937,60407.937,786126.0
2018-09-12,61048.715,61048.715,60466.189,60582.694,984165.0
2018-09-13,60582.694,61514.736,60582.694,61223.473,1359979.0
2018-09-14,61631.241,61747.746,61339.978,61456.483,961659.0
2018-09-15,61631.241,61747.746,61339.978,61456.483,961659.0
2018-09-16,61631.241,61747.746,61339.978,61456.483,961659.0
2018-09-17,61456.483,62155.514,61398.231,61456.483,2091765.0
2018-09-18,61456.483,61456.483,60582.694,60932.21,337269.0
2018-09-19,61398.231,61398.231,60000.168,60932.21,419510.0
2018-09-20,61165.22,61165.22,60524.442,61165.22,547463.0
2018-09-21,60932.21,61223.473,59126.38,59126.38,13166595.0
2018-09-22,60932.21,61223.473,59126.38,59126.38,13166595.0
2018-09-23,60932.21,61223.473,59126.38,59126.38,13166595.0
2018-09-24,59126.38,60000.168,59126.38,59941.916,1031355.0
2018-09-25,60000.168,60233.179,59184.632,59650.653,767211.0
2018-09-26,59417.643,59708.906,59359.39,59359.39,769568.0
2018-09-27,60000.168,60873.957,60000.168,60582.694,854734.0
2018-09-28,61456.483,61747.746,60932.21,61747.746,1375936.0
2018-09-29,61456.483,61747.746,60932.21,61747.746,1375936.0
2018-09-30,61456.483,61747.746,60932.21,61747.746,1375936.0
2018-10-01,62039.009,62388.525,60058.421,60058.421,850818.0
2018-10-02,60757.452,61165.22,60466.189,60582.694,868628.0
2018-10-03,61106.968,61106.968,59359.39,59417.643,760451.0
2018-10-04,60582.694,60582.694,59767.158,59767.158,539191.0
2018-10-05,60582.694,60582.694,59475.895,59475.895,495154.0
2018-10-06,60582.694,60582.694,59475.895,59475.895,495154.0
2018-10-07,60582.694,60582.694,59475.895,59475.895,495154.0
2018-10-08,60072.984,60437.063,58252.591,58252.591,345540.0
