tick,dw_score,dw_date
REGN,2,2016-02-05
REGN,1,2016-03-07
REGN,2,2016-04-01
REGN,1,2016-04-29
REGN,2,2016-05-16
REGN,1,2016-06-10
REGN,2,2016-07-20
REGN,1,2016-10-28
REGN,2,2016-11-14
REGN,1,2017-01-09
REGN,2,2017-02-13
REGN,1,2017-04-11
REGN,2,2017-04-28
REGN,3,2017-05-04
REGN,4,2017-05-18
REGN,3,2017-09-13
REGN,2,2017-10-24
REGN,1,2017-11-01
REGN,0,2017-11-17
REGN,1,2018-06-07
REGN,2,2018-07-03
REGN,3,2018-07-30
REGN,2,2018-10-24
REGN,3,2018-12-03
REGN,2,2018-12-21
REGN,3,2019-01-04
REGN,2,2019-04-15
REGN,1,2019-04-16
REGN,0,2019-04-17
REGN,1,2019-10-29
REGN,2,2019-11-25
REGN,3,2020-02-24
REGN,4,2020-03-04
REGN,5,2020-03-06
REGN,4,2020-03-24
REGN,3,2020-09-11
REGN,2,2020-10-20
REGN,3,2021-01-25
REGN,2,2021-02-05
REGN,1,2021-02-22
REGN,2,2021-05-06
REGN,3,2021-05-14
REGN,4,2021-07-19
REGN,3,2021-10-01
REGN,2,2021-10-11
REGN,3,2021-11-22
REGN,4,2021-12-03
REGN,5,2021-12-09
REGN,4,2022-05-05
REGN,3,2022-06-23
REGN,4,2022-09-08
REGN,5,2022-09-19
REGN,4,2022-11-11
REGN,5,2022-12-01
REGN,4,2022-12-19
REGN,3,2023-01-09
REGN,4,2023-01-31
REGN,5,2023-03-23
REGN,4,2023-05-17
REGN,5,2023-06-15
REGN,4,2023-06-27
REGN,3,2023-07-07
REGN,4,2023-08-03
REGN,5,2023-08-21
REGN,4,2023-12-26
