,CSX US Equity
,BEST_DIV_YLD
2020-01-01,1.751
2020-01-02,1.731
2020-01-03,1.738
2020-01-04,1.738
2020-01-05,1.738
2020-01-06,1.747
2020-01-07,1.735
2020-01-08,1.726
2020-01-09,1.718
2020-01-10,1.727
2020-01-11,1.727
2020-01-12,1.727
2020-01-13,1.696
2020-01-14,1.697
2020-01-15,1.689
2020-01-16,1.651
2020-01-17,1.658
2020-01-18,1.658
2020-01-19,1.658
2020-01-20,1.658
2020-01-21,1.693
2020-01-22,1.698
2020-01-23,1.653
2020-01-24,1.652
2020-01-25,1.652
2020-01-26,1.652
2020-01-27,1.685
2020-01-28,1.662
2020-01-29,1.634
2020-01-30,1.629
2020-01-31,1.659
2020-02-01,1.659
2020-02-02,1.659
2020-02-03,1.643
2020-02-04,1.629
2020-02-05,1.621
2020-02-06,1.617
2020-02-07,1.627
2020-02-08,1.627
2020-02-09,1.627
2020-02-10,1.606
2020-02-11,1.613
2020-02-12,1.594
2020-02-13,1.587
2020-02-14,1.592
2020-02-15,1.592
2020-02-16,1.592
2020-02-17,1.592
2020-02-18,1.593
2020-02-19,1.58
2020-02-20,1.575
2020-02-21,1.592
2020-02-22,1.592
2020-02-23,1.592
2020-02-24,1.623
2020-02-25,1.676
2020-02-26,1.682
2020-02-27,1.747
2020-02-28,1.792
2020-02-29,1.792
2020-03-01,1.792
2020-03-02,1.784
2020-03-03,1.832
2020-03-04,1.753
2020-03-05,1.831
2020-03-06,1.85
2020-03-07,1.85
2020-03-08,1.85
2020-03-09,2.09
2020-03-10,2.008
2020-03-11,2.165
2020-03-12,2.364
2020-03-13,2.179
2020-03-14,2.179
2020-03-15,2.179
2020-03-16,2.58
2020-03-17,2.327
2020-03-18,2.477
2020-03-19,2.295
2020-03-20,2.531
2020-03-21,2.531
2020-03-22,2.531
2020-03-23,2.649
2020-03-24,2.275
2020-03-25,2.233
2020-03-26,2.155
2020-03-27,2.243
2020-03-28,2.243
2020-03-29,2.243
2020-03-30,2.176
2020-03-31,2.203
2020-04-01,2.302
2020-04-02,2.22
2020-04-03,2.224
2020-04-04,2.224
2020-04-05,2.224
2020-04-06,2.06
2020-04-07,2.064
2020-04-08,1.292
2020-04-09,1.282
2020-04-10,1.282
2020-04-11,1.282
2020-04-12,1.282
2020-04-13,1.333
2020-04-14,1.312
2020-04-15,1.348
2020-04-16,1.353
2020-04-17,1.307
2020-04-18,1.307
2020-04-19,1.307
2020-04-20,1.345
2020-04-21,1.38
2020-04-22,1.348
2020-04-23,1.412
2020-04-24,1.36
2020-04-25,1.36
2020-04-26,1.36
2020-04-27,1.307
2020-04-28,1.638
2020-04-29,1.607
2020-04-30,1.654
2020-05-01,1.685
2020-05-02,1.685
2020-05-03,1.685
2020-05-04,1.718
2020-05-05,1.717
2020-05-06,1.749
2020-05-07,1.713
2020-05-08,1.657
2020-05-09,1.657
2020-05-10,1.657
2020-05-11,1.662
2020-05-12,1.707
2020-05-13,1.757
2020-05-14,1.739
2020-05-15,1.766
2020-05-16,1.766
2020-05-17,1.766
2020-05-18,1.65
2020-05-19,1.66
2020-05-20,1.602
2020-05-21,1.615
2020-05-22,1.598
2020-05-23,1.598
2020-05-24,1.598
2020-05-25,1.598
2020-05-26,1.518
2020-05-27,1.488
2020-05-28,1.532
2020-05-29,1.525
2020-05-30,1.525
2020-05-31,1.525
2020-06-01,1.54
2020-06-02,1.512
2020-06-03,1.461
2020-06-04,1.474
2020-06-05,1.454
2020-06-06,1.454
2020-06-07,1.454
2020-06-08,1.468
2020-06-09,1.482
2020-06-10,1.489
2020-06-11,1.598
2020-06-12,1.569
2020-06-13,1.569
2020-06-14,1.569
2020-06-15,1.556
2020-06-16,1.551
2020-06-17,1.561
2020-06-18,1.571
2020-06-19,1.605
2020-06-20,1.605
2020-06-21,1.605
2020-06-22,1.591
2020-06-23,1.572
2020-06-24,1.617
2020-06-25,1.6
2020-06-26,1.923
2020-06-27,1.923
2020-06-28,1.923
2020-06-29,1.85
2020-06-30,1.817
2020-07-01,1.857
2020-07-02,1.841
2020-07-03,1.841
2020-07-04,1.841
2020-07-05,1.841
2020-07-06,1.804
2020-07-07,1.85
2020-07-08,1.834
2020-07-09,1.868
2020-07-10,1.877
2020-07-11,1.877
2020-07-12,1.877
2020-07-13,1.846
2020-07-14,1.828
2020-07-15,1.794
2020-07-16,1.783
2020-07-17,1.756
2020-07-18,1.756
2020-07-19,1.756
2020-07-20,1.771
2020-07-21,1.75
2020-07-22,1.73
2020-07-23,1.772
2020-07-24,1.777
2020-07-25,1.777
2020-07-26,1.777
2020-07-27,1.77
2020-07-28,1.808
2020-07-29,1.762
2020-07-30,1.804
2020-07-31,1.777
2020-08-01,1.777
2020-08-02,1.777
2020-08-03,1.802
2020-08-04,1.791
2020-08-05,1.774
2020-08-06,1.754
2020-08-07,1.738
2020-08-08,1.738
2020-08-09,1.738
2020-08-10,1.711
2020-08-11,1.687
2020-08-12,1.689
2020-08-13,1.713
2020-08-14,1.707
2020-08-15,1.707
2020-08-16,1.707
2020-08-17,1.69
2020-08-18,1.703
2020-08-19,1.712
2020-08-20,1.715
2020-08-21,1.71
2020-08-22,1.71
2020-08-23,1.71
2020-08-24,1.687
2020-08-25,1.671
2020-08-26,1.681
2020-08-27,1.663
2020-08-28,1.639
2020-08-29,1.639
2020-08-30,1.639
2020-08-31,1.652
2020-09-01,1.619
2020-09-02,1.626
2020-09-03,1.67
2020-09-04,1.673
2020-09-05,1.673
2020-09-06,1.673
2020-09-07,1.673
2020-09-08,1.678
2020-09-09,1.648
2020-09-10,1.666
2020-09-11,1.637
2020-09-12,1.637
2020-09-13,1.637
2020-09-14,1.6
2020-09-15,1.574
2020-09-16,1.592
2020-09-17,1.589
2020-09-18,1.582
2020-09-19,1.582
2020-09-20,1.582
2020-09-21,1.628
2020-09-22,1.396
2020-09-23,1.422
2020-09-24,1.42
2020-09-25,1.393
2020-09-26,1.393
2020-09-27,1.393
2020-09-28,1.371
2020-09-29,1.402
2020-09-30,1.4
2020-10-01,1.415
2020-10-02,1.41
2020-10-03,1.41
2020-10-04,1.41
2020-10-05,1.399
2020-10-06,1.418
2020-10-07,1.382
2020-10-08,1.4
2020-10-09,1.386
2020-10-10,1.386
2020-10-11,1.386
2020-10-12,1.339
2020-10-13,1.346
2020-10-14,1.324
2020-10-15,1.315
2020-10-16,1.33
2020-10-17,1.33
2020-10-18,1.33
2020-10-19,1.348
2020-10-20,1.33
2020-10-21,1.354
2020-10-22,1.304
2020-10-23,1.311
2020-10-24,1.311
2020-10-25,1.311
2020-10-26,1.351
2020-10-27,1.365
2020-10-28,1.403
2020-10-29,1.368
