,WSM US Equity
,BEST_DIV_YLD
2020-01-01,4.446
2020-01-02,4.495
2020-01-03,4.528
2020-01-04,4.528
2020-01-05,4.528
2020-01-06,4.511
2020-01-07,4.427
2020-01-08,4.398
2020-01-09,4.348
2020-01-10,3.614
2020-01-11,3.614
2020-01-12,3.614
2020-01-13,3.559
2020-01-14,3.536
2020-01-15,3.557
2020-01-16,3.513
2020-01-17,3.51
2020-01-18,3.51
2020-01-19,3.51
2020-01-20,3.51
2020-01-21,3.53
2020-01-22,3.55
2020-01-23,3.539
2020-01-24,3.562
2020-01-25,3.562
2020-01-26,3.562
2020-01-27,3.642
2020-01-28,3.575
2020-01-29,3.627
2020-01-30,3.672
2020-01-31,3.811
2020-02-01,3.811
2020-02-02,3.811
2020-02-03,3.805
2020-02-04,3.748
2020-02-05,3.598
2020-02-06,3.709
2020-02-07,3.759
2020-02-08,3.759
2020-02-09,3.759
2020-02-10,3.735
2020-02-11,3.67
2020-02-12,3.586
2020-02-13,3.61
2020-02-14,3.609
2020-02-15,3.609
2020-02-16,3.609
2020-02-17,3.609
2020-02-18,3.603
2020-02-19,3.655
2020-02-20,3.603
2020-02-21,3.626
2020-02-22,3.626
2020-02-23,3.626
2020-02-24,3.886
2020-02-25,4.014
2020-02-26,4.113
2020-02-27,4.213
2020-02-28,4.281
2020-02-29,4.281
2020-03-01,4.281
2020-03-02,4.135
2020-03-03,4.276
2020-03-04,4.1
2020-03-05,4.37
2020-03-06,4.441
2020-03-07,4.441
2020-03-08,4.441
2020-03-09,4.946
2020-03-10,4.889
2020-03-11,5.239
2020-03-12,6.267
2020-03-13,5.881
2020-03-14,5.881
2020-03-15,5.881
2020-03-16,7.507
2020-03-17,7.621
2020-03-18,8.712
2020-03-19,6.747
2020-03-20,7.098
2020-03-21,7.098
2020-03-22,7.098
2020-03-23,6.928
2020-03-24,5.7
2020-03-25,5.537
2020-03-26,5.513
2020-03-27,5.76
2020-03-28,5.76
2020-03-29,5.76
2020-03-30,5.584
2020-03-31,5.696
2020-04-01,6.441
2020-04-02,6.365
2020-04-03,6.342
2020-04-04,6.342
2020-04-05,6.342
2020-04-06,5.225
2020-04-07,5.367
2020-04-08,5.082
2020-04-09,4.742
2020-04-10,4.742
2020-04-11,4.742
2020-04-12,4.742
2020-04-13,4.717
2020-04-14,4.532
2020-04-15,4.918
2020-04-16,4.983
2020-04-17,4.69
2020-04-18,4.69
2020-04-19,4.69
2020-04-20,4.77
2020-04-21,4.628
2020-04-22,4.574
2020-04-23,4.376
2020-04-24,4.139
2020-04-25,4.139
2020-04-26,4.139
2020-04-27,3.902
2020-04-28,3.863
2020-04-29,3.671
2020-04-30,3.881
2020-05-01,3.983
2020-05-02,3.983
2020-05-03,3.983
2020-05-04,3.833
2020-05-05,3.692
2020-05-06,3.628
2020-05-07,3.592
2020-05-08,3.513
2020-05-09,3.513
2020-05-10,3.513
2020-05-11,3.514
2020-05-12,3.535
2020-05-13,3.706
2020-05-14,3.683
2020-05-15,3.608
2020-05-16,3.608
2020-05-17,3.608
2020-05-18,3.415
2020-05-19,3.522
2020-05-20,3.617
2020-05-21,3.607
2020-05-22,3.61
2020-05-23,3.61
2020-05-24,3.61
2020-05-25,3.61
2020-05-26,3.446
2020-05-27,3.272
2020-05-28,3.286
2020-05-29,2.884
2020-05-30,2.884
2020-05-31,2.884
2020-06-01,2.954
2020-06-02,2.79
2020-06-03,2.812
2020-06-04,2.993
2020-06-05,2.974
2020-06-06,2.974
2020-06-07,2.974
2020-06-08,2.981
2020-06-09,2.964
2020-06-10,3.014
2020-06-11,3.2
2020-06-12,3.172
2020-06-13,3.172
2020-06-14,3.172
2020-06-15,3.076
2020-06-16,2.983
2020-06-17,2.935
2020-06-18,2.953
2020-06-19,2.971
2020-06-20,2.971
2020-06-21,2.971
2020-06-22,2.991
2020-06-23,3.001
2020-06-24,3.042
2020-06-25,3.039
2020-06-26,3.057
2020-06-27,3.057
2020-06-28,3.057
2020-06-29,3.103
2020-06-30,3.102
2020-07-01,2.999
2020-07-02,3.058
2020-07-03,3.058
2020-07-04,3.058
2020-07-05,3.058
2020-07-06,3.029
2020-07-07,3.041
2020-07-08,2.959
2020-07-09,3.006
