,VCTR US Equity
,BEST_DIV_YLD
2020-01-01,5.335
2020-01-02,5.24
2020-01-03,5.295
2020-01-04,5.295
2020-01-05,5.295
2020-01-06,5.418
2020-01-07,5.431
2020-01-08,5.492
2020-01-09,5.257
2020-01-10,5.272
2020-01-11,5.272
2020-01-12,5.272
2020-01-13,5.177
2020-01-14,5.095
2020-01-15,5.139
2020-01-16,5.127
2020-01-17,5.24
2020-01-18,5.24
2020-01-19,5.24
2020-01-20,5.24
2020-01-21,5.228
2020-01-22,5.088
2020-01-23,5.123
2020-01-24,5.167
2020-01-25,5.167
2020-01-26,5.167
2020-01-27,5.26
2020-01-28,5.208
2020-01-29,5.245
2020-01-30,5.272
2020-01-31,5.363
2020-02-01,5.363
2020-02-02,5.363
2020-02-03,5.394
2020-02-04,5.381
2020-02-05,5.305
2020-02-06,5.153
2020-02-07,5.083
2020-02-08,5.083
2020-02-09,5.083
2020-02-10,5.167
2020-02-11,4.928
2020-02-12,4.831
2020-02-13,5.017
2020-02-14,5.051
2020-02-15,5.051
2020-02-16,5.051
2020-02-17,5.051
2020-02-18,4.753
2020-02-19,4.855
2020-02-20,4.849
2020-02-21,4.873
2020-02-22,4.873
2020-02-23,4.873
2020-02-24,5.069
2020-02-25,5.277
2020-02-26,5.235
2020-02-27,5.492
2020-02-28,5.659
2020-02-29,5.659
2020-03-01,5.659
2020-03-02,5.574
2020-03-03,5.492
2020-03-04,5.527
2020-03-05,5.863
2020-03-06,6.222
2020-03-07,6.222
2020-03-08,6.222
2020-03-09,7.198
2020-03-10,6.456
2020-03-11,7.34
2020-03-12,8.628
2020-03-13,7.543
2020-03-14,7.543
2020-03-15,7.543
2020-03-16,8.289
2020-03-17,8.167
2020-03-18,8.185
2020-03-19,7.997
2020-03-20,7.731
2020-03-21,7.731
2020-03-22,7.731
2020-03-23,8.003
2020-03-24,7.589
2020-03-25,7.129
2020-03-26,6.761
2020-03-27,6.895
2020-03-28,6.895
2020-03-29,6.895
2020-03-30,6.815
2020-03-31,6.819
2020-04-01,7.074
2020-04-02,7.193
2020-04-03,7.433
2020-04-04,7.433
2020-04-05,7.433
2020-04-06,6.973
2020-04-07,6.844
2020-04-08,7.282
2020-04-09,7.423
2020-04-10,7.423
2020-04-11,7.423
2020-04-12,7.423
2020-04-13,7.807
2020-04-14,7.631
2020-04-15,7.935
2020-04-16,7.952
2020-04-17,7.742
2020-04-18,7.742
2020-04-19,7.742
2020-04-20,7.986
2020-04-21,7.997
2020-04-22,7.641
2020-04-23,7.433
2020-04-24,7.626
2020-04-25,7.626
2020-04-26,7.626
2020-04-27,7.626
2020-04-28,7.626
2020-04-29,7.278
2020-04-30,7.393
2020-05-01,7.483
2020-05-02,7.483
2020-05-03,7.483
2020-05-04,7.631
2020-05-05,7.764
2020-05-06,7.559
2020-05-07,7.574
2020-05-08,7.498
2020-05-09,7.498
2020-05-10,7.498
2020-05-11,7.335
2020-05-12,7.448
2020-05-13,7.89
2020-05-14,8.161
2020-05-15,7.986
2020-05-16,7.986
2020-05-17,7.986
2020-05-18,7.216
2020-05-19,7.216
2020-05-20,7.301
2020-05-21,7.142
2020-05-22,7.156
2020-05-23,7.156
2020-05-24,7.156
2020-05-25,7.156
2020-05-26,6.794
2020-05-27,6.649
2020-05-28,6.725
2020-05-29,6.676
2020-05-30,6.676
2020-05-31,6.676
2020-06-01,6.598
2020-06-02,6.494
2020-06-03,6.292
2020-06-04,6.386
2020-06-05,6.229
2020-06-06,6.229
2020-06-07,6.229
2020-06-08,5.856
2020-06-09,5.878
2020-06-10,6.154
2020-06-11,7.258
2020-06-12,7.038
2020-06-13,7.038
2020-06-14,7.038
2020-06-15,6.994
2020-06-16,6.903
2020-06-17,6.611
2020-06-18,6.76
2020-06-19,6.744
2020-06-20,6.744
2020-06-21,6.744
2020-06-22,6.627
2020-06-23,6.785
2020-06-24,6.822
2020-06-25,6.839
2020-06-26,6.869
2020-06-27,6.869
2020-06-28,6.869
2020-06-29,6.76
2020-06-30,6.473
2020-07-01,6.424
2020-07-02,6.322
2020-07-03,6.322
2020-07-04,6.322
2020-07-05,6.322
2020-07-06,6.178
2020-07-07,6.262
2020-07-08,6.168
2020-07-09,6.223
2020-07-10,5.934
2020-07-11,5.934
2020-07-12,5.934
2020-07-13,6.262
2020-07-14,6.094
2020-07-15,5.875
2020-07-16,5.835
2020-07-17,5.85
2020-07-18,5.85
2020-07-19,5.85
2020-07-20,5.712
2020-07-21,5.792
2020-07-22,5.742
2020-07-23,5.835
2020-07-24,5.906
2020-07-25,5.906
2020-07-26,5.906
2020-07-27,5.872
2020-07-28,5.897
2020-07-29,5.979
2020-07-30,6.104
2020-07-31,6.269
2020-08-01,6.269
2020-08-02,6.269
2020-08-03,6.1
2020-08-04,6.124
2020-08-05,6.175
2020-08-06,6.105
2020-08-07,5.941
2020-08-08,5.941
2020-08-09,5.941
2020-08-10,5.903
2020-08-11,5.881
2020-08-12,5.986
2020-08-13,6.051
2020-08-14,6.051
2020-08-15,6.051
2020-08-16,6.051
2020-08-17,6.213
2020-08-18,6.326
2020-08-19,6.373
2020-08-20,6.362
2020-08-21,6.399
2020-08-22,6.399
2020-08-23,6.399
2020-08-24,6.436
2020-08-25,6.473
2020-08-26,6.515
2020-08-27,6.565
2020-08-28,6.549
2020-08-29,6.549
2020-08-30,6.549
2020-08-31,6.399
2020-09-01,6.319
2020-09-02,6.131
2020-09-03,6.171
2020-09-04,6.22
2020-09-05,6.22
2020-09-06,6.22
2020-09-07,6.22
2020-09-08,6.337
2020-09-09,6.443
2020-09-10,6.745
2020-09-11,6.692
2020-09-12,6.692
2020-09-13,6.692
2020-09-14,6.542
2020-09-15,6.609
2020-09-16,6.632
