,AMGN US Equity
,BEST_DIV_YLD
2020-01-01,3.843
2020-01-02,3.859
2020-01-03,3.885
2020-01-04,3.885
2020-01-05,3.885
2020-01-06,3.856
2020-01-07,3.892
2020-01-08,3.889
2020-01-09,3.878
2020-01-10,3.889
2020-01-11,3.889
2020-01-12,3.889
2020-01-13,3.911
2020-01-14,3.86
2020-01-15,3.833
2020-01-16,3.852
2020-01-17,3.837
2020-01-18,3.837
2020-01-19,3.837
2020-01-20,3.837
2020-01-21,3.899
2020-01-22,3.913
2020-01-23,3.942
2020-01-24,4.107
2020-01-25,4.107
2020-01-26,4.107
2020-01-27,4.156
2020-01-28,4.121
2020-01-29,4.079
2020-01-30,4.097
2020-01-31,4.469
2020-02-01,4.469
2020-02-02,4.469
2020-02-03,4.452
2020-02-04,4.353
2020-02-05,4.163
2020-02-06,4.172
2020-02-07,4.211
2020-02-08,4.211
2020-02-09,4.211
2020-02-10,4.246
2020-02-11,4.217
2020-02-12,4.254
2020-02-13,4.299
2020-02-14,4.29
2020-02-15,4.29
2020-02-16,4.29
2020-02-17,4.29
2020-02-18,4.325
2020-02-19,4.3
2020-02-20,4.316
2020-02-21,4.304
2020-02-22,4.304
2020-02-23,4.304
2020-02-24,4.401
2020-02-25,4.557
2020-02-26,4.469
2020-02-27,4.711
2020-02-28,4.8
2020-02-29,4.8
2020-03-01,4.8
2020-03-02,4.518
2020-03-03,4.69
2020-03-04,4.457
2020-03-05,4.52
2020-03-06,4.552
2020-03-07,4.552
2020-03-08,4.552
2020-03-09,4.833
2020-03-10,4.636
2020-03-11,4.827
2020-03-12,5.261
2020-03-13,4.744
2020-03-14,4.744
2020-03-15,4.744
2020-03-16,5.082
2020-03-17,4.614
2020-03-18,4.68
2020-03-19,4.824
2020-03-20,5.093
2020-03-21,5.093
2020-03-22,5.093
2020-03-23,5.157
2020-03-24,4.739
2020-03-25,4.964
2020-03-26,4.83
2020-03-27,4.836
2020-03-28,4.836
2020-03-29,4.836
2020-03-30,4.599
2020-03-31,4.729
2020-04-01,4.847
2020-04-02,4.59
2020-04-03,4.668
2020-04-04,4.668
2020-04-05,4.668
2020-04-06,4.532
2020-04-07,4.592
2020-04-08,4.374
2020-04-09,4.394
2020-04-10,4.394
2020-04-11,4.394
2020-04-12,4.394
2020-04-13,4.393
2020-04-14,4.227
2020-04-15,4.323
2020-04-16,4.152
2020-04-17,4.08
2020-04-18,4.08
2020-04-19,4.08
2020-04-20,4.052
2020-04-21,4.155
2020-04-22,4.182
2020-04-23,4.124
2020-04-24,4.058
2020-04-25,4.058
2020-04-26,4.058
2020-04-27,3.955
2020-04-28,4.034
2020-04-29,4.068
2020-04-30,4.008
2020-05-01,4.255
2020-05-02,4.255
2020-05-03,4.255
2020-05-04,4.262
2020-05-05,4.164
2020-05-06,4.16
2020-05-07,4.218
2020-05-08,4.192
2020-05-09,4.192
2020-05-10,4.192
2020-05-11,4.055
2020-05-12,4.203
2020-05-13,4.21
2020-05-14,4.19
2020-05-15,4.123
2020-05-16,4.123
2020-05-17,4.123
2020-05-18,4.247
2020-05-19,4.268
2020-05-20,4.26
2020-05-21,4.319
2020-05-22,4.287
2020-05-23,4.287
2020-05-24,4.287
2020-05-25,4.287
2020-05-26,4.365
2020-05-27,4.318
2020-05-28,4.331
2020-05-29,4.226
2020-05-30,4.226
2020-05-31,4.226
2020-06-01,4.278
2020-06-02,4.339
2020-06-03,4.393
2020-06-04,4.395
2020-06-05,4.302
2020-06-06,4.302
2020-06-07,4.302
2020-06-08,4.3
2020-06-09,4.316
2020-06-10,4.274
2020-06-11,4.435
2020-06-12,4.455
2020-06-13,4.455
2020-06-14,4.455
2020-06-15,4.417
2020-06-16,4.239
2020-06-17,4.256
2020-06-18,4.179
2020-06-19,4.032
2020-06-20,4.032
2020-06-21,4.032
2020-06-22,4.11
2020-06-23,4.083
2020-06-24,4.139
2020-06-25,4.094
2020-06-26,4.134
2020-06-27,4.134
2020-06-28,4.134
2020-06-29,4.156
2020-06-30,4.081
2020-07-01,3.773
2020-07-02,3.669
2020-07-03,3.669
2020-07-04,3.669
2020-07-05,3.669
2020-07-06,3.697
2020-07-07,3.742
2020-07-08,3.766
2020-07-09,3.765
2020-07-10,3.804
2020-07-11,3.804
2020-07-12,3.804
2020-07-13,3.771
2020-07-14,3.726
2020-07-15,3.723
2020-07-16,3.695
2020-07-17,3.649
2020-07-18,3.649
2020-07-19,3.649
2020-07-20,3.629
2020-07-21,3.672
2020-07-22,3.685
2020-07-23,3.755
2020-07-24,3.819
2020-07-25,3.819
2020-07-26,3.819
2020-07-27,3.734
2020-07-28,3.718
2020-07-29,3.823
2020-07-30,3.865
2020-07-31,3.902
2020-08-01,3.902
2020-08-02,3.902
2020-08-03,3.86
2020-08-04,3.92
2020-08-05,3.954
2020-08-06,3.953
2020-08-07,3.967
2020-08-08,3.967
2020-08-09,3.967
2020-08-10,4.009
2020-08-11,4.069
2020-08-12,3.95
2020-08-13,3.971
2020-08-14,3.957
2020-08-15,3.957
2020-08-16,3.957
2020-08-17,3.903
2020-08-18,3.927
2020-08-19,3.944
2020-08-20,3.973
2020-08-21,3.991
2020-08-22,3.991
2020-08-23,3.991
2020-08-24,4.026
2020-08-25,3.821
2020-08-26,3.791
2020-08-27,3.752
2020-08-28,3.747
2020-08-29,3.747
2020-08-30,3.747
2020-08-31,3.744
2020-09-01,3.781
2020-09-02,3.675
2020-09-03,3.826
2020-09-04,3.818
2020-09-05,3.818
2020-09-06,3.818
2020-09-07,3.818
2020-09-08,3.933
2020-09-09,3.862
2020-09-10,3.941
2020-09-11,3.9
2020-09-12,3.9
2020-09-13,3.9
2020-09-14,3.844
2020-09-15,3.819
2020-09-16,3.828
2020-09-17,3.823
2020-09-18,3.829
2020-09-19,3.829
2020-09-20,3.829
2020-09-21,3.9
2020-09-22,3.832
2020-09-23,3.91
2020-09-24,3.947
2020-09-25,3.89
2020-09-26,3.89
2020-09-27,3.89
2020-09-28,3.839
2020-09-29,3.82
2020-09-30,3.732
2020-10-01,3.714
2020-10-02,3.865
2020-10-03,3.865
2020-10-04,3.865
2020-10-05,3.705
2020-10-06,3.753
2020-10-07,3.681
2020-10-08,3.95
2020-10-09,3.989
2020-10-10,3.989
2020-10-11,3.989
2020-10-12,3.945
2020-10-13,3.947
2020-10-14,3.976
2020-10-15,4.025
2020-10-16,4.013
2020-10-17,4.013
2020-10-18,4.013
2020-10-19,4.111
2020-10-20,4.104
2020-10-21,4.142
2020-10-22,4.16
2020-10-23,4.175
2020-10-24,4.175
2020-10-25,4.175
2020-10-26,4.217
2020-10-27,4.244
2020-10-28,4.383
2020-10-29,4.317
2020-10-30,4.334
2020-10-31,4.334
2020-11-01,4.334
2020-11-02,4.27
2020-11-03,4.273
2020-11-04,4.082
2020-11-05,4.054
2020-11-06,4.059
2020-11-07,4.059
2020-11-08,4.059
2020-11-09,4.001
2020-11-10,3.892
2020-11-11,3.907
2020-11-12,3.965
2020-11-13,3.935
2020-11-14,3.935
2020-11-15,3.935
2020-11-16,3.946
2020-11-17,4.018
2020-11-18,4.101
2020-11-19,4.157
2020-11-20,4.185
2020-11-21,4.185
2020-11-22,4.185
2020-11-23,4.203
2020-11-24,4.236
2020-11-25,4.239
2020-11-26,4.239
2020-11-27,4.154
2020-11-28,4.154
2020-11-29,4.154
2020-11-30,4.206
2020-12-01,4.149
2020-12-02,4.122
2020-12-03,4.116
2020-12-04,4.075
2020-12-05,4.075
2020-12-06,4.075
2020-12-07,4.124
2020-12-08,4.08
2020-12-09,4.063
2020-12-10,4.093
2020-12-11,4.107
2020-12-12,4.107
2020-12-13,4.107
2020-12-14,4.07
2020-12-15,4.051
2020-12-16,4.088
2020-12-17,4.039
2020-12-18,4.088
2020-12-19,4.088
2020-12-20,4.088
2020-12-21,4.109
2020-12-22,4.226
2020-12-23,4.189
2020-12-24,4.19
2020-12-25,4.19
2020-12-26,4.19
2020-12-27,4.19
2020-12-28,4.176
2020-12-29,4.117
2020-12-30,4.111
2020-12-31,4.062
2021-01-01,4.062
2021-01-02,4.062
2021-01-03,4.062
2021-01-04,4.124
2021-01-05,4.105
2021-01-06,4.008
2021-01-07,3.995
2021-01-08,3.92
2021-01-09,3.92
2021-01-10,3.92
2021-01-11,3.935
2021-01-12,3.951
2021-01-13,3.932
2021-01-14,3.868
2021-01-15,3.808
2021-01-16,3.808
2021-01-17,3.808
2021-01-18,3.808
2021-01-19,3.765
2021-01-20,3.704
2021-01-21,3.709
2021-01-22,3.688
2021-01-23,3.688
2021-01-24,3.688
2021-01-25,3.636
2021-01-26,3.615
2021-01-27,3.739
2021-01-28,3.789
2021-01-29,3.888
2021-01-30,3.888
2021-01-31,3.888
2021-02-01,3.904
2021-02-02,3.903
2021-02-03,4.007
2021-02-04,4.018
2021-02-05,4.034
2021-02-06,4.034
2021-02-07,4.034
2021-02-08,4.031
2021-02-09,4.047
2021-02-10,4.016
2021-02-11,4.045
2021-02-12,4.008
2021-02-13,4.008
2021-02-14,4.008
2021-02-15,4.008
2021-02-16,4.083
2021-02-17,4.035
2021-02-18,4.088
2021-02-19,4.103
2021-02-20,4.103
2021-02-21,4.103
2021-02-22,4.107
2021-02-23,4.089
2021-02-24,4.133
2021-02-25,4.178
2021-02-26,4.227
2021-02-27,4.227
2021-02-28,4.227
2021-03-01,4.187
2021-03-02,4.212
2021-03-03,4.245
2021-03-04,4.284
2021-03-05,4.199
