,WBA US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,6.046
2020-04-04,6.046
2020-04-05,6.046
2020-04-06,5.775
2020-04-07,5.751
2020-04-08,5.714
2020-04-09,5.598
2020-04-10,5.598
2020-04-11,5.598
2020-04-12,5.598
2020-04-13,5.581
2020-04-14,5.308
2020-04-15,5.668
2020-04-16,5.695
2020-04-17,5.533
2020-04-18,5.533
2020-04-19,5.533
2020-04-20,5.746
2020-04-21,5.786
2020-04-22,5.685
2020-04-23,5.66
2020-04-24,5.629
2020-04-25,5.629
2020-04-26,5.629
2020-04-27,5.541
2020-04-28,5.514
2020-04-29,5.428
2020-04-30,5.687
2020-05-01,5.91
2020-05-02,5.91
2020-05-03,5.91
2020-05-04,5.8
2020-05-05,5.859
2020-05-06,5.976
2020-05-07,6.055
2020-05-08,5.908
2020-05-09,5.908
2020-05-10,5.908
2020-05-11,5.903
2020-05-12,6.074
2020-05-13,6.42
2020-05-14,6.337
2020-05-15,6.411
2020-05-16,6.411
2020-05-17,6.411
2020-05-18,6.025
2020-05-19,6.121
2020-05-20,6.065
2020-05-21,6.124
2020-05-22,6.147
2020-05-23,6.147
2020-05-24,6.147
2020-05-25,6.147
2020-05-26,5.774
2020-05-27,5.665
2020-05-28,5.82
2020-05-29,5.669
2020-05-30,5.669
2020-05-31,5.669
2020-06-01,5.622
2020-06-02,5.59
2020-06-03,5.582
2020-06-04,5.508
2020-06-05,5.368
2020-06-06,5.368
2020-06-07,5.368
2020-06-08,5.177
2020-06-09,5.376
2020-06-10,5.498
2020-06-11,5.974
2020-06-12,5.88
2020-06-13,5.88
2020-06-14,5.88
2020-06-15,5.867
2020-06-16,5.776
2020-06-17,5.776
2020-06-18,5.799
2020-06-19,5.516
2020-06-20,5.516
2020-06-21,5.516
2020-06-22,5.63
2020-06-23,5.687
2020-06-24,5.913
2020-06-25,5.791
2020-06-26,5.913
2020-06-27,5.913
2020-06-28,5.913
2020-06-29,5.752
2020-06-30,5.743
2020-07-01,5.955
2020-07-02,5.799
2020-07-03,5.799
2020-07-04,5.799
2020-07-05,5.799
2020-07-06,5.64
2020-07-07,5.766
2020-07-08,5.756
2020-07-09,6.24
2020-07-10,6.188
2020-07-11,6.188
2020-07-12,6.188
2020-07-13,6.272
2020-07-14,6.19
2020-07-15,6.103
2020-07-16,6.004
2020-07-17,5.994
2020-07-18,5.994
2020-07-19,5.994
2020-07-20,6.136
2020-07-21,6.144
2020-07-22,6.101
2020-07-23,6.154
2020-07-24,6.128
2020-07-25,6.128
2020-07-26,6.128
2020-07-27,6.231
2020-07-28,6.103
2020-07-29,6.032
2020-07-30,6.109
2020-07-31,6.098
2020-08-01,6.098
2020-08-02,6.098
2020-08-03,6.043
2020-08-04,6.066
2020-08-05,6.083
2020-08-06,6.071
2020-08-07,5.979
2020-08-08,5.979
2020-08-09,5.979
2020-08-10,5.792
2020-08-11,5.932
2020-08-12,5.936
2020-08-13,6.055
2020-08-14,5.924
2020-08-15,5.924
2020-08-16,5.924
2020-08-17,6.029
2020-08-18,6.022
2020-08-19,6.098
2020-08-20,6.181
2020-08-21,6.22
2020-08-22,6.22
2020-08-23,6.22
2020-08-24,6.176
2020-08-25,6.214
2020-08-26,6.347
2020-08-27,6.239
2020-08-28,6.332
2020-08-29,6.332
2020-08-30,6.332
2020-08-31,6.456
2020-09-01,6.677
2020-09-02,6.603
2020-09-03,6.617
2020-09-04,6.653
