,MSFT US Equity
,BEST_DIV_YLD
2020-01-01,1.688
2020-01-02,1.657
2020-01-03,1.678
2020-01-04,1.678
2020-01-05,1.678
2020-01-06,1.674
2020-01-07,1.689
2020-01-08,1.663
2020-01-09,1.642
2020-01-10,1.65
2020-01-11,1.65
2020-01-12,1.65
2020-01-13,1.63
2020-01-14,1.642
2020-01-15,1.631
2020-01-16,1.602
2020-01-17,1.593
2020-01-18,1.593
2020-01-19,1.593
2020-01-20,1.593
2020-01-21,1.599
2020-01-22,1.606
2020-01-23,1.596
2020-01-24,1.613
2020-01-25,1.613
2020-01-26,1.613
2020-01-27,1.64
2020-01-28,1.609
2020-01-29,1.584
2020-01-30,1.54
2020-01-31,1.563
2020-02-01,1.563
2020-02-02,1.563
2020-02-03,1.526
2020-02-04,1.478
2020-02-05,1.479
2020-02-06,1.449
2020-02-07,1.447
2020-02-08,1.447
2020-02-09,1.447
2020-02-10,1.41
2020-02-11,1.443
2020-02-12,1.441
2020-02-13,1.449
2020-02-14,1.436
2020-02-15,1.436
2020-02-16,1.436
2020-02-17,1.436
2020-02-18,1.422
2020-02-19,1.417
2020-02-20,1.439
2020-02-21,1.486
2020-02-22,1.486
2020-02-23,1.486
2020-02-24,1.553
2020-02-25,1.579
2020-02-26,1.56
2020-02-27,1.678
2020-02-28,1.638
2020-02-29,1.638
2020-03-01,1.638
2020-03-02,1.536
2020-03-03,1.613
2020-03-04,1.556
2020-03-05,1.596
2020-03-06,1.643
2020-03-07,1.643
2020-03-08,1.643
2020-03-09,1.762
2020-03-10,1.649
2020-03-11,1.728
2020-03-12,1.909
2020-03-13,1.671
2020-03-14,1.671
2020-03-15,1.671
2020-03-16,1.96
2020-03-17,1.811
2020-03-18,1.89
2020-03-19,1.86
2020-03-20,1.932
2020-03-21,1.932
2020-03-22,1.932
2020-03-23,1.952
2020-03-24,1.789
2020-03-25,1.807
2020-03-26,1.7
2020-03-27,1.773
2020-03-28,1.773
2020-03-29,1.773
2020-03-30,1.657
2020-03-31,1.683
2020-04-01,1.745
2020-04-02,1.71
2020-04-03,1.725
2020-04-04,1.725
2020-04-05,1.725
2020-04-06,1.606
2020-04-07,1.623
2020-04-08,1.607
2020-04-09,1.607
2020-04-10,1.607
2020-04-11,1.607
2020-04-12,1.607
2020-04-13,1.604
2020-04-14,1.528
2020-04-15,1.544
2020-04-16,1.499
2020-04-17,1.486
2020-04-18,1.486
2020-04-19,1.486
2020-04-20,1.516
2020-04-21,1.582
2020-04-22,1.53
2020-04-23,1.548
2020-04-24,1.521
2020-04-25,1.521
2020-04-26,1.521
2020-04-27,1.525
2020-04-28,1.563
2020-04-29,1.496
2020-04-30,1.481
2020-05-01,1.52
2020-05-02,1.52
2020-05-03,1.52
2020-05-04,1.484
2020-05-05,1.468
2020-05-06,1.454
2020-05-07,1.446
2020-05-08,1.437
2020-05-09,1.437
2020-05-10,1.437
2020-05-11,1.421
2020-05-12,1.454
2020-05-13,1.477
2020-05-14,1.47
2020-05-15,1.449
2020-05-16,1.449
2020-05-17,1.449
2020-05-18,1.435
2020-05-19,1.445
2020-05-20,1.426
2020-05-21,1.443
2020-05-22,1.442
2020-05-23,1.442
2020-05-24,1.442
2020-05-25,1.442
2020-05-26,1.458
2020-05-27,1.456
2020-05-28,1.459
2020-05-29,1.444
2020-05-30,1.444
2020-05-31,1.444
2020-06-01,1.448
2020-06-02,1.431
2020-06-03,1.428
2020-06-04,1.447
2020-06-05,1.414
2020-06-06,1.414
2020-06-07,1.414
2020-06-08,1.405
2020-06-09,1.395
2020-06-10,1.345
2020-06-11,1.421
2020-06-12,1.41
2020-06-13,1.41
2020-06-14,1.41
2020-06-15,1.401
2020-06-16,1.41
2020-06-17,1.405
2020-06-18,1.39
2020-06-19,1.399
2020-06-20,1.399
2020-06-21,1.399
2020-06-22,1.361
2020-06-23,1.352
2020-06-24,1.38
2020-06-25,1.362
2020-06-26,1.39
2020-06-27,1.39
2020-06-28,1.39
2020-06-29,1.376
2020-06-30,1.341
2020-07-01,1.333
2020-07-02,1.323
2020-07-03,1.323
2020-07-04,1.323
2020-07-05,1.323
2020-07-06,1.295
2020-07-07,1.311
2020-07-08,1.283
2020-07-09,1.274
2020-07-10,1.277
2020-07-11,1.277
2020-07-12,1.277
2020-07-13,1.318
2020-07-14,1.31
2020-07-15,1.312
2020-07-16,1.339
2020-07-17,1.345
2020-07-18,1.345
2020-07-19,1.345
2020-07-20,1.29
2020-07-21,1.308
