,GVA US Equity
,BEST_DIV_YLD
2020-01-01,2.023
2020-01-02,2.029
2020-01-03,2.004
2020-01-04,2.004
2020-01-05,2.004
2020-01-06,1.997
2020-01-07,2.017
2020-01-08,2.03
2020-01-09,2.023
2020-01-10,2.022
2020-01-11,2.022
2020-01-12,2.022
2020-01-13,2.143
2020-01-14,2.082
2020-01-15,2.049
2020-01-16,2.033
2020-01-17,2.092
2020-01-18,2.092
2020-01-19,2.092
2020-01-20,2.092
2020-01-21,2.09
2020-01-22,2.108
2020-01-23,2.062
2020-01-24,2.088
2020-01-25,2.088
2020-01-26,2.088
2020-01-27,2.084
2020-01-28,2.07
2020-01-29,2.017
2020-01-30,2.02
2020-01-31,2.063
2020-02-01,2.063
2020-02-02,2.063
2020-02-03,2.073
2020-02-04,2.041
2020-02-05,1.978
2020-02-06,2.071
2020-02-07,2.069
2020-02-08,2.069
2020-02-09,2.069
2020-02-10,2.039
2020-02-11,2.001
2020-02-12,1.964
2020-02-13,1.975
2020-02-14,1.976
2020-02-15,1.976
2020-02-16,1.976
2020-02-17,1.976
2020-02-18,1.989
2020-02-19,2.052
2020-02-20,2.101
2020-02-21,2.152
2020-02-22,2.152
2020-02-23,2.152
2020-02-24,2.236
2020-02-25,2.362
2020-02-26,2.534
2020-02-27,2.597
2020-02-28,2.755
2020-02-29,2.755
2020-03-01,2.755
2020-03-02,2.806
2020-03-03,2.856
2020-03-04,2.826
2020-03-05,3.11
2020-03-06,3.199
2020-03-07,3.199
2020-03-08,3.199
2020-03-09,3.536
2020-03-10,3.683
2020-03-11,3.747
2020-03-12,4.793
2020-03-13,4.401
2020-03-14,4.401
2020-03-15,4.401
2020-03-16,5.003
2020-03-17,5.543
2020-03-18,4.994
2020-03-19,3.929
2020-03-20,4.611
2020-03-21,4.611
2020-03-22,4.611
2020-03-23,4.411
2020-03-24,4.045
2020-03-25,4.098
2020-03-26,3.901
2020-03-27,4.159
2020-03-28,4.159
2020-03-29,4.159
2020-03-30,4.089
2020-03-31,3.652
2020-04-01,3.598
2020-04-02,3.579
2020-04-03,3.932
2020-04-04,3.932
2020-04-05,3.932
2020-04-06,3.598
2020-04-07,3.513
2020-04-08,3.346
2020-04-09,3.31
2020-04-10,3.31
2020-04-11,3.31
