,ROK US Equity
,BEST_DIV_YLD
2020-01-01,2.728
2020-01-02,2.688
2020-01-03,2.728
2020-01-04,2.728
2020-01-05,2.728
2020-01-06,2.707
2020-01-07,2.712
2020-01-08,2.692
2020-01-09,2.669
2020-01-10,2.696
2020-01-11,2.696
2020-01-12,2.696
2020-01-13,2.676
2020-01-14,2.725
2020-01-15,2.734
2020-01-16,2.693
2020-01-17,2.7
2020-01-18,2.7
2020-01-19,2.7
2020-01-20,2.7
2020-01-21,2.74
2020-01-22,2.773
2020-01-23,2.733
2020-01-24,2.768
2020-01-25,2.768
2020-01-26,2.768
2020-01-27,2.851
2020-01-28,2.811
2020-01-29,2.818
2020-01-30,2.838
2020-01-31,2.885
2020-02-01,2.885
2020-02-02,2.885
2020-02-03,2.842
2020-02-04,2.732
2020-02-05,2.693
2020-02-06,2.696
2020-02-07,2.727
2020-02-08,2.727
2020-02-09,2.727
2020-02-10,2.713
2020-02-11,2.711
2020-02-12,2.686
2020-02-13,2.749
2020-02-14,2.741
2020-02-15,2.741
2020-02-16,2.741
2020-02-17,2.741
2020-02-18,2.768
2020-02-19,2.745
2020-02-20,2.679
2020-02-21,2.627
2020-02-22,2.627
2020-02-23,2.627
2020-02-24,2.713
2020-02-25,2.794
2020-02-26,2.819
2020-02-27,2.954
2020-02-28,2.998
2020-02-29,2.998
2020-03-01,2.998
2020-03-02,2.886
2020-03-03,2.99
2020-03-04,2.861
2020-03-05,2.999
2020-03-06,3.076
2020-03-07,3.076
2020-03-08,3.076
2020-03-09,3.604
2020-03-10,3.247
2020-03-11,3.458
2020-03-12,3.677
2020-03-13,3.31
2020-03-14,3.31
2020-03-15,3.31
2020-03-16,3.588
2020-03-17,3.545
2020-03-18,4.279
2020-03-19,4.072
2020-03-20,4.338
2020-03-21,4.338
2020-03-22,4.338
2020-03-23,4.558
2020-03-24,3.876
2020-03-25,3.559
2020-03-26,3.453
2020-03-27,3.632
2020-03-28,3.632
2020-03-29,3.632
2020-03-30,3.613
2020-03-31,3.645
2020-04-01,3.828
2020-04-02,3.674
2020-04-03,3.748
2020-04-04,3.748
2020-04-05,3.748
2020-04-06,3.494
2020-04-07,3.436
2020-04-08,3.278
2020-04-09,3.281
2020-04-10,3.281
2020-04-11,3.281
2020-04-12,3.281
2020-04-13,3.426
2020-04-14,3.358
2020-04-15,3.46
2020-04-16,3.461
2020-04-17,3.263
2020-04-18,3.263
2020-04-19,3.263
2020-04-20,3.264
2020-04-21,3.345
2020-04-22,3.31
2020-04-23,3.248
2020-04-24,3.151
2020-04-25,3.151
2020-04-26,3.151
2020-04-27,3.028
2020-04-28,2.805
2020-04-29,2.784
2020-04-30,2.895
2020-05-01,2.994
2020-05-02,2.994
2020-05-03,2.994
2020-05-04,2.919
2020-05-05,2.872
2020-05-06,2.899
2020-05-07,2.871
2020-05-08,2.85
2020-05-09,2.85
2020-05-10,2.85
2020-05-11,2.836
2020-05-12,2.908
2020-05-13,2.935
2020-05-14,2.871
2020-05-15,2.757
2020-05-16,2.757
2020-05-17,2.757
2020-05-18,2.659
2020-05-19,2.692
2020-05-20,2.648
2020-05-21,2.678
2020-05-22,2.698
2020-05-23,2.698
2020-05-24,2.698
2020-05-25,2.698
2020-05-26,2.527
2020-05-27,2.488
2020-05-28,2.521
2020-05-29,2.524
2020-05-30,2.524
2020-05-31,2.524
2020-06-01,2.541
2020-06-02,2.507
2020-06-03,2.476
2020-06-04,2.452
2020-06-05,2.399
2020-06-06,2.399
2020-06-07,2.399
2020-06-08,2.418
2020-06-09,2.479
2020-06-10,2.501
2020-06-11,2.647
2020-06-12,2.62
2020-06-13,2.62
2020-06-14,2.62
2020-06-15,2.592
2020-06-16,2.552
