,WEC US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,3.825
2020-01-18,3.825
2020-01-19,3.825
2020-01-20,3.825
2020-01-21,3.776
2020-01-22,3.755
2020-01-23,3.737
2020-01-24,3.727
2020-01-25,3.727
2020-01-26,3.727
2020-01-27,3.744
2020-01-28,3.744
2020-01-29,3.737
2020-01-30,3.666
2020-01-31,3.692
2020-02-01,3.692
2020-02-02,3.692
2020-02-03,3.656
2020-02-04,3.701
2020-02-05,3.688
2020-02-06,3.692
2020-02-07,3.697
2020-02-08,3.697
2020-02-09,3.697
2020-02-10,3.683
2020-02-11,3.681
2020-02-12,3.661
2020-02-13,3.621
2020-02-14,3.598
2020-02-15,3.598
2020-02-16,3.598
2020-02-17,3.598
2020-02-18,3.562
2020-02-19,3.579
2020-02-20,3.579
2020-02-21,3.576
2020-02-22,3.576
2020-02-23,3.576
2020-02-24,3.599
2020-02-25,3.65
2020-02-26,3.654
2020-02-27,3.835
2020-02-28,3.969
2020-02-29,3.969
2020-03-01,3.969
2020-03-02,3.752
2020-03-03,3.756
2020-03-04,3.517
2020-03-05,3.52
2020-03-06,3.5
2020-03-07,3.5
2020-03-08,3.5
2020-03-09,3.58
2020-03-10,3.591
2020-03-11,3.761
2020-03-12,4.012
2020-03-13,3.698
2020-03-14,3.698
2020-03-15,3.698
2020-03-16,3.967
2020-03-17,3.588
2020-03-18,3.517
2020-03-19,4.066
2020-03-20,4.962
2020-03-21,4.962
2020-03-22,4.962
2020-03-23,5.186
2020-03-24,4.583
2020-03-25,4.553
2020-03-26,4.237
2020-03-27,4.127
2020-03-28,4.127
2020-03-29,4.127
2020-03-30,4.001
2020-03-31,4.171
2020-04-01,4.402
2020-04-02,4.177
2020-04-03,4.312
2020-04-04,4.312
2020-04-05,4.312
2020-04-06,4.028
2020-04-07,4.189
2020-04-08,3.987
2020-04-09,3.987
2020-04-10,3.987
2020-04-11,3.987
2020-04-12,3.987
2020-04-13,3.987
2020-04-14,3.987
2020-04-15,3.987
2020-04-16,3.987
2020-04-17,3.987
2020-04-18,3.987
2020-04-19,3.987
2020-04-20,3.987
2020-04-21,3.987
2020-04-22,3.987
2020-04-23,3.987
2020-04-24,3.987
2020-04-25,3.987
2020-04-26,3.987
2020-04-27,3.987
2020-04-28,3.987
2020-04-29,3.987
2020-04-30,3.987
2020-05-01,3.987
2020-05-02,3.987
2020-05-03,3.987
2020-05-04,3.987
2020-05-05,4.129
2020-05-06,4.355
2020-05-07,4.345
2020-05-08,4.317
2020-05-09,4.317
2020-05-10,4.317
2020-05-11,4.329
2020-05-12,4.345
2020-05-13,4.325
2020-05-14,4.328
2020-05-15,4.323
2020-05-16,4.323
2020-05-17,4.323
2020-05-18,4.184
2020-05-19,4.229
2020-05-20,4.199
2020-05-21,4.229
2020-05-22,4.256
2020-05-23,4.256
2020-05-24,4.256
2020-05-25,4.256
2020-05-26,4.278
2020-05-27,4.268
2020-05-28,4.12
2020-05-29,3.996
2020-05-30,3.996
2020-05-31,3.996
2020-06-01,3.936
2020-06-02,3.901
2020-06-03,3.901
2020-06-04,3.96
2020-06-05,3.948
2020-06-06,3.948
2020-06-07,3.948
2020-06-08,3.847
2020-06-09,3.923
2020-06-10,3.912
2020-06-11,4.014
2020-06-12,4.059
2020-06-13,4.059
2020-06-14,4.059
2020-06-15,4.046
2020-06-16,4.03
2020-06-17,4.048
2020-06-18,4.073
2020-06-19,4.156
2020-06-20,4.156
2020-06-21,4.156
2020-06-22,4.166
2020-06-23,4.203
2020-06-24,4.217
2020-06-25,4.296
2020-06-26,4.279
2020-06-27,4.279
2020-06-28,4.279
2020-06-29,4.209
2020-06-30,4.176
2020-07-01,4.097
2020-07-02,4.059
2020-07-03,4.059
2020-07-04,4.059
2020-07-05,4.059
2020-07-06,4.07
2020-07-07,4.127
2020-07-08,4.125
2020-07-09,4.185
2020-07-10,4.157
2020-07-11,4.157
2020-07-12,4.157
2020-07-13,4.173
2020-07-14,4.155
2020-07-15,4.185
2020-07-16,4.171
2020-07-17,4.043
2020-07-18,4.043
2020-07-19,4.043
2020-07-20,4.067
2020-07-21,4.022
2020-07-22,3.922
2020-07-23,3.909
2020-07-24,3.917
2020-07-25,3.917
2020-07-26,3.917
2020-07-27,3.927
2020-07-28,3.876
2020-07-29,3.86
2020-07-30,3.851
2020-07-31,3.815
2020-08-01,3.815
2020-08-02,3.815
2020-08-03,3.881
2020-08-04,3.821
2020-08-05,3.895
2020-08-06,3.908
2020-08-07,3.851
2020-08-08,3.851
2020-08-09,3.851
2020-08-10,3.877
2020-08-11,3.998
2020-08-12,3.939
2020-08-13,3.947
2020-08-14,3.957
