,AEP US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,4.125
2020-01-18,4.125
2020-01-19,4.125
2020-01-20,4.125
2020-01-21,4.092
2020-01-22,4.065
2020-01-23,4.026
2020-01-24,3.979
2020-01-25,3.979
2020-01-26,3.979
2020-01-27,3.994
2020-01-28,3.978
2020-01-29,3.954
2020-01-30,3.905
2020-01-31,3.901
2020-02-01,3.901
2020-02-02,3.901
2020-02-03,3.901
2020-02-04,3.952
2020-02-05,3.981
2020-02-06,3.976
2020-02-07,3.984
2020-02-08,3.984
2020-02-09,3.984
2020-02-10,3.961
2020-02-11,3.95
2020-02-12,3.966
2020-02-13,3.925
2020-02-14,3.891
2020-02-15,3.891
2020-02-16,3.891
2020-02-17,3.891
2020-02-18,3.87
2020-02-19,3.901
2020-02-20,3.943
2020-02-21,3.969
2020-02-22,3.969
2020-02-23,3.969
2020-02-24,4.036
2020-02-25,4.113
2020-02-26,4.144
2020-02-27,4.395
2020-02-28,4.523
2020-02-29,4.523
2020-03-01,4.523
2020-03-02,4.246
2020-03-03,4.23
2020-03-04,4.045
2020-03-05,4.087
2020-03-06,4.132
2020-03-07,4.132
2020-03-08,4.132
2020-03-09,4.252
2020-03-10,4.262
2020-03-11,4.384
2020-03-12,4.765
2020-03-13,4.549
2020-03-14,4.549
2020-03-15,4.549
2020-03-16,4.817
2020-03-17,4.313
2020-03-18,4.455
2020-03-19,4.867
2020-03-20,5.505
2020-03-21,5.505
2020-03-22,5.505
2020-03-23,5.619
2020-03-24,5.459
2020-03-25,5.367
2020-03-26,4.808
2020-03-27,4.716
2020-03-28,4.716
2020-03-29,4.716
2020-03-30,4.699
2020-03-31,4.918
2020-04-01,5.274
2020-04-02,5.122
2020-04-03,5.425
2020-04-04,5.425
2020-04-05,5.425
2020-04-06,5.005
2020-04-07,4.995
2020-04-08,4.722
2020-04-09,4.557
2020-04-10,4.557
2020-04-11,4.557
2020-04-12,4.557
2020-04-13,4.71
2020-04-14,4.56
2020-04-15,4.704
2020-04-16,4.68
2020-04-17,4.553
2020-04-18,4.553
2020-04-19,4.553
2020-04-20,4.553
2020-04-21,4.553
2020-04-22,4.553
2020-04-23,4.553
2020-04-24,4.553
2020-04-25,4.553
2020-04-26,4.553
2020-04-27,4.553
2020-04-28,4.553
2020-04-29,4.553
2020-04-30,4.553
2020-05-01,4.553
2020-05-02,4.553
2020-05-03,4.553
2020-05-04,4.553
2020-05-05,4.553
2020-05-06,4.553
2020-05-07,4.553
2020-05-08,4.553
2020-05-09,4.553
2020-05-10,4.553
2020-05-11,4.553
2020-05-12,4.553
2020-05-13,4.553
2020-05-14,4.553
2020-05-15,4.553
2020-05-16,4.553
2020-05-17,4.553
2020-05-18,4.553
2020-05-19,4.553
2020-05-20,4.553
2020-05-21,4.553
2020-05-22,4.553
2020-05-23,4.553
2020-05-24,4.553
2020-05-25,4.553
2020-05-26,4.553
2020-05-27,4.553
2020-05-28,4.553
2020-05-29,4.553
2020-05-30,4.553
2020-05-31,4.553
2020-06-01,4.553
2020-06-02,4.553
2020-06-03,4.553
2020-06-04,4.553
2020-06-05,4.553
2020-06-06,4.553
2020-06-07,4.553
2020-06-08,4.553
2020-06-09,4.553
2020-06-10,4.553
2020-06-11,4.553
2020-06-12,4.553
2020-06-13,4.553
2020-06-14,4.553
2020-06-15,4.553
2020-06-16,4.553
2020-06-17,4.553
2020-06-18,4.553
2020-06-19,4.553
2020-06-20,4.553
2020-06-21,4.553
2020-06-22,4.553
2020-06-23,4.553
2020-06-24,4.553
2020-06-25,4.553
2020-06-26,4.553
2020-06-27,4.553
2020-06-28,4.553
2020-06-29,4.553
2020-06-30,4.553
2020-07-01,4.553
2020-07-02,4.553
2020-07-03,4.553
2020-07-04,4.553
2020-07-05,4.553
2020-07-06,4.553
2020-07-07,4.94
2020-07-08,4.938
2020-07-09,4.962
2020-07-10,4.837
2020-07-11,4.837
2020-07-12,4.837
2020-07-13,4.802
2020-07-14,4.769
2020-07-15,4.807
2020-07-16,4.783
2020-07-17,4.651
2020-07-18,4.651
2020-07-19,4.651
2020-07-20,4.694
2020-07-21,4.649
2020-07-22,4.559
2020-07-23,4.588
2020-07-24,4.623
2020-07-25,4.623
2020-07-26,4.623
2020-07-27,4.889
2020-07-28,4.803
2020-07-29,4.8
2020-07-30,4.729
2020-07-31,4.685
2020-08-01,4.685
2020-08-02,4.685
2020-08-03,4.746
2020-08-04,4.758
2020-08-05,4.798
2020-08-06,4.768
2020-08-07,4.662
2020-08-08,4.662
2020-08-09,4.662
2020-08-10,4.697
2020-08-11,4.847
2020-08-12,4.797
2020-08-13,4.825
2020-08-14,4.867
