,NI US Equity
,BEST_DIV_YLD
2020-01-01,4.543
2020-01-02,4.654
2020-01-03,4.616
2020-01-04,4.616
2020-01-05,4.616
2020-01-06,4.618
2020-01-07,4.578
2020-01-08,4.573
2020-01-09,4.558
2020-01-10,4.576
2020-01-11,4.576
2020-01-12,4.576
2020-01-13,4.54
2020-01-14,4.489
2020-01-15,4.409
2020-01-16,4.409
2020-01-17,4.409
2020-01-18,4.409
2020-01-19,4.409
2020-01-20,4.409
2020-01-21,4.409
2020-01-22,4.409
2020-01-23,4.409
2020-01-24,4.409
2020-01-25,4.409
2020-01-26,4.409
2020-01-27,4.409
2020-01-28,4.409
2020-01-29,4.409
2020-01-30,4.409
2020-01-31,4.409
2020-02-01,4.409
2020-02-02,4.409
2020-02-03,4.409
2020-02-04,4.409
2020-02-05,4.409
2020-02-06,4.409
2020-02-07,4.409
2020-02-08,4.409
2020-02-09,4.409
2020-02-10,4.409
2020-02-11,4.409
2020-02-12,4.409
2020-02-13,4.409
2020-02-14,4.409
2020-02-15,4.409
2020-02-16,4.409
2020-02-17,4.409
2020-02-18,4.409
2020-02-19,4.409
2020-02-20,4.409
2020-02-21,4.409
2020-02-22,4.409
2020-02-23,4.409
2020-02-24,4.409
2020-02-25,4.409
2020-02-26,4.409
2020-02-27,4.409
2020-02-28,4.409
2020-02-29,4.409
2020-03-01,4.409
2020-03-02,4.409
2020-03-03,4.409
2020-03-04,4.409
2020-03-05,4.409
2020-03-06,4.409
2020-03-07,4.409
2020-03-08,4.409
2020-03-09,4.409
2020-03-10,4.409
2020-03-11,4.409
2020-03-12,4.409
2020-03-13,4.409
2020-03-14,4.409
2020-03-15,4.409
2020-03-16,4.409
2020-03-17,4.409
2020-03-18,5.078
2020-03-19,5.13
2020-03-20,5.706
2020-03-21,5.706
2020-03-22,5.706
2020-03-23,5.745
2020-03-24,5.462
2020-03-25,5.249
2020-03-26,4.881
2020-03-27,4.84
2020-03-28,4.84
2020-03-29,4.84
2020-03-30,4.595
2020-03-31,4.799
2020-04-01,5.197
2020-04-02,5.102
2020-04-03,5.328
2020-04-04,5.328
2020-04-05,5.328
2020-04-06,4.881
2020-04-07,4.97
2020-04-08,4.705
2020-04-09,4.508
2020-04-10,4.508
2020-04-11,4.508
2020-04-12,4.508
2020-04-13,4.661
2020-04-14,4.502
2020-04-15,4.709
2020-04-16,4.622
2020-04-17,4.543
2020-04-18,4.543
2020-04-19,4.543
2020-04-20,4.703
2020-04-21,4.722
2020-04-22,4.607
2020-04-23,4.636
2020-04-24,4.604
2020-04-25,4.604
2020-04-26,4.604
2020-04-27,4.565
2020-04-28,4.463
2020-04-29,4.585
2020-04-30,4.735
2020-05-01,4.859
2020-05-02,4.859
2020-05-03,4.859
2020-05-04,4.873
2020-05-05,4.847
2020-05-06,5.188
2020-05-07,5.192
2020-05-08,5.11
2020-05-09,5.11
2020-05-10,5.11
2020-05-11,5.062
2020-05-12,5.222
2020-05-13,5.306
2020-05-14,5.287
2020-05-15,5.315
2020-05-16,5.315
2020-05-17,5.315
2020-05-18,5.132
2020-05-19,5.158
2020-05-20,5.152
2020-05-21,5.172
2020-05-22,5.149
2020-05-23,5.149
2020-05-24,5.149
2020-05-25,5.149
2020-05-26,5.083
2020-05-27,5.099
2020-05-28,4.95
2020-05-29,5.085
2020-05-30,5.085
2020-05-31,5.085
2020-06-01,5.006
2020-06-02,4.902
2020-06-03,4.786
2020-06-04,4.922
2020-06-05,4.832
2020-06-06,4.832
2020-06-07,4.832
2020-06-08,4.732
2020-06-09,4.881
2020-06-10,4.965
2020-06-11,5.242
2020-06-12,5.21
2020-06-13,5.21
2020-06-14,5.21
2020-06-15,5.161
2020-06-16,5.126
2020-06-17,5.146
2020-06-18,5.107
2020-06-19,5.276
2020-06-20,5.276
2020-06-21,5.276
