,WMT US Equity
,BEST_DIV_YLD
2020-05-21,2.11
2020-05-22,2.122
2020-05-23,2.122
2020-05-24,2.122
2020-05-25,2.122
2020-05-26,2.13
2020-05-27,2.154
2020-05-28,2.133
2020-05-29,2.126
2020-05-30,2.126
2020-05-31,2.126
2020-06-01,2.128
2020-06-02,2.128
2020-06-03,2.136
2020-06-04,2.16
2020-06-05,2.17
2020-06-06,2.17
2020-06-07,2.17
2020-06-08,2.176
2020-06-09,2.174
2020-06-10,2.177
2020-06-11,2.197
2020-06-12,2.24
2020-06-13,2.24
2020-06-14,2.24
2020-06-15,2.234
2020-06-16,2.205
2020-06-17,2.216
2020-06-18,2.236
2020-06-19,2.201
2020-06-20,2.201
2020-06-21,2.201
2020-06-22,2.168
2020-06-23,2.179
2020-06-24,2.193
2020-06-25,2.203
2020-06-26,2.229
2020-06-27,2.229
2020-06-28,2.229
2020-06-29,2.216
2020-06-30,2.202
2020-07-01,2.204
2020-07-02,2.213
2020-07-03,2.213
2020-07-04,2.213
2020-07-05,2.213
2020-07-06,2.219
2020-07-07,2.078
2020-07-08,2.12
2020-07-09,2.065
2020-07-10,2.019
2020-07-11,2.019
2020-07-12,2.019
2020-07-13,2.037
2020-07-14,1.998
2020-07-15,1.998
2020-07-16,1.995
2020-07-17,2.002
2020-07-18,2.002
2020-07-19,2.002
2020-07-20,2.006
2020-07-21,1.993
2020-07-22,1.988
2020-07-23,2.004
2020-07-24,2.01
2020-07-25,2.01
2020-07-26,2.01
2020-07-27,2.01
2020-07-28,2.002
2020-07-29,2.018
2020-07-30,2.027
2020-07-31,2.038
2020-08-01,2.038
2020-08-02,2.038
2020-08-03,2.04
2020-08-04,2.004
2020-08-05,2.032
2020-08-06,2.039
2020-08-07,2.03
2020-08-08,2.03
2020-08-09,2.03
2020-08-10,2.0
2020-08-11,2.026
2020-08-12,2.0
2020-08-13,1.992
2020-08-14,1.981
2020-08-15,1.981
2020-08-16,1.981
2020-08-17,1.937
2020-08-18,1.95
2020-08-19,1.984
2020-08-20,2.012
2020-08-21,1.996
2020-08-22,1.996
2020-08-23,1.996
2020-08-24,2.0
2020-08-25,2.011
2020-08-26,2.01
2020-08-27,1.988
2020-08-28,1.936
2020-08-29,1.936
2020-08-30,1.936
2020-08-31,1.956
2020-09-01,1.84
2020-09-02,1.839
2020-09-03,1.879
2020-09-04,1.901
2020-09-05,1.901
2020-09-06,1.901
2020-09-07,1.901
2020-09-08,1.961
2020-09-09,1.941
2020-09-10,1.985
2020-09-11,1.987
2020-09-12,1.987
2020-09-13,1.987
2020-09-14,1.978
2020-09-15,1.977
2020-09-16,1.993
2020-09-17,1.987
2020-09-18,2.007
2020-09-19,2.007
2020-09-20,2.007
2020-09-21,1.981
2020-09-22,1.963
2020-09-23,1.997
2020-09-24,1.987
2020-09-25,1.978
2020-09-26,1.978
2020-09-27,1.978
2020-09-28,1.979
2020-09-29,1.98
2020-09-30,1.941
2020-10-01,1.898
2020-10-02,1.933
2020-10-03,1.933
2020-10-04,1.933
2020-10-05,1.915
2020-10-06,1.931
2020-10-07,1.927
2020-10-08,1.921
2020-10-09,1.902
2020-10-10,1.902
2020-10-11,1.902
2020-10-12,1.883
2020-10-13,1.857
2020-10-14,1.887
2020-10-15,1.879
2020-10-16,1.877
2020-10-17,1.877
2020-10-18,1.877
2020-10-19,1.9
2020-10-20,1.887
2020-10-21,1.881
2020-10-22,1.892
2020-10-23,1.888
2020-10-24,1.888
2020-10-25,1.888
2020-10-26,1.91
2020-10-27,1.901
2020-10-28,1.939
