,AL US Equity
,BEST_DIV_YLD
2020-01-01,1.698
2020-01-02,1.705
2020-01-03,1.694
2020-01-04,1.694
2020-01-05,1.694
2020-01-06,1.71
2020-01-07,1.734
2020-01-08,1.727
2020-01-09,1.704
2020-01-10,1.694
2020-01-11,1.694
2020-01-12,1.694
2020-01-13,1.661
2020-01-14,1.662
2020-01-15,1.649
2020-01-16,1.626
2020-01-17,1.633
2020-01-18,1.633
2020-01-19,1.633
2020-01-20,1.633
2020-01-21,1.69
2020-01-22,1.714
2020-01-23,1.704
2020-01-24,1.754
2020-01-25,1.754
2020-01-26,1.754
2020-01-27,1.819
2020-01-28,1.809
2020-01-29,1.813
2020-01-30,1.83
2020-01-31,1.879
2020-02-01,1.879
2020-02-02,1.879
2020-02-03,1.875
2020-02-04,1.821
2020-02-05,1.781
2020-02-06,1.814
2020-02-07,1.871
2020-02-08,1.871
2020-02-09,1.871
2020-02-10,1.851
2020-02-11,1.825
2020-02-12,1.814
2020-02-13,1.781
2020-02-14,1.781
2020-02-15,1.781
2020-02-16,1.781
2020-02-17,1.781
2020-02-18,1.855
2020-02-19,1.844
2020-02-20,1.807
2020-02-21,1.862
2020-02-22,1.862
2020-02-23,1.862
2020-02-24,1.942
2020-02-25,2.094
2020-02-26,2.147
2020-02-27,2.138
2020-02-28,2.103
2020-02-29,2.103
2020-03-01,2.103
2020-03-02,2.058
2020-03-03,2.111
2020-03-04,2.118
2020-03-05,2.305
2020-03-06,2.301
2020-03-07,2.301
2020-03-08,2.301
2020-03-09,2.526
2020-03-10,2.378
2020-03-11,2.61
2020-03-12,3.599
2020-03-13,3.396
2020-03-14,3.396
2020-03-15,3.396
2020-03-16,4.022
2020-03-17,5.149
2020-03-18,7.464
2020-03-19,5.387
2020-03-20,4.807
2020-03-21,4.807
2020-03-22,4.807
2020-03-23,5.163
2020-03-24,3.552
2020-03-25,3.018
2020-03-26,3.179
2020-03-27,3.801
2020-03-28,3.801
2020-03-29,3.801
2020-03-30,3.646
2020-03-31,3.594
2020-04-01,3.862
2020-04-02,3.912
2020-04-03,4.212
2020-04-04,4.212
2020-04-05,4.212
2020-04-06,3.666
2020-04-07,3.329
2020-04-08,3.232
2020-04-09,3.055
2020-04-10,3.055
2020-04-11,3.055
2020-04-12,3.055
2020-04-13,3.288
2020-04-14,3.281
2020-04-15,3.4
2020-04-16,3.653
2020-04-17,3.349
2020-04-18,3.349
2020-04-19,3.349
2020-04-20,3.597
2020-04-21,3.711
2020-04-22,3.976
2020-04-23,3.952
2020-04-24,3.866
2020-04-25,3.866
2020-04-26,3.866
2020-04-27,3.646
2020-04-28,3.455
2020-04-29,2.978
2020-04-30,3.042
2020-05-01,3.288
2020-05-02,3.288
2020-05-03,3.288
2020-05-04,3.371
2020-05-05,3.321
2020-05-06,3.406
2020-05-07,3.265
2020-05-08,2.949
2020-05-09,2.949
2020-05-10,2.949
2020-05-11,3.217
2020-05-12,3.349
2020-05-13,3.623
2020-05-14,3.552
2020-05-15,3.608
2020-05-16,3.608
2020-05-17,3.608
2020-05-18,3.047
2020-05-19,3.146
2020-05-20,3.055
2020-05-21,2.98
2020-05-22,2.976
2020-05-23,2.976
2020-05-24,2.976
2020-05-25,2.976
2020-05-26,2.79
2020-05-27,2.617
2020-05-28,2.619
2020-05-29,2.642
2020-05-30,2.642
2020-05-31,2.642
2020-06-01,2.548
2020-06-02,2.494
2020-06-03,2.302
2020-06-04,2.295
2020-06-05,2.271
2020-06-06,2.271
2020-06-07,2.271
2020-06-08,2.146
2020-06-09,2.242
2020-06-10,2.458
2020-06-11,2.656
2020-06-12,2.493
2020-06-13,2.493
2020-06-14,2.493
2020-06-15,2.462
2020-06-16,2.426
2020-06-17,2.542
2020-06-18,2.588
2020-06-19,2.627
2020-06-20,2.627
2020-06-21,2.627
2020-06-22,2.648
2020-06-23,2.605
2020-06-24,2.731
2020-06-25,2.739
2020-06-26,2.835
2020-06-27,2.835
2020-06-28,2.835
2020-06-29,2.694
2020-06-30,2.705
2020-07-01,2.797
2020-07-02,2.808
2020-07-03,2.808
2020-07-04,2.808
2020-07-05,2.808
2020-07-06,2.685
2020-07-07,2.861
2020-07-08,2.809
2020-07-09,2.983
2020-07-10,2.869
2020-07-11,2.869
2020-07-12,2.869
2020-07-13,2.873
2020-07-14,2.83
2020-07-15,2.644
2020-07-16,2.716
2020-07-17,2.722
2020-07-18,2.722
2020-07-19,2.722
2020-07-20,2.815
2020-07-21,2.888
2020-07-22,2.907
2020-07-23,2.892
2020-07-24,2.986
2020-07-25,2.986
2020-07-26,2.986
2020-07-27,3.044
2020-07-28,3.078
2020-07-29,2.919
2020-07-30,2.967
2020-07-31,3.021
2020-08-01,3.021
2020-08-02,3.021
2020-08-03,2.922
2020-08-04,2.875
2020-08-05,2.793
2020-08-06,2.796
2020-08-07,2.656
2020-08-08,2.656
2020-08-09,2.656
2020-08-10,2.57
2020-08-11,2.524
2020-08-12,2.504
2020-08-13,2.553
2020-08-14,2.564
2020-08-15,2.564
2020-08-16,2.564
2020-08-17,2.618
2020-08-18,2.632
2020-08-19,2.628
2020-08-20,2.661
2020-08-21,2.722
2020-08-22,2.722
2020-08-23,2.722
2020-08-24,2.559
2020-08-25,2.562
2020-08-26,2.643
2020-08-27,2.522
2020-08-28,2.452
2020-08-29,2.452
2020-08-30,2.452
2020-08-31,2.549
2020-09-01,2.508
2020-09-02,2.516
2020-09-03,2.533
2020-09-04,2.465
2020-09-05,2.465
2020-09-06,2.465
2020-09-07,2.465
2020-09-08,2.484
2020-09-09,2.53
2020-09-10,2.554
2020-09-11,2.494
2020-09-12,2.494
2020-09-13,2.494
2020-09-14,2.415
2020-09-15,2.477
2020-09-16,2.386
2020-09-17,2.418
2020-09-18,2.537
2020-09-19,2.537
2020-09-20,2.537
2020-09-21,2.642
2020-09-22,2.65
2020-09-23,2.807
2020-09-24,2.905
2020-09-25,2.816
2020-09-26,2.816
2020-09-27,2.816
2020-09-28,2.641
2020-09-29,2.693
2020-09-30,2.68
2020-10-01,2.549
2020-10-02,2.539
2020-10-03,2.539
2020-10-04,2.539
2020-10-05,2.504
2020-10-06,2.633
2020-10-07,2.573
2020-10-08,2.565
2020-10-09,2.528
2020-10-10,2.528
2020-10-11,2.528
2020-10-12,2.546
2020-10-13,2.649
2020-10-14,2.672
2020-10-15,2.638
2020-10-16,2.641
2020-10-17,2.641
2020-10-18,2.641
2020-10-19,2.59
2020-10-20,2.537
2020-10-21,2.589
2020-10-22,2.465
2020-10-23,2.456
2020-10-24,2.456
2020-10-25,2.456
2020-10-26,2.568
2020-10-27,2.697
2020-10-28,2.878
2020-10-29,2.812
2020-10-30,2.894
2020-10-31,2.894
2020-11-01,2.894
2020-11-02,2.734
2020-11-03,2.654
2020-11-04,2.721
2020-11-05,2.562
2020-11-06,2.577
2020-11-07,2.577
2020-11-08,2.577
2020-11-09,2.179
2020-11-10,2.33
2020-11-11,2.276
2020-11-12,2.286
2020-11-13,2.233
2020-11-14,2.233
2020-11-15,2.233
2020-11-16,2.046
2020-11-17,1.999
2020-11-18,1.992
2020-11-19,2.042
2020-11-20,2.115
2020-11-21,2.115
2020-11-22,2.115
2020-11-23,2.008
2020-11-24,1.98
2020-11-25,2.041
2020-11-26,2.041
2020-11-27,2.076
2020-11-28,2.076
2020-11-29,2.076
2020-11-30,2.156
2020-12-01,2.085
2020-12-02,2.064
2020-12-03,1.933
2020-12-04,1.845
2020-12-05,1.845
2020-12-06,1.845
2020-12-07,1.922
2020-12-08,1.926
2020-12-09,1.917
2020-12-10,1.851
2020-12-11,1.852
2020-12-12,1.852
2020-12-13,1.852
2020-12-14,1.878
2020-12-15,1.877
2020-12-16,1.887
2020-12-17,1.855
2020-12-18,1.89
2020-12-19,1.89
2020-12-20,1.89
2020-12-21,1.876
2020-12-22,1.928
2020-12-23,1.836
2020-12-24,1.818
2020-12-25,1.818
2020-12-26,1.818
2020-12-27,1.818
2020-12-28,1.813
2020-12-29,1.812
2020-12-30,1.773
2020-12-31,1.768
2021-01-01,1.768
2021-01-02,1.768
2021-01-03,1.768
2021-01-04,1.853
2021-01-05,1.795
2021-01-06,1.77
2021-01-07,1.796
2021-01-08,1.813
2021-01-09,1.813
2021-01-10,1.813
2021-01-11,1.747
2021-01-12,1.72
2021-01-13,1.778
2021-01-14,1.736
2021-01-15,1.815
2021-01-16,1.815
2021-01-17,1.815
2021-01-18,1.815
2021-01-19,1.78
2021-01-20,1.758
2021-01-21,1.819
2021-01-22,1.848
2021-01-23,1.848
2021-01-24,1.848
2021-01-25,1.413
2021-01-26,1.444
2021-01-27,1.494
2021-01-28,1.438
2021-01-29,1.526
2021-01-30,1.526
2021-01-31,1.526
2021-02-01,1.495
2021-02-02,1.45
2021-02-03,1.401
2021-02-04,1.395
2021-02-05,1.401
2021-02-06,1.401
2021-02-07,1.401
2021-02-08,1.39
2021-02-09,1.399
2021-02-10,1.389
2021-02-11,1.418
2021-02-12,1.404
2021-02-13,1.404
2021-02-14,1.404
2021-02-15,1.404
2021-02-16,1.42
2021-02-17,1.391
2021-02-18,1.404
2021-02-19,1.345
2021-02-20,1.345
2021-02-21,1.345
2021-02-22,1.301
2021-02-23,1.293
2021-02-24,1.272
2021-02-25,1.341
2021-02-26,1.319
2021-02-27,1.319
2021-02-28,1.319
2021-03-01,1.321
2021-03-02,1.348
2021-03-03,1.282
2021-03-04,1.269
2021-03-05,1.261
2021-03-06,1.261
2021-03-07,1.261
2021-03-08,1.198
2021-03-09,1.239
2021-03-10,1.241
2021-03-11,1.163
2021-03-12,1.164
2021-03-13,1.164
2021-03-14,1.164
2021-03-15,1.175
2021-03-16,1.203
2021-03-17,1.192
2021-03-18,1.223
2021-03-19,1.254
2021-03-20,1.254
2021-03-21,1.254
2021-03-22,1.244
2021-03-23,1.31
2021-03-24,1.292
2021-03-25,1.237
2021-03-26,1.206
2021-03-27,1.206
2021-03-28,1.206
2021-03-29,1.22
2021-03-30,1.206
2021-03-31,1.231
2021-04-01,1.215
2021-04-02,1.215
2021-04-03,1.215
2021-04-04,1.215
2021-04-05,1.225
2021-04-06,1.221
2021-04-07,1.222
2021-04-08,1.224
2021-04-09,1.231
2021-04-10,1.231
2021-04-11,1.231
2021-04-12,1.236
2021-04-13,1.249
2021-04-14,1.24
2021-04-15,1.222
2021-04-16,1.242
2021-04-17,1.242
2021-04-18,1.242
2021-04-19,1.258
2021-04-20,1.3
2021-04-21,1.285
2021-04-22,1.302
2021-04-23,1.277
2021-04-24,1.277
2021-04-25,1.277
2021-04-26,1.252
2021-04-27,1.237
2021-04-28,1.249
2021-04-29,1.262
2021-04-30,1.291
2021-05-01,1.291
2021-05-02,1.291
2021-05-03,1.275
2021-05-04,1.278
2021-05-05,1.242
2021-05-06,1.235
2021-05-07,1.366
2021-05-08,1.366
2021-05-09,1.366
2021-05-10,1.326
2021-05-11,1.344
2021-05-12,1.396
2021-05-13,1.349
2021-05-14,1.3
2021-05-15,1.3
2021-05-16,1.3
2021-05-17,1.304
2021-05-18,1.324
2021-05-19,1.318
2021-05-20,1.331
