,NUE US Equity
,BEST_DIV_YLD
2020-01-01,3.378
2020-01-02,3.449
2020-01-03,3.495
2020-01-04,3.495
2020-01-05,3.495
2020-01-06,3.525
2020-01-07,3.533
2020-01-08,3.541
2020-01-09,3.553
2020-01-10,3.603
2020-01-11,3.603
2020-01-12,3.603
2020-01-13,3.562
2020-01-14,3.52
2020-01-15,3.558
2020-01-16,3.563
2020-01-17,3.533
2020-01-18,3.533
2020-01-19,3.533
2020-01-20,3.533
2020-01-21,3.631
2020-01-22,3.658
2020-01-23,3.674
2020-01-24,3.777
2020-01-25,3.777
2020-01-26,3.777
2020-01-27,3.866
2020-01-28,3.743
2020-01-29,3.858
2020-01-30,3.795
2020-01-31,3.904
2020-02-01,3.904
2020-02-02,3.904
2020-02-03,3.867
2020-02-04,3.736
2020-02-05,3.685
2020-02-06,3.72
2020-02-07,3.808
2020-02-08,3.808
2020-02-09,3.808
2020-02-10,3.828
2020-02-11,3.774
2020-02-12,3.772
2020-02-13,3.805
2020-02-14,3.87
2020-02-15,3.87
2020-02-16,3.87
2020-02-17,3.87
2020-02-18,3.85
2020-02-19,3.824
2020-02-20,3.813
2020-02-21,3.757
2020-02-22,3.757
2020-02-23,3.757
2020-02-24,3.858
2020-02-25,4.057
2020-02-26,4.178
2020-02-27,4.364
2020-02-28,4.413
2020-02-29,4.413
2020-03-01,4.413
2020-03-02,4.273
2020-03-03,4.358
2020-03-04,4.225
2020-03-05,4.475
2020-03-06,4.606
2020-03-07,4.606
2020-03-08,4.606
2020-03-09,5.255
2020-03-10,4.914
2020-03-11,5.15
2020-03-12,5.743
2020-03-13,5.106
2020-03-14,5.106
2020-03-15,5.106
2020-03-16,5.973
2020-03-17,5.905
2020-03-18,6.235
2020-03-19,5.938
2020-03-20,5.975
2020-03-21,5.975
2020-03-22,5.975
2020-03-23,6.439
2020-03-24,5.722
2020-03-25,5.866
2020-03-26,5.456
2020-03-27,5.486
2020-03-28,5.486
2020-03-29,5.486
2020-03-30,5.177
2020-03-31,5.019
2020-04-01,5.036
2020-04-02,5.03
2020-04-03,5.071
2020-04-04,5.071
2020-04-05,5.071
2020-04-06,4.82
2020-04-07,4.844
2020-04-08,4.63
2020-04-09,4.585
2020-04-10,4.585
2020-04-11,4.585
2020-04-12,4.585
2020-04-13,4.661
2020-04-14,4.711
2020-04-15,5.089
2020-04-16,5.091
2020-04-17,4.843
2020-04-18,4.843
2020-04-19,4.843
2020-04-20,4.949
2020-04-21,5.015
2020-04-22,4.967
2020-04-23,4.793
2020-04-24,4.774
2020-04-25,4.774
2020-04-26,4.774
2020-04-27,4.464
2020-04-28,4.465
2020-04-29,4.254
2020-04-30,4.376
2020-05-01,4.396
2020-05-02,4.396
2020-05-03,4.396
2020-05-04,4.39
2020-05-05,4.423
2020-05-06,4.451
2020-05-07,4.406
2020-05-08,4.271
2020-05-09,4.271
2020-05-10,4.271
2020-05-11,4.437
2020-05-12,4.621
2020-05-13,4.83
2020-05-14,4.808
2020-05-15,4.735
2020-05-16,4.735
2020-05-17,4.735
2020-05-18,4.412
2020-05-19,4.461
2020-05-20,4.431
2020-05-21,4.506
2020-05-22,4.566
2020-05-23,4.566
2020-05-24,4.566
2020-05-25,4.566
2020-05-26,4.342
2020-05-27,4.182
2020-05-28,4.236
2020-05-29,4.265
2020-05-30,4.265
2020-05-31,4.265
2020-06-01,4.245
2020-06-02,4.17
2020-06-03,4.087
2020-06-04,4.038
2020-06-05,3.964
2020-06-06,3.964
2020-06-07,3.964
2020-06-08,3.963
2020-06-09,4.074
2020-06-10,4.087
2020-06-11,4.545
2020-06-12,4.375
2020-06-13,4.375
2020-06-14,4.375
2020-06-15,4.3
2020-06-16,4.043
2020-06-17,4.097
2020-06-18,4.142
2020-06-19,4.221
2020-06-20,4.221
2020-06-21,4.221
2020-06-22,4.261
2020-06-23,4.269
2020-06-24,4.432
2020-06-25,4.352
2020-06-26,4.44
2020-06-27,4.44
2020-06-28,4.44
2020-06-29,4.364
2020-06-30,4.31
2020-07-01,4.42
2020-07-02,4.311
2020-07-03,4.311
2020-07-04,4.311
2020-07-05,4.311
2020-07-06,4.285
2020-07-07,4.334
2020-07-08,4.5
2020-07-09,4.6
2020-07-10,4.412
2020-07-11,4.412
