,UPS US Equity
,BEST_DIV_YLD
2020-01-01,5.955
2020-01-02,5.969
2020-01-03,5.972
2020-01-04,5.972
2020-01-05,5.972
2020-01-06,5.999
2020-01-07,6.009
2020-01-08,5.975
2020-01-09,5.961
2020-01-10,6.016
2020-01-11,6.016
2020-01-12,6.016
2020-01-13,5.971
2020-01-14,5.944
2020-01-15,5.911
2020-01-16,5.877
2020-01-17,5.878
2020-01-18,5.878
2020-01-19,5.878
2020-01-20,5.878
2020-01-21,5.938
2020-01-22,5.945
2020-01-23,5.961
2020-01-24,5.975
2020-01-25,5.975
2020-01-26,5.975
2020-01-27,6.066
2020-01-28,6.042
2020-01-29,6.022
2020-01-30,5.852
2020-01-31,6.106
2020-02-01,6.106
2020-02-02,6.106
2020-02-03,6.195
2020-02-04,6.114
2020-02-05,5.961
2020-02-06,5.934
2020-02-07,6.129
2020-02-08,6.129
2020-02-09,6.129
2020-02-10,6.132
2020-02-11,6.027
2020-02-12,5.989
2020-02-13,6.006
2020-02-14,5.966
2020-02-15,5.966
2020-02-16,5.966
2020-02-17,5.966
2020-02-18,5.939
2020-02-19,5.92
2020-02-20,5.936
2020-02-21,6.14
2020-02-22,6.14
2020-02-23,6.14
2020-02-24,6.355
2020-02-25,6.665
2020-02-26,6.677
2020-02-27,6.936
2020-02-28,6.916
2020-02-29,6.916
2020-03-01,6.916
2020-03-02,6.748
2020-03-03,6.855
2020-03-04,6.532
2020-03-05,6.73
2020-03-06,6.658
2020-03-07,6.658
2020-03-08,6.658
2020-03-09,7.179
2020-03-10,6.743
2020-03-11,7.113
2020-03-12,7.263
2020-03-13,6.642
2020-03-14,6.642
2020-03-15,6.642
2020-03-16,7.189
2020-03-17,6.466
2020-03-18,6.305
2020-03-19,6.352
2020-03-20,6.541
2020-03-21,6.541
2020-03-22,6.541
2020-03-23,6.652
2020-03-24,6.418
2020-03-25,6.469
2020-03-26,6.127
2020-03-27,6.269
2020-03-28,6.269
2020-03-29,6.269
2020-03-30,6.248
2020-03-31,6.544
2020-04-01,6.763
2020-04-02,6.571
2020-04-03,6.727
2020-04-04,6.727
2020-04-05,6.727
2020-04-06,6.328
2020-04-07,6.516
2020-04-08,6.128
2020-04-09,6.135
2020-04-10,6.135
2020-04-11,6.135
2020-04-12,6.135
2020-04-13,6.152
2020-04-14,5.971
2020-04-15,6.059
2020-04-16,5.923
2020-04-17,5.892
2020-04-18,5.892
2020-04-19,5.892
2020-04-20,5.983
2020-04-21,6.017
2020-04-22,6.203
2020-04-23,6.088
2020-04-24,6.043
2020-04-25,6.043
2020-04-26,6.043
2020-04-27,5.904
2020-04-28,6.507
2020-04-29,6.529
2020-04-30,6.629
2020-05-01,6.828
2020-05-02,6.828
2020-05-03,6.828
2020-05-04,6.938
2020-05-05,6.768
2020-05-06,6.752
2020-05-07,6.759
2020-05-08,6.617
2020-05-09,6.617
2020-05-10,6.617
2020-05-11,6.681
2020-05-12,6.758
2020-05-13,6.915
2020-05-14,6.843
2020-05-15,6.893
2020-05-16,6.893
2020-05-17,6.893
2020-05-18,6.529
2020-05-19,6.507
2020-05-20,6.457
2020-05-21,6.448
2020-05-22,6.42
2020-05-23,6.42
2020-05-24,6.42
2020-05-25,6.42
2020-05-26,6.397
2020-05-27,6.233
2020-05-28,6.227
2020-05-29,6.227
2020-05-30,6.227
2020-05-31,6.227
2020-06-01,6.254
2020-06-02,6.138
2020-06-03,5.991
2020-06-04,6.017
2020-06-05,5.822
2020-06-06,5.822
2020-06-07,5.822
2020-06-08,5.622
2020-06-09,5.759
2020-06-10,5.823
2020-06-11,6.18
2020-06-12,6.119
2020-06-13,6.119
2020-06-14,6.119
2020-06-15,5.878
2020-06-16,5.867
2020-06-17,5.804
2020-06-18,5.772
2020-06-19,5.762
2020-06-20,5.762
2020-06-21,5.762
2020-06-22,5.809
2020-06-23,5.614
2020-06-24,5.671
2020-06-25,5.24
2020-06-26,5.396
2020-06-27,5.396
2020-06-28,5.396
2020-06-29,5.29
2020-06-30,5.209
2020-07-01,5.062
2020-07-02,5.064
2020-07-03,5.064
2020-07-04,5.064
2020-07-05,5.064
2020-07-06,5.02
2020-07-07,5.06
2020-07-08,5.059
2020-07-09,5.06
2020-07-10,5.033
2020-07-11,5.033
2020-07-12,5.033
2020-07-13,5.091
2020-07-14,5.022
2020-07-15,4.858
2020-07-16,4.837
2020-07-17,4.885
2020-07-18,4.885
2020-07-19,4.885
2020-07-20,4.894
2020-07-21,4.865
2020-07-22,4.878
2020-07-23,4.902
2020-07-24,4.894
2020-07-25,4.894
2020-07-26,4.894
2020-07-27,4.786
2020-07-28,4.842
2020-07-29,4.683
2020-07-30,4.094
2020-07-31,4.057
2020-08-01,4.057
2020-08-02,4.057
2020-08-03,4.073
2020-08-04,4.002
2020-08-05,3.992
2020-08-06,3.981
2020-08-07,3.691
2020-08-08,3.691
2020-08-09,3.691
2020-08-10,3.629
2020-08-11,3.716
2020-08-12,3.67
2020-08-13,3.636
2020-08-14,3.603
2020-08-15,3.603
2020-08-16,3.603
2020-08-17,3.613
2020-08-18,3.62
2020-08-19,3.612
2020-08-20,3.63
2020-08-21,3.619
2020-08-22,3.619
2020-08-23,3.619
2020-08-24,3.589
2020-08-25,3.618
2020-08-26,3.622
2020-08-27,3.592
2020-08-28,3.544
2020-08-29,3.544
2020-08-30,3.544
2020-08-31,3.517
2020-09-01,3.538
2020-09-02,3.471
2020-09-03,3.642
2020-09-04,3.579
2020-09-05,3.579
2020-09-06,3.579
2020-09-07,3.579
2020-09-08,3.678
2020-09-09,3.601
2020-09-10,3.645
2020-09-11,3.622
2020-09-12,3.622
2020-09-13,3.622
2020-09-14,3.594
2020-09-15,3.563
2020-09-16,3.6
2020-09-17,3.602
2020-09-18,3.604
2020-09-19,3.604
2020-09-20,3.604
2020-09-21,3.573
2020-09-22,3.555
2020-09-23,3.562
2020-09-24,3.588
2020-09-25,3.464
2020-09-26,3.464
2020-09-27,3.464
2020-09-28,3.407
2020-09-29,3.415
2020-09-30,3.454
2020-10-01,3.433
2020-10-02,3.447
2020-10-03,3.447
2020-10-04,3.447
2020-10-05,3.402
2020-10-06,3.398
2020-10-07,3.289
2020-10-08,3.303
2020-10-09,3.294
2020-10-10,3.294
2020-10-11,3.294
2020-10-12,3.26
2020-10-13,3.282
2020-10-14,3.3
2020-10-15,3.307
2020-10-16,3.299
2020-10-17,3.299
2020-10-18,3.299
2020-10-19,3.344
2020-10-20,3.291
2020-10-21,3.332
2020-10-22,3.327
2020-10-23,3.348
2020-10-24,3.348
2020-10-25,3.348
2020-10-26,3.426
2020-10-27,3.369
2020-10-28,3.694
2020-10-29,3.566
2020-10-30,3.663
2020-10-31,3.663
2020-11-01,3.663
2020-11-02,3.607
2020-11-03,3.52
2020-11-04,3.54
2020-11-05,3.518
2020-11-06,3.432
2020-11-07,3.432
2020-11-08,3.432
2020-11-09,3.526
2020-11-10,3.494
2020-11-11,3.453
2020-11-12,3.507
2020-11-13,3.495
2020-11-14,3.495
2020-11-15,3.495
2020-11-16,3.396
2020-11-17,3.387
2020-11-18,3.396
2020-11-19,3.436
2020-11-20,3.493
2020-11-21,3.493
2020-11-22,3.493
2020-11-23,3.433
2020-11-24,3.312
2020-11-25,3.355
2020-11-26,3.355
2020-11-27,3.387
2020-11-28,3.387
2020-11-29,3.387
2020-11-30,3.344
2020-12-01,3.406
2020-12-02,3.388
2020-12-03,3.408
2020-12-04,3.42
2020-12-05,3.42
2020-12-06,3.42
2020-12-07,3.416
2020-12-08,3.438
2020-12-09,3.381
2020-12-10,3.483
2020-12-11,3.397
2020-12-12,3.397
2020-12-13,3.397
2020-12-14,3.433
2020-12-15,3.422
2020-12-16,3.362
2020-12-17,3.278
2020-12-18,3.265
2020-12-19,3.265
2020-12-20,3.265
2020-12-21,3.314
2020-12-22,3.277
2020-12-23,3.313
2020-12-24,3.322
2020-12-25,3.322
2020-12-26,3.322
2020-12-27,3.322
2020-12-28,3.338
2020-12-29,3.384
2020-12-30,3.441
2020-12-31,3.397
2021-01-01,3.397
2021-01-02,3.397
2021-01-03,3.397
2021-01-04,3.492
2021-01-05,3.541
2021-01-06,3.552
2021-01-07,3.597
2021-01-08,3.611
2021-01-09,3.611
2021-01-10,3.611
2021-01-11,3.534
2021-01-12,3.49
2021-01-13,3.507
2021-01-14,3.499
2021-01-15,3.6
2021-01-16,3.6
2021-01-17,3.6
2021-01-18,3.6
2021-01-19,3.66
2021-01-20,3.579
2021-01-21,3.573
2021-01-22,3.598
2021-01-23,3.598
2021-01-24,3.598
2021-01-25,3.536
2021-01-26,3.543
2021-01-27,3.628
2021-01-28,3.637
2021-01-29,3.69
2021-01-30,3.69
2021-01-31,3.69
2021-02-01,3.661
2021-02-02,3.717
2021-02-03,3.731
2021-02-04,3.672
2021-02-05,3.625
2021-02-06,3.625
2021-02-07,3.625
2021-02-08,3.645
2021-02-09,3.57
2021-02-10,3.597
2021-02-11,3.67
2021-02-12,3.647
2021-02-13,3.647
2021-02-14,3.647
2021-02-15,3.647
2021-02-16,3.684
2021-02-17,3.701
2021-02-18,3.675
2021-02-19,3.688
2021-02-20,3.688
2021-02-21,3.688
2021-02-22,3.664
2021-02-23,3.682
2021-02-24,3.699
2021-02-25,3.759
2021-02-26,3.752
2021-02-27,3.752
2021-02-28,3.752
2021-03-01,3.667
2021-03-02,3.669
2021-03-03,3.691
2021-03-04,3.713
2021-03-05,3.602
2021-03-06,3.602
2021-03-07,3.602
2021-03-08,3.681
2021-03-09,3.627
2021-03-10,3.584
2021-03-11,3.54
2021-03-12,3.531
2021-03-13,3.531
2021-03-14,3.531
2021-03-15,3.641
2021-03-16,3.637
2021-03-17,3.686
2021-03-18,3.696
2021-03-19,3.717
2021-03-20,3.717
2021-03-21,3.717
2021-03-22,3.676
