,CLR US Equity
,BEST_DIV_YLD
2020-01-01,14.979
2020-01-02,15.044
2020-01-03,14.538
2020-01-04,14.538
2020-01-05,14.538
2020-01-06,14.263
2020-01-07,14.387
2020-01-08,15.031
2020-01-09,15.106
2020-01-10,15.41
2020-01-11,15.41
2020-01-12,15.41
2020-01-13,15.382
2020-01-14,14.983
2020-01-15,14.965
2020-01-16,15.391
2020-01-17,15.731
2020-01-18,15.731
2020-01-19,15.731
2020-01-20,15.731
2020-01-21,16.393
2020-01-22,16.9
2020-01-23,16.823
2020-01-24,17.439
2020-01-25,17.439
2020-01-26,17.439
2020-01-27,17.92
2020-01-28,17.589
2020-01-29,17.895
2020-01-30,18.212
2020-01-31,18.874
2020-02-01,18.874
2020-02-02,18.874
2020-02-03,19.271
2020-02-04,19.358
2020-02-05,18.09
2020-02-06,18.759
2020-02-07,19.094
2020-02-08,19.094
2020-02-09,19.094
2020-02-10,19.994
2020-02-11,19.801
2020-02-12,19.317
2020-02-13,19.144
2020-02-14,19.575
2020-02-15,19.575
2020-02-16,19.575
2020-02-17,19.575
2020-02-18,19.71
2020-02-19,19.672
2020-02-20,19.917
2020-02-21,20.271
2020-02-22,20.271
2020-02-23,20.271
2020-02-24,21.898
2020-02-25,23.418
2020-02-26,24.68
2020-02-27,29.373
2020-02-28,27.064
2020-02-29,27.064
2020-03-01,27.064
2020-03-02,28.35
2020-03-03,29.424
2020-03-04,28.845
2020-03-05,29.323
2020-03-06,34.536
2020-03-07,34.536
2020-03-08,34.536
2020-03-09,72.746
2020-03-10,54.618
2020-03-11,58.412
2020-03-12,64.592
2020-03-13,52.226
2020-03-14,52.226
2020-03-15,52.226
2020-03-16,57.175
2020-03-17,61.865
2020-03-18,65.084
2020-03-19,56.234
2020-03-20,54.213
2020-03-21,54.213
2020-03-22,54.213
2020-03-23,56.795
2020-03-24,49.792
2020-03-25,50.133
2020-03-26,51.544
2020-03-27,60.195
2020-03-28,60.195
2020-03-29,60.195
2020-03-30,66.519
2020-03-31,67.128
2020-04-01,68.656
2020-04-02,61.494
2020-04-03,56.482
2020-04-04,56.482
2020-04-05,56.482
2020-04-06,54.042
2020-04-07,49.077
2020-04-08,41.46
2020-04-09,42.072
2020-04-10,42.072
2020-04-11,42.072
2020-04-12,42.072
2020-04-13,41.493
2020-04-14,44.87
2020-04-15,48.89
2020-04-16,52.12
2020-04-17,45.709
2020-04-18,45.709
2020-04-19,45.709
2020-04-20,47.841
2020-04-21,46.539
2020-04-22,41.326
2020-04-23,38.765
2020-04-24,40.735
2020-04-25,40.735
2020-04-26,40.735
2020-04-27,39.973
2020-04-28,38.159
2020-04-29,32.357
2020-04-30,31.291
2020-05-01,36.091
2020-05-02,36.091
2020-05-03,36.091
2020-05-04,35.864
2020-05-05,37.545
2020-05-06,37.682
2020-05-07,37.71
2020-05-08,33.987
2020-05-09,33.987
2020-05-10,33.987
2020-05-11,36.633
2020-05-12,35.517
2020-05-13,40.606
2020-05-14,39.542
2020-05-15,39.849
2020-05-16,39.849
2020-05-17,39.849
2020-05-18,34.936
2020-05-19,38.159
2020-05-20,36.949
2020-05-21,36.949
2020-05-22,36.528
2020-05-23,36.528
2020-05-24,36.528
2020-05-25,36.528
2020-05-26,35.99
2020-05-27,36.142
2020-05-28,38.853
2020-05-29,41.934
2020-05-30,41.934
2020-05-31,41.934
2020-06-01,38.765
2020-06-02,35.59
2020-06-03,34.213
2020-06-04,33.368
2020-06-05,27.827
2020-06-06,27.827
2020-06-07,27.827
2020-06-08,23.765
2020-06-09,26.908
2020-06-10,29.611
2020-06-11,33.216
2020-06-12,30.876
2020-06-13,30.876
2020-06-14,30.876
2020-06-15,30.455
2020-06-16,28.071
2020-06-17,30.821
2020-06-18,29.817
2020-06-19,30.329
2020-06-20,30.329
2020-06-21,30.329
2020-06-22,30.097
2020-06-23,30.437
2020-06-24,33.919
2020-06-25,31.502
2020-06-26,33.964
2020-06-27,33.964
2020-06-28,33.964
2020-06-29,31.677
2020-06-30,29.256
2020-07-01,30.062
2020-07-02,28.025
2020-07-03,28.025
2020-07-04,28.025
2020-07-05,28.025
2020-07-06,29.887
2020-07-07,33.002
2020-07-08,31.795
2020-07-09,34.009
2020-07-10,31.994
2020-07-11,31.994
2020-07-12,31.994
2020-07-13,32.521
2020-07-14,30.383
2020-07-15,28.492
2020-07-16,28.764
2020-07-17,29.852
2020-07-18,29.852
2020-07-19,29.852
2020-07-20,30.383
2020-07-21,28.508
2020-07-22,28.991
2020-07-23,29.628
2020-07-24,29.783
2020-07-25,29.783
2020-07-26,29.783
2020-07-27,29.475
2020-07-28,30.311
2020-07-29,29.289
2020-07-30,29.594
2020-07-31,29.662
2020-08-01,29.662
2020-08-02,29.662
2020-08-03,29.074
2020-08-04,30.914
2020-08-05,28.959
2020-08-06,30.365
2020-08-07,29.852
2020-08-08,29.852
2020-08-09,29.852
2020-08-10,27.737
2020-08-11,28.195
2020-08-12,27.47
2020-08-13,27.949
2020-08-14,27.603
2020-08-15,27.603
2020-08-16,27.603
2020-08-17,27.918
2020-08-18,28.257
2020-08-19,28.319
2020-08-20,29.09
2020-08-21,29.939
2020-08-22,29.939
2020-08-23,29.939
2020-08-24,29.156
2020-08-25,28.524
2020-08-26,29.679
2020-08-27,29.289
2020-08-28,29.14
2020-08-29,29.14
2020-08-30,29.14
2020-08-31,29.852
2020-09-01,30.027
2020-09-02,31.253
2020-09-03,32.134
2020-09-04,32.729
2020-09-05,32.729
2020-09-06,32.729
2020-09-07,32.729
2020-09-08,36.296
2020-09-09,35.714
2020-09-10,38.619
2020-09-11,38.882
2020-09-12,38.882
2020-09-13,38.882
2020-09-14,38.853
2020-09-15,39.42
2020-09-16,36.711
2020-09-17,35.103
2020-09-18,34.513
2020-09-19,34.513
2020-09-20,34.513
2020-09-21,37.11
2020-09-22,38.188
2020-09-23,40.833
2020-09-24,40.287
2020-09-25,40.383
2020-09-26,40.383
2020-09-27,40.383
2020-09-28,40.005
2020-09-29,41.628
2020-09-30,41.764
2020-10-01,43.61
2020-10-02,41.696
2020-10-03,41.696
2020-10-04,41.696
2020-10-05,38.736
2020-10-06,40.414
2020-10-07,39.511
2020-10-08,36.817
2020-10-09,38.131
2020-10-10,38.131
2020-10-11,38.131
2020-10-12,38.302
2020-10-13,38.882
2020-10-14,38.794
2020-10-15,37.821
2020-10-16,38.971
2020-10-17,38.971
2020-10-18,38.971
2020-10-19,39.787
2020-10-20,38.388
2020-10-21,39.179
2020-10-22,37.272
2020-10-23,36.949
2020-10-24,36.949
2020-10-25,36.949
2020-10-26,39.603
2020-10-27,39.695
2020-10-28,42.35
2020-10-29,41.662
2020-10-30,42.632
2020-10-31,42.632
2020-11-01,42.632
2020-11-02,40.865
2020-11-03,40.351
2020-11-04,39.849
2020-11-05,38.561
2020-11-06,41.9
2020-11-07,41.9
2020-11-08,41.9
2020-11-09,35.99
2020-11-10,35.418
2020-11-11,36.399
2020-11-12,37.766
2020-11-13,36.738
2020-11-14,36.738
2020-11-15,36.738
2020-11-16,35.615
2020-11-17,34.912
2020-11-18,34.489
2020-11-19,33.109
2020-11-20,33.785
2020-11-21,33.785
2020-11-22,33.785
2020-11-23,30.455
2020-11-24,29.306
2020-11-25,29.189
2020-11-26,29.189
2020-11-27,30.383
2020-11-28,30.383
2020-11-29,30.383
2020-11-30,33.346
2020-12-01,33.498
2020-12-02,32.501
2020-12-03,31.954
2020-12-04,27.193
2020-12-05,27.193
2020-12-06,27.193
2020-12-07,28.699
2020-12-08,27.632
2020-12-09,27.979
2020-12-10,26.67
2020-12-11,27.164
2020-12-12,27.164
2020-12-13,27.164
2020-12-14,29.357
2020-12-15,28.603
2020-12-16,29.696
2020-12-17,29.679
2020-12-18,30.527
2020-12-19,30.527
2020-12-20,30.527
2020-12-21,30.821
2020-12-22,32.215
2020-12-23,30.347
2020-12-24,30.692
2020-12-25,30.692
2020-12-26,30.692
2020-12-27,30.692
2020-12-28,31.541
2020-12-29,31.026
2020-12-30,30.455
2020-12-31,31.464
2021-01-01,31.464
2021-01-02,31.464
2021-01-03,31.464
2021-01-04,29.904
2021-01-05,26.684
2021-01-06,25.863
2021-01-07,26.463
2021-01-08,26.95
2021-01-09,26.95
2021-01-10,26.95
2021-01-11,26.491
2021-01-12,24.824
2021-01-13,26.45
2021-01-14,25.941
2021-01-15,26.504
2021-01-16,26.504
2021-01-17,26.504
2021-01-18,26.504
2021-01-19,26.113
2021-01-20,25.733
2021-01-21,27.121
2021-01-22,26.964
2021-01-23,26.964
2021-01-24,26.964
2021-01-25,13.66
2021-01-26,13.718
2021-01-27,12.298
2021-01-28,12.464
2021-01-29,13.154
2021-01-30,13.154
2021-01-31,13.154
2021-02-01,13.167
2021-02-02,13.61
2021-02-03,12.524
2021-02-04,12.446
2021-02-05,12.339
2021-02-06,12.339
2021-02-07,12.339
2021-02-08,11.226
2021-02-09,11.751
2021-02-10,11.212
2021-02-11,11.63
2021-02-12,11.251
2021-02-13,11.251
2021-02-14,11.251
2021-02-15,11.251
2021-02-16,10.663
2021-02-17,11.144
2021-02-18,11.87
2021-02-19,11.567
2021-02-20,11.567
2021-02-21,11.567
2021-02-22,11.111
2021-02-23,10.575
2021-02-24,10.078
2021-02-25,10.452
2021-02-26,10.711
2021-02-27,10.711
2021-02-28,10.711
2021-03-01,10.335
2021-03-02,10.414
2021-03-03,9.904
2021-03-04,8.993
2021-03-05,8.16
2021-03-06,8.16
2021-03-07,8.16
2021-03-08,8.412
2021-03-09,8.717
2021-03-10,8.428
2021-03-11,8.36
2021-03-12,8.662
2021-03-13,8.662
2021-03-14,8.662
2021-03-15,8.842
2021-03-16,9.459
2021-03-17,9.435
2021-03-18,10.205
2021-03-19,9.74
2021-03-20,9.74
2021-03-21,9.74
2021-03-22,10.054
2021-03-23,10.368
2021-03-24,9.954
2021-03-25,10.004
2021-03-26,9.693
2021-03-27,9.693
2021-03-28,9.693
2021-03-29,10.039
2021-03-30,9.969
2021-03-31,10.011
2021-04-01,9.473
2021-04-02,9.473
2021-04-03,9.473
2021-04-04,9.473
2021-04-05,10.07
2021-04-06,9.954
2021-04-07,10.019
2021-04-08,10.356
2021-04-09,10.149
2021-04-10,10.149
2021-04-11,10.149
2021-04-12,10.273
2021-04-13,10.209
2021-04-14,9.415
2021-04-15,9.435
2021-04-16,9.624
2021-04-17,9.624
2021-04-18,9.624
2021-04-19,9.762
2021-04-20,10.141
2021-04-21,10.097
2021-04-22,10.241
2021-04-23,10.074
2021-04-24,10.074
2021-04-25,10.074
2021-04-26,10.011
2021-04-27,9.927
2021-04-28,9.404
2021-04-29,9.129
2021-04-30,9.508
2021-05-01,9.508
2021-05-02,9.508
2021-05-03,6.633
2021-05-04,6.721
2021-05-05,6.406
2021-05-06,6.411
2021-05-07,6.141
2021-05-08,6.141
2021-05-09,6.141
2021-05-10,6.194
2021-05-11,6.143
2021-05-12,6.166
2021-05-13,6.315
2021-05-14,6.362
2021-05-15,6.362
2021-05-16,6.362
2021-05-17,6.267
2021-05-18,6.478
2021-05-19,6.685
2021-05-20,6.667
2021-05-21,6.55
2021-05-22,6.55
2021-05-23,6.55
2021-05-24,6.271
2021-05-25,6.432
2021-05-26,6.286
2021-05-27,6.191
2021-05-28,6.149
2021-05-29,6.149
2021-05-30,6.149
2021-05-31,6.149
2021-06-01,5.651
2021-06-02,5.588
2021-06-03,5.674
