,DE US Equity
,BEST_DIV_YLD
2020-01-01,2.665
2020-01-02,2.611
2020-01-03,2.631
2020-01-04,2.631
2020-01-05,2.631
2020-01-06,2.612
2020-01-07,2.658
2020-01-08,2.625
2020-01-09,2.6
2020-01-10,2.663
2020-01-11,2.663
2020-01-12,2.663
2020-01-13,2.643
2020-01-14,2.659
2020-01-15,2.671
2020-01-16,2.632
2020-01-17,2.621
2020-01-18,2.621
2020-01-19,2.621
2020-01-20,2.621
2020-01-21,2.676
2020-01-22,2.698
2020-01-23,2.684
2020-01-24,2.714
2020-01-25,2.714
2020-01-26,2.714
2020-01-27,2.828
2020-01-28,2.833
2020-01-29,2.883
2020-01-30,2.866
2020-01-31,2.912
2020-02-01,2.912
2020-02-02,2.912
2020-02-03,2.917
2020-02-04,2.808
2020-02-05,2.743
2020-02-06,2.735
2020-02-07,2.758
2020-02-08,2.758
2020-02-09,2.758
2020-02-10,2.745
2020-02-11,2.712
2020-02-12,2.687
2020-02-13,2.704
2020-02-14,2.748
2020-02-15,2.748
2020-02-16,2.748
2020-02-17,2.748
2020-02-18,2.777
2020-02-19,2.8
2020-02-20,2.785
2020-02-21,2.603
2020-02-22,2.603
2020-02-23,2.603
2020-02-24,2.687
2020-02-25,2.771
2020-02-26,2.767
2020-02-27,2.886
2020-02-28,2.951
2020-02-29,2.951
2020-03-01,2.951
2020-03-02,2.817
2020-03-03,2.927
2020-03-04,2.832
2020-03-05,2.903
2020-03-06,2.815
2020-03-07,2.815
2020-03-08,2.815
2020-03-09,3.079
2020-03-10,2.979
2020-03-11,3.166
2020-03-12,3.542
2020-03-13,3.323
2020-03-14,3.323
2020-03-15,3.323
2020-03-16,3.847
2020-03-17,3.644
2020-03-18,4.043
2020-03-19,3.859
2020-03-20,4.137
2020-03-21,4.137
2020-03-22,4.137
2020-03-23,4.155
2020-03-24,3.665
2020-03-25,3.594
2020-03-26,3.32
2020-03-27,3.418
2020-03-28,3.418
2020-03-29,3.418
2020-03-30,3.251
2020-03-31,3.324
2020-04-01,3.435
2020-04-02,3.295
2020-04-03,3.388
2020-04-04,3.388
2020-04-05,3.388
2020-04-06,3.2
2020-04-07,3.215
2020-04-08,3.129
2020-04-09,3.151
2020-04-10,3.151
2020-04-11,3.151
2020-04-12,3.151
2020-04-13,3.285
2020-04-14,3.324
2020-04-15,3.394
2020-04-16,3.534
2020-04-17,3.316
2020-04-18,3.316
2020-04-19,3.316
2020-04-20,3.344
2020-04-21,3.425
2020-04-22,3.371
2020-04-23,3.349
2020-04-24,3.312
2020-04-25,3.312
2020-04-26,3.312
2020-04-27,3.287
2020-04-28,3.244
2020-04-29,3.122
2020-04-30,3.166
2020-05-01,3.323
2020-05-02,3.323
2020-05-03,3.323
2020-05-04,3.454
2020-05-05,3.398
2020-05-06,3.475
2020-05-07,3.376
2020-05-08,3.352
2020-05-09,3.352
2020-05-10,3.352
2020-05-11,3.404
2020-05-12,3.531
2020-05-13,3.65
2020-05-14,3.621
2020-05-15,3.644
2020-05-16,3.644
2020-05-17,3.644
2020-05-18,3.33
2020-05-19,3.373
2020-05-20,3.227
2020-05-21,3.215
2020-05-22,3.136
2020-05-23,3.136
2020-05-24,3.136
2020-05-25,3.136
2020-05-26,2.981
2020-05-27,2.877
2020-05-28,2.881
2020-05-29,2.901
2020-05-30,2.901
2020-05-31,2.901
2020-06-01,2.959
2020-06-02,2.885
2020-06-03,2.787
2020-06-04,2.739
2020-06-05,2.647
2020-06-06,2.647
2020-06-07,2.647
2020-06-08,2.614
2020-06-09,2.678
2020-06-10,2.741
2020-06-11,2.921
2020-06-12,2.848
2020-06-13,2.848
2020-06-14,2.848
2020-06-15,2.838
2020-06-16,2.788
2020-06-17,2.838
2020-06-18,2.849
2020-06-19,2.849
2020-06-20,2.849
2020-06-21,2.849
2020-06-22,2.855
2020-06-23,2.866
2020-06-24,2.932
2020-06-25,2.857
2020-06-26,2.961
2020-06-27,2.961
2020-06-28,2.961
2020-06-29,2.856
2020-06-30,2.838
2020-07-01,2.844
2020-07-02,2.79
2020-07-03,2.79
2020-07-04,2.79
2020-07-05,2.79
2020-07-06,2.75
2020-07-07,2.776
2020-07-08,2.782
2020-07-09,2.795
2020-07-10,2.77
2020-07-11,2.77
2020-07-12,2.77
2020-07-13,2.689
2020-07-14,2.599
2020-07-15,2.556
2020-07-16,2.541
2020-07-17,2.496
2020-07-18,2.496
2020-07-19,2.496
2020-07-20,2.535
2020-07-21,2.508
2020-07-22,2.511
2020-07-23,2.493
2020-07-24,2.513
2020-07-25,2.513
2020-07-26,2.513
2020-07-27,2.503
2020-07-28,2.506
2020-07-29,2.444
2020-07-30,2.475
2020-07-31,2.499
2020-08-01,2.499
2020-08-02,2.499
2020-08-03,2.481
2020-08-04,2.474
2020-08-05,2.41
2020-08-06,2.431
2020-08-07,2.401
2020-08-08,2.401
2020-08-09,2.401
2020-08-10,2.32
2020-08-11,2.28
2020-08-12,2.291
2020-08-13,2.325
2020-08-14,2.305
2020-08-15,2.305
2020-08-16,2.305
2020-08-17,2.283
2020-08-18,2.293
2020-08-19,2.295
2020-08-20,2.306
2020-08-21,2.206
2020-08-22,2.206
2020-08-23,2.206
2020-08-24,2.143
2020-08-25,2.14
2020-08-26,2.086
2020-08-27,2.097
2020-08-28,2.097
2020-08-29,2.097
2020-08-30,2.097
2020-08-31,2.095
2020-09-01,2.022
2020-09-02,2.027
2020-09-03,2.088
2020-09-04,2.082
2020-09-05,2.082
2020-09-06,2.082
2020-09-07,2.082
2020-09-08,2.093
2020-09-09,2.042
2020-09-10,2.046
2020-09-11,2.038
2020-09-12,2.038
2020-09-13,2.038
2020-09-14,2.016
2020-09-15,2.04
2020-09-16,2.043
2020-09-17,2.001
2020-09-18,1.983
2020-09-19,1.983
2020-09-20,1.983
2020-09-21,2.054
2020-09-22,1.926
2020-09-23,1.954
2020-09-24,1.936
2020-09-25,1.912
2020-09-26,1.912
2020-09-27,1.912
2020-09-28,1.889
2020-09-29,1.897
2020-09-30,1.885
2020-10-01,1.907
2020-10-02,1.858
2020-10-03,1.858
2020-10-04,1.858
2020-10-05,1.84
2020-10-06,1.847
2020-10-07,1.812
2020-10-08,1.783
2020-10-09,1.779
2020-10-10,1.779
2020-10-11,1.779
2020-10-12,1.766
2020-10-13,1.703
2020-10-14,1.694
2020-10-15,1.695
2020-10-16,1.683
2020-10-17,1.683
2020-10-18,1.683
2020-10-19,1.696
2020-10-20,1.691
2020-10-21,1.709
2020-10-22,1.705
2020-10-23,1.686
2020-10-24,1.686
2020-10-25,1.686
2020-10-26,1.724
2020-10-27,1.768
2020-10-28,1.808
2020-10-29,1.771
2020-10-30,1.788
2020-10-31,1.788
2020-11-01,1.788
2020-11-02,1.743
2020-11-03,1.683
2020-11-04,1.731
2020-11-05,1.642
2020-11-06,1.631
2020-11-07,1.631
2020-11-08,1.631
2020-11-09,1.623
2020-11-10,1.59
2020-11-11,1.62
2020-11-12,1.684
2020-11-13,1.659
2020-11-14,1.659
2020-11-15,1.659
2020-11-16,1.612
2020-11-17,1.541
2020-11-18,1.546
2020-11-19,1.557
2020-11-20,1.539
2020-11-21,1.539
2020-11-22,1.539
2020-11-23,1.524
2020-11-24,1.521
2020-11-25,1.472
2020-11-26,1.472
2020-11-27,1.441
2020-11-28,1.441
2020-11-29,1.441
2020-11-30,1.443
2020-12-01,1.48
2020-12-02,1.457
2020-12-03,1.494
2020-12-04,1.49
2020-12-05,1.49
2020-12-06,1.49
2020-12-07,1.498
2020-12-08,1.494
2020-12-09,1.481
2020-12-10,1.489
2020-12-11,1.476
2020-12-12,1.476
2020-12-13,1.476
2020-12-14,1.494
2020-12-15,1.441
2020-12-16,1.446
2020-12-17,1.427
2020-12-18,1.394
2020-12-19,1.394
2020-12-20,1.394
2020-12-21,1.41
2020-12-22,1.402
2020-12-23,1.409
2020-12-24,1.402
2020-12-25,1.402
2020-12-26,1.402
2020-12-27,1.402
2020-12-28,1.411
2020-12-29,1.423
2020-12-30,1.414
2020-12-31,1.399
2021-01-01,1.399
2021-01-02,1.399
2021-01-03,1.399
2021-01-04,1.406
2021-01-05,1.372
2021-01-06,1.296
2021-01-07,1.256
2021-01-08,1.281
2021-01-09,1.281
2021-01-10,1.281
2021-01-11,1.276
2021-01-12,1.246
2021-01-13,1.25
2021-01-14,1.243
2021-01-15,1.274
2021-01-16,1.274
2021-01-17,1.274
2021-01-18,1.274
2021-01-19,1.276
2021-01-20,1.234
2021-01-21,1.216
2021-01-22,1.217
2021-01-23,1.217
2021-01-24,1.217
2021-01-25,1.245
2021-01-26,1.255
2021-01-27,1.323
2021-01-28,1.268
2021-01-29,1.286
2021-01-30,1.286
2021-01-31,1.286
2021-02-01,1.271
2021-02-02,1.228
2021-02-03,1.233
2021-02-04,1.201
2021-02-05,1.201
2021-02-06,1.201
2021-02-07,1.201
2021-02-08,1.171
2021-02-09,1.178
2021-02-10,1.184
2021-02-11,1.181
2021-02-12,1.187
2021-02-13,1.187
2021-02-14,1.187
2021-02-15,1.187
2021-02-16,1.171
2021-02-17,1.19
2021-02-18,1.237
2021-02-19,1.131
2021-02-20,1.131
2021-02-21,1.131
2021-02-22,1.106
2021-02-23,1.106
2021-02-24,1.08
2021-02-25,1.073
2021-02-26,1.069
2021-02-27,1.069
2021-02-28,1.069
2021-03-01,1.038
2021-03-02,1.062
2021-03-03,1.088
2021-03-04,1.105
2021-03-05,1.067
2021-03-06,1.067
2021-03-07,1.067
2021-03-08,1.055
2021-03-09,1.058
2021-03-10,1.033
2021-03-11,1.024
2021-03-12,1.016
2021-03-13,1.016
2021-03-14,1.016
2021-03-15,1.003
2021-03-16,1.006
2021-03-17,0.991
2021-03-18,0.988
2021-03-19,1.009
2021-03-20,1.009
2021-03-21,1.009
2021-03-22,1.011
2021-03-23,1.051
2021-03-24,1.041
2021-03-25,1.024
2021-03-26,1.009
2021-03-27,1.009
2021-03-28,1.009
2021-03-29,1.021
2021-03-30,1.002
2021-03-31,1.002
2021-04-01,1.007
2021-04-02,1.007
2021-04-03,1.007
2021-04-04,1.007
2021-04-05,1.0
2021-04-06,0.998
2021-04-07,1.0
2021-04-08,1.002
2021-04-09,0.994
2021-04-10,0.994
2021-04-11,0.994
2021-04-12,0.991
2021-04-13,0.99
2021-04-14,0.982
2021-04-15,0.981
2021-04-16,0.978
2021-04-17,0.978
2021-04-18,0.978
2021-04-19,0.984
2021-04-20,1.012
2021-04-21,0.998
2021-04-22,1.017
2021-04-23,0.996
2021-04-24,0.996
2021-04-25,0.996
2021-04-26,0.985
2021-04-27,0.98
2021-04-28,0.987
2021-04-29,0.996
2021-04-30,1.011
2021-05-01,1.011
2021-05-02,1.011
2021-05-03,1.003
2021-05-04,0.987
2021-05-05,0.989
2021-05-06,0.961
2021-05-07,0.951
2021-05-08,0.951
2021-05-09,0.951
2021-05-10,0.957
2021-05-11,0.978
2021-05-12,1.003
2021-05-13,0.99
2021-05-14,0.975
2021-05-15,0.975
2021-05-16,0.975
2021-05-17,0.976
2021-05-18,1.013
2021-05-19,1.045
2021-05-20,1.054
2021-05-21,1.092
2021-05-22,1.092
2021-05-23,1.092
2021-05-24,1.093
2021-05-25,1.089
2021-05-26,1.098
2021-05-27,1.085
2021-05-28,1.088
2021-05-29,1.088
2021-05-30,1.088
2021-05-31,1.088
2021-06-01,1.078
2021-06-02,1.102
2021-06-03,1.095
2021-06-04,1.102
2021-06-05,1.102
2021-06-06,1.102
2021-06-07,1.106
2021-06-08,1.102
2021-06-09,1.124
2021-06-10,1.151
2021-06-11,1.15
2021-06-12,1.15
2021-06-13,1.15
2021-06-14,1.171
2021-06-15,1.162
2021-06-16,1.168
2021-06-17,1.197
2021-06-18,1.194
2021-06-19,1.194
2021-06-20,1.194
2021-06-21,1.163
2021-06-22,1.149
2021-06-23,1.13
2021-06-24,1.121
2021-06-25,1.123
2021-06-26,1.123
2021-06-27,1.123
2021-06-28,1.123
2021-06-29,1.123
2021-06-30,1.111
2021-07-01,1.106
2021-07-02,1.112
2021-07-03,1.112
2021-07-04,1.112
2021-07-05,1.112
2021-07-06,1.122
2021-07-07,1.114
2021-07-08,1.141
2021-07-09,1.121
2021-07-10,1.121
2021-07-11,1.121
2021-07-12,1.106
2021-07-13,1.117
2021-07-14,1.134
2021-07-15,1.132
2021-07-16,1.144
2021-07-17,1.144
2021-07-18,1.144
2021-07-19,1.219
2021-07-20,1.173
2021-07-21,1.156
2021-07-22,1.162
2021-07-23,1.151
2021-07-24,1.151
2021-07-25,1.151
2021-07-26,1.148
2021-07-27,1.155
2021-07-28,1.155
2021-07-29,1.134
2021-07-30,1.129
2021-07-31,1.129
2021-08-01,1.129
2021-08-02,1.147
2021-08-03,1.116
2021-08-04,1.132
2021-08-05,1.12
2021-08-06,1.113
2021-08-07,1.113
2021-08-08,1.113
2021-08-09,1.105
2021-08-10,1.084
2021-08-11,1.057
2021-08-12,1.059
2021-08-13,1.063
2021-08-14,1.063
2021-08-15,1.063
2021-08-16,1.066
