,STLD US Equity
,BEST_DIV_YLD
2020-01-01,3.412
2020-01-02,3.436
2020-01-03,3.498
2020-01-04,3.498
2020-01-05,3.498
2020-01-06,3.509
2020-01-07,3.433
2020-01-08,3.43
2020-01-09,3.463
2020-01-10,3.553
2020-01-11,3.553
2020-01-12,3.553
2020-01-13,3.493
2020-01-14,3.456
2020-01-15,3.517
2020-01-16,3.524
2020-01-17,3.497
2020-01-18,3.497
2020-01-19,3.497
2020-01-20,3.497
2020-01-21,3.639
2020-01-22,3.622
2020-01-23,3.672
2020-01-24,3.777
2020-01-25,3.777
2020-01-26,3.777
2020-01-27,3.828
2020-01-28,3.783
2020-01-29,3.837
2020-01-30,3.814
2020-01-31,3.887
2020-02-01,3.887
2020-02-02,3.887
2020-02-03,3.87
2020-02-04,3.88
2020-02-05,3.856
2020-02-06,3.944
2020-02-07,4.002
2020-02-08,4.002
2020-02-09,4.002
2020-02-10,3.99
2020-02-11,3.913
2020-02-12,3.95
2020-02-13,3.99
2020-02-14,4.084
2020-02-15,4.084
2020-02-16,4.084
2020-02-17,4.084
2020-02-18,4.044
2020-02-19,3.987
2020-02-20,3.957
2020-02-21,3.912
2020-02-22,3.912
2020-02-23,3.912
2020-02-24,3.961
2020-02-25,4.141
2020-02-26,4.169
2020-02-27,4.319
2020-02-28,4.361
2020-02-29,4.361
2020-03-01,4.361
2020-03-02,4.256
2020-03-03,4.356
2020-03-04,4.247
2020-03-05,4.528
2020-03-06,4.655
2020-03-07,4.655
2020-03-08,4.655
2020-03-09,5.481
2020-03-10,5.141
2020-03-11,5.491
2020-03-12,6.198
2020-03-13,6.198
2020-03-14,6.198
2020-03-15,6.198
2020-03-16,6.198
2020-03-17,6.198
2020-03-18,6.198
2020-03-19,6.198
2020-03-20,6.198
2020-03-21,6.198
2020-03-22,6.198
2020-03-23,6.198
2020-03-24,6.198
2020-03-25,6.198
2020-03-26,6.198
2020-03-27,6.198
2020-03-28,6.198
2020-03-29,6.198
2020-03-30,6.198
2020-03-31,6.198
2020-04-01,6.198
2020-04-02,6.198
2020-04-03,6.198
2020-04-04,6.198
2020-04-05,6.198
2020-04-06,6.198
2020-04-07,6.198
2020-04-08,6.198
2020-04-09,6.198
2020-04-10,6.198
2020-04-11,6.198
2020-04-12,6.198
2020-04-13,6.198
2020-04-14,6.198
2020-04-15,6.198
2020-04-16,6.198
2020-04-17,6.198
2020-04-18,6.198
2020-04-19,6.198
2020-04-20,6.198
2020-04-21,6.198
2020-04-22,6.198
2020-04-23,6.198
2020-04-24,6.198
2020-04-25,6.198
2020-04-26,6.198
2020-04-27,6.198
2020-04-28,6.198
2020-04-29,6.198
2020-04-30,6.198
2020-05-01,6.198
2020-05-02,6.198
2020-05-03,6.198
2020-05-04,6.198
2020-05-05,6.198
2020-05-06,6.198
2020-05-07,6.198
2020-05-08,6.198
2020-05-09,6.198
2020-05-10,6.198
2020-05-11,6.198
2020-05-12,6.198
2020-05-13,6.198
2020-05-14,6.198
2020-05-15,6.198
2020-05-16,6.198
2020-05-17,6.198
2020-05-18,6.198
2020-05-19,6.198
2020-05-20,6.198
2020-05-21,6.198
2020-05-22,6.198
2020-05-23,6.198
2020-05-24,6.198
2020-05-25,6.198
2020-05-26,6.198
2020-05-27,6.198
2020-05-28,6.198
2020-05-29,6.198
2020-05-30,6.198
2020-05-31,6.198
2020-06-01,6.198
2020-06-02,6.198
2020-06-03,6.198
2020-06-04,6.198
2020-06-05,6.198
2020-06-06,6.198
2020-06-07,6.198
2020-06-08,6.198
2020-06-09,6.198
2020-06-10,6.198
2020-06-11,6.198
2020-06-12,6.198
2020-06-13,6.198
2020-06-14,6.198
2020-06-15,6.198
2020-06-16,6.198
2020-06-17,6.198
2020-06-18,6.198
2020-06-19,6.198
2020-06-20,6.198
2020-06-21,6.198
2020-06-22,6.198
2020-06-23,6.198
2020-06-24,6.198
2020-06-25,6.198
2020-06-26,6.198
2020-06-27,6.198
2020-06-28,6.198
2020-06-29,6.198
2020-06-30,6.198
2020-07-01,6.198
2020-07-02,6.198
2020-07-03,6.198
2020-07-04,6.198
2020-07-05,6.198
2020-07-06,6.198
2020-07-07,6.198
2020-07-08,6.198
2020-07-09,6.198
2020-07-10,6.198
2020-07-11,6.198
2020-07-12,6.198
2020-07-13,6.198
2020-07-14,6.198
2020-07-15,6.198
2020-07-16,6.198
2020-07-17,6.198
2020-07-18,6.198
2020-07-19,6.198
2020-07-20,6.198
2020-07-21,6.198
2020-07-22,6.198
2020-07-23,6.198
2020-07-24,6.198
2020-07-25,6.198
2020-07-26,6.198
2020-07-27,6.198
2020-07-28,6.198
2020-07-29,6.198
2020-07-30,6.198
2020-07-31,6.198
2020-08-01,6.198
2020-08-02,6.198
2020-08-03,6.198
2020-08-04,6.198
2020-08-05,6.198
2020-08-06,6.198
2020-08-07,6.198
2020-08-08,6.198
2020-08-09,6.198
2020-08-10,6.198
2020-08-11,6.198
2020-08-12,6.198
2020-08-13,6.198
2020-08-14,6.198
2020-08-15,6.198
2020-08-16,6.198
2020-08-17,6.198
2020-08-18,6.198
2020-08-19,6.198
2020-08-20,6.198
2020-08-21,6.198
2020-08-22,6.198
2020-08-23,6.198
2020-08-24,6.198
2020-08-25,6.198
2020-08-26,6.198
2020-08-27,6.198
2020-08-28,6.198
2020-08-29,6.198
2020-08-30,6.198
2020-08-31,6.198
2020-09-01,6.198
2020-09-02,6.198
2020-09-03,6.198
2020-09-04,6.198
2020-09-05,6.198
2020-09-06,6.198
2020-09-07,6.198
2020-09-08,6.198
2020-09-09,6.198
2020-09-10,6.198
2020-09-11,6.198
2020-09-12,6.198
2020-09-13,6.198
2020-09-14,6.198
2020-09-15,6.198
2020-09-16,6.198
2020-09-17,6.198
2020-09-18,3.881
2020-09-19,3.881
2020-09-20,3.881
2020-09-21,4.235
2020-09-22,4.229
2020-09-23,4.286
2020-09-24,4.305
2020-09-25,4.307
2020-09-26,4.307
2020-09-27,4.307
2020-09-28,4.146
2020-09-29,4.301
2020-09-30,4.305
2020-10-01,4.237
2020-10-02,4.15
2020-10-03,4.15
2020-10-04,4.15
2020-10-05,3.977
2020-10-06,3.993
2020-10-07,3.859
2020-10-08,3.753
2020-10-09,3.783
2020-10-10,3.783
2020-10-11,3.783
2020-10-12,3.712
2020-10-13,3.768
2020-10-14,3.706
2020-10-15,3.692
2020-10-16,3.692
2020-10-17,3.692
2020-10-18,3.692
2020-10-19,3.722
2020-10-20,3.866
2020-10-21,3.953
2020-10-22,3.835
2020-10-23,3.783
2020-10-24,3.783
2020-10-25,3.783
2020-10-26,3.932
2020-10-27,3.926
2020-10-28,4.032
2020-10-29,3.898
2020-10-30,3.916
2020-10-31,3.916
2020-11-01,3.916
2020-11-02,3.865
2020-11-03,3.814
2020-11-04,4.007
2020-11-05,3.822
2020-11-06,3.847
2020-11-07,3.847
2020-11-08,3.847
2020-11-09,3.696
2020-11-10,3.635
2020-11-11,3.643
2020-11-12,3.723
2020-11-13,3.56
2020-11-14,3.56
2020-11-15,3.56
2020-11-16,3.34
2020-11-17,3.371
2020-11-18,3.46
2020-11-19,3.441
2020-11-20,3.497
2020-11-21,3.497
2020-11-22,3.497
2020-11-23,3.399
2020-11-24,3.191
2020-11-25,3.254
2020-11-26,3.254
2020-11-27,3.274
2020-11-28,3.274
2020-11-29,3.274
2020-11-30,3.404
2020-12-01,3.301
2020-12-02,3.317
2020-12-03,3.277
2020-12-04,3.174
2020-12-05,3.174
2020-12-06,3.174
2020-12-07,3.208
2020-12-08,3.21
2020-12-09,3.179
2020-12-10,3.112
2020-12-11,3.15
2020-12-12,3.15
2020-12-13,3.15
2020-12-14,3.249
2020-12-15,3.192
2020-12-16,3.217
2020-12-17,3.279
2020-12-18,3.279
2020-12-19,3.279
2020-12-20,3.279
2020-12-21,3.279
2020-12-22,3.279
2020-12-23,3.279
2020-12-24,3.279
2020-12-25,3.279
2020-12-26,3.279
2020-12-27,3.279
2020-12-28,3.279
2020-12-29,3.279
2020-12-30,3.279
2020-12-31,3.279
2021-01-01,3.279
2021-01-02,3.279
2021-01-03,3.279
2021-01-04,3.279
2021-01-05,3.279
2021-01-06,3.279
2021-01-07,3.279
2021-01-08,3.279
2021-01-09,3.279
2021-01-10,3.279
2021-01-11,3.279
2021-01-12,3.279
2021-01-13,3.279
2021-01-14,3.279
2021-01-15,3.279
2021-01-16,3.279
2021-01-17,3.279
2021-01-18,3.279
2021-01-19,3.279
2021-01-20,3.279
2021-01-21,3.279
2021-01-22,3.279
2021-01-23,3.279
2021-01-24,3.279
2021-01-25,3.279
2021-01-26,3.279
2021-01-27,3.279
2021-01-28,3.279
2021-01-29,3.279
2021-01-30,3.279
2021-01-31,3.279
2021-02-01,3.279
2021-02-02,3.279
2021-02-03,3.279
2021-02-04,3.279
2021-02-05,3.279
2021-02-06,3.279
2021-02-07,3.279
2021-02-08,3.279
2021-02-09,3.279
2021-02-10,3.279
2021-02-11,3.279
2021-02-12,3.279
2021-02-13,3.279
2021-02-14,3.279
2021-02-15,3.279
2021-02-16,3.279
2021-02-17,3.279
2021-02-18,3.279
2021-02-19,3.279
2021-02-20,3.279
2021-02-21,3.279
2021-02-22,3.279
2021-02-23,3.279
2021-02-24,3.279
2021-02-25,3.279
2021-02-26,3.279
2021-02-27,3.279
2021-02-28,3.279
2021-03-01,3.279
2021-03-02,3.279
2021-03-03,3.279
2021-03-04,3.279
2021-03-05,3.279
2021-03-06,3.279
2021-03-07,3.279
2021-03-08,3.279
2021-03-09,3.279
2021-03-10,3.279
2021-03-11,3.279
2021-03-12,3.279
2021-03-13,3.279
2021-03-14,3.279
2021-03-15,3.279
2021-03-16,3.279
2021-03-17,3.279
2021-03-18,3.279
2021-03-19,3.279
2021-03-20,3.279
2021-03-21,3.279
2021-03-22,3.279
2021-03-23,3.279
2021-03-24,3.279
2021-03-25,3.279
2021-03-26,3.279
2021-03-27,3.279
2021-03-28,3.279
2021-03-29,3.279
2021-03-30,3.279
2021-03-31,3.279
2021-04-01,3.279
2021-04-02,3.279
2021-04-03,3.279
2021-04-04,3.279
2021-04-05,3.279
2021-04-06,3.279
2021-04-07,3.279
2021-04-08,3.279
2021-04-09,3.279
2021-04-10,3.279
2021-04-11,3.279
2021-04-12,3.279
2021-04-13,3.279
2021-04-14,3.279
2021-04-15,3.279
2021-04-16,3.279
2021-04-17,3.279
2021-04-18,3.279
2021-04-19,3.279
2021-04-20,3.279
2021-04-21,3.279
2021-04-22,3.279
2021-04-23,3.279
2021-04-24,3.279
2021-04-25,3.279
2021-04-26,3.279
2021-04-27,3.279
2021-04-28,3.279
2021-04-29,3.279
2021-04-30,3.279
2021-05-01,3.279
2021-05-02,3.279
2021-05-03,3.279
2021-05-04,3.279
2021-05-05,3.279
2021-05-06,3.279
2021-05-07,3.279
2021-05-08,3.279
2021-05-09,3.279
2021-05-10,3.279
2021-05-11,3.279
2021-05-12,3.279
2021-05-13,3.279
2021-05-14,3.279
2021-05-15,3.279
2021-05-16,3.279
2021-05-17,3.279
2021-05-18,3.279
2021-05-19,3.279
2021-05-20,3.279
2021-05-21,3.279
2021-05-22,3.279
2021-05-23,3.279
2021-05-24,3.279
2021-05-25,3.279
2021-05-26,3.279
2021-05-27,3.279
2021-05-28,3.279
2021-05-29,3.279
2021-05-30,3.279
2021-05-31,3.279
2021-06-01,3.279
2021-06-02,3.279
2021-06-03,3.279
2021-06-04,3.279
2021-06-05,3.279
2021-06-06,3.279
2021-06-07,3.279
2021-06-08,3.279
2021-06-09,3.279
2021-06-10,3.279
2021-06-11,3.279
2021-06-12,3.279
2021-06-13,3.279
2021-06-14,3.279
2021-06-15,3.279
2021-06-16,1.755
2021-06-17,1.846
2021-06-18,1.888
2021-06-19,1.888
2021-06-20,1.888
2021-06-21,1.818
2021-06-22,1.815
2021-06-23,1.829
2021-06-24,1.79
2021-06-25,1.812
2021-06-26,1.812
2021-06-27,1.812
2021-06-28,1.862
2021-06-29,1.85
2021-06-30,1.824
2021-07-01,1.784
2021-07-02,1.79
2021-07-03,1.79
2021-07-04,1.79
2021-07-05,1.79
2021-07-06,1.867
2021-07-07,1.775
2021-07-08,1.813
2021-07-09,1.767
2021-07-10,1.767
2021-07-11,1.767
2021-07-12,1.729
2021-07-13,1.777
2021-07-14,1.776
2021-07-15,1.764
2021-07-16,1.815
2021-07-17,1.815
2021-07-18,1.815
2021-07-19,1.878
2021-07-20,1.839
2021-07-21,1.828
2021-07-22,1.838
2021-07-23,1.84
2021-07-24,1.84
2021-07-25,1.84
2021-07-26,1.78
2021-07-27,1.779
2021-07-28,1.774
2021-07-29,1.681
2021-07-30,1.686
2021-07-31,1.686
2021-08-01,1.686
2021-08-02,1.728
2021-08-03,1.681
2021-08-04,1.726
2021-08-05,1.764
2021-08-06,1.73
2021-08-07,1.73
2021-08-08,1.73
2021-08-09,1.688
2021-08-10,1.592
2021-08-11,1.52
2021-08-12,1.49
2021-08-13,1.487
2021-08-14,1.487
2021-08-15,1.487
2021-08-16,1.517
2021-08-17,1.578
2021-08-18,1.57
2021-08-19,1.618
2021-08-20,1.623
2021-08-21,1.623
2021-08-22,1.623
2021-08-23,1.652
2021-08-24,1.6
2021-08-25,1.616
2021-08-26,1.648
2021-08-27,1.607
2021-08-28,1.607
2021-08-29,1.607
2021-08-30,1.622
2021-08-31,1.688
2021-09-01,1.699
2021-09-02,1.69
2021-09-03,1.706
2021-09-04,1.706
2021-09-05,1.706
2021-09-06,1.706
2021-09-07,1.714
2021-09-08,1.73
2021-09-09,1.727
2021-09-10,1.731
2021-09-11,1.731
2021-09-12,1.731
2021-09-13,1.784
2021-09-14,1.838
2021-09-15,1.752
2021-09-16,1.788
2021-09-17,1.839
2021-09-18,1.839
2021-09-19,1.839
2021-09-20,1.96
2021-09-21,1.973
2021-09-22,1.958
2021-09-23,1.925
2021-09-24,1.904
2021-09-25,1.904
2021-09-26,1.904
2021-09-27,1.844
2021-09-28,1.842
2021-09-29,1.905
2021-09-30,1.94
2021-10-01,1.946
2021-10-02,1.946
2021-10-03,1.946
2021-10-04,1.939
2021-10-05,1.999
2021-10-06,2.062
2021-10-07,1.996
2021-10-08,2.008
2021-10-09,2.008
2021-10-10,2.008
2021-10-11,1.954
