,2336307D US Equity
,BEST_DIV_YLD
2020-01-01,3.869
2020-01-02,3.846
2020-01-03,3.871
2020-01-04,3.871
2020-01-05,3.871
2020-01-06,3.874
2020-01-07,3.894
2020-01-08,3.896
2020-01-09,3.811
2020-01-10,3.832
2020-01-11,3.832
2020-01-12,3.832
2020-01-13,3.799
2020-01-14,3.826
2020-01-15,3.844
2020-01-16,3.776
2020-01-17,3.812
2020-01-18,3.812
2020-01-19,3.812
2020-01-20,3.812
2020-01-21,3.85
2020-01-22,3.808
2020-01-23,3.792
2020-01-24,3.868
2020-01-25,3.868
2020-01-26,3.868
2020-01-27,3.945
2020-01-28,3.875
2020-01-29,3.871
2020-01-30,3.819
2020-01-31,3.917
2020-02-01,3.917
2020-02-02,3.917
2020-02-03,3.805
2020-02-04,3.691
2020-02-05,3.631
2020-02-06,3.647
2020-02-07,3.675
2020-02-08,3.675
2020-02-09,3.675
2020-02-10,3.648
2020-02-11,3.645
2020-02-12,3.624
2020-02-13,3.64
2020-02-14,3.646
2020-02-15,3.646
2020-02-16,3.646
2020-02-17,3.646
2020-02-18,3.564
2020-02-19,3.494
2020-02-20,3.468
2020-02-21,3.575
2020-02-22,3.575
2020-02-23,3.575
2020-02-24,3.743
2020-02-25,3.937
2020-02-26,3.965
2020-02-27,4.138
2020-02-28,4.408
2020-02-29,4.408
2020-03-01,4.408
2020-03-02,4.153
2020-03-03,4.276
2020-03-04,4.146
2020-03-05,4.529
2020-03-06,4.69
2020-03-07,4.69
2020-03-08,4.69
2020-03-09,5.397
2020-03-10,4.955
2020-03-11,5.479
2020-03-12,6.26
2020-03-13,5.523
2020-03-14,5.523
2020-03-15,5.523
2020-03-16,6.567
2020-03-17,6.197
2020-03-18,6.638
2020-03-19,6.234
2020-03-20,6.443
2020-03-21,6.443
2020-03-22,6.443
2020-03-23,7.538
2020-03-24,6.275
2020-03-25,5.807
2020-03-26,5.396
2020-03-27,5.518
2020-03-28,5.518
2020-03-29,5.518
2020-03-30,5.26
2020-03-31,5.509
2020-04-01,5.862
2020-04-02,5.735
2020-04-03,5.84
2020-04-04,5.84
2020-04-05,5.84
2020-04-06,5.523
2020-04-07,5.43
2020-04-08,5.088
2020-04-09,5.036
2020-04-10,5.036
2020-04-11,5.036
2020-04-12,5.036
2020-04-13,5.29
2020-04-14,5.105
2020-04-15,5.342
2020-04-16,5.224
2020-04-17,5.09
2020-04-18,5.09
2020-04-19,5.09
2020-04-20,5.3
2020-04-21,5.399
2020-04-22,5.217
2020-04-23,5.348
2020-04-24,5.235
2020-04-25,5.235
2020-04-26,5.235
2020-04-27,5.021
2020-04-28,4.958
2020-04-29,4.682
2020-04-30,4.74
2020-05-01,5.084
2020-05-02,5.084
2020-05-03,5.084
2020-05-04,4.991
2020-05-05,4.929
2020-05-06,4.956
2020-05-07,4.834
2020-05-08,4.66
2020-05-09,4.66
2020-05-10,4.66
2020-05-11,4.608
2020-05-12,4.93
2020-05-13,5.16
2020-05-14,5.067
2020-05-15,5.145
2020-05-16,5.145
2020-05-17,5.145
2020-05-18,4.93
2020-05-19,4.974
2020-05-20,5.134
2020-05-21,5.001
2020-05-22,4.844
2020-05-23,4.844
2020-05-24,4.844
2020-05-25,4.844
2020-05-26,4.635
2020-05-27,4.444
2020-05-28,4.588
2020-05-29,4.825
2020-05-30,4.825
2020-05-31,4.825
2020-06-01,4.67
2020-06-02,4.527
2020-06-03,4.265
2020-06-04,4.242
2020-06-05,4.175
2020-06-06,4.175
2020-06-07,4.175
2020-06-08,4.033
2020-06-09,4.097
2020-06-10,4.181
2020-06-11,4.497
2020-06-12,4.408
2020-06-13,4.408
2020-06-14,4.408
2020-06-15,4.356
2020-06-16,4.283
2020-06-17,4.268
2020-06-18,4.308
2020-06-19,4.324
2020-06-20,4.324
2020-06-21,4.324
2020-06-22,4.369
2020-06-23,4.375
2020-06-24,4.556
2020-06-25,4.45
2020-06-26,4.732
2020-06-27,4.732
2020-06-28,4.732
2020-06-29,4.641
2020-06-30,4.506
2020-07-01,4.593
2020-07-02,4.583
2020-07-03,4.583
2020-07-04,4.583
2020-07-05,4.583
2020-07-06,4.507
2020-07-07,4.671
2020-07-08,4.589
2020-07-09,4.773
2020-07-10,4.668
2020-07-11,4.668
2020-07-12,4.668
2020-07-13,4.663
2020-07-14,4.769
2020-07-15,4.536
2020-07-16,4.61
2020-07-17,4.658
2020-07-18,4.658
2020-07-19,4.658
2020-07-20,4.711
2020-07-21,4.563
2020-07-22,4.585
2020-07-23,4.629
2020-07-24,4.705
2020-07-25,4.705
2020-07-26,4.705
2020-07-27,4.626
2020-07-28,4.751
2020-07-29,4.663
2020-07-30,4.78
2020-07-31,4.765
2020-08-01,4.765
2020-08-02,4.765
2020-08-03,4.66
2020-08-04,4.694
2020-08-05,4.576
2020-08-06,4.61
2020-08-07,4.514
2020-08-08,4.514
2020-08-09,4.514
2020-08-10,4.41
2020-08-11,4.387
2020-08-12,4.42
2020-08-13,4.497
2020-08-14,4.483
2020-08-15,4.483
2020-08-16,4.483
2020-08-17,4.413
2020-08-18,4.442
2020-08-19,4.431
2020-08-20,4.516
2020-08-21,4.483
2020-08-22,4.483
2020-08-23,4.483
2020-08-24,4.35
2020-08-25,4.387
2020-08-26,4.359
2020-08-27,4.118
2020-08-28,4.146
2020-08-29,4.146
2020-08-30,4.146
2020-08-31,4.198
2020-09-01,4.147
2020-09-02,4.116
2020-09-03,4.188
2020-09-04,4.291
2020-09-05,4.291
2020-09-06,4.291
2020-09-07,4.291
2020-09-08,4.479
2020-09-09,4.475
2020-09-10,4.608
2020-09-11,4.506
2020-09-12,4.506
2020-09-13,4.506
2020-09-14,4.441
2020-09-15,4.492
2020-09-16,4.38
2020-09-17,4.429
2020-09-18,4.466
2020-09-19,4.466
2020-09-20,4.466
2020-09-21,4.635
2020-09-22,4.66
2020-09-23,4.736
2020-09-24,4.774
2020-09-25,4.675
2020-09-26,4.675
2020-09-27,4.675
2020-09-28,4.482
2020-09-29,4.519
2020-09-30,4.514
2020-10-01,4.471
2020-10-02,4.375
2020-10-03,4.375
2020-10-04,4.375
2020-10-05,4.282
2020-10-06,4.288
2020-10-07,4.206
2020-10-08,2.839
2020-10-09,2.855
2020-10-10,2.855
2020-10-11,2.855
2020-10-12,2.804
2020-10-13,2.817
2020-10-14,2.813
2020-10-15,2.794
2020-10-16,2.78
2020-10-17,2.78
2020-10-18,2.78
2020-10-19,2.801
2020-10-20,2.789
2020-10-21,2.818
2020-10-22,2.779
2020-10-23,2.775
2020-10-24,2.775
2020-10-25,2.775
2020-10-26,2.791
2020-10-27,2.839
2020-10-28,2.867
2020-10-29,2.84
2020-10-30,2.835
2020-10-31,2.835
2020-11-01,2.835
2020-11-02,2.805
2020-11-03,2.757
2020-11-04,2.736
2020-11-05,2.727
2020-11-06,2.739
2020-11-07,2.739
2020-11-08,2.739
2020-11-09,2.636
2020-11-10,2.637
2020-11-11,2.621
2020-11-12,2.639
2020-11-13,2.612
2020-11-14,2.612
2020-11-15,2.612
2020-11-16,2.576
2020-11-17,2.558
2020-11-18,2.56
2020-11-19,2.565
2020-11-20,2.581
2020-11-21,2.581
2020-11-22,2.581
2020-11-23,2.527
2020-11-24,2.461
2020-11-25,2.465
2020-11-26,2.465
2020-11-27,2.46
2020-11-28,2.46
2020-11-29,2.46
2020-11-30,2.524
2020-12-01,2.469
2020-12-02,2.445
2020-12-03,2.441
2020-12-04,2.419
2020-12-05,2.419
2020-12-06,2.419
2020-12-07,2.432
2020-12-08,2.435
2020-12-09,2.416
2020-12-10,2.419
2020-12-11,2.445
2020-12-12,2.445
2020-12-13,2.445
2020-12-14,2.475
2020-12-15,2.432
2020-12-16,2.422
2020-12-17,2.407
2020-12-18,2.424
2020-12-19,2.424
2020-12-20,2.424
2020-12-21,2.343
2020-12-22,2.369
2020-12-23,2.337
2020-12-24,2.338
2020-12-25,2.338
2020-12-26,2.338
2020-12-27,2.338
2020-12-28,2.342
2020-12-29,2.344
2020-12-30,2.343
2020-12-31,2.33
2021-01-01,2.33
2021-01-02,2.33
2021-01-03,2.33
2021-01-04,2.337
2021-01-05,2.311
2021-01-06,2.23
2021-01-07,2.21
2021-01-08,2.194
2021-01-09,2.194
2021-01-10,2.194
2021-01-11,2.18
2021-01-12,2.183
2021-01-13,2.19
2021-01-14,2.171
2021-01-15,2.195
2021-01-16,2.195
2021-01-17,2.195
2021-01-18,2.195
2021-01-19,2.199
2021-01-20,2.199
2021-01-21,2.205
2021-01-22,2.212
2021-01-23,2.212
2021-01-24,2.212
2021-01-25,2.243
2021-01-26,2.265
2021-01-27,2.325
2021-01-28,2.296
2021-01-29,2.335
2021-01-30,2.335
2021-01-31,2.335
2021-02-01,3.361
2021-02-02,2.244
2021-02-03,2.251
2021-02-04,2.218
2021-02-05,2.202
2021-02-06,2.202
2021-02-07,2.202
2021-02-08,2.183
2021-02-09,2.184
2021-02-10,2.183
2021-02-11,2.192
2021-02-12,2.178
2021-02-13,2.178
2021-02-14,2.178
2021-02-15,2.178
2021-02-16,2.149
2021-02-17,2.166
2021-02-18,2.178
2021-02-19,2.156
2021-02-20,2.156
2021-02-21,2.156
2021-02-22,2.128
2021-02-23,2.118
2021-02-24,2.089
2021-02-25,2.11
2021-02-26,2.131
2021-02-27,2.131
2021-02-28,2.131
2021-03-01,2.131
2021-03-02,2.131
2021-03-03,2.131
2021-03-04,2.131
2021-03-05,2.131
2021-03-06,2.131
2021-03-07,2.131
2021-03-08,2.131
2021-03-09,2.131
2021-03-10,2.131
2021-03-11,2.131
2021-03-12,2.131
2021-03-13,2.131
2021-03-14,2.131
2021-03-15,2.131
2021-03-16,2.131
2021-03-17,2.131
2021-03-18,2.131
2021-03-19,2.131
2021-03-20,2.131
2021-03-21,2.131
2021-03-22,2.131
2021-03-23,2.131
2021-03-24,2.131
2021-03-25,2.131
2021-03-26,2.131
2021-03-27,2.131
2021-03-28,2.131
2021-03-29,2.131
2021-03-30,2.131
2021-03-31,2.131
2021-04-01,2.131
2021-04-02,2.131
2021-04-03,2.131
2021-04-04,2.131
2021-04-05,2.131
2021-04-06,2.131
2021-04-07,2.131
2021-04-08,2.131
2021-04-09,2.131
2021-04-10,2.131
2021-04-11,2.131
2021-04-12,2.131
2021-04-13,2.131
2021-04-14,2.131
2021-04-15,2.131
2021-04-16,2.131
2021-04-17,2.131
2021-04-18,2.131
2021-04-19,2.131
2021-04-20,2.131
2021-04-21,2.131
2021-04-22,2.131
2021-04-23,2.131
2021-04-24,2.131
2021-04-25,2.131
2021-04-26,2.131
2021-04-27,2.131
2021-04-28,2.131
2021-04-29,2.131
2021-04-30,2.131
2021-05-01,2.131
2021-05-02,2.131
2021-05-03,2.131
2021-05-04,2.131
2021-05-05,2.131
2021-05-06,2.131
2021-05-07,2.131
2021-05-08,2.131
2021-05-09,2.131
2021-05-10,2.131
2021-05-11,2.131
2021-05-12,2.131
2021-05-13,2.131
2021-05-14,2.131
2021-05-15,2.131
2021-05-16,2.131
2021-05-17,2.131
2021-05-18,2.131
2021-05-19,2.131
2021-05-20,2.131
2021-05-21,2.131
2021-05-22,2.131
2021-05-23,2.131
2021-05-24,2.131
2021-05-25,2.131
2021-05-26,2.131
2021-05-27,2.131
2021-05-28,2.131
2021-05-29,2.131
2021-05-30,2.131
2021-05-31,2.131
2021-06-01,2.131
2021-06-02,2.131
2021-06-03,2.131
2021-06-04,2.131
2021-06-05,2.131
2021-06-06,2.131
2021-06-07,2.131
2021-06-08,2.131
2021-06-09,2.131
2021-06-10,2.131
2021-06-11,2.131
2021-06-12,2.131
2021-06-13,2.131
2021-06-14,2.131
2021-06-15,2.131
2021-06-16,2.131
2021-06-17,2.131
2021-06-18,2.131
2021-06-19,2.131
2021-06-20,2.131
2021-06-21,2.131
2021-06-22,2.131
2021-06-23,2.131
2021-06-24,2.131
2021-06-25,2.131
2021-06-26,2.131
2021-06-27,2.131
2021-06-28,2.131
2021-06-29,2.131
2021-06-30,2.131
2021-07-01,2.131
2021-07-02,2.131
2021-07-03,2.131
2021-07-04,2.131
2021-07-05,2.131
2021-07-06,2.131
2021-07-07,2.131
2021-07-08,2.131
2021-07-09,2.131
2021-07-10,2.131
2021-07-11,2.131
2021-07-12,2.131
2021-07-13,2.131
2021-07-14,2.131
2021-07-15,2.131
2021-07-16,2.131
2021-07-17,2.131
2021-07-18,2.131
2021-07-19,2.131
2021-07-20,2.131
2021-07-21,2.131
2021-07-22,2.131
2021-07-23,2.131
2021-07-24,2.131
2021-07-25,2.131
2021-07-26,2.131
2021-07-27,2.131
2021-07-28,2.131
2021-07-29,2.131
2021-07-30,2.131
2021-07-31,2.131
2021-08-01,2.131
2021-08-02,2.131
2021-08-03,2.131
2021-08-04,2.131
2021-08-05,2.131
2021-08-06,2.131
2021-08-07,2.131
2021-08-08,2.131
2021-08-09,2.131
2021-08-10,2.131
2021-08-11,2.131
2021-08-12,2.131
2021-08-13,2.131
2021-08-14,2.131
2021-08-15,2.131
2021-08-16,2.131
2021-08-17,2.131
2021-08-18,2.131
2021-08-19,2.131
2021-08-20,2.131
2021-08-21,2.131
2021-08-22,2.131
2021-08-23,2.131
2021-08-24,2.131
2021-08-25,2.131
2021-08-26,2.131
2021-08-27,2.131
2021-08-28,2.131
2021-08-29,2.131
2021-08-30,2.131
2021-08-31,2.131
2021-09-01,2.131
2021-09-02,2.131
2021-09-03,2.131
2021-09-04,2.131
2021-09-05,2.131
2021-09-06,2.131
2021-09-07,2.131
2021-09-08,2.131
2021-09-09,2.131
2021-09-10,2.131
2021-09-11,2.131
2021-09-12,2.131
2021-09-13,2.131
2021-09-14,2.131
2021-09-15,2.131
2021-09-16,2.131
2021-09-17,2.131
2021-09-18,2.131
2021-09-19,2.131
2021-09-20,2.131
2021-09-21,2.131
2021-09-22,2.131
2021-09-23,2.131
2021-09-24,2.131
2021-09-25,2.131
2021-09-26,2.131
2021-09-27,2.131
2021-09-28,2.131
2021-09-29,2.131
2021-09-30,2.131
2021-10-01,2.131
2021-10-02,2.131
2021-10-03,2.131
2021-10-04,2.131
2021-10-05,2.131
2021-10-06,2.131
2021-10-07,2.131
2021-10-08,2.131
2021-10-09,2.131
2021-10-10,2.131
2021-10-11,2.131
2021-10-12,2.131
2021-10-13,2.131
2021-10-14,2.131
2021-10-15,2.131
2021-10-16,2.131
2021-10-17,2.131
2021-10-18,2.131
2021-10-19,2.131
2021-10-20,2.131
2021-10-21,2.131
2021-10-22,2.131
2021-10-23,2.131
2021-10-24,2.131
2021-10-25,2.131
2021-10-26,2.131
2021-10-27,2.131
2021-10-28,2.131
2021-10-29,2.131
2021-10-30,2.131
2021-10-31,2.131
2021-11-01,2.131
2021-11-02,2.131
2021-11-03,2.131
2021-11-04,2.131
2021-11-05,2.131
2021-11-06,2.131
2021-11-07,2.131
2021-11-08,2.131
2021-11-09,2.131
2021-11-10,2.131
2021-11-11,2.131
2021-11-12,2.131
2021-11-13,2.131
2021-11-14,2.131
2021-11-15,2.131
2021-11-16,2.131
2021-11-17,2.131
2021-11-18,2.131
2021-11-19,2.131
2021-11-20,2.131
2021-11-21,2.131
2021-11-22,2.131
2021-11-23,2.131
2021-11-24,2.131
2021-11-25,2.131
2021-11-26,2.131
2021-11-27,2.131
2021-11-28,2.131
2021-11-29,2.131
2021-11-30,2.131
2021-12-01,2.131
2021-12-02,2.131
2021-12-03,2.131
2021-12-04,2.131
2021-12-05,2.131
2021-12-06,2.131
2021-12-07,2.131
2021-12-08,2.131
2021-12-09,2.131
2021-12-10,2.131
2021-12-11,2.131
2021-12-12,2.131
2021-12-13,2.131
2021-12-14,2.131
2021-12-15,2.131
2021-12-16,2.131
2021-12-17,2.131
2021-12-18,2.131
2021-12-19,2.131
2021-12-20,2.131
2021-12-21,2.131
2021-12-22,2.131
2021-12-23,2.131
2021-12-24,2.131
2021-12-25,2.131
2021-12-26,2.131
2021-12-27,2.131
2021-12-28,2.131
2021-12-29,2.131
2021-12-30,2.131
2021-12-31,2.131
2022-01-01,2.131
2022-01-02,2.131
2022-01-03,2.131
2022-01-04,2.131
2022-01-05,2.131
2022-01-06,2.131
2022-01-07,2.131
2022-01-08,2.131
2022-01-09,2.131
2022-01-10,2.131
2022-01-11,2.131
2022-01-12,2.131
2022-01-13,2.131
2022-01-14,2.131
2022-01-15,2.131
2022-01-16,2.131
2022-01-17,2.131
2022-01-18,2.131
2022-01-19,2.131
2022-01-20,2.131
2022-01-21,2.131
2022-01-22,2.131
2022-01-23,2.131
2022-01-24,2.131
2022-01-25,2.131
2022-01-26,2.131
2022-01-27,2.131
2022-01-28,2.131
2022-01-29,2.131
2022-01-30,2.131
2022-01-31,2.131
2022-02-01,2.131
2022-02-02,2.131
2022-02-03,2.131
2022-02-04,2.131
2022-02-05,2.131
2022-02-06,2.131
2022-02-07,2.131
2022-02-08,2.131
2022-02-09,2.131
2022-02-10,2.131
2022-02-11,2.131
2022-02-12,2.131
2022-02-13,2.131
2022-02-14,2.131
2022-02-15,2.131
2022-02-16,2.131
2022-02-17,2.131
2022-02-18,2.131
2022-02-19,2.131
2022-02-20,2.131
2022-02-21,2.131
2022-02-22,2.131
2022-02-23,2.131
2022-02-24,2.131
2022-02-25,2.131
2022-02-26,2.131
2022-02-27,2.131
2022-02-28,2.131
2022-03-01,2.131
2022-03-02,2.131
2022-03-03,2.131
2022-03-04,2.131
2022-03-05,2.131
2022-03-06,2.131
2022-03-07,2.131
2022-03-08,2.131
2022-03-09,2.131
2022-03-10,2.131
2022-03-11,2.131
2022-03-12,2.131
2022-03-13,2.131
2022-03-14,2.131
2022-03-15,2.131
2022-03-16,2.131
2022-03-17,2.131
2022-03-18,2.131
2022-03-19,2.131
2022-03-20,2.131
2022-03-21,2.131
2022-03-22,2.131
2022-03-23,2.131
2022-03-24,2.131
2022-03-25,2.131
2022-03-26,2.131
2022-03-27,2.131
2022-03-28,2.131
2022-03-29,2.131
2022-03-30,2.131
2022-03-31,2.131
2022-04-01,2.131
2022-04-02,2.131
2022-04-03,2.131
2022-04-04,2.131
2022-04-05,2.131
2022-04-06,2.131
2022-04-07,2.131
2022-04-08,2.131
2022-04-09,2.131
2022-04-10,2.131
2022-04-11,2.131
2022-04-12,2.131
2022-04-13,2.131
2022-04-14,2.131
2022-04-15,2.131
2022-04-16,2.131
2022-04-17,2.131
2022-04-18,2.131
2022-04-19,2.131
2022-04-20,2.131
2022-04-21,2.131
2022-04-22,2.131
2022-04-23,2.131
2022-04-24,2.131
2022-04-25,2.131
2022-04-26,2.131
2022-04-27,2.131
2022-04-28,2.131
2022-04-29,2.131
2022-04-30,2.131
2022-05-01,2.131
2022-05-02,2.131
2022-05-03,2.131
2022-05-04,2.131
2022-05-05,2.131
2022-05-06,2.131
2022-05-07,2.131
2022-05-08,2.131
2022-05-09,2.131
2022-05-10,2.131
2022-05-11,2.131
2022-05-12,2.131
2022-05-13,2.131
2022-05-14,2.131
2022-05-15,2.131
2022-05-16,2.131
2022-05-17,2.131
2022-05-18,2.131
2022-05-19,2.131
2022-05-20,2.131
2022-05-21,2.131
2022-05-22,2.131
2022-05-23,2.131
2022-05-24,2.131
2022-05-25,2.131
2022-05-26,2.131
2022-05-27,2.131
2022-05-28,2.131
2022-05-29,2.131
2022-05-30,2.131
2022-05-31,2.131
2022-06-01,2.131
2022-06-02,2.131
2022-06-03,2.131
2022-06-04,2.131
2022-06-05,2.131
2022-06-06,2.131
2022-06-07,2.131
2022-06-08,2.131
2022-06-09,2.131
2022-06-10,2.131
2022-06-11,2.131
2022-06-12,2.131
2022-06-13,2.131
2022-06-14,2.131
2022-06-15,2.131
2022-06-16,2.131
2022-06-17,2.131
2022-06-18,2.131
2022-06-19,2.131
2022-06-20,2.131
2022-06-21,2.131
2022-06-22,2.131
2022-06-23,2.131
2022-06-24,2.131
2022-06-25,2.131
2022-06-26,2.131
2022-06-27,2.131
2022-06-28,2.131
2022-06-29,2.131
2022-06-30,2.131
2022-07-01,2.131
2022-07-02,2.131
2022-07-03,2.131
2022-07-04,2.131
2022-07-05,2.131
2022-07-06,2.131
2022-07-07,2.131
2022-07-08,2.131
2022-07-09,2.131
2022-07-10,2.131
2022-07-11,2.131
2022-07-12,2.131
2022-07-13,2.131
2022-07-14,2.131
2022-07-15,2.131
2022-07-16,2.131
2022-07-17,2.131
2022-07-18,2.131
2022-07-19,2.131
2022-07-20,2.131
2022-07-21,2.131
2022-07-22,2.131
2022-07-23,2.131
2022-07-24,2.131
2022-07-25,2.131
2022-07-26,2.131
2022-07-27,2.131
2022-07-28,2.131
2022-07-29,2.131
2022-07-30,2.131
2022-07-31,2.131
2022-08-01,2.131
2022-08-02,2.131
2022-08-03,2.131
2022-08-04,2.131
2022-08-05,2.131
2022-08-06,2.131
2022-08-07,2.131
2022-08-08,2.131
2022-08-09,2.131
2022-08-10,2.131
2022-08-11,2.131
2022-08-12,2.131
2022-08-13,2.131
2022-08-14,2.131
2022-08-15,2.131
2022-08-16,2.131
2022-08-17,2.131
2022-08-18,2.131
2022-08-19,2.131
2022-08-20,2.131
2022-08-21,2.131
2022-08-22,2.131
2022-08-23,2.131
2022-08-24,2.131
2022-08-25,2.131
2022-08-26,2.131
2022-08-27,2.131
2022-08-28,2.131
2022-08-29,2.131
2022-08-30,2.131
2022-08-31,2.131
2022-09-01,2.131
2022-09-02,2.131
2022-09-03,2.131
2022-09-04,2.131
2022-09-05,2.131
2022-09-06,2.131
2022-09-07,2.131
2022-09-08,2.131
2022-09-09,2.131
2022-09-10,2.131
2022-09-11,2.131
2022-09-12,2.131
2022-09-13,2.131
2022-09-14,2.131
2022-09-15,2.131
2022-09-16,2.131
2022-09-17,2.131
2022-09-18,2.131
2022-09-19,2.131
2022-09-20,2.131
2022-09-21,2.131
2022-09-22,2.131
2022-09-23,2.131
2022-09-24,2.131
2022-09-25,2.131
2022-09-26,2.131
2022-09-27,2.131
2022-09-28,2.131
2022-09-29,2.131
2022-09-30,2.131
2022-10-01,2.131
2022-10-02,2.131
2022-10-03,2.131
2022-10-04,2.131
2022-10-05,2.131
2022-10-06,2.131
2022-10-07,2.131
2022-10-08,2.131
2022-10-09,2.131
2022-10-10,2.131
2022-10-11,2.131
2022-10-12,2.131
2022-10-13,2.131
2022-10-14,2.131
2022-10-15,2.131
2022-10-16,2.131
2022-10-17,2.131
2022-10-18,2.131
2022-10-19,2.131
2022-10-20,2.131
2022-10-21,2.131
2022-10-22,2.131
2022-10-23,2.131
2022-10-24,2.131
2022-10-25,2.131
2022-10-26,2.131
2022-10-27,2.131
2022-10-28,2.131
2022-10-29,2.131
2022-10-30,2.131
2022-10-31,2.131
2022-11-01,2.131
2022-11-02,2.131
2022-11-03,2.131
2022-11-04,2.131
2022-11-05,2.131
2022-11-06,2.131
2022-11-07,2.131
2022-11-08,2.131
2022-11-09,2.131
2022-11-10,2.131
2022-11-11,2.131
2022-11-12,2.131
2022-11-13,2.131
2022-11-14,2.131
2022-11-15,2.131
2022-11-16,2.131
2022-11-17,2.131
2022-11-18,2.131
2022-11-19,2.131
2022-11-20,2.131
2022-11-21,2.131
2022-11-22,2.131
2022-11-23,2.131
2022-11-24,2.131
2022-11-25,2.131
2022-11-26,2.131
2022-11-27,2.131
2022-11-28,2.131
2022-11-29,2.131
