,ZBH US Equity
,BEST_DIV_YLD
2020-01-01,0.711
2020-01-02,0.714
2020-01-03,0.715
2020-01-04,0.715
2020-01-05,0.715
2020-01-06,0.72
2020-01-07,0.72
2020-01-08,0.712
2020-01-09,0.716
2020-01-10,0.71
2020-01-11,0.71
2020-01-12,0.71
2020-01-13,0.714
2020-01-14,0.718
2020-01-15,0.719
2020-01-16,0.716
2020-01-17,0.713
2020-01-18,0.713
2020-01-19,0.713
2020-01-20,0.713
2020-01-21,0.712
2020-01-22,0.705
2020-01-23,0.712
2020-01-24,0.72
2020-01-25,0.72
2020-01-26,0.72
2020-01-27,0.719
2020-01-28,0.714
2020-01-29,0.706
2020-01-30,0.704
2020-01-31,0.72
2020-02-01,0.72
2020-02-02,0.72
2020-02-03,0.717
2020-02-04,0.679
2020-02-05,0.675
2020-02-06,0.67
2020-02-07,0.681
2020-02-08,0.681
2020-02-09,0.681
2020-02-10,0.673
2020-02-11,0.668
2020-02-12,0.657
2020-02-13,0.657
2020-02-14,0.65
2020-02-15,0.65
2020-02-16,0.65
2020-02-17,0.65
2020-02-18,0.655
2020-02-19,0.652
2020-02-20,0.659
2020-02-21,0.663
2020-02-22,0.663
2020-02-23,0.663
2020-02-24,0.676
2020-02-25,0.697
2020-02-26,0.712
2020-02-27,0.746
2020-02-28,0.766
2020-02-29,0.766
2020-03-01,0.766
2020-03-02,0.749
2020-03-03,0.779
2020-03-04,0.756
2020-03-05,0.808
2020-03-06,0.841
2020-03-07,0.841
2020-03-08,0.841
2020-03-09,0.938
2020-03-10,0.882
2020-03-11,0.938
2020-03-12,1.023
2020-03-13,1.067
2020-03-14,1.067
2020-03-15,1.067
2020-03-16,1.134
2020-03-17,1.211
2020-03-18,1.294
2020-03-19,1.17
2020-03-20,1.213
2020-03-21,1.213
2020-03-22,1.213
2020-03-23,1.291
2020-03-24,1.117
2020-03-25,1.078
2020-03-26,1.032
2020-03-27,1.096
2020-03-28,1.096
2020-03-29,1.096
2020-03-30,1.059
2020-03-31,1.03
2020-04-01,1.161
2020-04-02,1.123
2020-04-03,1.131
2020-04-04,1.131
2020-04-05,1.131
2020-04-06,1.063
2020-04-07,1.149
2020-04-08,1.053
2020-04-09,1.061
2020-04-10,1.061
2020-04-11,1.061
2020-04-12,1.061
2020-04-13,1.084
2020-04-14,1.031
2020-04-15,1.064
2020-04-16,1.072
2020-04-17,0.988
2020-04-18,0.988
2020-04-19,0.988
2020-04-20,1.001
2020-04-21,1.045
2020-04-22,1.072
2020-04-23,1.037
2020-04-24,1.006
2020-04-25,1.006
2020-04-26,1.006
2020-04-27,0.997
2020-04-28,1.021
2020-04-29,0.969
2020-04-30,0.979
2020-05-01,1.008
2020-05-02,1.008
2020-05-03,1.008
2020-05-04,1.027
2020-05-05,0.993
2020-05-06,1.011
2020-05-07,0.981
2020-05-08,0.961
2020-05-09,0.961
2020-05-10,0.961
2020-05-11,1.04
2020-05-12,1.08
2020-05-13,1.104
2020-05-14,1.094
2020-05-15,1.091
2020-05-16,1.091
2020-05-17,1.091
2020-05-18,1.0
2020-05-19,0.99
2020-05-20,0.969
2020-05-21,1.005
2020-05-22,0.994
2020-05-23,0.994
2020-05-24,0.994
2020-05-25,0.994
2020-05-26,0.968
2020-05-27,0.956
2020-05-28,0.958
2020-05-29,0.971
2020-05-30,0.971
2020-05-31,0.971
2020-06-01,0.959
2020-06-02,0.955
2020-06-03,0.941
2020-06-04,0.947
2020-06-05,0.893
2020-06-06,0.893
2020-06-07,0.893
2020-06-08,0.899
2020-06-09,0.914
2020-06-10,0.913
2020-06-11,1.013
2020-06-12,0.98
2020-06-13,0.98
2020-06-14,0.98
2020-06-15,0.965
2020-06-16,0.936
2020-06-17,0.958
2020-06-18,0.963
2020-06-19,0.972
2020-06-20,0.972
2020-06-21,0.972
2020-06-22,0.984
2020-06-23,0.974
2020-06-24,1.038
2020-06-25,1.064
2020-06-26,1.06
2020-06-27,1.06
2020-06-28,1.06
2020-06-29,1.047
2020-06-30,1.026
2020-07-01,1.026
2020-07-02,1.015
2020-07-03,1.015
2020-07-04,1.015
2020-07-05,1.015
2020-07-06,1.037
2020-07-07,1.046
2020-07-08,1.029
2020-07-09,1.041
2020-07-10,1.025
2020-07-11,1.025
2020-07-12,1.025
2020-07-13,1.013
2020-07-14,0.986
2020-07-15,0.929
2020-07-16,0.938
2020-07-17,0.906
2020-07-18,0.906
2020-07-19,0.906
2020-07-20,0.937
2020-07-21,0.924
2020-07-22,0.92
2020-07-23,0.922
2020-07-24,0.913
2020-07-25,0.913
2020-07-26,0.913
2020-07-27,0.912
2020-07-28,0.912
2020-07-29,0.877
2020-07-30,0.885
2020-07-31,0.908
2020-08-01,0.908
2020-08-02,0.908
2020-08-03,0.902
2020-08-04,0.937
2020-08-05,0.864
2020-08-06,0.869
2020-08-07,0.829
2020-08-08,0.829
2020-08-09,0.829
2020-08-10,0.835
2020-08-11,0.836
2020-08-12,0.834
2020-08-13,0.838
2020-08-14,0.841
2020-08-15,0.841
2020-08-16,0.841
2020-08-17,0.834
2020-08-18,0.832
2020-08-19,0.842
2020-08-20,0.844
2020-08-21,0.848
2020-08-22,0.848
2020-08-23,0.848
2020-08-24,0.844
2020-08-25,0.84
2020-08-26,0.844
2020-08-27,0.822
2020-08-28,0.815
2020-08-29,0.815
2020-08-30,0.815
2020-08-31,0.82
2020-09-01,0.822
2020-09-02,0.808
2020-09-03,0.822
2020-09-04,0.826
2020-09-05,0.826
2020-09-06,0.826
2020-09-07,0.826
2020-09-08,0.835
2020-09-09,0.824
2020-09-10,0.833
2020-09-11,0.83
2020-09-12,0.83
2020-09-13,0.83
2020-09-14,0.822
2020-09-15,0.801
2020-09-16,0.792
2020-09-17,0.809
2020-09-18,0.832
2020-09-19,0.832
2020-09-20,0.832
2020-09-21,0.862
2020-09-22,0.852
2020-09-23,0.864
2020-09-24,0.874
2020-09-25,0.855
2020-09-26,0.855
