,ED US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,4.362
2020-01-18,4.362
2020-01-19,4.362
2020-01-20,4.362
2020-01-21,4.334
2020-01-22,4.318
2020-01-23,4.243
2020-01-24,4.205
2020-01-25,4.205
2020-01-26,4.205
2020-01-27,4.214
2020-01-28,4.18
2020-01-29,4.168
2020-01-30,4.155
2020-01-31,4.188
2020-02-01,4.188
2020-02-02,4.188
2020-02-03,4.195
2020-02-04,4.254
2020-02-05,4.215
2020-02-06,4.212
2020-02-07,4.243
2020-02-08,4.243
2020-02-09,4.243
2020-02-10,4.229
2020-02-11,4.225
2020-02-12,4.239
2020-02-13,4.204
2020-02-14,4.175
2020-02-15,4.175
2020-02-16,4.175
2020-02-17,4.175
2020-02-18,4.139
2020-02-19,4.159
2020-02-20,4.129
2020-02-21,4.33
2020-02-22,4.33
2020-02-23,4.33
2020-02-24,4.393
2020-02-25,4.425
2020-02-26,4.453
2020-02-27,4.694
2020-02-28,4.954
2020-02-29,4.954
2020-03-01,4.954
2020-03-02,4.619
2020-03-03,4.657
2020-03-04,4.437
2020-03-05,4.458
2020-03-06,4.442
2020-03-07,4.442
2020-03-08,4.442
2020-03-09,4.404
2020-03-10,4.368
2020-03-11,4.368
2020-03-12,4.368
2020-03-13,4.368
2020-03-14,4.368
2020-03-15,4.368
2020-03-16,4.368
2020-03-17,4.368
2020-03-18,4.368
2020-03-19,4.368
2020-03-20,4.368
2020-03-21,4.368
2020-03-22,4.368
2020-03-23,4.368
2020-03-24,4.368
2020-03-25,4.368
2020-03-26,4.368
2020-03-27,4.368
2020-03-28,4.368
2020-03-29,4.368
2020-03-30,4.368
2020-03-31,4.368
2020-04-01,4.368
2020-04-02,4.368
2020-04-03,4.368
2020-04-04,4.368
2020-04-05,4.368
2020-04-06,4.368
2020-04-07,4.368
2020-04-08,4.368
2020-04-09,4.368
2020-04-10,4.368
2020-04-11,4.368
2020-04-12,4.368
2020-04-13,4.368
2020-04-14,4.368
2020-04-15,4.368
2020-04-16,4.368
2020-04-17,4.368
2020-04-18,4.368
2020-04-19,4.368
2020-04-20,4.368
2020-04-21,4.368
2020-04-22,4.368
2020-04-23,4.368
2020-04-24,4.368
2020-04-25,4.368
2020-04-26,4.368
2020-04-27,4.368
2020-04-28,4.368
2020-04-29,4.368
2020-04-30,4.368
2020-05-01,4.368
2020-05-02,4.368
2020-05-03,4.368
2020-05-04,4.368
2020-05-05,4.368
2020-05-06,4.368
2020-05-07,4.368
2020-05-08,5.938
2020-05-09,5.938
2020-05-10,5.938
2020-05-11,5.839
2020-05-12,5.697
2020-05-13,5.708
2020-05-14,5.693
2020-05-15,5.797
2020-05-16,5.797
2020-05-17,5.797
2020-05-18,5.579
2020-05-19,5.754
2020-05-20,5.766
2020-05-21,5.833
2020-05-22,5.812
2020-05-23,5.812
2020-05-24,5.812
2020-05-25,5.812
2020-05-26,5.729
2020-05-27,5.724
2020-05-28,5.576
2020-05-29,5.434
2020-05-30,5.434
2020-05-31,5.434
2020-06-01,5.433
2020-06-02,5.451
2020-06-03,5.39
2020-06-04,5.451
2020-06-05,5.414
2020-06-06,5.414
2020-06-07,5.414
2020-06-08,5.249
2020-06-09,5.318
2020-06-10,5.3
2020-06-11,5.462
2020-06-12,5.411
2020-06-13,5.411
2020-06-14,5.411
2020-06-15,5.324
2020-06-16,5.27
2020-06-17,5.345
2020-06-18,5.375
2020-06-19,5.634
2020-06-20,5.634
2020-06-21,5.634
2020-06-22,5.635
2020-06-23,5.673
2020-06-24,5.626
2020-06-25,5.699
2020-06-26,5.646
2020-06-27,5.646
2020-06-28,5.646
2020-06-29,5.536
2020-06-30,5.595
2020-07-01,5.506
2020-07-02,5.453
2020-07-03,5.453
2020-07-04,5.453
2020-07-05,5.453
2020-07-06,5.506
2020-07-07,5.551
2020-07-08,5.557
2020-07-09,5.612
2020-07-10,5.553
2020-07-11,5.553
2020-07-12,5.553
2020-07-13,5.577
2020-07-14,5.577
2020-07-15,5.628
2020-07-16,5.602
2020-07-17,5.434
2020-07-18,5.434
2020-07-19,5.434
2020-07-20,5.494
2020-07-21,5.418
2020-07-22,5.312
2020-07-23,5.278
2020-07-24,5.325
2020-07-25,5.325
2020-07-26,5.325
2020-07-27,5.383
2020-07-28,5.271
2020-07-29,5.247
2020-07-30,5.231
2020-07-31,5.238
2020-08-01,5.238
2020-08-02,5.238
2020-08-03,5.302
2020-08-04,5.303
2020-08-05,5.312
2020-08-06,5.294
2020-08-07,5.21
2020-08-08,5.21
2020-08-09,5.21
2020-08-10,5.191
2020-08-11,5.341
2020-08-12,5.269
2020-08-13,5.304
2020-08-14,5.322
2020-08-15,5.322
