,ROP US Equity
,BEST_DIV_YLD
2020-01-01,0.889
2020-01-02,0.862
2020-01-03,0.867
2020-01-04,0.867
2020-01-05,0.867
2020-01-06,0.876
2020-01-07,0.871
2020-01-08,0.862
2020-01-09,0.85
2020-01-10,0.849
2020-01-11,0.849
2020-01-12,0.849
2020-01-13,0.841
2020-01-14,0.844
2020-01-15,0.842
2020-01-16,0.837
2020-01-17,0.828
2020-01-18,0.828
2020-01-19,0.828
2020-01-20,0.828
2020-01-21,0.831
2020-01-22,0.837
2020-01-23,0.831
2020-01-24,0.834
2020-01-25,0.834
2020-01-26,0.834
2020-01-27,0.844
2020-01-28,0.832
2020-01-29,0.831
2020-01-30,0.808
2020-01-31,0.824
2020-02-01,0.824
2020-02-02,0.824
2020-02-03,0.828
2020-02-04,0.814
2020-02-05,0.815
2020-02-06,0.817
2020-02-07,0.816
2020-02-08,0.816
2020-02-09,0.816
2020-02-10,0.803
2020-02-11,0.807
2020-02-12,0.804
2020-02-13,0.81
2020-02-14,0.801
2020-02-15,0.801
2020-02-16,0.801
2020-02-17,0.801
2020-02-18,0.808
2020-02-19,0.81
2020-02-20,0.819
2020-02-21,0.812
2020-02-22,0.812
2020-02-23,0.812
2020-02-24,0.838
2020-02-25,0.859
2020-02-26,0.862
2020-02-27,0.886
2020-02-28,0.894
2020-02-29,0.894
2020-03-01,0.894
2020-03-02,0.871
2020-03-03,0.892
2020-03-04,0.857
2020-03-05,0.894
2020-03-06,0.898
2020-03-07,0.898
2020-03-08,0.898
2020-03-09,0.997
2020-03-10,0.921
2020-03-11,0.973
2020-03-12,1.081
2020-03-13,1.003
2020-03-14,1.003
2020-03-15,1.003
2020-03-16,1.11
2020-03-17,1.016
2020-03-18,1.095
2020-03-19,1.048
2020-03-20,1.111
2020-03-21,1.111
2020-03-22,1.111
2020-03-23,1.237
2020-03-24,1.112
2020-03-25,1.103
2020-03-26,1.027
2020-03-27,1.028
2020-03-28,1.028
2020-03-29,1.028
2020-03-30,0.991
2020-03-31,1.008
2020-04-01,1.071
2020-04-02,1.031
2020-04-03,1.049
2020-04-04,1.049
2020-04-05,1.049
2020-04-06,1.006
2020-04-07,1.019
2020-04-08,0.987
2020-04-09,0.995
2020-04-10,0.995
2020-04-11,0.995
2020-04-12,0.995
2020-04-13,0.998
2020-04-14,0.982
2020-04-15,1.0
2020-04-16,1.012
2020-04-17,0.975
2020-04-18,0.975
2020-04-19,0.975
2020-04-20,0.98
2020-04-21,1.011
2020-04-22,1.001
2020-04-23,1.0
2020-04-24,1.025
2020-04-25,1.025
2020-04-26,1.025
2020-04-27,0.998
2020-04-28,0.932
2020-04-29,0.921
2020-04-30,0.921
2020-05-01,0.925
2020-05-02,0.925
2020-05-03,0.925
2020-05-04,0.92
2020-05-05,0.908
2020-05-06,0.894
2020-05-07,1.094
2020-05-08,1.087
2020-05-09,1.087
2020-05-10,1.087
2020-05-11,1.07
2020-05-12,1.091
2020-05-13,1.105
2020-05-14,1.09
2020-05-15,1.078
2020-05-16,1.078
2020-05-17,1.078
2020-05-18,0.92
2020-05-19,0.942
2020-05-20,0.916
2020-05-21,0.923
2020-05-22,0.918
2020-05-23,0.918
2020-05-24,0.918
2020-05-25,0.918
2020-05-26,0.91
2020-05-27,0.889
2020-05-28,0.883
2020-05-29,0.856
2020-05-30,0.856
2020-05-31,0.856
2020-06-01,0.869
2020-06-02,0.852
2020-06-03,0.839
2020-06-04,0.838
2020-06-05,0.83
2020-06-06,0.83
2020-06-07,0.83
2020-06-08,0.838
2020-06-09,0.838
2020-06-10,0.84
2020-06-11,0.859
2020-06-12,0.864
2020-06-13,0.864
2020-06-14,0.864
2020-06-15,0.855
2020-06-16,0.845
2020-06-17,0.838
2020-06-18,0.838
2020-06-19,0.863
2020-06-20,0.863
2020-06-21,0.863
2020-06-22,0.842
2020-06-23,0.848
2020-06-24,0.871
2020-06-25,0.857
2020-06-26,0.87
2020-06-27,0.87
2020-06-28,0.87
2020-06-29,0.874
2020-06-30,0.868
2020-07-01,0.865
2020-07-02,0.861
2020-07-03,0.861
2020-07-04,0.861
2020-07-05,0.861
2020-07-06,0.857
2020-07-07,0.84
2020-07-08,0.826
2020-07-09,0.831
2020-07-10,0.837
2020-07-11,0.837
2020-07-12,0.837
2020-07-13,0.85
2020-07-14,0.827
2020-07-15,0.821
2020-07-16,0.809
2020-07-17,0.802
2020-07-18,0.802
2020-07-19,0.802
2020-07-20,0.79
2020-07-21,0.79
2020-07-22,0.785
2020-07-23,0.781
2020-07-24,0.79
2020-07-25,0.79
2020-07-26,0.79
2020-07-27,0.78
2020-07-28,0.776
2020-07-29,0.745
2020-07-30,0.753
2020-07-31,0.753
2020-08-01,0.753
2020-08-02,0.753
2020-08-03,0.748
2020-08-04,0.751
2020-08-05,0.748
2020-08-06,0.745
2020-08-07,0.738
2020-08-08,0.738
2020-08-09,0.738
2020-08-10,0.737
2020-08-11,0.749
2020-08-12,0.729
2020-08-13,0.718
2020-08-14,0.757
2020-08-15,0.757
2020-08-16,0.757
2020-08-17,0.764
2020-08-18,0.767
2020-08-19,0.775
2020-08-20,0.774
2020-08-21,0.779
2020-08-22,0.779
2020-08-23,0.779
2020-08-24,0.779
2020-08-25,0.781
2020-08-26,0.779
2020-08-27,0.787
2020-08-28,0.783
2020-08-29,0.783
2020-08-30,0.783
2020-08-31,0.788
2020-09-01,0.772
2020-09-02,0.759
2020-09-03,0.783
2020-09-04,0.797
2020-09-05,0.797
2020-09-06,0.797
2020-09-07,0.797
2020-09-08,0.855
2020-09-09,0.842
2020-09-10,0.851
2020-09-11,0.843
2020-09-12,0.843
2020-09-13,0.843
2020-09-14,0.85
2020-09-15,0.834
2020-09-16,0.841
2020-09-17,0.844
2020-09-18,0.86
2020-09-19,0.86
2020-09-20,0.86
2020-09-21,0.858
2020-09-22,0.857
2020-09-23,0.871
2020-09-24,0.861
2020-09-25,0.846
2020-09-26,0.846
2020-09-27,0.846
2020-09-28,0.841
2020-09-29,0.839
2020-09-30,0.852
2020-10-01,0.856
2020-10-02,0.851
2020-10-03,0.851
2020-10-04,0.851
2020-10-05,0.838
2020-10-06,0.841
2020-10-07,0.83
2020-10-08,0.833
2020-10-09,0.811
2020-10-10,0.811
2020-10-11,0.811
2020-10-12,0.797
2020-10-13,0.794
2020-10-14,0.787
2020-10-15,0.781
2020-10-16,0.775
2020-10-17,0.775
2020-10-18,0.775
2020-10-19,0.791
2020-10-20,0.795
2020-10-21,0.798
2020-10-22,0.787
2020-10-23,0.785
2020-10-24,0.785
2020-10-25,0.785
2020-10-26,0.805
2020-10-27,0.852
2020-10-28,0.949
2020-10-29,0.941
2020-10-30,0.939
2020-10-31,0.939
2020-11-01,0.939
2020-11-02,0.916
2020-11-03,0.91
2020-11-04,0.897
2020-11-05,0.904
2020-11-06,0.898
2020-11-07,0.898
2020-11-08,0.898
2020-11-09,0.894
2020-11-10,0.87
2020-11-11,0.869
2020-11-12,0.893
2020-11-13,0.962
2020-11-14,0.962
2020-11-15,0.962
2020-11-16,0.935
2020-11-17,0.94
2020-11-18,0.934
2020-11-19,0.932
2020-11-20,0.941
2020-11-21,0.941
2020-11-22,0.941
2020-11-23,0.94
2020-11-24,0.911
2020-11-25,0.912
2020-11-26,0.912
2020-11-27,0.911
2020-11-28,0.911
2020-11-29,0.911
2020-11-30,0.893
2020-12-01,0.9
2020-12-02,0.913
2020-12-03,0.932
2020-12-04,0.913
2020-12-05,0.913
2020-12-06,0.913
2020-12-07,0.91
2020-12-08,0.91
2020-12-09,0.909
2020-12-10,0.919
2020-12-11,0.907
2020-12-12,0.907
2020-12-13,0.907
2020-12-14,0.902
2020-12-15,0.896
2020-12-16,0.906
2020-12-17,0.897
2020-12-18,0.895
2020-12-19,0.895
2020-12-20,0.895
2020-12-21,0.903
2020-12-22,0.924
2020-12-23,0.909
2020-12-24,0.908
2020-12-25,0.908
2020-12-26,0.908
2020-12-27,0.908
2020-12-28,0.901
2020-12-29,0.909
2020-12-30,0.904
2020-12-31,0.885
2021-01-01,0.885
2021-01-02,0.885
2021-01-03,0.885
2021-01-04,0.909
2021-01-05,0.91
2021-01-06,0.901
2021-01-07,0.885
2021-01-08,0.884
2021-01-09,0.884
2021-01-10,0.884
2021-01-11,0.869
2021-01-12,0.886
2021-01-13,0.922
2021-01-14,0.935
2021-01-15,0.925
2021-01-16,0.925
2021-01-17,0.925
2021-01-18,0.925
2021-01-19,0.919
2021-01-20,0.906
2021-01-21,0.904
2021-01-22,0.909
2021-01-23,0.909
2021-01-24,0.909
2021-01-25,0.909
2021-01-26,0.913
2021-01-27,0.907
2021-01-28,0.901
